category_id,category_name,upc_essential
852,Fountain,NO
853,Canada Dry,NO
855,7 UP,NO
856,Squirt,NO
857,Hires Root Beer,NO
877,Dr Pepper,NO
1334,Moxie,NO
3897,Schweppes,NO
10807,A&W,NO
10808,Mountain Dew,NO
10809,Orange Crush,NO
10810,Royal Crown/Nehi/Diet Rite,NO
38,Other Coca-Cola Ads,NO
13601,Advertising-Print,NO
13602,Banks,NO
13603,Bottles,NO
13604,Cans,NO
13605,Clocks & Radios,NO
13606,Glasses,NO
13607,"Pins, Badges & Patches",NO
13608,Signs,NO
13609,Tins,NO
13610,Trays,NO
13611,Trucks & Cars,NO
20169,Bottle Caps,NO
20170,Calendars,NO
20171,Coasters,NO
20172,Coolers,NO
20173,Decals & Stickers,NO
20174,Figurines,NO
20175,Flashlights & Keychains,NO
20176,Lunchboxes & Lunch Bags,NO
20177,"Mugs, Cups & Steins",NO
20178,Openers,NO
20179,Ornaments,NO
20180,Playing Cards,NO
20181,Posters & Prints,NO
20182,Puzzles & Games,NO
20183,Shakers,NO
20184,"Shirts, Jackets & Hats",NO
20185,Thermometers,NO
35686,Cigarette Lighters & Ashtrays,NO
35687,Cookie Jars & Canisters,NO
35688,"Dishes, Bowls & Plates",NO
35690,Watches,NO
37824,Lamps & Lighting,NO
37825,Magnets,NO
37826,Pens & Pencils,NO
37827,Phones,NO
165258,Bags,NO
165259,Books,NO
165260,"Plush, Stuffed Animals",NO
165261,Carriers & Caddies,NO
854,Other Pepsi Advertisements,NO
13613,Advertising-Print,NO
13614,Bottles & Cans,NO
13615,Glasses,NO
13616,Signs,NO
20186,Banks,NO
20187,"Shirts, Jackets & Hats",NO
20188,Trucks & Cars,NO
35691,Clocks & Radios,NO
165263,"Pins, Badges & Patches",NO
20189,Mixed Lots,NO
37,Other Soda Memorabilia,NO
35693,Bottle Caps,NO
35694,Bottles,NO
35695,Cans,NO
35696,"Glasses, Cups & Mugs",NO
35697,Labels,NO
35698,Signs,NO
170073,Patches,NO
165262,Dad's,NO
165264,Vernor’s,NO
165265,Other Soda Memorabilia,NO
40,Other Gas & Oil Collectibles,NO
41,Esso,NO
832,Phillips 66,NO
833,Shell,NO
834,Mobil,NO
835,Pennzoil,NO
836,"Tydol, Veedol & Flying A",NO
837,Quaker State,NO
838,Chevron & Standard Oil,NO
839,Exxon,NO
864,Humble,NO
1328,Citgo,NO
1329,Gulf,NO
1331,Sinclair,NO
1332,Sunoco,NO
3888,BP,NO
10801,Amoco,NO
10802,Conoco,NO
10803,Union 76,NO
26264,Enron,NO
42,Other Texaco Advertisements,NO
35673,Advertising-Print,NO
35674,Banks,NO
35675,Cans & Buckets,NO
35676,Trucks & Cars,NO
35677,Signs,NO
165251,Miniatures,NO
35678,Valvoline,NO
1330,"Unspecified, Unknown Date",NO
35881,Pre-1980,NO
35882,1980-89,NO
35883,1990-94,NO
35884,1995-99,NO
35885,2000-Now,NO
165243,Atlantic,NO
165244,Castrol,NO
165245,Eagle,NO
165246,Pure Oil Company,NO
165247,Mixed Lots,NO
165248,Other Gas & Oil Company Ads,NO
35680,Advertising-Print,NO
35681,Banks,NO
35682,Cans & Buckets,NO
35683,Trucks & Cars,NO
35684,Signs,NO
50711,Patches,NO
156205,Stickers & Decals,NO
165250,Other Gas & Oil Memorabilia,NO
828,Other Agricultural Ads,NO
830,Allis Chalmers,NO
831,International Harvester,NO
1333,Seed & Feed Companies,NO
3884,Case,NO
13545,Caterpillar,NO
13546,Ford,NO
13547,Massey Ferguson,NO
829,Other John Deere Collectibles,NO
35628,Advertising-Print,NO
35629,Brochures & Catalogs,NO
35630,Hats & Caps,NO
35631,Lunch Boxes,NO
35632,Manuals,NO
35633,Ornaments,NO
35634,Signs,NO
95111,"Cups, Mugs & Steins",NO
95112,Diecast & Toys,NO
95113,Lighting & Lamps,NO
95114,Pocket Knives,NO
165193,Apparel,NO
165194,Banks,NO
165195,Belts & Belt Buckles,NO
165196,Coasters,NO
165197,License Plates,NO
165198,Tableware,NO
165199,"Posters, Prints & Paintings",NO
35635,Minneapolis-Moline,NO
35636,Oliver,NO
850,Other Restaurant Ads,NO
851,Big Boy,NO
20168,Burger King,NO
21100,Planet Hollywood,NO
21101,Hard Rock Café,NO
13592,Other McDonald's Ads,NO
35668,Mugs & Cups,NO
35669,Pins,NO
35670,Plates,NO
35671,Taco Bell,NO
167975,Arby's,NO
167976,Dairy Queen,NO
167977,Hooters,NO
167978,Pizza Hut,NO
167979,Waffle House,NO
167980,Wendy's,NO
875,Government,NO
1314,Other Automobile Ads,NO
1315,Buick,NO
1316,Chevrolet,NO
1317,Chrysler,NO
1318,Dodge,NO
1319,Ford,NO
1320,Pontiac,NO
3874,Packard,NO
10773,Cadillac,NO
10774,Jeep & Willys,NO
10775,Lincoln,NO
10776,Mercury,NO
10777,Oldsmobile,NO
10778,Plymouth,NO
10780,Studebaker,NO
13554,DeSoto,NO
13555,Hudson,NO
13556,Kaiser-Frazer,NO
13557,Nash,NO
13558,Rambler,NO
13559,Other American Automobile Ads,NO
13561,Datsun & Nissan,NO
13562,Honda,NO
13563,Mazda,NO
13564,Toyota,NO
13565,Other Asian Automobile Ads,NO
165200,Acura,NO
165201,Hyundai,NO
165202,Infiniti,NO
165203,Isuzu,NO
165204,Mitsubishi,NO
165205,Subaru,NO
3869,Austin,NO
3872,Other British Automobile Ads,NO
3873,MG,NO
3878,Triumph,NO
4400,Jaguar,NO
13567,Rolls-Royce & Bentley,NO
13568,Sunbeam,NO
43045,Land Rover,NO
3871,Daimler & Mercedes,NO
10779,Porsche,NO
10781,Volkswagen,NO
13570,Alfa Romeo,NO
13571,Audi,NO
13572,BMW,NO
13573,Citroen,NO
13574,Ferrari,NO
13575,Fiat,NO
13576,Lamborghini,NO
13577,Opel,NO
13578,Peugeot,NO
13579,Renault,NO
13580,Saab,NO
13581,Volvo,NO
13582,Other European Automobile Ads,NO
165206,Lancia,NO
165207,Maserati,NO
841,1950-1979,NO
842,1920-1949,NO
843,Pre-1920,NO
156202,1980-Now,NO
3885,Other Clothing & Shoe Ads,NO
156198,Pre-1920,NO
156199,1920-1949,NO
156200,1950-1979,NO
156201,1980-Now,NO
156203,Reproductions,NO
165209,Pre-1920,NO
165210,1920-1949,NO
165211,1950-1979,NO
165212,1980-Now,NO
846,Radio,NO
859,Utilities,NO
879,Telephone,NO
13586,Other Comm & Utility Ads,NO
165213,Phonographs,NO
165214,Telegraph & Telegram,NO
818,Other Dairy Advertisements,NO
35663,Advertising-Print,NO
35664,Bottle Caps,NO
35665,Posters & Prints,NO
35666,Signs & Plaques,NO
40035,Bottles & Containers,NO
40036,Pins & Buttons,NO
822,Jack Daniel’s,NO
823,Jim Beam,NO
825,Old Crow,NO
3882,Scotch,NO
3883,Wild Turkey,NO
4270,Irish,NO
7175,Seagram’s,NO
10798,Absolut,NO
10799,Canadian Club,NO
10800,Johnnie Walker,NO
26262,Bacardi,NO
26263,Smirnoff,NO
32721,Baileys,NO
32722,Southern Comfort,NO
35654,Captain Morgan,NO
35655,Dewar’s,NO
821,Other Distillery Memorabilia,NO
35657,Advertising-Print,NO
35658,"Bottles, Decanters & Jugs",NO
35659,Glasses,NO
35660,Shirts & Hats,NO
35661,Signs,NO
35662,Tins,NO
165222,Beefeater,NO
165223,Canadian Mist,NO
165224,Crown Royal,NO
165225,Drambuie,NO
165226,Fleischmann,NO
165227,Gilbey’s,NO
165228,Haig & Haig,NO
165229,Jagermeister,NO
165230,Jose Cuervo,NO
165231,Old Forester,NO
165232,Paul Jones,NO
165233,Tanqueray,NO
165234,Other Distillery Ads,NO
167974,Ezra Brooks,NO
873,Other Candy & Nuts Ads,NO
874,M&M's,NO
3894,Planters Nuts,NO
10782,Cracker Jack,NO
10783,Hershey & Reese’s,NO
10784,Life Savers,NO
20990,Ferrero & Kinder,NO
35645,Chewing Gum,NO
165216,Brach’s,NO
165217,Merchandise & Memorabilia,NO
878,Soup,NO
1526,Other Food & Beverage Ads,NO
1322,Other Cereal Advertisements,NO
10786,General Mills,NO
10787,Kellogg,NO
10788,Nabisco,NO
10789,Post,NO
10790,Quaker,NO
165235,Cream of Wheat,NO
165236,Merchandise & Memorabilia,NO
865,Other Coffee & Tea Ads,NO
10794,Maxwell House,NO
10795,Starbucks,NO
13584,Lipton,NO
165218,Folger’s,NO
165219,Nescafe,NO
165220,Tim Horton’s,NO
165221,Merchandise & Memorabilia,NO
1321,Other Bakery & Baking Ads,NO
13589,Baking Powder,NO
13590,Flour,NO
20165,Bread,NO
20166,Cakes & Doughnuts,NO
20167,"Cookies, Crackers & Pretzels",NO
21091,Cocoa & Baking Chocolate,NO
165215,Merchandise & Memorabilia,NO
21099,Spices & Extracts,NO
21102,Pickles & Condiments,NO
21103,Pancakes & Syrup,NO
21104,"Jam, Jelly & Peanut Butter",NO
21105,Fruit & Raisins,NO
50710,Gelatin & Jell-O,NO
165237,Energy Drinks,NO
