category_id,full_category_tree,leaf_node
28009,art > art posters,art posters
45452,baby > bathing & grooming > health & grooming,health & grooming
117386,"baby > feeding > cups, dishes & utensils > feeding sets",feeding sets
37635,baby > nursery décor > wall décor > wall hangings,wall hangings
261186,books & magazines > books,books
1105,"books & magazines > textbooks, education & reference > textbooks",textbooks
183808,business & industrial > cleaning & janitorial supplies > pest control supplies > pest trap parts & accessories > pest trap sticky paper,pest trap sticky paper
258113,"business & industrial > cnc, metalworking & manufacturing > metalworking supplies > abrasives > burrs",burrs
258289,"business & industrial > cnc, metalworking & manufacturing > semiconductor & pcb manufacturing equipment > semiconductor test & assembly equipment > testing equipment",testing equipment
124821,"business & industrial > cnc, metalworking & manufacturing > welding & soldering equipment > soldering/desoldering equipment & accessories > solder & soldering consumables > solder",solder
258317,"business & industrial > cnc, metalworking & manufacturing > woodworking equipment > saws > circular saws",circular saws
258334,"business & industrial > cnc, metalworking & manufacturing > woodworking supplies > carving tools & chisels > chisels",chisels
36345,"business & industrial > cnc, metalworking & manufacturing > workholding & toolholding > workholding > other workholding",other workholding
53152,business & industrial > facility maintenance & safety > personal protective equipment (ppe) > ear plugs & ear muffs > ear plugs,ear plugs
67019,business & industrial > facility maintenance & safety > personal protective equipment (ppe) > safety glasses & goggles,safety glasses & goggles
109677,business & industrial > facility maintenance & safety > personal protective equipment (ppe) > safety vests,safety vests
53294,business & industrial > facility maintenance & safety > public safety staff equipment > police & turnout gear > other police & turnout gear,other police & turnout gear
109514,business & industrial > facility maintenance & safety > public safety staff equipment > police & turnout gear > police & security handcuffs,police & security handcuffs
183904,business & industrial > facility maintenance & safety > safety signs & traffic control > other safety signs & traffic control,other safety signs & traffic control
53145,business & industrial > facility maintenance & safety > surveillance & alarm equipment > alarm systems & accessories > other alarm parts & accessories,other alarm parts & accessories
57007,"business & industrial > fasteners & hardware > clamps, ties & cords > cable ties",cable ties
109492,"business & industrial > fasteners & hardware > clamps, ties & cords > shock cords & bungees",shock cords & bungees
183936,business & industrial > fasteners & hardware > fastening pins > hairpin & straight cotter pins,hairpin & straight cotter pins
185171,"business & industrial > healthcare, lab & dental > handpieces & instruments > other handpieces & instruments",other handpieces & instruments
104229,"business & industrial > healthcare, lab & dental > handpieces & instruments > scalpels, surgical blades & handles","scalpels, surgical blades & handles"
257817,"business & industrial > healthcare, lab & dental > medical, lab & dental supplies > diagnostic penlights",diagnostic penlights
63914,business & industrial > light equipment & tools > hand tools > hammers,hammers
159702,business & industrial > light equipment & tools > hand tools > wrenches,wrenches
86174,business & industrial > material handling > packing & shipping > packing & shipping bags > reclosable & zipper bags,reclosable & zipper bags
45112,business & industrial > office > office supplies > calendars & planners > blank diaries & journals,blank diaries & journals
159710,business & industrial > office > office supplies > other office supplies,other office supplies
20164,business & industrial > office > office supplies > paper products > note pads,note pads
257906,"business & industrial > office > office supplies > pens, pencils & markers > ballpoint & rollerball pens",ballpoint & rollerball pens
26261,business & industrial > other business & industrial,other business & industrial
71468,business & industrial > retail & services > point of sale & money handling > counterfeit detection equipment,counterfeit detection equipment
71482,business & industrial > retail & services > security & surveillance > other retail security,other retail security
181959,"business & industrial > test, measurement & inspection > leads & probes > multimeter test leads",multimeter test leads
163824,"business & industrial > test, measurement & inspection > test meters & detectors > metal detector accessories",metal detector accessories
14955,"business & industrial > test, measurement & inspection > test meters & detectors > metal detectors",metal detectors
260988,"clothing, shoes & accessories > kids > backpacks & bags",backpacks & bags
122321,"clothing, shoes & accessories > kids > boys > boys' accessories > scarves",scarves
57920,"clothing, shoes & accessories > kids > girls > girls' accessories > hair accessories",hair accessories
52357,"clothing, shoes & accessories > men > men's accessories > bags",bags
2993,"clothing, shoes & accessories > men > men's accessories > belts",belts
52365,"clothing, shoes & accessories > men > men's accessories > hats",hats
169271,"clothing, shoes & accessories > men > men's accessories > id & document holders",id & document holders
52373,"clothing, shoes & accessories > men > men's accessories > key chains, rings & cases","key chains, rings & cases"
2996,"clothing, shoes & accessories > men > men's accessories > wallets",wallets
40659,"clothing, shoes & accessories > specialty > clothing & shoe care > shoe care & repair > other shoe care & repair",other shoe care & repair
141475,"clothing, shoes & accessories > specialty > clothing & shoe care > shoe care & repair > shoe care sets",shoe care sets
106123,"clothing, shoes & accessories > specialty > clothing & shoe care > shoe care & repair > shoe cleaners, conditioners & polishes","shoe cleaners, conditioners & polishes"
169282,"clothing, shoes & accessories > specialty > clothing & shoe care > shoe care & repair > shoe laces",shoe laces
106124,"clothing, shoes & accessories > specialty > clothing & shoe care > shoe care & repair > shoe repair",shoe repair
45237,"clothing, shoes & accessories > women > women's accessories > key chains, rings & finders","key chains, rings & finders"
39478,coins & paper money > publications & supplies > magnifiers & loupes,magnifiers & loupes
29464,collectibles > cultures & ethnicities > western americana > belt buckles,belt buckles
261610,collectibles > decorative collectibles > clocks > other clocks,other clocks
13844,"collectibles > disneyana > contemporary (1968-now) > paper, notepads","paper, notepads"
39665,collectibles > historical memorabilia > police > handcuffs & keys,handcuffs & keys
11662,collectibles > kitchen & home > kitchen tools & gadgets > graters & zesters,graters & zesters
43220,"collectibles > knives, swords & blades > blade parts, supplies & accs > blade sharpeners & stones",blade sharpeners & stones
73522,"collectibles > knives, swords & blades > collectible fixed blade knives > modern fixed blade > factory manufactured",factory manufactured
48818,"collectibles > knives, swords & blades > collectible folding knives > modern folding knives > factory manufactured",factory manufactured
475,"collectibles > knives, swords & blades > other collectible blades",other collectible blades
156462,"collectibles > militaria > current militaria (2001-now) > original items > personal, field gear > dog tags",dog tags
158439,"collectibles > militaria > surplus > personal, field gear > dog tags",dog tags
165638,collectibles > pens & writing instruments > pens > ballpoint pens > handmade pens,handmade pens
7279,collectibles > pens & writing instruments > pens > ballpoint pens > other collectible ballpoint,other collectible ballpoint
3628,"collectibles > pez, keychains, promo glasses > keychains > modern (1970-now)",modern (1970-now)
15913,collectibles > science & medicine (1930-now) > mining > equipment,equipment
154,collectibles > science fiction & horror > star wars collectibles > other star wars collectibles,other star wars collectibles
39729,"collectibles > tools, hardware & locks > tools > carpentry, woodworking > axes, hatchets","axes, hatchets"
13871,"collectibles > tools, hardware & locks > tools > carpentry, woodworking > chisels",chisels
39730,"collectibles > tools, hardware & locks > tools > carpentry, woodworking > hammers",hammers
51169,computers/tablets & networking > computer cables & connectors > cabling tools,cabling tools
50602,consumer electronics > multipurpose batteries & power > single use batteries,single use batteries
183080,crafts > art supplies > collage supplies,collage supplies
28108,crafts > art supplies > drawing & lettering supplies > art pencils & charcoal,art pencils & charcoal
28109,crafts > art supplies > drawing & lettering supplies > art pens & markers,art pens & markers
57209,crafts > art supplies > painting supplies > artists brushes,artists brushes
11785,crafts > art supplies > painting supplies > other painting supplies,other painting supplies
183100,crafts > art supplies > painting supplies > painting tools & accessories > painting stencils,painting stencils
83893,crafts > beads & jewelry making > bead storage & jewelry display,bead storage & jewelry display
134765,crafts > beads & jewelry making > beading & jewelry making tools > jewelry pliers & shears,jewelry pliers & shears
183696,crafts > beads & jewelry making > beading & jewelry making tools > jewelry punches & stamps,jewelry punches & stamps
31726,crafts > beads & jewelry making > other beads & jewelry making,other beads & jewelry making
37574,crafts > home arts & crafts > framing & matting > mat cutting tools & supplies,mat cutting tools & supplies
41369,crafts > home arts & crafts > metalworking,metalworking
113355,crafts > home arts & crafts > upholstery tools & equipment,upholstery tools & equipment
183161,crafts > home arts & crafts > woodworking > other woodworking supplies,other woodworking supplies
183150,crafts > home arts & crafts > woodworking > wood burning pens,wood burning pens
160677,crafts > home arts & crafts > woodworking > wood carving hand tools,wood carving hand tools
134568,crafts > kids' crafts > craft books,craft books
160718,crafts > kids' crafts > drawing & painting > other kids' drawing & painting,other kids' drawing & painting
134569,crafts > kids' crafts > drawing & painting > paint sets,paint sets
116656,crafts > kids' crafts > drawing & painting > pens & markers,pens & markers
134570,crafts > kids' crafts > stickers,stickers
183145,crafts > leathercrafts > leather treatments & paints > polishing & creasing tools,polishing & creasing tools
183133,crafts > leathercrafts > leathercraft tools > hammer & mallets,hammer & mallets
183134,crafts > leathercrafts > leathercraft tools > hollow punching tools,hollow punching tools
28133,crafts > leathercrafts > leathercraft tools > other leather tools,other leather tools
183124,crafts > multi-purpose craft supplies > adhesives & tape > glue guns & sticks,glue guns & sticks
183125,crafts > multi-purpose craft supplies > adhesives & tape > other adhesives & tape,other adhesives & tape
122718,crafts > multi-purpose craft supplies > crafting tools > craft tweezers,craft tweezers
83982,crafts > multi-purpose craft supplies > crafting tools > cutting tools > craft knives & blades,craft knives & blades
183175,crafts > multi-purpose craft supplies > crafting tools > cutting tools > cutting mats,cutting mats
183187,crafts > multi-purpose craft supplies > organization & storage > other craft storage,other craft storage
75564,crafts > multi-purpose craft supplies > other multi-purpose crafting,other multi-purpose crafting
183191,crafts > needlecrafts & yarn > embroidery & cross stitch > hand embroidery tools & accs > embroidery scissors,embroidery scissors
34002,crafts > scrapbooking & paper crafts > scrapbooking > scrapbooking embellishments > scrapbooking stickers,scrapbooking stickers
183235,crafts > scrapbooking & paper crafts > scrapbooking > scrapbooking tools > paper trimmers,paper trimmers
116496,"crafts > sculpting, molding & ceramics > ceramics & pottery > pottery tools & sets",pottery tools & sets
183319,"crafts > sculpting, molding & ceramics > other sculpting supplies",other sculpting supplies
180927,crafts > sewing > closures & connectors > hook & loop tape,hook & loop tape
28171,crafts > sewing > cutting tools > dressmaker's scissors & shears,dressmaker's scissors & shears
183295,crafts > sewing > measuring tools > measuring tapes,measuring tapes
16507,crafts > stamping & embossing > tools & equipment,tools & equipment
180103,"dolls & bears > dolls, clothing & accessories > doll clothes & accessories > vehicles",vehicles
88433,everything else > every other thing,every other thing
180924,health & beauty > bath & body > body soaps,body soaps
29580,health & beauty > bath & body > deodorants & antiperspirants,deodorants & antiperspirants
11855,health & beauty > hair care & styling > brushes & combs,brushes & combs
82591,health & beauty > hair care & styling > hair ties & styling accessories,hair ties & styling accessories
177661,health & beauty > hair care & styling > shampoos & conditioners,shampoos & conditioners
180940,health & beauty > health care > ear care > ear plugs,ear plugs
75035,health & beauty > health care > first aid > kits & bags,kits & bags
75041,"health & beauty > health care > pill boxes, pill cases","pill boxes, pill cases"
31802,health & beauty > makeup > lips > lip gloss,lip gloss
107956,health & beauty > makeup > makeup sets & kits,makeup sets & kits
82599,health & beauty > makeup > makeup tools & accessories > eyelash tools,eyelash tools
178960,"health & beauty > nail care, manicure & pedicure > nail care tools > electric files & tools",electric files & tools
11872,"health & beauty > nail care, manicure & pedicure > nail care tools > manicure & pedicure tools & kits",manicure & pedicure tools & kits
11873,"health & beauty > nail care, manicure & pedicure > nail polish & powders > nail polish",nail polish
159758,health & beauty > oral care > dental floss & flossers,dental floss & flossers
67421,health & beauty > oral care > standard toothbrushes,standard toothbrushes
101915,health & beauty > salon & spa equipment > scissors & shears,scissors & shears
178964,health & beauty > shaving & hair removal > razors & razor blades > women's razors,women's razors
67416,health & beauty > shaving & hair removal > tweezers,tweezers
36870,health & beauty > skin care > lip balm & treatments,lip balm & treatments
21205,health & beauty > skin care > moisturizers,moisturizers
116183,health & beauty > vision care > eyeglass cases & storage,eyeglass cases & storage
67678,health & beauty > vision care > low vision magnifiers,low vision magnifiers
67670,health & beauty > vision care > reading glasses,reading glasses
40587,home & garden > bath > bathroom accessories > towels & washcloths,towels & washcloths
175750,home & garden > bedding > blankets & throws,blankets & throws
170091,home & garden > holiday & seasonal décor > stockings & hangers,stockings & hangers
20561,home & garden > home décor > clocks > wall clocks,wall clocks
10034,home & garden > home décor > other home décor,other home décor
259189,"home & garden > home improvement > building & hardware > paint, stain & varnish > sealants & waterproofers",sealants & waterproofers
112601,home & garden > home improvement > home security > safes,safes
259621,home & garden > household supplies & cleaning > cleaning products,cleaning products
259344,home & garden > household supplies & cleaning > cleaning tools > cleaning brushes,cleaning brushes
29509,home & garden > household supplies & cleaning > cleaning tools > cleaning towels & cloths,cleaning towels & cloths
161648,home & garden > household supplies & cleaning > cleaning tools > dusters,dusters
129609,home & garden > household supplies & cleaning > cleaning tools > sponges & scourers,sponges & scourers
43504,home & garden > household supplies & cleaning > home organization > storage bags,storage bags
260134,"home & garden > household supplies & cleaning > laundry supplies > detergents, softeners & stain removers","detergents, softeners & stain removers"
170626,home & garden > household supplies & cleaning > laundry supplies > lint removers,lint removers
66727,home & garden > kids & teens at home > bedding > blankets & throws,blankets & throws
79619,home & garden > kids & teens at home > bedding > sheets,sheets
260384,"home & garden > kids & teens at home > kitchen & dining > cups, mugs & glasses","cups, mugs & glasses"
177058,home & garden > kids & teens at home > kitchen & dining > water bottles & vacuum flasks,water bottles & vacuum flasks
25846,"home & garden > kitchen, dining & bar > bakeware > other bakeware & ovenware",other bakeware & ovenware
32884,"home & garden > kitchen, dining & bar > baking accs. & cake decorating > cookie cutters",cookie cutters
32885,"home & garden > kitchen, dining & bar > baking accs. & cake decorating > rolling pins",rolling pins
20688,"home & garden > kitchen, dining & bar > bar tools & accessories > corkscrews & openers",corkscrews & openers
63505,"home & garden > kitchen, dining & bar > bar tools & accessories > flasks",flasks
20695,"home & garden > kitchen, dining & bar > dinnerware & serveware > mugs",mugs
177005,"home & garden > kitchen, dining & bar > flatware, knives & cutlery > kitchen & steak knives",kitchen & steak knives
20638,"home & garden > kitchen, dining & bar > flatware, knives & cutlery > knife blocks & storage",knife blocks & storage
122938,"home & garden > kitchen, dining & bar > flatware, knives & cutlery > scissors & shears",scissors & shears
20696,"home & garden > kitchen, dining & bar > glassware & drinkware",glassware & drinkware
20653,"home & garden > kitchen, dining & bar > kitchen storage & organization > food storage bags",food storage bags
101428,"home & garden > kitchen, dining & bar > kitchen storage & organization > lunch containers",lunch containers
177006,"home & garden > kitchen, dining & bar > kitchen storage & organization > vacuum flasks & mugs",vacuum flasks & mugs
20636,"home & garden > kitchen, dining & bar > kitchen tools & gadgets > colanders, strainers & sifters","colanders, strainers & sifters"
20649,"home & garden > kitchen, dining & bar > kitchen tools & gadgets > cooking utensils",cooking utensils
46282,"home & garden > kitchen, dining & bar > kitchen tools & gadgets > cutting boards",cutting boards
178055,"home & garden > kitchen, dining & bar > kitchen tools & gadgets > funnels",funnels
50419,"home & garden > kitchen, dining & bar > kitchen tools & gadgets > kitchen scales",kitchen scales
260150,"home & garden > kitchen, dining & bar > kitchen tools & gadgets > manual juicers",manual juicers
134728,"home & garden > kitchen, dining & bar > kitchen tools & gadgets > measuring cups & spoons",measuring cups & spoons
20651,"home & garden > kitchen, dining & bar > kitchen tools & gadgets > other kitchen tools & gadgets",other kitchen tools & gadgets
20641,"home & garden > kitchen, dining & bar > kitchen tools & gadgets > peelers & slicers",peelers & slicers
116005,"home & garden > kitchen, dining & bar > kitchen tools & gadgets > sharpeners",sharpeners
20661,"home & garden > kitchen, dining & bar > linens & textiles > oven mitts & potholders",oven mitts & potholders
20664,"home & garden > kitchen, dining & bar > linens & textiles > towels & dishcloths",towels & dishcloths
112581,"home & garden > lamps, lighting & ceiling fans > lamps",lamps
20702,"home & garden > lamps, lighting & ceiling fans > night lights",night lights
181076,home & garden > other home & garden,other home & garden
102951,home & garden > school supplies > markers & crayons,markers & crayons
102950,home & garden > school supplies > notebooks & binders,notebooks & binders
3142,home & garden > school supplies > other school supplies,other school supplies
102953,home & garden > school supplies > pens & pencils,pens & pencils
102954,home & garden > school supplies > stamps & stickers,stamps & stickers
178972,home & garden > tools & workshop equipment > hand tools > chisels,chisels
20761,home & garden > tools & workshop equipment > hand tools > clamps & vises,clamps & vises
178974,home & garden > tools & workshop equipment > hand tools > files,files
20763,home & garden > tools & workshop equipment > hand tools > hammers & mallets,hammers & mallets
23782,home & garden > tools & workshop equipment > hand tools > hand tool sets,hand tool sets
39057,home & garden > tools & workshop equipment > hand tools > knives & blades,knives & blades
303,home & garden > tools & workshop equipment > hand tools > other hand tools,other hand tools
178999,home & garden > tools & workshop equipment > hand tools > pry & wrecking bars,pry & wrecking bars
50380,home & garden > tools & workshop equipment > hand tools > punches,punches
42255,home & garden > tools & workshop equipment > hand tools > screwdrivers & nutdrivers,screwdrivers & nutdrivers
178968,home & garden > tools & workshop equipment > measuring & layout tools > chalk lines & marking tools,chalk lines & marking tools
29524,home & garden > tools & workshop equipment > measuring & layout tools > measuring tapes & rulers,measuring tapes & rulers
42632,home & garden > tools & workshop equipment > measuring & layout tools > other measuring & layout tools,other measuring & layout tools
11704,home & garden > tools & workshop equipment > other tools & workshop equipment,other tools & workshop equipment
50382,home & garden > tools & workshop equipment > power tool & air tool accessories > drill bits,drill bits
260207,home & garden > tools & workshop equipment > power tool & air tool accessories > rotary tool accessories,rotary tool accessories
122838,home & garden > tools & workshop equipment > power tool & air tool accessories > saw blades > other saw blades,other saw blades
42266,home & garden > tools & workshop equipment > power tools > buffers & polishers,buffers & polishers
46413,home & garden > tools & workshop equipment > power tools > welding & soldering tools,welding & soldering tools
43616,home & garden > tools & workshop equipment > safety & protective gear > gloves & pads,gloves & pads
42362,"home & garden > tools & workshop equipment > tool boxes & storage > tool bags, belts & pouches","tool bags, belts & pouches"
33089,home & garden > tools & workshop equipment > tool boxes & storage > tool boxes,tool boxes
126393,home & garden > tools & workshop equipment > workshop equipment > flashlights & work lights,flashlights & work lights
85917,home & garden > tools & workshop equipment > workshop equipment > tie downs & straps,tie downs & straps
75669,"home & garden > yard, garden & outdoor living > garden clothing & protective gear > garden kneelers, cushions & seats","garden kneelers, cushions & seats"
139864,"home & garden > yard, garden & outdoor living > garden clothing & protective gear > gardening gloves & knee pads",gardening gloves & knee pads
118867,"home & garden > yard, garden & outdoor living > garden hand tools & equipment > garden tool sets",garden tool sets
3186,"home & garden > yard, garden & outdoor living > garden hand tools & equipment > other garden hand tools & equipment",other garden hand tools & equipment
139869,"home & garden > yard, garden & outdoor living > garden hand tools & equipment > saws",saws
178983,"home & garden > yard, garden & outdoor living > garden hand tools & equipment > shovels",shovels
122907,"home & garden > yard, garden & outdoor living > garden hand tools & equipment > trowels",trowels
180998,"home & garden > yard, garden & outdoor living > garden structures & shade > umbrellas",umbrellas
20725,"home & garden > yard, garden & outdoor living > outdoor heating, cooking & eating > barbecue tools",barbecue tools
159926,"home & garden > yard, garden & outdoor living > outdoor heating, cooking & eating > other heating, cooking & eating","other heating, cooking & eating"
183393,"home & garden > yard, garden & outdoor living > outdoor lighting > security & floodlights",security & floodlights
183394,"home & garden > yard, garden & outdoor living > outdoor lighting > string lights",string lights
85915,"home & garden > yard, garden & outdoor living > outdoor power equipment > chainsaw parts",chainsaw parts
181040,"home & garden > yard, garden & outdoor living > weed & pest control > insect & grub control > insect zappers",insect zappers
181042,"home & garden > yard, garden & outdoor living > weed & pest control > insect & grub control > swatters",swatters
261974,jewelry & watches > children's jewelry > bracelets & charms,bracelets & charms
67720,"jewelry & watches > jewelry care, design & repair > jewelry cleaners & polish",jewelry cleaners & polish
262020,"jewelry & watches > jewelry care, design & repair > jewelry tools & workbenches",jewelry tools & workbenches
494,"jewelry & watches > jewelry care, design & repair > other jewelry care, design & repair","other jewelry care, design & repair"
10324,"jewelry & watches > watches, parts & accessories > parts, tools & guides > parts > other watch parts",other watch parts
117039,"jewelry & watches > watches, parts & accessories > parts, tools & guides > tools & repair kits",tools & repair kits
260330,"jewelry & watches > watches, parts & accessories > watch accessories > boxes & cases",boxes & cases
31387,"jewelry & watches > watches, parts & accessories > watches > wristwatches",wristwatches
64602,musical instruments & gear > karaoke entertainment > karaoke systems,karaoke systems
178062,pet supplies > dog supplies > transport & travel > other transport & travel,other transport & travel
262378,"pottery & glass > decorative cookware, dinnerware & serveware > mugs",mugs
179793,"sporting goods > boxing, martial arts & mma > martial arts weapons > knives",knives
179791,"sporting goods > boxing, martial arts & mma > training equipment & supplies > other combat sport training",other combat sport training
87133,sporting goods > camping & hiking > camping cooking supplies > camping cooking utensils,camping cooking utensils
87141,sporting goods > camping & hiking > camping cooking supplies > camping cookware,camping cookware
181383,sporting goods > camping & hiking > camping cooking supplies > camping tableware,camping tableware
16038,sporting goods > camping & hiking > camping furniture,camping furniture
181398,sporting goods > camping & hiking > camping hygiene & sanitation > camping towels,camping towels
181397,sporting goods > camping & hiking > camping hygiene & sanitation > portable toilets,portable toilets
75234,sporting goods > camping & hiking > camping knives & tools > camping hatchets & axes,camping hatchets & axes
75235,sporting goods > camping & hiking > camping knives & tools > camping knives,camping knives
75237,sporting goods > camping & hiking > camping knives & tools > camping saws,camping saws
75233,sporting goods > camping & hiking > camping knives & tools > camping shovels,camping shovels
75236,sporting goods > camping & hiking > camping knives & tools > multi-tools,multi-tools
100237,sporting goods > camping & hiking > camping knives & tools > other camping knives & tools,other camping knives & tools
181390,sporting goods > camping & hiking > camping storage,camping storage
181362,sporting goods > camping & hiking > clothing > men's > socks,socks
27362,"sporting goods > camping & hiking > clothing > other camping, hiking clothing","other camping, hiking clothing"
16037,"sporting goods > camping & hiking > flashlights, lanterns & lights > flashlights",flashlights
159091,"sporting goods > camping & hiking > flashlights, lanterns & lights > glow sticks",glow sticks
106984,"sporting goods > camping & hiking > flashlights, lanterns & lights > headlamps",headlamps
168867,"sporting goods > camping & hiking > flashlights, lanterns & lights > lanterns",lanterns
159092,"sporting goods > camping & hiking > flashlights, lanterns & lights > other camping lights",other camping lights
181379,sporting goods > camping & hiking > hiking backpacks > backpacks,backpacks
87122,sporting goods > camping & hiking > hiking backpacks > daypacks,daypacks
87125,sporting goods > camping & hiking > hiking backpacks > hydration packs,hydration packs
36109,sporting goods > camping & hiking > hiking backpacks > other camping & hiking backpacks,other camping & hiking backpacks
181380,sporting goods > camping & hiking > hiking backpacks > waist packs & bags,waist packs & bags
52482,sporting goods > camping & hiking > hiking gear > gps & compasses,gps & compasses
27363,sporting goods > camping & hiking > hiking gear > other hiking gear,other hiking gear
8504,sporting goods > camping & hiking > other camping & hiking,other camping & hiking
36114,sporting goods > camping & hiking > outdoor sleeping gear > air mattresses & sleeping pads,air mattresses & sleeping pads
111261,"sporting goods > camping & hiking > outdoor sleeping gear > blankets, liners & pillows","blankets, liners & pillows"
16040,sporting goods > camping & hiking > outdoor sleeping gear > other outdoor sleeping gear,other outdoor sleeping gear
87100,sporting goods > camping & hiking > outdoor sleeping gear > sleeping bags,sleeping bags
181412,sporting goods > camping & hiking > outdoor survival gear > emergency blankets,emergency blankets
166126,sporting goods > camping & hiking > outdoor survival gear > fire starters,fire starters
65965,sporting goods > camping & hiking > outdoor survival gear > insect nets,insect nets
181415,sporting goods > camping & hiking > outdoor survival gear > other outdoor survival gear,other outdoor survival gear
181413,sporting goods > camping & hiking > outdoor survival gear > paracord & paracord supplies,paracord & paracord supplies
181414,sporting goods > camping & hiking > outdoor survival gear > safety whistles,safety whistles
179011,sporting goods > camping & hiking > tents & canopies > canopies & shelters,canopies & shelters
