"sku","parent.sku","name","character_walmart","modelnumber_walmart","pattern_walmart","theme_walmart","special_features_amazon","mpn_amazon","number_of_pieces_amazon","style_name_amazon","scale_name_amazon","light_source_type_amazon","outer_material_type_amazon","color_amazon","capacity_walmart","frame_material_type_amazon","recommendedroom_walmart","mounting_type_amazon","team_name_amazon","size","design_amazon","vehicletype_walmart","auto_part_position_amazon","sportvalue_walmart"
"26C-COOKTOOLS-PARENT","","Beille Spoons Spatula Kitchen Utensils Set High Heat Resistance Spoon Ladle Spatula","","","","","","","","","","","","","","","","","","","","","",""
"26C-GARDTOOLS-PARENT","","ToolTreaux Essential Gardening Tools and Cultivating Accessories (Many Options)","","","2 Tone","Gardening","","","","","","","","Green","","","","","","6.7""","","","",""
"4SN-2PCCUTTINGBOARDS-44015","","Beille Plastic Kitchen Cutting Board Set Textured Non-slip Surface, Set of 2","","","","Cooking, Kitchen","","","","","","","","","","","Kitchen","","","2pc","","","",""
"4SN-3PCCUTLERY-44031","","Beille 3pc Stainless Steel Kitchen Cutlery Knife Set Cutting Santoku Chef Knife","","","","Cooking, Kitchen","","","","","","","","Black","","","Kitchen","","","3pc","","","",""
"4SN-6PCKNIVES-50549","","Beille Stainless Steel Kitchen Cutlery Knife Set Carving Paring Utility 6 Piece","","","","Cooking, Kitchen","","","","","","","","Black","","","Kitchen","","","6pc","","","",""
"4SN-BAGSTICKER-TS4-BUN","","Toy Story 4 Kids Cinch Bag Travel Backpack with 4pc Sticker Sheet Bundle Set","Toy Story","","","","","","","","","","polyester","Toy Story","","","","","","18""","","","",""
"MCN-WILDERNESSTRAVELGUIDE","","Wilderness Travel Medicine Emergency Guide","","","","Outdoor, Camping, Hiking","","","","","","","","","","","","","","Medium","","","",""
"4SN-BLACKKNIFESET-4PC","","Beille 5 Piece Home Ergonomic Kitchen Knives Set, 5 Knife Essential Bundle","","","","","","","","","","","","Black","","","","","","13""","","","",""
"4SN-BLE-BLACKKNIFESET-5PC","","Beille Stainless Steel Black Knife Set Kitchen Utensils Home Goods, 5pc","","","","","","","","","","","","Black","","","","","","13\""","","","",""
"4SN-BLE-CHRMWBOTTLE-23OZ","","Beille Silver Chrome Borosilicate Glass BPA Free Water Bottle with Bamboo Lid Hydration Health and Beauty, 23oz","","","","","","","","","","","","Chrome","","","","","","23oz","","","",""
"4SN-BLE-KNIFESET-13PC","","Beille Kitchen Knife Set Cooking Baking Supplies Meal Prep with Wood Storage Block, 13pc","","","","","","","","","","","","","","","","","","13pc","","","",""
"4SN-BLE-UTENSILSET-PARENT","","Beille Kitchen Gadgets Cooking Baking Supplies Meal Prep Tool Set Pastel","","","","","","","","","","","","","","","","","","","","","",""
"4SN-BLE-WDNSPOONS-2PC-STD","","Beille Kitchen Bamboo Utensils Wooden Spoons Cooking Baking Accessories 2pc Set","","","","","","","4","","","","","Brown","","","","","","4pc","","","",""
"4SN-CALLUSREMOV-BLU-42121","","Home Essentials Manicure Pedicure Foot Scrubber Foot File Callus Remover - Blue","","","","","","","","","","","","","","","","","","8""","","","",""
"4SN-CALLUSREMOV-RED-42121","","Home Essentials Manicure Pedicure Foot Scrubber Foot File Callus Remover - Red","","","","","","","","","","","","","","","","","","8""","","","",""
"4SN-CHEESEGRATER-PNK-45498","4SN-CHEESEGRATER-PARENT","Beille 6 Side Stainless Steel Grater Top Handle Zester Slicer 7.75 Inch - Pink","","","","","","","","","","","","Pink","","","","","","8\\\""","","","",""
"4SN-CHRMWBOTTLE-23OZ","","ASR Outdoor Chrome Finish Leak Proof Glass Water Bottle 23oz with Bamboo Lid","","","","","","","","","","","","Chrome","","","","","","23oz","","","",""
"4SN-CINCHBAG-PARENT","","18 Inch Kids Licensed Cartoon Cinch Bag Travel Backpack Drawstring Tote","","","","","","","","","","","","","","","","","","18""","","","",""
"UPD-PLAYPACK-AVENGERS-1066524","","Marvel Avengers 6pc Grab and Go Play Pack Coloring Book for Boys Ages 3 and Up","","","","","","","","dimensional","","","","Avengers","","","","","","6pc","","","",""
"UPD-MICKPENCILS-8PC","","Disney Mickey Mouse Kids Colored Pencils Art and School Supplies Set 8 Pack","Mickey Mouse","","","dress up, pretend play","","","","","","","","Blue","","","bedroom, living room, dining room","","","Standard","","","",""
"4SN-CINCHBAG-YODA-2PC-BUN","","Baby Yoda 2pc Kids 18 Inch Cinch Bags Travel Backpacks Drawstring Totes Set","Baby Yoda","","","","","","","","","","polyester","Yoda","","","","","","2pc","","","",""
"4SN-COFFEEMUGS-54715-WARM","4SN-COFFEEMUGS-PARENT","Beille Ceramic Stoneware Modern Dipped Coffee Cups 3pc Set, Assorted Colors","","","Modern","Kitchen","","","3","","","","","Warm","","","","","","3pc","","","",""
"UPD-8PCERASR-69343MZ","","Marvel Spiderman 8pc Eraser Pack School Supplies Stocking Stuffer Boys Age 4 Up","Spiderman","","","Superheroes","","","","","","","","Spiderman","","","","","","8pc","","","",""
"UPD-MMFASHIONACC-4PC-PNK-MM2336","","Disney Minnie Mouse Headband and 3 Coil Bracelets, Girls Fashion Hair Accessories, 4pc, Pink, Ages 3+","","","","","","","","","","","","Pink","","","","","","Small","","","",""
"4SN-CUTLERYSET-13PC-44136-WAL-HPNR","","MasterChef 13-Piece Kitchen Knife Set w Wooden Storage Block Stainless Steel","","","","Cooking, Kitchen","","","","","","","","","","","Kitchen","","","13pc","","","",""
"4SN-DENTALFLOSS-12PK","","Fresh Mint Dental Floss for Teeth and Gum Oral Care Remove Food and Plaque 12pk","","","","","","","","","","","","","","","","","","Small","","","",""
"4SN-DENTALFLOSS-3PK","","Fresh Mint Dental Floss for Teeth and Gum Oral Care Remove Food and Plaque 3pk","","","","","","","","","","","","","","","","","","Small","","","",""
"4SN-DOVEHANDSOAP-PARENT","","Dove Deep Moisturizing Cream Beauty Bar Hand Soap Facial or Body, 4oz","","","","","","","","","","","","","","","","","","","","","",""
"4SN-DOVEHANDSOAP-PNK-WAL-NOVAR","","Dove Pink Deep Moisturizing Cream Beauty Bar Hand Soap Facial or Body 4oz","","","","Personal Hygiene, Cleaning, Soap","","","","","","","","","","","Bathroom, Kitchen","","","4oz","","","",""
"4SN-DOVESHAMPOO-FRZ-38046","","Dove Hair Care Shampoo Anti Frizz Formula with Coconut Oil Argan Oil Almond Oil","","","","personal care, hair care, toiletries, beauty supplies, shower essentials","","","","","","","","","","","Bathroom, Kitchen","","","12oz","","","",""
"4SN-DOVESHAMPOO-KNT-38044","","Dove Hair Care Anti Knot Hydration Formula Shampoo 350mL 12 Ounce Bottle","","","","personal care, hair care, toiletries, beauty supplies, shower essentials","","","","","","","","","","","Bathroom, Kitchen","","","12oz","","","",""
"4SN-DOVESHAMPOO-MIC-38043","","Dove Detox Purifying Micellar Hair Care Formula Shampoo 12 Ounce 350mL Bottle","","","","personal care, hair care, toiletries, beauty supplies, shower essentials","","","","","","","","gray","","","Bathroom, Kitchen","","","12oz","","","",""
"4SN-DOVESHAMPOO-REC-38047","","Dove Hair Care Complete Reconstruction Anti Breakage Hair Repair Formula Shampoo","","","","personal care, hair care, toiletries, beauty supplies, shower essentials","","","","","","","","gray","","","Bathroom, Kitchen","","","12oz","","","",""
"4SN-DOVE-SHEABUTTERBAR-5PK-18007-BUN","","5 Pack Dove Shea Butter Beauty Cream Moisturizing Bar Soap with Vanilla 4.75oz","","","","","","","","","","","","","","","","","","3.75oz","","","",""
"4SN-FACECREAM-6OZ","","Bella Linda Skin Care Face Moisturizer Cream Lotion for Hydration 6.5oz","","","","","","","","","","","","","","","","","","6.5oz","","","",""
"4SN-FACECREAM-6OZ-2PK","","2pk Bella Linda Skin Care Face Moisturizer Cream Lotion for Hydration 6.5oz","","","","","","","","","","","","","","","","","","6.5oz","","","",""
"4SN-FACECREAM-6OZ-3PK","","3pk Bella Linda Skin Care Face Moisturizer Cream Lotion for Hydration 6.5oz","","","","","","","","","","","","Multicolor","","","","","","6.5oz","","","",""
"4SN-FLEXCUTTINGMAT-PINK","","Universal Home Non-slip Flexible Cutting Mat Food Contact Dishwasher Safe - Pink","","","","","","","","","","","","Pink","","","","","","13.25"" x 9.5""","","","",""
"4SN-GARDENTOOLS-PARENT","","ToolTreaux Wooden Steel Handheld Garden Tools Rake Shovel Hoe 3 Pieces","","","","","","","","","","","","","","","","","","","","","",""
"4SN-LSPEEDSTICK-PARENT","","Lady Speed Stick Womens Invisible Dry Deodorant Antiperspirant (3 Scent Choices)","","","","","","","","","","","","","","","","","","","","","",""
"4SN-LSPEEDSTICK-PDF-10PK","","10pk Lady Speed Stick Womens Invisible Dry Deodorant Antiperspirant Powder Fresh","","","","personal hygiene, gym, deodorant","","","","","","","","Powder Fresh","","","Bathroom, Locker Room, Gym","","","10 Pack","","","","basketball, soccer, softball"
