"sku","parent.sku","name","brand_ebay","color","country_of_origin","type","model","features_ebay","theme","pattern","shape","prop65_warn_type","suitable_for","warranty","department_ebay","material","height","length","package_includes","number_of_pieces","weight","width","mpn","mpn_ebay"
"HNR-HHCSBACBC-BUN-2PC-LG-BLCK-BNDL","","Heininger HitchMate Cargo Stabilizer Bar and Cargo Bag Combo","HitchMate","Black","Taiwan","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Steel","4","60","(1) Heininger HitchMate Cargo Stabilizer Bar (Large)
(1) Heininger HitchMate Cargo Bag","","10","5","4021A4016",""
"LST-SPACEBATTLE-DINOGUN-KPKO","","Kidplokio 3 in 1 Transforming Dinosaur Toy Space Blaster with Lights Sounds, Red, Boys Ages 3+","","Red","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","4","17","(1) Transforming Dinosaur Space Blaster Toy(1) Screwdriver","1","2","10","KPKO-661DB",""
"NPT-ASRT-3PCTHROWSETSHARK-BLK","","ASR Tactical 3pc Stainless Steel Shark Full Tang Throwing Knives Set","","Black","","","","Stainless Steel","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Stainless Stell","0.13","6.5","(3) Throwing Knives","","0.35","1.5","KB21BAWT",""
"NPT-FLGKNIFE-HWT257A","","ASR Tactical Double Edge Full Tang Spear Point Blade Hook Handle Sheath - Flag","","Flag","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Stainless Steel","0.5","8.25","(1) ASR Tactical Knife with Sheath","","0.25","2","HWT257A",""
"SON-FLOATWHISTLE-PARENT","","ASR Outdoor Floating Survival Signal Whistle, Loudest Safety Emergency Alert (Pack Sizes)","","Orange","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","","","","","","","",""
"UPD-TS4LAPDESK-SET","","Disney Pixar Toy Story 4 Art Lapdesk Paint Color Design Stickers Travel Activity Book Stationery Set for Kids","Toy Story","Blue","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","1","7","(1) Activity Book(1) Lapdesk Clipboard(12) Stickers(5) Markers(1) Paint Brush(6) Watercolors","","1.1","13.5","TS4LAPDESK",""
"MCN-BOOT-BUNDLE-2PC","","Aquaseal SR + 4oz Rubber Boot Cleaner","","","","","","","","","","","","","","","","","","","","","GABCBUN2PC",""
"SON-MINPOCKKNV-LOGO-GRN","","ASR Outdoor Small EDC Mini Pocket Knife - ASR Logo Green","ASR Outdoor","Green","China","","","","Small Pocket Knife","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Metal","0.25","2.25","(1) ASR Outdoor Mini Pocket Knife","","0.05","0.5","ASROPK-GRN","ASR61PKN"
"DOY-ASRO-GEMSTONEPAYDIRT-5LB-PARENT","","ASR Outdoor 5lb Rough Gemstone Paydirt Bag Gold Panning Kit (4 Styles)","","Multicolor","","","","Genuine Gemstones from Madagascar","","","","About California Proposition 65 Proposition 65, officially the Safe Drinking Water and Toxic Enforcement Act of 1986, is a law that requires warnings be provided to California consumers when they might be exposed to chemicals identified by California as causing cancer or reproductive toxicity. The warnings are intended to help california consumers make informed decisions about their exposures to these chemicals from the products they use. The California Office of Environmental Health Hazard Assessment (OEHHA) administers the Proposition 65 program and publishes the listed chemicals, which includes more that 850 chemicals. In August 2016, OEHHA adopted new regulations, effective on August 30, 2018, which change the information required in Proposition 65 warnings. This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Gemstones","4","10","(1) 5lb Gemstone Paydirt Bag","","5","6","",""
"4SN-BLE-JUMBOBAGCLIP-2PK-STD","","Beille 6 Inch Jumbo Stainless Steel Magnetic Bag Clip, Kitchen Clips for Chips Coffee Snacks Pet Food, Pantry Organizers and Storage (2pk)","","","","","","","","","","","","","","","1.5","6","","","0.2","3","BLE-H39FHW51",""
