"sku","parent.sku","name","character_ebay","handle_material_ebay","age_group","style_ebay","blade_edge_type_amazon","recommended_age_range","voltage_ebay","dexterity_walmart","power_source","blade_length_ebay","care_instructions_amazon","occasion","capacity","blade_material_ebay","ingredients_amazon","battery_technology_ebay","fill_material_type_amazon","sport_type_amazon","fragrance","fabric_type_amazon","formulation","frame_material"
"HNR-HHCSBACBC-BUN-2PC-LG-BLCK-BNDL","","Heininger HitchMate Cargo Stabilizer Bar and Cargo Bag Combo","","","Adult","","","","","","","","","","","","","","","","","","",""
"LST-SPACEBATTLE-DINOGUN-KPKO","","Kidplokio 3 in 1 Transforming Dinosaur Toy Space Blaster with Lights Sounds, Red, Boys Ages 3+","","","Child","","","","","","","","","Christmas","","","","","","","","","",""
"NPT-ASRT-3PCTHROWSETSHARK-BLK","","ASR Tactical 3pc Stainless Steel Shark Full Tang Throwing Knives Set","","","Adult","","asymmetrical","","","","","","","","","","","","","","","","",""
"NPT-FLGKNIFE-HWT257A","","ASR Tactical Double Edge Full Tang Spear Point Blade Hook Handle Sheath - Flag","","","Adult","","","","","","","","","","","","","","","","","","",""
"SON-FLOATWHISTLE-PARENT","","ASR Outdoor Floating Survival Signal Whistle, Loudest Safety Emergency Alert (Pack Sizes)","","","Adult","","","","","","","","","","","","","","","","","","",""
"UPD-TS4LAPDESK-SET","","Disney Pixar Toy Story 4 Art Lapdesk Paint Color Design Stickers Travel Activity Book Stationery Set for Kids","","","Child","","","","","","","","","","","","","","","","","","",""
"MCN-BOOT-BUNDLE-2PC","","Aquaseal SR + 4oz Rubber Boot Cleaner","","","","","","","","","","","","","","","","","","","","","",""
"SON-MINPOCKKNV-LOGO-GRN","","ASR Outdoor Small EDC Mini Pocket Knife - ASR Logo Green","","","Adult","","","","","","","","","","","","","","","","","","",""
"DOY-ASRO-GEMSTONEPAYDIRT-5LB-PARENT","","ASR Outdoor 5lb Rough Gemstone Paydirt Bag Gold Panning Kit (4 Styles)","","","","","","","","","","","","","","","","","","","","","",""
"4SN-BLE-JUMBOBAGCLIP-2PK-STD","","Beille 6 Inch Jumbo Stainless Steel Magnetic Bag Clip, Kitchen Clips for Chips Coffee Snacks Pet Food, Pantry Organizers and Storage (2pk)","","","","","","","","","","","","","","","","","","","","","",""
