"sku","parent.sku","name","season","tang_ebay","room","closure_amazon","head_material_type_amazon","hair_type_amazon","size_ebay","skin_type_amazon","blade_type_ebay","compatible_devices_amazon","blade_color_ebay","gender","battery_included_ebay","gun_type_ebay","finish_type_amazon","coarseness","cut","for_gun_make","compatible_model","form","thickness","size_type"
"HNR-HHCSBACBC-BUN-2PC-LG-BLCK-BNDL","","Heininger HitchMate Cargo Stabilizer Bar and Cargo Bag Combo","","","","","","","","","","","","","","","","","","","","","",""
"LST-SPACEBATTLE-DINOGUN-KPKO","","Kidplokio 3 in 1 Transforming Dinosaur Toy Space Blaster with Lights Sounds, Red, Boys Ages 3+","","","","","","","","","","","","male","","","","","","","","","",""
"NPT-ASRT-3PCTHROWSETSHARK-BLK","","ASR Tactical 3pc Stainless Steel Shark Full Tang Throwing Knives Set","","","","","","","Small","","","","","unisex","","","","","","","","","",""
"NPT-FLGKNIFE-HWT257A","","ASR Tactical Double Edge Full Tang Spear Point Blade Hook Handle Sheath - Flag","","","","","","","","","","","","unisex","","","","","","","","","",""
"SON-FLOATWHISTLE-PARENT","","ASR Outdoor Floating Survival Signal Whistle, Loudest Safety Emergency Alert (Pack Sizes)","","","","","","","","","","","","","","","","","","","","","",""
"UPD-TS4LAPDESK-SET","","Disney Pixar Toy Story 4 Art Lapdesk Paint Color Design Stickers Travel Activity Book Stationery Set for Kids","","","","","","","","","","","","unisex","","","","","","","","","",""
"MCN-BOOT-BUNDLE-2PC","","Aquaseal SR + 4oz Rubber Boot Cleaner","","","","","","","","","","","","","","","","","","","","","",""
"SON-MINPOCKKNV-LOGO-GRN","","ASR Outdoor Small EDC Mini Pocket Knife - ASR Logo Green","","","","","","","","","","","","unisex","","","","","","","","","",""
"DOY-ASRO-GEMSTONEPAYDIRT-5LB-PARENT","","ASR Outdoor 5lb Rough Gemstone Paydirt Bag Gold Panning Kit (4 Styles)","","","","","","","","","","","","unisex","","","","","","","","","",""
"4SN-BLE-JUMBOBAGCLIP-2PK-STD","","Beille 6 Inch Jumbo Stainless Steel Magnetic Bag Clip, Kitchen Clips for Chips Coffee Snacks Pet Food, Pantry Organizers and Storage (2pk)","","","","","","","","","","","","","","","","","","","","","",""
