"sku","parent.sku","name","number_of_items_amazon","character","character_amazon","theme_amazon","theme_walmart","recommendeduse_walmart","type_of_tool","model_name_amazon","handle_material_amazon","pattern_name_amazon","item_shape_amazon","shape_walmart","style","style_amazon","age_range_description_amazon","voltage_amazon","power_source_type_amazon","occasion_type_amazon","occasion_walmart","fabriccareinstruction_walmart","capacity_amazon","blade_material_type_amazon"
"HNR-HHCSBACBC-BUN-2PC-LG-BLCK-BNDL","","Heininger HitchMate Cargo Stabilizer Bar and Cargo Bag Combo","","","","","","transport, storage, cargo, automotive, trucks","","","","","","","","","Adult","","","","","","",""
"LST-SPACEBATTLE-DINOGUN-KPKO","","Kidplokio 3 in 1 Transforming Dinosaur Toy Space Blaster with Lights Sounds, Red, Boys Ages 3+","","Dinosaur","Dinosaur","","","","","","","","","","","","Kid","","","","","","",""
"NPT-ASRT-3PCTHROWSETSHARK-BLK","","ASR Tactical 3pc Stainless Steel Shark Full Tang Throwing Knives Set","","","","","","","","","stainless steel","","","Knife","","","adult","","","","","","","stainless steel"
"NPT-FLGKNIFE-HWT257A","","ASR Tactical Double Edge Full Tang Spear Point Blade Hook Handle Sheath - Flag","","","","","","","","","","","","","","","Adult","","","","","","",""
"SON-FLOATWHISTLE-PARENT","","ASR Outdoor Floating Survival Signal Whistle, Loudest Safety Emergency Alert (Pack Sizes)","","","","","","","","","","","","","","","Adult","","","","","","",""
"UPD-TS4LAPDESK-SET","","Disney Pixar Toy Story 4 Art Lapdesk Paint Color Design Stickers Travel Activity Book Stationery Set for Kids","","","","","dress up, pretend play","art, creativity, gifts for kids, painting, coloring","","","","","","","","","Kid","","","","","","",""
"MCN-BOOT-BUNDLE-2PC","","Aquaseal SR + 4oz Rubber Boot Cleaner","","","","","","","","","","","","","","","","","","","","","",""
"SON-MINPOCKKNV-LOGO-GRN","","ASR Outdoor Small EDC Mini Pocket Knife - ASR Logo Green","","","","","","camping, hiking, survival, every day carry, travel","","","","","","","","","Adult","","","","","","",""
"DOY-ASRO-GEMSTONEPAYDIRT-5LB-PARENT","","ASR Outdoor 5lb Rough Gemstone Paydirt Bag Gold Panning Kit (4 Styles)","","","","science","","","","","","","","None","","","Adult","","","","","","",""
"4SN-BLE-JUMBOBAGCLIP-2PK-STD","","Beille 6 Inch Jumbo Stainless Steel Magnetic Bag Clip, Kitchen Clips for Chips Coffee Snacks Pet Food, Pantry Organizers and Storage (2pk)","","","","","","","","","","","","","","","","","","","","","",""
