"sku","parent.sku","name","charactervalue_walmart","variation_model","themevalue_walmart","patternvalue_walmart","material_features_amazon","mpn_walmart","numberofpieces_walmart","style_keywords_amazon","number_of_light_sources_amazon","color_name_amazon","sportsglobalsportsteam_newegg","backpack_design_amazon","vehicle_form_amazon","placement_on_vehicle","system_of_measurement","display_type_amazon","watch_movement_type_amazon","animal_type_walmart","closure_type_amazon","blade_color_amazon","material_type_amazon","surface_finish"
"HNR-HHCSBACBC-BUN-2PC-LG-BLCK-BNDL","","Heininger HitchMate Cargo Stabilizer Bar and Cargo Bag Combo","","","","","","","","","","","","","","","","","","","","","",""
"LST-SPACEBATTLE-DINOGUN-KPKO","","Kidplokio 3 in 1 Transforming Dinosaur Toy Space Blaster with Lights Sounds, Red, Boys Ages 3+","","","","","","","","","","","","","","","","","","","","","",""
"NPT-ASRT-3PCTHROWSETSHARK-BLK","","ASR Tactical 3pc Stainless Steel Shark Full Tang Throwing Knives Set","","","","","","","","","","","","","","","","","","","","","",""
"NPT-FLGKNIFE-HWT257A","","ASR Tactical Double Edge Full Tang Spear Point Blade Hook Handle Sheath - Flag","","","","","","","","","","","","","","","","","","","","","",""
"SON-FLOATWHISTLE-PARENT","","ASR Outdoor Floating Survival Signal Whistle, Loudest Safety Emergency Alert (Pack Sizes)","","","","","","","","","","","","","","","","","","","","","",""
"UPD-TS4LAPDESK-SET","","Disney Pixar Toy Story 4 Art Lapdesk Paint Color Design Stickers Travel Activity Book Stationery Set for Kids","","","","","","","","","","","","","","","","","","","","","",""
"MCN-BOOT-BUNDLE-2PC","","Aquaseal SR + 4oz Rubber Boot Cleaner","","","","","","","","","","","","","","","","","","","","","",""
"SON-MINPOCKKNV-LOGO-GRN","","ASR Outdoor Small EDC Mini Pocket Knife - ASR Logo Green","","","","","","","","","","","","","","","","","","","","","",""
"DOY-ASRO-GEMSTONEPAYDIRT-5LB-PARENT","","ASR Outdoor 5lb Rough Gemstone Paydirt Bag Gold Panning Kit (4 Styles)","","","","","","ASRO5LBRGKM","","","","","","","","","","","","","","","",""
"4SN-BLE-JUMBOBAGCLIP-2PK-STD","","Beille 6 Inch Jumbo Stainless Steel Magnetic Bag Clip, Kitchen Clips for Chips Coffee Snacks Pet Food, Pantry Organizers and Storage (2pk)","","","","","","","","","","","","","","","","","","","","","",""
