item_id	sku	aspect	final_value_fixed
126415790575	ASR-WDACS-BUN-3PC-MED-BNDL	Blade Length	Over 5in.
126421703850	SON-NECKKNIFE-BLU	Blade Length	3.5 - 4in.
126428136149	NPT-DROPPOINTKNIFE-PARENT	Blade Length	3.5 - 4in.
127389838860	NPT-ASRO-2IN1PARASHARKKNIFE-BLK	Blade Length	2 - 3in.
127389838901	SON-155BSSMRWZSS-155E-BLCK-EBAY	Blade Length	Over 5in.
127389838917	DOY-WILD-ANIMAL-DAGGER-SET-BNDLE	Blade Length	Over 5in.
127389857829	NPT-BEARKNIFE-BLACK	Blade Length	Over 5in.
127389969220	ASR-EDACS-BUN-3PC-MED-BNDL	Blade Length	Over 5in.
235436886860	SON-AO6ITWBNKFB-6E-BLCK	Blade Length	3 - 3.49in.
235480965677	SON-FFKWSAFH6I-2PC-6	Blade Length	3 - 3.49in.
235480965695	NPT-ANIMALHUNTINGKNIFE-PARENT	Blade Length	Over 5in.
235523607549	NPT-HUNTKNF-AMWOLF-PARENT	Blade Length	Over 5in.
235540665153	UPD-HELI-IRBALL-SW-PARENT	Blade Length	<200mm
235571605042	NPT-BLKTHROWKNIVES-3PC-A1030-3-B	Blade Length	2 - 3in.
235578359942	NPT-STK440SS-3PC-6-SLVR	Blade Length	2 - 3in.
236015325652	SON-ASRO-FINGERHOLEKNIFE-STD	Blade Length	3 - 3.49in.
236153746008	NPT-BLKKNIFE-HWT268BK	Blade Length	3.5 - 4in.
236344962452	NPT-65THROWINGKNIVES-EAG	Blade Length	2 - 3in.
236345031412	NPT-DRAGONKNIVES-6PC	Blade Length	Less than 2in.
236345031424	ASR-EDACS-BUN-3PC-MED-BNDL	Blade Length	Over 5in.
236345031486	NPT-HUNTKNF-AMEAG-PARENT	Blade Length	Over 5in.
236345056379	NPT-DEERKNIFE-BLACK	Blade Length	Over 5in.
236345056402	NPT-10INDAMASKNF-PAERENT	Blade Length	4.1 - 5in.
236345069177	SON-ASRO-MINICLIPOINTBLADEKNIFE-PARENT	Blade Length	3 - 3.49in.
236345137178	NPT-11INHUNTINGKNIFE-BK	Blade Length	Over 5in.
236345137186	NPT-EAGLEKNIFE-BLACK	Blade Length	Over 5in.
236345137192	NPT-ASTKUNAI-6PC	Blade Length	3.5 - 4in.
236679296423	NPT-KUNAIKNIVES-PARENT	Blade Length	Over 5in.
363267267278	NPT-JACKRIPPERTHROWINGKNIVES-6PC-EBAY	Blade Length	3 - 3.49in.
364835511265	NPT-135CKWAEFSAH-135-2	Blade Length	Over 5in.
365242110528	SON-7INFISHINGKNIFE-BLK-PK-FISH-7SH	Blade Length	Over 5in.
365443968263	SON-ASRO-SSRECURVEHUNTINGKNIFE-STD	Blade Length	4.1 - 5in.
365879832362	NPT-11INHUNTINGKNIFE-GA	Blade Length	Over 5in.
365879907995	NPT-ANIMALHANDLEDAGGER-PARENT-2	Blade Length	Over 5in.
365879935321	NPT-11INHUNTINGKNIFE-RW	Blade Length	Over 5in.
365879950558	SON-AO155IMWSAH-155-BLCK-2	Blade Length	Over 5in.
365880042761	NPT-6TOPWMNCKSNG-2PC-6-GRN	Blade Length	2 - 3in.
127174728310	SHM-HDTIPFAO-STD-SLVR	Blade Length	9.25 in
127389857811	HWK-ATESB-144PC	Blade Length	13.5 in
127389857817	SON-MINPOCKKNV-KC7223-ASRLOGO	Blade Length	1.25 in
127389857870	SON-FOLDPOCKKNF-PARENT	Blade Length	1.25 in
127389878191	SON-MINPOCKKNV-KC7223-PU	Blade Length	1.25 in
127389932553	NPT-POCKKNFBLK-PBK241CH	Blade Length	3.25 in
127389932567	4SN-BLACKKNIFESET-5PC-BEILLE	Blade Length	8 in
127389932587	SON-AOTFSSMFOU23I-23-BLCK	Blade Length	9 in
235550290140	4SN-CUTLERYSET-13PC-44136-WAL-HPNR	Blade Length	8 in
235555762740	SON-13IPOCSCHS-3PC-13-SLVR	Blade Length	13.75 in
236344962437	NPT-ASRO-9IN1SURVIVALKNIFE-BLK	Blade Length	3.5 in
236345031408	SON-FOLDING-SHOVEL-87950MS	Blade Length	7 in
236345069173	NPT-POCKETKNIFE-BLK	Blade Length	5 in
236345137146	NPT-G11IFTHK-2PC	Blade Length	4.1 - 5 in.
236345137148	SON-SNOW-SHOVEL-8797FSS	Blade Length	18 in
236345137189	4SN-BLE-BLACKKNIFESET-5PC	Blade Length	8 in
236345146196	SON-MINPOCKKNV-PARENT	Blade Length	1.25 in
236345146200	SON-WIRE-SAW-CS005-IR-TT	Blade Length	24 in
236770623835	SON-BLE-BREAKAWAYSCISSORS-GREY-STD	Blade Length	8 in
364621086079	SON-AO20GPP	Blade Length	3.25 in
365879832367	SON-13IPOCSCHS-3PC-13-SLVR-6PK	Blade Length	13.75 in
365879832379	4SN-3PCCUTLERY-44031	Blade Length	7 in
365879832386	SON-MINPOCKKNV-LOGO-BLUE	Blade Length	1.5 in
365879907956	SON-CREDITCARDSURVIVALTOOL-PARENT	Blade Length	1.5 in
365879907980	SON-875ISSMFT-2PC-6X4X1	Blade Length	3 in
365879950555	NPT-BKCAHBSWCC-2PC-H-BLCK	Blade Length	4 in
365879996354	NPT-POCKKNFBLK-PBK241BK	Blade Length	3.25 in
365879996377	SON-HPS-105-RD	Blade Length	5 in
365879996382	SON-HAWKBILLKNIFE-DCNV	Blade Length	2 - 3 in.
365879996401	4SN-BLACKKNIFESET-4PC	Blade Length	8 in
365879996433	NPT-AOFTSATWWH-11-BLCK	Blade Length	3.5 in
365880042741	NPT-HDCAHWSB-2PC-STD-BLCK	Blade Length	3.5 in
365880042756	SON-MINPOCKKNV-LOGO-GRN	Blade Length	1.75 in
366225490792	SON-8INPREMIUMSHEARS-BLACK-IR-TT	Blade Length	4 in
