item_id,sku,aspect,contaminated_approved_value,reverted_to_ethans_raw_value
126386406454,TWL-TECHNORA-400LBS-BLCK-100-FT,Size,100 ft,100ft
126386406454,TWL-TECHNORA-400LBS-BLCK-1000-FT,Size,1000 ft,1000ft
126386406454,TWL-TECHNORA-400LBS-BLCK-25-FT,Size,25 ft,25ft
126386406454,TWL-TECHNORA-400LBS-BLCK-50-FT,Size,50 ft,50ft
126386406454,TWL-TECHNORA-400LBS-BLCK-500-FT-RDX,Size,500 ft,500ft
126450542814,UPD-CHRBP-AVG-SIAVB,Size,15 in,15 Inch
126450542814,UPD-CHRBP-BBY-STAY,Size,15 in,15 Inch
126450542814,UPD-CHRBP-HK-ABYI,Size,11 in,11 Inch
126450542814,UPD-CHRBP-MIC-KMAC,Size,15 in,15 Inch
126450542814,UPD-CHRBP-MIN-PLMI,Size,11 in,11 Inch
126495661368,DOY-CERAMIC-WHT-10PK-18MM-TT,Size,18 mm,18mm
126495661368,DOY-CERAMIC-WHT-10PK-9MM-TT,Size,9 mm,9mm
127088986267,SON-ASRO-BUCKETCLASSIFER-7PC-BUN,Size,1/4 in,"1/4"""
127088986267,SON-ASRO-BUCKETCLASSIFER-7PC-BUN-12,Size,1/2 in,"1/2"""
127088986267,SON-ASRO-BUCKETCLASSIFER-7PC-BUN-120,Size,1/20 in,"1/20"""
127088986267,SON-ASRO-BUCKETCLASSIFER-7PC-BUN-18,Size,1/8 in,"1/8"""
127196591598,SON-ASRO-11INPLASTICSTAKES-ORG-10PK-BUN,Length,11 in,11 Inch
127196591598,SON-ASRO-11INPLASTICSTAKES-ORG-20PK-BUN,Length,11 in,11 Inch
127196591598,SON-ASRO-11INPLASTICSTAKES-ORG-4PK-BUN,Length,11 in,11 Inch
127196591598,SON-ASRO-11INPLASTICSTAKES-ORG-6PK-BUN,Length,11 in,11 Inch
127196591598,SON-ASRO-11INPLASTICSTAKES-ORG-8PK-BUN,Length,11 in,11 Inch
127196591598,SON-ASRO-16INPLASTICSTAKES-ORG-10PK-BUN,Length,16 in,16 Inch
127196591598,SON-ASRO-16INPLASTICSTAKES-ORG-20PK-BUN,Length,16 in,16 Inch
127196591598,SON-ASRO-16INPLASTICSTAKES-ORG-4PK-BUN,Length,16 in,16 Inch
127196591598,SON-ASRO-16INPLASTICSTAKES-ORG-6PK-BUN,Length,16 in,16 Inch
127196591598,SON-ASRO-16INPLASTICSTAKES-ORG-8PK-BUN,Length,16 in,16 Inch
127264606664,4SN-STAIN-REMOVER-16OZ-2PK-BUN,Size,16 oz,16oz
127264606664,4SN-STAIN-REMOVER-16OZ-BUN,Size,16 oz,16oz
127264606664,4SN-STAIN-REMOVER-22OZ,Size,22 oz,22oz
127264606664,4SN-STAIN-REMOVER-GAL,Size,1 gal,1 Gallon
127389838864,HAWK-SLFHEALMAT-BL,Size,5 in x 9 in,"5"" x 9"""
127389838864,HAWK-SLFHEALMAT-BL-12,Size,9 in x 12 in,"9"" x 12"""
127389838864,HAWK-SLFHEALMAT-GR,Size,5 in x 9 in,"5"" x 9"""
127389838864,HAWK-SLFHEALMAT-GR-12,Size,9 in x 12 in,"9"" x 12"""
127389878144,SON-CHSAW-SHARPENBURR-316-IR-TT,Size,3/16 in,"3/16"""
127389878144,SON-CHSAW-SHARPENBURR-34-IR-TT,Size,5/32 in,"5/32"""
127389878144,SON-CHSAW-SHARPENBURR-732-IR-TT,Size,7/32 in,"7/32"""
127389878171,HWK-TAILORSSCISSORS-12IN-V,Size,12 in,12 inch
127389878171,HWK-TAILORSSCISSORS-8IN-V,Size,8 in,8 inch
127389878171,SON-TAILORSSCISSORS-10IN-IR-TT,Size,10 in,10 inch
127389878175,SON-ASRO-6OZFLASKFUNNEL-BUN,Size,6 oz,6oz
127389878175,SON-ASRO-8OZFLASKFUNNEL-BUN,Size,8 oz,8oz
127389878201,DOY-NORALACE-BLACK-1200-3FT,Size,36 in (4-5 Eyelets),"36"" (4-5 Eyelets)"
127389878201,DOY-NORALACE-BLACK-1200-4FT,Size,48 in (6-7 Eyelets),"48"" (6-7 Eyelets)"
127389878201,DOY-NORALACE-BLACK-1200-5FT,Size,60 in (7-8 Eyelets),"60"" (7-8 Eyelets)"
127389878201,DOY-NORALACE-BLACK-1200-6FT,Size,72 in (8-9 Eyelets),"72"" (8-9 Eyelets)"
127389878201,DOY-NORALACE-BLACK-1200-7FT,Size,84 in (9-10 Eyelets),"84"" (9-10 Eyelets)"
127389878201,DOY-NORALACE-BLACK-1200-8FT,Size,96 in (10-11 Eyelets),"96"" (10-11 Eyelets)"
127389878201,DOY-NORALACE-BLACK-1200-9FT,Size,108 in (11-12 Eyelets),"108"" (11-12 Eyelets)"
127389878201,DOY-NORALACE-TAN-1200-3FT,Size,36 in (4-5 Eyelets),"36"" (4-5 Eyelets)"
127389878201,DOY-NORALACE-TAN-1200-4FT,Size,48 in (6-7 Eyelets),"48"" (6-7 Eyelets)"
127389878201,DOY-NORALACE-TAN-1200-5FT,Size,60 in (7-8 Eyelets),"60"" (7-8 Eyelets)"
127389878201,DOY-NORALACE-TAN-1200-6FT,Size,72 in (8-9 Eyelets),"72"" (8-9 Eyelets)"
127389878201,DOY-NORALACE-TAN-1200-7FT,Size,84 in (9-10 Eyelets),"84"" (9-10 Eyelets)"
127389878201,DOY-NORALACE-TAN-1200-8FT,Size,96 in (10-11 Eyelets),"96"" (10-11 Eyelets)"
127389878201,DOY-NORALACE-TAN-1200-9FT,Size,108 in (11-12 Eyelets),"108"" (11-12 Eyelets)"
127389946577,ASRO-TECHNORA-950-ROPE-NATURAL-100FT,Item Weight,0.24 lb,0.2400
127389946577,ASRO-TECHNORA-950-ROPE-NATURAL-100FT,Size,100 ft,100ft
127389946577,ASRO-TECHNORA-950-ROPE-NATURAL-200FT,Item Weight,0.5 lb,0.5000
127389946577,ASRO-TECHNORA-950-ROPE-NATURAL-200FT,Size,200 ft,200ft
127389946577,ASRO-TECHNORA-950-ROPE-NATURAL-25FT,Item Weight,0.06 lb,0.0600
127389946577,ASRO-TECHNORA-950-ROPE-NATURAL-25FT,Size,25 ft,25ft
127389946577,ASRO-TECHNORA-950-ROPE-NATURAL-500FT,Item Weight,0.7 lb,0.7000
127389946577,ASRO-TECHNORA-950-ROPE-NATURAL-500FT,Size,500 ft,500ft
127389946577,ASRO-TECHNORA-950-ROPE-NATURAL-50FT,Item Weight,0.12 lb,0.1200
127389946577,ASRO-TECHNORA-950-ROPE-NATURAL-50FT,Size,50 ft,50ft
235054823492,ASR-AOSBPRBS500FT-BUN-500PK-500F-BLCK,Size,500 ft,500 feet
235054823492,ASR-AOSOGPRBS500FT-BUN-500PK-500F-OLVDRB,Size,500 ft,500 feet
235054823492,SON-550LBSSSPRRO100FT-100FT-ORNG,Size,100 ft,100 feet
235054823492,SON-AOSPRB100F-100F-BLCK,Size,100 ft,100 feet
235054823492,SON-AOSPRFC100FT-100FT-GRN,Size,100 ft,100 feet
235054823492,SON-AOSPROG100F-100F-ODGRN,Size,100 ft,100 feet
235397488898,PLC-550-BLACK-45IN,Size,45 in,45 inches
235397488898,PLC-550-BLACK-54IN,Size,54 in,54 inches
235397488898,PLC-550-BLACK-60IN,Size,60 in,60 inches
235397488898,PLC-550-BLACK-72IN,Size,72 in,72 inches
235397488898,PLC-550-BLACK-81IN,Size,81 in,81 inches
235397488898,PLC-550-BROWN-45IN,Size,45 in,45 inches
235397488898,PLC-550-BROWN-54IN,Size,54 in,54 inches
235397488898,PLC-550-BROWN-60IN,Size,60 in,60 inches
235397488898,PLC-550-BROWN-72IN,Size,72 in,72 inches
235397488898,PLC-550-BROWN-81IN,Size,81 in,81 inches
235397488898,PLC-550-ODGREEN-45IN,Size,45 in,45 inches
235397488898,PLC-550-ODGREEN-54IN,Size,54 in,54 inches
235397488898,PLC-550-ODGREEN-60IN,Size,60 in,60 inches
235397488898,PLC-550-ODGREEN-72IN,Size,72 in,72 inches
235397488898,PLC-550-ODGREEN-81IN,Size,81 in,81 inches
235397488898,PLC-550-TAN-45IN,Size,45 in,45 inches
235397488898,PLC-550-TAN-54IN,Size,54 in,54 inches
235397488898,PLC-550-TAN-60IN,Size,60 in,60 inches
235397488898,PLC-550-TAN-72IN,Size,72 in,72 inches
235397488898,PLC-550-TAN-81IN,Size,81 in,81 inches
235399090909,KEVLAR-200-CORD-BLUE-1000FT,Size,1000 ft,1000ft
235399090909,KEVLAR-200-CORD-BLUE-100FT,Size,100 ft,100ft
235399090909,KEVLAR-200-CORD-BLUE-25FT,Size,25 ft,25ft
235399090909,KEVLAR-200-CORD-BLUE-500FT,Size,500 ft,500ft
235399090909,KEVLAR-200-CORD-BLUE-50FT,Size,50 ft,50ft
235399090909,KEVLAR-200-CORD-NATURAL-1000FT,Size,1000 ft,1000ft
235399090909,KEVLAR-200-CORD-NATURAL-100FT,Size,100 ft,100ft
235399090909,KEVLAR-200-CORD-NATURAL-25FT,Size,25 ft,25ft
235399090909,KEVLAR-200-CORD-NATURAL-500FT,Size,500 ft,500ft
235399090909,KEVLAR-200-CORD-NATURAL-50FT,Size,50 ft,50ft
235441319364,SON-15X15SLPB-100PC-15X15-CLR,Size,1.5 in x 1.5 in,"1.5"" x 1.5"""
235441319364,SON-2X2SLPB-100PC-2X2-CLR,Size,2 in x 2 in,"2"" x 2"""
235441319364,SON-3X3SLPB-100PC-3X3-CLR,Size,3 in x 3 in,"3"" x 3"""
235441319364,SON-3X4SLPB-100PC-3X4-CLR,Size,3 in x 4 in,"3"" x 4"""
235441319364,SON-4X5SLPB-100PC-4X5-CLR,Size,4 in x 5 in,"4"" x 5"""
235441319364,SON-5X6SLPB-100PC-5X6-CLR,Size,5 in x 6 in,"5"" x 6"""
235441319364,SON-5X7SLPB-100PC-5X7-CLR,Size,5 in x 7 in,"5"" x 7"""
235441319364,SON-6X9SLPB-100PC-6X9-CLR,Size,6 in x 9 in,"6"" x 9"""
235441319364,SON-8IX10IZLB-100PC-LG-CLR,Size,8 in x 10 in,"8"" x 10"""
235483317325,VECTRAN-600LB-CORD-CHILD-NATURAL-100FT,Size,100 ft,100ft
235483317325,VECTRAN-600LB-CORD-CHILD-NATURAL-25FT,Size,25 ft,25ft
235483317325,VECTRAN-600LB-CORD-CHILD-NATURAL-500FT,Size,500 ft,500ft
235483317325,VECTRAN-600LB-CORD-CHILD-NATURAL-50FT,Size,50 ft,50ft
235515601661,ASR-TCSR600LBBS500FTB-BUN-500PK-500FT-BL,Size,500 ft,500ft
235515601661,TWL-TCSR600LBS-25FT-BLCK,Size,25 ft,25ft
235515601661,TWL-TCSR600LBSB-100FT-BLCK,Size,100 ft,100ft
235515601661,TWL-TCSR600LBSB-50FT-BLCK,Size,50 ft,50ft
236344962465,DOY-NORALACE-BLACK-2500-3FT,Size,36 in (4-5 Eyelets),"36"" (4-5 Eyelets)"
236344962465,DOY-NORALACE-BLACK-2500-4FT,Size,48 in (6-7 Eyelets),"48"" (6-7 Eyelets)"
236344962465,DOY-NORALACE-BLACK-2500-5FT,Size,60 in (7-8 Eyelets),"60"" (7-8 Eyelets)"
236344962465,DOY-NORALACE-BLACK-2500-6FT,Size,72 in (8-9 Eyelets),"72"" (8-9 Eyelets)"
236344962465,DOY-NORALACE-BLACK-2500-7FT,Size,84 in (9-10 Eyelets),"84"" (9-10 Eyelets)"
236344962465,DOY-NORALACE-BLACK-2500-8FT,Size,96 in (10-11 Eyelets),"96"" (10-11 Eyelets)"
236344962465,DOY-NORALACE-BLACK-2500-9FT,Size,108 in (11-12 Eyelets),"108"" (11-12 Eyelets)"
236344962465,DOY-NORALACE-TAN-2500-3FT,Size,36 in (4-5 Eyelets),"36"" (4-5 Eyelets)"
236344962465,DOY-NORALACE-TAN-2500-4FT,Size,48 in (6-7 Eyelets),"48"" (6-7 Eyelets)"
236344962465,DOY-NORALACE-TAN-2500-5FT,Size,60 in (7-8 Eyelets),"60"" (7-8 Eyelets)"
236344962465,DOY-NORALACE-TAN-2500-6FT,Size,72 in (8-9 Eyelets),"72"" (8-9 Eyelets)"
236344962465,DOY-NORALACE-TAN-2500-7FT,Size,84 in (9-10 Eyelets),"84"" (9-10 Eyelets)"
236344962465,DOY-NORALACE-TAN-2500-8FT,Size,96 in (10-11 Eyelets),"96"" (10-11 Eyelets)"
236344962465,DOY-NORALACE-TAN-2500-9FT,Size,108 in (11-12 Eyelets),"108"" (11-12 Eyelets)"
236345031472,SON-AOSBPRBS1FT-100F-BLCK,Size,100 ft,100ft
236345031472,SON-AOSBPRBS1FT-25F-BLCK,Size,25 ft,25ft
236345031472,SON-AOSBPRBS1FT-50F-BLCK,Size,50 ft,50ft
236345031472,SON-AOSBPRBS500FT-PZ,Size,500 ft,500ft
236345031472,SON-AOSOGPRBS-500F-OLVDRBGRN,Size,500 ft,500ft
236345031472,SON-AOSOGPRBS1FT-100F-OLVDRBGRN,Size,100 ft,100ft
236345031472,SON-AOSOGPRBS1FT-25F-OLVDRBGRN,Size,25 ft,25ft
236345031472,SON-AOSOGPRBS1FT-50F-OLVDRBGRN,Size,50 ft,50ft
236345031472,SON-PARACORDRORANGE-100FT,Size,100 ft,100ft
236345031472,SON-PARACORDRORANGE-25FT,Size,25 ft,25ft
236345031472,SON-PARACORDRORANGE-500FT,Size,500 ft,500ft
236345031472,SON-PARACORDRORANGE-50FT,Size,50 ft,50ft
236345056410,SON-DRYSACK15L-GRN,Size,15 L,15L
236345056410,SON-DRYSACK20L-GRY,Size,20 L,20L
236345056438,VECTRAN-200LB-CORD-CHILD-BLACK-1000FT,Size,1000 ft,1000ft
