item_id,category_id,aspect,importance,mode,cardinality,allowed_values,values_sample,title
364483533791,183175,MPN,required,FREE_TEXT,SINGLE,0,,"Hobby and Craft Self Healing Thick Cutting Board Mat - Multiple Sizes"
365879907991,163824,MPN,required,FREE_TEXT,SINGLE,0,,"ASR Outdoor Large Mineral Gold Prospecting Pay Dirt Hand Trowel"
365879935283,116656,MPN,required,FREE_TEXT,SINGLE,0,,"Licensed Characters Art Supplies Non-Toxic Mini Felt Marker Set for Kids - 8pc"
127389838909,261068,"Featured Person/Artist",recommended,FREE_TEXT,MULTI,10527,"101 Strings Orchestra | 10cc | 3 Doors Down | 50 Cent | 5ban Graphics | A.A. Milne","Marvel Ultimate Spider-Man Titan Hero Series Action Figure 12 Inch (2 Styles)"
127488196314,261068,"Featured Person/Artist",recommended,FREE_TEXT,MULTI,10527,"101 Strings Orchestra | 10cc | 3 Doors Down | 50 Cent | 5ban Graphics | A.A. Milne","Kidplokio Galaxy Space Sword Interactive Toy Real Lights and Sounds (2 Colors)"
236344962456,261068,"Featured Person/Artist",recommended,FREE_TEXT,MULTI,10527,"101 Strings Orchestra | 10cc | 3 Doors Down | 50 Cent | 5ban Graphics | A.A. Milne","Star Wars Baby Yoda 2 Pack Non Woven Tote Bag Kids Travel Bag Ages 3 and Up"
236460252577,261068,"Featured Person/Artist",recommended,FREE_TEXT,MULTI,10527,"101 Strings Orchestra | 10cc | 3 Doors Down | 50 Cent | 5ban Graphics | A.A. Milne","Kidplokio 2pc Space Gift Bundle Toy Sword and Superhero Cinch Bag  (2 Colors)"
365879996393,261068,"Featured Person/Artist",recommended,FREE_TEXT,MULTI,10527,"101 Strings Orchestra | 10cc | 3 Doors Down | 50 Cent | 5ban Graphics | A.A. Milne","Star Wars Bump N Go D-O with Authentic Voice Kids Plush Toy Action Figure Doll"
366005344632,261068,"Featured Person/Artist",recommended,FREE_TEXT,MULTI,10527,"101 Strings Orchestra | 10cc | 3 Doors Down | 50 Cent | 5ban Graphics | A.A. Milne","Kidplokio 3pc Space Toy Bundle Sword Blaster and Superhero Cinch Bag (2 Colors)"
236344962462,261186,Publisher,recommended,FREE_TEXT,SINGLE,4508,"@Tab Books | 1517 Media | 1stWorld Publishing | 2.13.61 | 21st Century Press | 30 Degrees South Publishers","ASR Outdoor Comprehensive Wilderness Travel Medicine Emergency Guide"
236345056400,261186,Publisher,recommended,FREE_TEXT,SINGLE,4508,"@Tab Books | 1517 Media | 1stWorld Publishing | 2.13.61 | 21st Century Press | 30 Degrees South Publishers","Kidplokio Bible Coloring Book for Kids Activity Book with Puzzles 96 Pages - 2pk"
