item_id,sku,category_id,aspect,reason
124443107633,UNV-TCFPKCB-BUN-2PC-3PK-12B15-CLR-6PK,46282,"Wood Tone","plastic, not wood"
124443107633,UNV-TCFPKCB-BUN-2PC-3PK-12B15-CLR-6PK,46282,Theme,"plain utility cutting board, no theme"
125770812748,MCN-HEROCLIPMINI-BLCKBLU-210011-923,52373,Character,"plain utility carabiner, no licensed character"
125770812748,MCN-HEROCLIPMINI-BLCKBLU-210011-923,52373,"Character Family","plain utility carabiner, no licensed character"
125770812748,MCN-HEROCLIPMINI-BLCKBLU-210011-923,52373,Theme,"plain utility carabiner, no theme"
126097498290,SON-MSPT-35X9,11704,"Expiration Date","durable metal tool, doesn't expire"
126099617598,SON-MSPT-8LBS,11704,"Expiration Date","durable metal tool, doesn't expire"
126112000074,CARABINER-JUMBO-PARENT,52373,Character,"plain utility carabiner, no licensed character"
126112000074,CARABINER-JUMBO-PARENT,52373,"Character Family","plain utility carabiner, no licensed character"
126112000074,CARABINER-JUMBO-PARENT,52373,Theme,"plain utility carabiner, no theme"
126370118291,PRF-FITNESSPOSTERSLAM-PARENT,28009,Character,"generic fitness exercise poster, no licensed character"
126370118291,PRF-FITNESSPOSTERSLAM-PARENT,28009,Culture,"generic fitness instructional poster, no culture theme"
126370118291,PRF-FITNESSPOSTERSLAM-PARENT,28009,"Featured Person/Artist","generic stock exercise poster, no featured artist"
126370118291,PRF-FITNESSPOSTERSLAM-PARENT,28009,Franchise,"generic fitness poster, no franchise"
126370118291,PRF-FITNESSPOSTERSLAM-PARENT,28009,"Signed By","mass-produced poster, not autographed"
126370118291,PRF-FITNESSPOSTERSLAM-PARENT,28009,"COA Issued By","mass-produced poster, no certificate of authenticity"
126412730192,HWC-LEATHERBADGEHOLDER-BLACK,169271,Theme,"plain utility badge holder, no theme"
126431926007,HWC-AFLENCBAIH-STD-BLCK,71482,"Backing Material","leather ID holder, not a mirror product"
126431926007,HWC-AFLENCBAIH-STD-BLCK,71482,"Lens Material","leather ID holder, not a mirror/lens product"
126431926007,HWC-AFLENCBAIH-STD-BLCK,71482,"Mirror Environment","leather ID holder, not a mirror product"
126431926007,HWC-AFLENCBAIH-STD-BLCK,71482,"Mirror Shape","leather ID holder, not a mirror product"
126431926007,HWC-AFLENCBAIH-STD-BLCK,71482,"Mirror Width","leather ID holder, not a mirror product"
126431926007,HWC-AFLENCBAIH-STD-BLCK,71482,"Viewing Angle","leather ID holder, not a mirror/optic product"
126440196718,4SN-BLE-WDNSPOONS-2PC-STD,20649,Theme,"plain kitchen utensils, no theme"
126450542804,PRF-YOGAPOSTER-PARENT,28009,Character,"generic exercise poster, no licensed character"
126450542804,PRF-YOGAPOSTER-PARENT,28009,Culture,"generic instructional poster, no culture theme"
126450542804,PRF-YOGAPOSTER-PARENT,28009,"Featured Person/Artist","generic stock exercise poster, no featured artist"
126450542804,PRF-YOGAPOSTER-PARENT,28009,Franchise,"generic fitness poster, no franchise"
126450542804,PRF-YOGAPOSTER-PARENT,28009,"Signed By","mass-produced poster, not autographed"
126450542804,PRF-YOGAPOSTER-PARENT,28009,"COA Issued By","mass-produced poster, no certificate of authenticity"
126459398545,SON-JUMBOBINERS-PARENT,52373,Character,"plain utility carabiner, no licensed character"
126459398545,SON-JUMBOBINERS-PARENT,52373,"Character Family","plain utility carabiner, no licensed character"
126459398545,SON-JUMBOBINERS-PARENT,52373,Theme,"plain utility carabiner, no theme"
126481444436,PRF-PFPSLBSEN-STD-BL-3,28009,Character,"generic exercise poster, no licensed character"
126481444436,PRF-PFPSLBSEN-STD-BL-3,28009,Culture,"generic instructional poster, no culture theme"
126481444436,PRF-PFPSLBSEN-STD-BL-3,28009,"Featured Person/Artist","generic stock exercise poster, no featured artist"
126481444436,PRF-PFPSLBSEN-STD-BL-3,28009,Franchise,"generic fitness poster, no franchise"
126481444436,PRF-PFPSLBSEN-STD-BL-3,28009,"Signed By","mass-produced poster, not autographed"
126481444436,PRF-PFPSLBSEN-STD-BL-3,28009,"COA Issued By","mass-produced poster, no certificate of authenticity"
127389768445,SON-J65XCKCWHGB-XL-BL,52373,Character,"plain utility carabiner, no licensed character"
127389768445,SON-J65XCKCWHGB-XL-BL,52373,"Character Family","plain utility carabiner, no licensed character"
127389768445,SON-J65XCKCWHGB-XL-BL,52373,Theme,"plain utility carabiner, no theme"
127389838862,SON-ASRO-64X84WOOLBLANKET-NVY-STD,111261,"EPA Registration Number","wool blanket, not a pesticide/regulated chemical product"
127389838862,SON-ASRO-64X84WOOLBLANKET-NVY-STD,111261,"Sleeping Bag Shape","blanket, not a sleeping bag"
127389838862,SON-ASRO-64X84WOOLBLANKET-NVY-STD,111261,"Stuff Sack Size","blanket product, no stated stuff sack accessory"
127389838872,MCN-MOME2OZZCZCALWB-2O-CLR,36120,"Mounting Type","liquid lubricant product, no mounting"
127389838887,HWK-LEATHAPRON-PARENT,42632,"Item Diameter","apron is a flat garment, has no diameter"
127389838887,HWK-LEATHAPRON-PARENT,42632,"Measuring Technology","leather apron, not a measuring tool"
127389838887,HWK-LEATHAPRON-PARENT,42632,"System of Measurement","leather apron, not a measuring tool"
127389838894,MCN-SEAMGRIPFC-PARENT,36120,"Mounting Type","sealant/glue product, no mounting"
127389838909,UPD-TITANHERO-SPIDERMAN-PARENT,261068,"Animal Species","human superhero figure, not an animal character"
127389838909,UPD-TITANHERO-SPIDERMAN-PARENT,261068,Sport,"superhero action figure, not sports-related"
127389838909,UPD-TITANHERO-SPIDERMAN-PARENT,261068,"Transformer Faction","Marvel superhero figure, not a Transformers product"
127389838909,UPD-TITANHERO-SPIDERMAN-PARENT,261068,"Vehicle Type","action figure, not a vehicle"
127389838909,UPD-TITANHERO-SPIDERMAN-PARENT,261068,"Signed By","mass-produced action figure, not autographed"
127389838909,UPD-TITANHERO-SPIDERMAN-PARENT,261068,"Autograph Authentication","mass-produced action figure, not autographed"
127389838909,UPD-TITANHERO-SPIDERMAN-PARENT,261068,"Autograph Authentication Number","mass-produced action figure, not autographed"
