category_id,category_path,listing_count
15913,"Collectibles|Science & Medicine (1930-Now)|Mining|Equipment",185
262020,"Jewelry & Watches|Jewelry Care, Design & Repair|Jewelry Tools & Workbenches",47
73522,"Collectibles|Knives, Swords & Blades|Collectible Fixed Blade Knives|Modern Fixed Blade|Factory Manufactured",36
181415,"Sporting Goods|Camping & Hiking|Outdoor Survival Gear|Other Outdoor Survival Gear",27
163824,"Business & Industrial|Test, Measurement & Inspection|Test Meters & Detectors|Metal Detector Accessories",26
180506,"Toys & Hobbies|Diecast & Toy Vehicles|Cars, Trucks & Vans|Contemporary Manufacture",20
48818,"Collectibles|Knives, Swords & Blades|Collectible Folding Knives|Modern Folding Knives|Factory Manufactured",20
36120,"Sporting Goods|Camping & Hiking|Tents & Canopies|Tent & Canopy Accessories",19
42362,"Home & Garden|Tools & Workshop Equipment|Tool Boxes & Storage|Tool Bags, Belts & Pouches",16
181413,"Sporting Goods|Camping & Hiking|Outdoor Survival Gear|Paracord & Paracord Supplies",15
27362,"Sporting Goods|Camping & Hiking|Clothing|Other Camping, Hiking Clothing",14
260207,"Home & Garden|Tools & Workshop Equipment|Power Tool & Air Tool Accessories|Rotary Tool Accessories",14
52373,"Clothing, Shoes & Accessories|Men|Men's Accessories|Key Chains, Rings & Cases",14
260988,"Clothing, Shoes & Accessories|Kids|Backpacks & Bags",13
75236,"Sporting Goods|Camping & Hiking|Camping Knives & Tools|Multi-Tools",12
22700,"Sporting Goods|Hunting|Gun Smithing & Maintenance|Cleaning Supplies",12
50382,"Home & Garden|Tools & Workshop Equipment|Power Tool & Air Tool Accessories|Drill Bits",12
20763,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Hammers & Mallets",12
19172,"Toys & Hobbies|Preschool Toys & Pretend Play|Dress-Up, Costumes",11
16037,"Sporting Goods|Camping & Hiking|Flashlights, Lanterns & Lights|Flashlights",11
8504,"Sporting Goods|Camping & Hiking|Other Camping & Hiking",11
20761,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Clamps & Vises",10
28009,"Art|Art Posters",10
14955,"Business & Industrial|Test, Measurement & Inspection|Test Meters & Detectors|Metal Detectors",9
29574,"Sporting Goods|Water Sports|Wetsuits & Drysuits|Other Wetsuits & Drysuits",9
101915,"Health & Beauty|Salon & Spa Equipment|Scissors & Shears",9
20649,"Home & Garden|Kitchen, Dining & Bar|Kitchen Tools & Gadgets|Cooking Utensils",8
106984,"Sporting Goods|Camping & Hiking|Flashlights, Lanterns & Lights|Headlamps",8
50816,"Sporting Goods|Outdoor Sports|Climbing & Caving|Ropes, Cords & Slings",7
166126,"Sporting Goods|Camping & Hiking|Outdoor Survival Gear|Fire Starters",7
179793,"Sporting Goods|Boxing, Martial Arts & MMA|Martial Arts Weapons|Knives",7
177005,"Home & Garden|Kitchen, Dining & Bar|Flatware, Knives & Cutlery|Kitchen & Steak Knives",7
87133,"Sporting Goods|Camping & Hiking|Camping Cooking Supplies|Camping Cooking Utensils",7
261610,"Collectibles|Decorative Collectibles|Clocks|Other Clocks",7
87100,"Sporting Goods|Camping & Hiking|Outdoor Sleeping Gear|Sleeping Bags",6
261068,"Toys & Hobbies|Action Figures & Accessories|Action Figures",6
43220,"Collectibles|Knives, Swords & Blades|Blade Parts, Supplies & Accs|Blade Sharpeners & Stones",6
169282,"Clothing, Shoes & Accessories|Specialty|Clothing & Shoe Care|Shoe Care & Repair|Shoe Laces",6
46282,"Home & Garden|Kitchen, Dining & Bar|Kitchen Tools & Gadgets|Cutting Boards",6
11872,"Health & Beauty|Nail Care, Manicure & Pedicure|Nail Care Tools|Manicure & Pedicure Tools & Kits",6
28171,"Crafts|Sewing|Cutting Tools|Dressmaker's Scissors & Shears",6
20696,"Home & Garden|Kitchen, Dining & Bar|Glassware & Drinkware",6
181379,"Sporting Goods|Camping & Hiking|Hiking Backpacks|Backpacks",6
