item_id,sku,title,price,score,treatment,word_count,title_coverage_pct,aspect_hits,aspect_total,has_bullets,has_heading,has_schema,keyword_in_intro,is_duplicate,dup_group_size,issues
124304800806,ASR-GRCSSS-BUN-3PC-6-GRN-BNDL,"3 Piece Gold Panning Mining Mini 6"" Inch Classifier Prospect Pan 3 Sizes",30.00,93,ok,435,100,2,4,yes,yes,yes,yes,no,1,
124443107633,UNV-TCFPKCB-BUN-2PC-3PK-12B15-CLR-6PK,"(6 Pack) Thin Clear Flexible Plastic Kitchen Cutting Board 12 Inch x 15 Inch",14.49,89,ok,322,100,4,6,yes,no,yes,yes,no,1,
124517978099,ASR-AOGPSCS6ID-BUN-6IN-GRN-BNDL,"6 Inch Gold Panning Mineral Sifting Prospect Pan Classifier Sieve - 6pc Set",52.95,85,tier2_tweak,460,100,0,3,yes,yes,yes,yes,no,1,"no key aspects mentioned"
124544488500,MCN-SSTSHDWS15OZ-SML-CLR,"Gear Aid SilNet Silicone Tent Seam Sealer Outdoor Camping Hiking - 1.5 oz Small",16.49,80,ok,357,36,2,4,yes,yes,yes,yes,no,1,"low title-keyword coverage (36%)"
124544600002,SON-PWKTS-14PC-STD-SLVR-3,"Jeweler's Tools 14-Size Pocket Watch Key Set for Winding Setting Vintage Watches",14.24,84,ok,190,60,5,9,yes,yes,yes,yes,no,1,"thin (<200 words)"
124786190120,MCN-MGAAWRKWP25OZ-5PC-STD-BLCK,"Gear Aid Aquaseal Wader Repair Kit with Patches for Camping and Hiking - 0.25 oz",16.99,89,ok,323,78,4,8,yes,yes,yes,yes,no,1,
125331859464,SON-5PCGOLDKIT-GRN-BUN-EBAY,"ASR Outdoor Gold Panning Kit with Paydirt Beginner Prospecting Equipment 6pc",35.95,100,ok,646,100,3,3,yes,yes,yes,yes,no,1,
125331879646,SON-5PCGOLDKIT-BLK-BUN-EBAY,"ASR Outdoor Gold Panning Kit with Paydirt Beginner Prospecting Equipment 6pc",35.95,100,ok,647,100,3,3,yes,yes,yes,yes,no,1,
125333139233,DOY-BLACKPANESSENTIALGEMS-KIT,"ASR Outdoor 14pc Black Gold Panning Kit with Collection Vials Gold Pan Tweezer",14.49,100,ok,611,100,1,1,yes,yes,yes,yes,no,1,
125427420003,SON-11PC-GOLD-KIT,"ASR Outdoor 11pc Double Classifier Gold Panning Kit with Scoop Vials Sand Magnet",54.99,91,ok,323,92,1,2,yes,yes,yes,yes,no,1,
125642527424,SON-GOLDRUSHBEGINNERS-5PC-BUNDLE,"ASR Outdoor Green Gold Pan Gold Prospecting Beginners Kit, 5 Piece",16.95,91,ok,456,89,1,2,yes,yes,yes,yes,no,1,
125770812748,MCN-HEROCLIPMINI-BLCKBLU-210011-923,"HEROCLIP Carabiner Clip Hook Mini for Camping, Organization (Black & Blue)",21.04,92,ok,402,78,6,8,yes,yes,yes,yes,no,1,
125999834797,SHM-ATNMCRB-SML-BLCK1,"Non-Metallic Covert Zirconia Ceramic Razor Blade (Wear-Resistant Non-Dulling)",10.79,98,ok,516,100,6,7,yes,yes,yes,yes,no,1,
126006383264,SON-PROSPECTORS-PICK-GP-PK151,"ASR Outdoor Compact Magnetic Prospector Pick for Gold Panning Dredging",65.00,93,ok,575,89,2,3,yes,yes,yes,yes,no,1,
126025663821,SON-CKK12ITSHSR-12E-SLVR-IR-TT,"Beille 12 Inch Steel Sharpening Rod for Knives Knife Sharpeners Kitchen Gadgets",10.99,93,ok,572,100,3,6,yes,yes,yes,yes,no,1,
126034088177,SON-GOLDMINIGBEGINNERS-3PC-BUNDLE,"ASR Outdoor 3 Piece Beginners Gold Panning Kit | Gold Pan Vial Snuffer Bottle",18.95,98,ok,359,91,2,2,yes,yes,yes,yes,no,1,
126097498290,SON-MSPT-35X9,"Magnetic Separator Pick Up Tool l Industrial Quality 16 lbs Quick Release Handle",16.99,89,ok,311,90,2,5,yes,yes,yes,yes,no,1,
126099617598,SON-MSPT-8LBS,"Magnetic Separator Pick Up Tool Industrial Quality 8 lbs Quick Release Handle",14.50,96,ok,534,80,5,5,yes,yes,yes,yes,no,1,
126100329974,SON-PICKUPPEN-5LB,"ASR Outdoor Gold Prospecting Black Sand 5lb Magnetic Steel Pocket Separator Pen",9.99,100,ok,532,100,2,2,yes,yes,yes,yes,no,1,
126112000074,CARABINER-JUMBO-PARENT,"7 Inch Jumbo Aluminum Carabiner Hiking Cushion Grip (6 Colors)",13.19,98,ok,308,100,5,6,yes,yes,yes,yes,no,1,
126113669997,SON-HDLHPS-6PC-C-SLVR,"6pc Universal Tool Heavy Duty Leather Hollow Punch Set",12.69,91,ok,255,88,2,4,yes,yes,yes,yes,no,1,
126115129678,SHM-60FTRDKSC-60FT-BL,"60ft Rapid Deployment Portable Survival Cord Made with Kevlar 200lb Breaking",13.99,96,ok,232,100,3,4,yes,yes,yes,yes,no,1,
126145377750,TWL-HMPE260-KEVLARCORD-ATAC-PARENT,"ASR Tactical Braided HMPE Cord 260lb Strength Survival Cord Rope",21.99,93,ok,422,100,2,4,yes,yes,yes,yes,no,1,
126149513414,SON-POCKETGOLDKIT-11PC2,"ASR Outdoor Clear Pocket Portable Travel Gold Panning Kit for Prospecting 11pc",19.99,93,ok,631,100,1,2,yes,yes,yes,yes,no,1,
126165743707,MCN-CAMOFORMGEARWRAP-PARENT,"GEAR AID Camo Form Self-Cling Reusable Camouflage Wrap 2"" x 144"", Various Colors",22.99,90,ok,305,100,3,9,yes,yes,yes,yes,no,1,
126191730089,SON-GOLDPANKIT-10PC-BUN-PARENT,"ASR Outdoor 10pc Beginner Gold Panning Kit Gold Rush Prospecting Tools",35.49,91,ok,707,100,3,7,yes,yes,yes,yes,no,1,
