item_id,push_ack,new_template_marker_found,as_expected
126097498290,Warning,YES,YES
126099617598,Warning,YES,YES
126112000074,Success,YES,YES
126113669997,Warning,YES,YES
126115129678,Warning,YES,YES
126145377750,Success,YES,YES
126165743707,Success,YES,YES
126240080796,Warning,YES,YES
126246015049,Warning,YES,YES
126261745604,Warning,YES,YES
126273747000,Warning,YES,YES
126300556081,Success,YES,YES
126318905098,Warning,YES,YES
126319915613,Warning,YES,YES
126328889625,Warning,YES,YES
126329788905,Warning,YES,YES
126335800057,Success,YES,YES
126366423877,Warning,YES,YES
126369525294,Warning,YES,YES
126370118291,Success,YES,YES
126373906372,Warning,YES,YES
126383530718,Warning,YES,YES
126384427949,Warning,YES,YES
126386406454,Success,YES,YES
126391796563,Failure,YES,YES
126396166504,Warning,YES,YES
126409555016,Warning,YES,YES
126412730192,Warning,YES,YES
126412730309,Warning,YES,YES
126414603429,Warning,YES,YES
126414603992,Warning,YES,YES
126415790575,Warning,YES,YES
126418260377,Warning,YES,YES
126419572927,Success,YES,YES
126421703850,Warning,YES,YES
126428136149,Success,YES,YES
126431926007,Warning,YES,YES
126431926030,Warning,YES,YES
126439889588,Warning,YES,YES
126440196718,Failure,YES,YES
126443316370,Warning,YES,YES
126447017429,Warning,YES,YES
126448866212,Warning,YES,YES
126448866471,Warning,YES,YES
126450542804,Success,YES,YES
126450542814,Success,YES,YES
126453713695,Failure,YES,YES
126453713734,Warning,YES,YES
126454417969,Warning,YES,YES
126459398545,Success,YES,YES
126462946756,Success,YES,YES
126464661439,Warning,YES,YES
126468846680,Warning,YES,YES
126469785044,Success,YES,YES
126469785057,Warning,YES,YES
126470733977,Warning,YES,YES
126470733996,Success,YES,YES
126473385852,Warning,YES,YES
126475110167,Warning,YES,YES
126476748263,Warning,YES,YES
126478317875,Warning,YES,YES
126479943435,Warning,YES,YES
126481444436,Warning,YES,YES
126481444509,Warning,YES,YES
126482220912,Warning,YES,YES
126486323016,Warning,YES,YES
126487251794,Warning,YES,YES
126489346392,Warning,YES,YES
126493144658,Warning,YES,YES
126495205134,Warning,YES,YES
126495661048,Warning,YES,YES
126495661368,Success,YES,YES
126501503524,Warning,YES,YES
126505506359,Warning,YES,YES
126505662839,Warning,YES,YES
126506952902,Warning,YES,YES
126506982497,Warning,YES,YES
126533983592,Warning,YES,YES
126533983595,Warning,YES,YES
126672923175,Success,YES,YES
126716474810,Warning,YES,YES
126716494061,Warning,YES,YES
126827721230,Warning,YES,YES
127082971121,Warning,YES,YES
127088986267,Success,YES,YES
127168314084,Success,YES,YES
127196591598,Success,YES,YES
127226971822,Success,YES,YES
127236581110,Warning,YES,YES
127239775819,Warning,YES,YES
127239950660,Warning,YES,YES
127239967300,Warning,YES,YES
127264606664,Success,YES,YES
127365667688,Warning,YES,YES
127389768398,Warning,YES,YES
127389768400,Warning,YES,YES
127389768402,Warning,YES,YES
127389768403,Warning,YES,YES
127389768404,Warning,YES,YES
127389768405,Warning,YES,YES
127389768406,Warning,YES,YES
127389768407,Warning,YES,YES
127389768408,Warning,YES,YES
127389768410,Warning,YES,YES
127389768411,Success,YES,YES
127389768412,Failure,YES,YES
127389768415,Warning,YES,YES
127389768417,Warning,YES,YES
127389768418,Warning,YES,YES
127389768419,Warning,YES,YES
127389768421,Warning,YES,YES
127389768422,Warning,YES,YES
127389768426,Warning,YES,YES
127389768427,Warning,YES,YES
127389768429,Warning,YES,YES
127389768430,Warning,YES,YES
127389768431,Warning,YES,YES
127389768433,Warning,YES,YES
127389768434,Warning,YES,YES
127389768435,Warning,YES,YES
127389768437,Warning,YES,YES
127389768441,Success,YES,YES
127389768442,Warning,YES,YES
127389768444,Warning,YES,YES
127389768445,Warning,YES,YES
127389838857,Warning,YES,YES
127389838859,Warning,YES,YES
127389838860,Warning,YES,YES
127389838862,Warning,YES,YES
127389838864,Success,YES,YES
127389838865,Warning,YES,YES
127389838866,Warning,YES,YES
127389838868,Warning,YES,YES
127389838869,Warning,YES,YES
127389838870,Warning,YES,YES
127389838871,Warning,YES,YES
127389838872,Warning,YES,YES
127389838873,Warning,YES,YES
127389838877,Warning,YES,YES
127389838878,Success,YES,YES
127389838879,Success,YES,YES
127389838882,Warning,YES,YES
127389838883,Warning,YES,YES
127389838887,Success,YES,YES
127389838890,Warning,YES,YES
127389838894,Success,YES,YES
127389838895,Warning,YES,YES
127389838898,Warning,YES,YES
127389838901,Warning,YES,YES
127389838906,Warning,YES,YES
127389838909,Success,YES,YES
127389838910,Warning,YES,YES
127389838911,Warning,YES,YES
127389838912,Success,YES,YES
127389838913,Warning,YES,YES
127389838914,Warning,YES,YES
127389838916,Warning,YES,YES
