item_id,sku,varied_by,title,upc,ean,isbn,gtin,missing_gtin,custom_upc_specific,upc_duplicated
126487251794,KOL-BARBIE-STAR-EARRINGS-PC316,,"Girls Gold Star Bundle Set with Barbie Dangle Earrings Dress Up",060886186649,,,060886186649,,,
127239775819,4SN-CINCHBAG-SUPRMAN-2PC-BUN,,"DC Comics Superman 2pc Cinch Bag Drawstring Backpacks Bundle Boys Age 3 and Up",885189340402,,,885189340402,,,
127752367320,DOY-ASRO-GEMSTONEPAYDIRT-5LB-AMZ-PARENT,,"ASR Outdoor 5lb Rough Gemstone Paydirt Bag Gold Panning Kits (8 Styles)",,,,,YES,,
127752367320,DOY-ASRO-BRZGEMSTONEPAYDIRT-5LB-AMZ,Style,"ASR Outdoor 5lb Rough Gemstone Paydirt Bag Gold Panning Kits (8 Styles)","Does not apply",,,"Does not apply",,,
127752367320,DOY-ASRO-MDGRGEMSTONEPAYDIRT-5LB-AMZ,Style,"ASR Outdoor 5lb Rough Gemstone Paydirt Bag Gold Panning Kits (8 Styles)","Does not apply",,,"Does not apply",,,
127752367320,DOY-ASRO-14PCGEMSTONEPAYDIRTKIT-BRZ-AMZ,Style,"ASR Outdoor 5lb Rough Gemstone Paydirt Bag Gold Panning Kits (8 Styles)","Does not apply",,,"Does not apply",,,
127752367320,DOY-ASRO-14PCGEMSTONEPAYDIRTKIT-MGD-AMZ,Style,"ASR Outdoor 5lb Rough Gemstone Paydirt Bag Gold Panning Kits (8 Styles)","Does not apply",,,"Does not apply",,,
127752367320,DOY-ASRO-20PCGEMPAYDIRTKIT-BRZ-SMG-AMZ,Style,"ASR Outdoor 5lb Rough Gemstone Paydirt Bag Gold Panning Kits (8 Styles)","Does not apply",,,"Does not apply",,,
127752367320,DOY-ASRO-20PCGEMPAYDIRTKIT-MGD-SMG-AMZ,Style,"ASR Outdoor 5lb Rough Gemstone Paydirt Bag Gold Panning Kits (8 Styles)","Does not apply",,,"Does not apply",,,
127752367320,DOY-ASRO-20PCGEMPAYDIRTKIT-BRZ-LRG-AMZ,Style,"ASR Outdoor 5lb Rough Gemstone Paydirt Bag Gold Panning Kits (8 Styles)","Does not apply",,,"Does not apply",,,
127752367320,DOY-ASRO-20PCGEMPAYDIRTKIT-MGD-LRG-AMZ,Style,"ASR Outdoor 5lb Rough Gemstone Paydirt Bag Gold Panning Kits (8 Styles)","Does not apply",,,"Does not apply",,,
236206634313,ASR-MESHPANNINGMINERALMATERIALS-3,,"8pc ASR Outdoor Complete Gold Rush Sifting Classifier Sieve Set for Prospecting",,,,,YES,,
127502681657,UPD-MICPENCASE-704073MCH-BUN,,"Disney Mickey Mouse Kids Pencil Case EVA Foam School Supplies Zipper Pen Holder",191537040734,,,191537040734,,,
365737133639,ASR-MESHPANNINGMINERALMATERIALS-5,,"ASR Outdoor 5pc Gold Panning Classifier Screen Set Mesh Soil for Prospecting",,,,,YES,,
127815670306,SHM-100GLBH-5X325-SLHD-BLCK-2,,"ASR Federal Bifold Leather ID Card Shield Badge Holder Police Gear Smooth Black",810131704995,,,810131704995,,,
236206659191,MCN-GARVXPCW-BNDL-AMZ,,"GEAR AID Care Kit with Revivex Pro Cleaner and Revivex Wash-In Water Repellent",021563368024,,,021563368024,,,
127239950660,SON-FOLDINGSLUICEBOXBACKPACK-BUN-GREEN,,"ASR Outdoor 50"" Aluminum Folding Sluice Box Gold Prospecting Backpack Kit Green",,,,,YES,810058485588,
127239967300,SON-ASRO-GLDPNACCKIT-18PC-BUN-AMZ,,"ASR Outdoor Complete Fine Gold Recovery Kit Gold Prospecting Equipment, 18pc",,,,,YES,,
365405773744,SON-ASRO-MINISTORECONTAINER-6IN,,"ASR Outdoor Gold Rush Sifting Classifier Sieve Mini 6 Inch Prospect Pan 0 Holes",,,,,YES,,
364534656652,SON-HALFINCHSIFTCLASS-GRN,,"Heavy Duty 1/2"" Classifier Screen Sieve w/ Handles 5 Gallon Bucket Deep Stacking",,,,,YES,,
235392003566,SON-MINISLUICEBKTKIT-PARENT,,"ASR Outdoor Complete Mini Sluice Box with 3.5 Gal Bucket Gold Panning Kit, 20pc",,,,,YES,,
235392003566,SON-MINISLUICEBKTKIT-RUB-20PC,"Sluice Style","ASR Outdoor Complete Mini Sluice Box with 3.5 Gal Bucket Gold Panning Kit, 20pc",810131708559,,,810131708559,,,
235392003566,SON-MINISLUICEBKTKIT-ALUM-20PC,"Sluice Style","ASR Outdoor Complete Mini Sluice Box with 3.5 Gal Bucket Gold Panning Kit, 20pc",810131708931,,,810131708931,,,
235436886860,SON-AO6ITWBNKFB-6E-BLCK,,"6inch ASR Outdoor Serrated Fixed Blade Tanto Point Hunting Neck Knife - Black",,,,,YES,,
126383530718,SON-DKBSBS-3PC-SML-ASSRTD,,"Diamond Sharpening Stone Knife and Blade Variety Coarse Grit Universal Set of 3",639772168610,,,639772168610,,,
364899577155,HWK-TT-LEATHER5PKTTP-BROWN,,"ToolTreaux 5 Pocket Heavy Duty Leather Tool Pouch DIY Woodworking, 10.5 x 9.5",810131704728,,,810131704728,,,
364899577169,TWL-TCSR1200LBBS-PARENT-I,,"ASR Outdoor Technora Composite Survival Cord Rope 1200lb Strength 25' to 1000'",,,,,YES,,
364899577169,TWL-TCSR1200LBBS-25FT-BLCK-BUN,"Color; Size","ASR Outdoor Technora Composite Survival Cord Rope 1200lb Strength 25' to 1000'",766359717050,,,766359717050,,,
364899577169,TWL-TCSR1200LBBSB-50FT-BLCK-BUN,"Color; Size","ASR Outdoor Technora Composite Survival Cord Rope 1200lb Strength 25' to 1000'",766359285894,,,766359285894,,,
364899577169,TWL-TCSR1200LBBSB-100FT-BLCK-BUN,"Color; Size","ASR Outdoor Technora Composite Survival Cord Rope 1200lb Strength 25' to 1000'",766359231914,,,766359231914,,,
364899577169,TWL-TCSR1200LB-500FT-BLCK,"Color; Size","ASR Outdoor Technora Composite Survival Cord Rope 1200lb Strength 25' to 1000'",766359694887,,,766359694887,,,
364899577169,TWL-TCSR1200LBBSB-1000FT-BLCK-BUN,"Color; Size","ASR Outdoor Technora Composite Survival Cord Rope 1200lb Strength 25' to 1000'",766359064406,,,766359064406,,,
364899577169,TWL-TCSR1200LBBS-25FT-TAN,"Color; Size","ASR Outdoor Technora Composite Survival Cord Rope 1200lb Strength 25' to 1000'",766359319773,,,766359319773,,,
364899577169,TWL-TCSR1200LBBS-50FT-TAN,"Color; Size","ASR Outdoor Technora Composite Survival Cord Rope 1200lb Strength 25' to 1000'",766359628752,,,766359628752,,,
364899577169,TWL-TCSR1200LBBS-100FT-TAN,"Color; Size","ASR Outdoor Technora Composite Survival Cord Rope 1200lb Strength 25' to 1000'",766359323145,,,766359323145,,,
364899577169,TWL-TCSR1200LBBS-500FT-TAN,"Color; Size","ASR Outdoor Technora Composite Survival Cord Rope 1200lb Strength 25' to 1000'",766359138411,,,766359138411,,,
364899577169,TWL-TCSR1200LBBS-1000FT-TAN,"Color; Size","ASR Outdoor Technora Composite Survival Cord Rope 1200lb Strength 25' to 1000'",766359213972,,,766359213972,,,
235054823492,SON-550PARACORDROPE-PARENT,,"Paracord Mil-Spec Commercial Grade 550lb Type III Nylon Cord Rope Many Lengths",,,,,YES,,
235054823492,SON-AOSPRB100F-100F-BLCK,"Color; Size","Paracord Mil-Spec Commercial Grade 550lb Type III Nylon Cord Rope Many Lengths",810058484055,,,810058484055,,,
235054823492,ASR-AOSBPRBS500FT-BUN-500PK-500F-BLCK,"Color; Size","Paracord Mil-Spec Commercial Grade 550lb Type III Nylon Cord Rope Many Lengths",840602199739,,,840602199739,,,
235054823492,SON-AOSPRFC100FT-100FT-GRN,"Color; Size","Paracord Mil-Spec Commercial Grade 550lb Type III Nylon Cord Rope Many Lengths",706569855906,,,706569855906,,,
235054823492,SON-AOSPROG100F-100F-ODGRN,"Color; Size","Paracord Mil-Spec Commercial Grade 550lb Type III Nylon Cord Rope Many Lengths",810058480941,,,810058480941,,,
235054823492,ASR-AOSOGPRBS500FT-BUN-500PK-500F-OLVDRB,"Color; Size","Paracord Mil-Spec Commercial Grade 550lb Type III Nylon Cord Rope Many Lengths",884101334628,,,884101334628,,,
235054823492,SON-550LBSSSPRRO100FT-100FT-ORNG,"Color; Size","Paracord Mil-Spec Commercial Grade 550lb Type III Nylon Cord Rope Many Lengths",670603159278,,,670603159278,,,
235349304256,SON-RUBBER-SLUICEBOX-RIFFLES,,"ASR Outdoor Aluminum Sluice Box with Rubber Sluice Box Matting for Gold",,,,,YES,,
126099617598,SON-MSPT-8LBS,,"Magnetic Separator Pick Up Tool Industrial Quality 8 lbs Quick Release Handle",060886141631,,,060886141631,,,
365680010387,26C-LBLH-ACACIAWOODENUTENSILS-PARENT,,"Labrea Life + Home Solid Acacia Wooden Kitchen Utensils (Many Styles and Packs)",,,,,YES,,
365680010387,26C-LBLH-ACACIAWOODENSPOON-1PC,Style,"Labrea Life + Home Solid Acacia Wooden Kitchen Utensils (Many Styles and Packs)",810131707248,,,810131707248,,,
365680010387,26C-LBLH-ACACIAWOODENCORNERSPOON-1PC,Style,"Labrea Life + Home Solid Acacia Wooden Kitchen Utensils (Many Styles and Packs)",810131702960,,,810131702960,,,
365680010387,26C-LBLH-ACACIAWOODENSKIMMER-1PC,Style,"Labrea Life + Home Solid Acacia Wooden Kitchen Utensils (Many Styles and Packs)",810131708122,,,810131708122,,,
365680010387,26C-LBLH-ACACIAWOODENSPATULA-1PC,Style,"Labrea Life + Home Solid Acacia Wooden Kitchen Utensils (Many Styles and Packs)",810131706319,,,810131706319,,,
365680010387,26C-LBLH-ACACIAWOODENSPOONSET-3PC-BUN,Style,"Labrea Life + Home Solid Acacia Wooden Kitchen Utensils (Many Styles and Packs)",810131702045,,,810131702045,,,
365680010387,26C-LBLH-ACACIAWOODENSPURTLE-1PC,Style,"Labrea Life + Home Solid Acacia Wooden Kitchen Utensils (Many Styles and Packs)",810131706500,,,810131706500,,,
365680010387,26C-LBLH-ACACIAWOODSPATULASET-2PC-BUN,Style,"Labrea Life + Home Solid Acacia Wooden Kitchen Utensils (Many Styles and Packs)",810131706272,,,810131706272,,,
365680010387,26C-LBLH-ACACIAWOODUTENSILSET-5PC-BUN,Style,"Labrea Life + Home Solid Acacia Wooden Kitchen Utensils (Many Styles and Packs)",810131701932,,,810131701932,,,
365680010387,26C-LBLH-ACACIAPASTASPOON-1PC,Style,"Labrea Life + Home Solid Acacia Wooden Kitchen Utensils (Many Styles and Packs)",810131706739,,,810131706739,,,
365680010387,26C-LBLH-ACACIAWOODUTENSILSET-6PC-BUN,Style,"Labrea Life + Home Solid Acacia Wooden Kitchen Utensils (Many Styles and Packs)",810131708436,,,810131708436,,,
365680010387,26C-LBLH-ACACIAWOODENSPOONSET-4PC-BUN,Style,"Labrea Life + Home Solid Acacia Wooden Kitchen Utensils (Many Styles and Packs)",810131700928,,,810131700928,,,
235792850839,LST-KPL-SPACEROCKET-17INCH,,"Kidplokio 15pc Space Toys Explorer Voyager Backpack Light Up Astronaut, 10 Inch",885189864564,,,885189864564,,,
364849235207,SON-SLUICE-BOX-1,,"ASR Outdoor 30 Inch Portable Riffled Sluice Box for Gold Panning Dredging",,,,,YES,,
