fillability,category_id,aspect,mode,item_id,sku,name,approved_value,reviewer_notes,allowed_values,title
easy,2993,Character,FREE_TEXT,127389857879,SON-DOUBLE-SPORTS-BELT,"Universal Fitting Unisex Sports Belt Double Expanding Pockets Cycling, Size M/L",,,"Andrea | Angel | Astro Boy | Atom | Barbie | Batman | Belle | Bill | Black Cat | Black Panther | Blaze | Blue | Boo | Boost | Boots | Boy | Bugs Bunny | Bunny | Buster Brown | Buzz Lightyear | Cable | Captain America | Casey | Charlotte | Cheetah | Chelsea | Child Star | Chris | Cinderella | Clai...","Universal Fitting Unisex Sports Belt Double Expanding Pockets Cycling, Size M/L"
easy,2993,Pattern,FREE_TEXT,127389857879,SON-DOUBLE-SPORTS-BELT,"Universal Fitting Unisex Sports Belt Double Expanding Pockets Cycling, Size M/L",,,"Animal Print | Argyle/Diamond | Camouflage | Check | Fair Isle | Floral | Geometric | Herringbone | Paisley | Plaid | Polka Dot | Solid | Striped","Universal Fitting Unisex Sports Belt Double Expanding Pockets Cycling, Size M/L"
easy,2993,Theme,FREE_TEXT,127389857879,SON-DOUBLE-SPORTS-BELT,"Universal Fitting Unisex Sports Belt Double Expanding Pockets Cycling, Size M/L",,,"80s | 90s | Animals | Anime | Army | Art | Aztec | Beach | Beer | Biker | Bird | Bohemian | Butterfly | Cars | Cartoon | Cat | Christmas | City | Classic | Coins | College | Colorful | Comics | Countries | Cowboy | Dad | Designer | Dog | Fish | Flag | Flower | Funny | Geek | Gothic | Grunge | Hal...","Universal Fitting Unisex Sports Belt Double Expanding Pockets Cycling, Size M/L"
easy,2996,Character,FREE_TEXT,127815670306,SHM-100GLBH-5X325-SLHD-BLCK-2,"100% Genuine Leather Universal Law Enforcement Badge Holder - Shield",,,"Andrea | Angel | Astro Boy | Atom | Barbie | Batman | Belle | Bill | Black Cat | Black Panther | Blaze | Blue | Boo | Boost | Boots | Boy | Bugs Bunny | Bunny | Buster Brown | Buzz Lightyear | Cable | Captain America | Casey | Charlotte | Cheetah | Chelsea | Child Star | Chris | Cinderella | Clai...","ASR Federal Bifold Leather ID Card Shield Badge Holder Police Gear Smooth Black"
easy,2996,Character,FREE_TEXT,236407324687,ASR-BADGEHOLDER-CASID-WEAVE,"ASR Federal Leather Bifold Minimalist Double ID Card Holder, Black Basketweave",,,"Andrea | Angel | Astro Boy | Atom | Barbie | Batman | Belle | Bill | Black Cat | Black Panther | Blaze | Blue | Boo | Boost | Boots | Boy | Bugs Bunny | Bunny | Buster Brown | Buzz Lightyear | Cable | Captain America | Casey | Charlotte | Cheetah | Chelsea | Child Star | Chris | Cinderella | Clai...","ASR Federal Leather Bifold Minimalist Double ID Card Holder, Black Basketweave"
easy,2996,Character,FREE_TEXT,365938401688,ASR-BADGEHOLDER-CAS2S-WEAVE,"ASR Federal Black Bifold Leather ID Card and Badge Holder Police Gear, Shield, Basketweave",,,"Andrea | Angel | Astro Boy | Atom | Barbie | Batman | Belle | Bill | Black Cat | Black Panther | Blaze | Blue | Boo | Boost | Boots | Boy | Bugs Bunny | Bunny | Buster Brown | Buzz Lightyear | Cable | Captain America | Casey | Charlotte | Cheetah | Chelsea | Child Star | Chris | Cinderella | Clai...","ASR Federal Bifold Leather ID Card Shield Badge Holder Police Gear Basketweave"
easy,2996,Theme,FREE_TEXT,127815670306,SHM-100GLBH-5X325-SLHD-BLCK-2,"100% Genuine Leather Universal Law Enforcement Badge Holder - Shield",,,"80s | 90s | Anime | Army | Art | Aztec | Band | Beach | Beer | Biker | Bird | Bohemian | Butterfly | Cars | Cartoon | Christmas | City | College | Comics | Countries | Cowboy | Dog | Flag | Flower | Geek | Gothic | Grunge | Halloween | Hawaiian | Heart | Hip Hop | Hippie | Hipster | Holiday | Hor...","ASR Federal Bifold Leather ID Card Shield Badge Holder Police Gear Smooth Black"
easy,2996,Theme,FREE_TEXT,236407324687,ASR-BADGEHOLDER-CASID-WEAVE,"ASR Federal Leather Bifold Minimalist Double ID Card Holder, Black Basketweave",,,"80s | 90s | Anime | Army | Art | Aztec | Band | Beach | Beer | Biker | Bird | Bohemian | Butterfly | Cars | Cartoon | Christmas | City | College | Comics | Countries | Cowboy | Dog | Flag | Flower | Geek | Gothic | Grunge | Halloween | Hawaiian | Heart | Hip Hop | Hippie | Hipster | Holiday | Hor...","ASR Federal Leather Bifold Minimalist Double ID Card Holder, Black Basketweave"
easy,2996,Theme,FREE_TEXT,365938401688,ASR-BADGEHOLDER-CAS2S-WEAVE,"ASR Federal Black Bifold Leather ID Card and Badge Holder Police Gear, Shield, Basketweave",,,"80s | 90s | Anime | Army | Art | Aztec | Band | Beach | Beer | Biker | Bird | Bohemian | Butterfly | Cars | Cartoon | Christmas | City | College | Comics | Countries | Cowboy | Dog | Flag | Flower | Geek | Gothic | Grunge | Halloween | Hawaiian | Heart | Hip Hop | Hippie | Hipster | Holiday | Hor...","ASR Federal Bifold Leather ID Card Shield Badge Holder Police Gear Basketweave"
easy,3142,Pattern,FREE_TEXT,236345069139,UPD-INCRED-2-STATIONERY-9PC,"Disney Pixar Incredibles 2 9 pc Stationary Set",,,"Abstract | Animal Print | Camouflage | Checked | Circles | Embroidered | Flag Print | Floral | Geometric | Hearts | Nature Print | Nautical | Paisley | Patchwork | Pictorial | Plaid | Polka Dot | Solid | Striped","Disney Pixar Incredibles 2 9 pc Stationary Set"
