certainty,item_id,sku,name,category_id,aspect,mode,proposed_value,approved_value,reviewer_notes,allowed_values,title
50,126415790575,ASR-WDACS-BUN-3PC-MED-BNDL,"Wolf Dagger 3pc American Flag Knife Collector Set",73522,"Blade Edge",FREE_TEXT,Plain,,,"Plain | Serrated | Combination","Wolf Dagger 3pc American Flag Knife Collector Set"
50,126428136149,NPT-DROPPOINTKNIFE-PARENT,"ASR Tactical Full Tang Paracord Survival Knife with Sheath (Tanto or Drop Point)",73522,"Blade Material",FREE_TEXT,"Stainless Steel",,,"Aluminum | Carbon Steel | Ceramic | Damascus Steel | Rubber | Stainless Steel","ASR Tactical Full Tang Paracord Survival Knife with Sheath (Tanto or Drop Point)"
50,127389838909,UPD-TITANHERO-SPIDERMAN-PARENT,"Marvel Ultimate Spider-Man Titan Hero Series Action Figure 12 Inch (2 Styles)",261068,"Country of Origin",SELECTION_ONLY,China,,,"Afghanistan | Albania | Algeria | Andorra | Angola | Anguilla | Antigua and Barbuda | Argentina | Armenia | Aruba | Australia | Austria | Azerbaijan | Bahamas | Bahrain | Bangladesh | Barbados | Belarus | Belgium | Belize | Benin | Bermuda | Bhutan | Bolivia | Bosnia and Herzegovina | Botswana | ...","Marvel Ultimate Spider-Man Titan Hero Series Action Figure 12 Inch (2 Styles)"
50,127389838933,APL-TRANSFORMCARS-AS-10061,"Kidplokio 2 in 1 Transforming Toys Robot RC Car Lights Sounds Boys Ages 3 and Up",182183,"Age Level",SELECTION_ONLY,"3-4 Years",,,"12 Months & Under | 1-2 Years | 3-4 Years | 4-7 | 8-11 Years | 12-16 Years | 17 Years & Up","Kidplokio 2 in 1 Transforming Toys Robot RC Car Lights Sounds Boys Ages 3 and Up"
50,127389857849,SON-TTX-DRILLBITS-15PC,"Tooltreaux High Speed Stainless Steel Drill Bits Set 1.05 to 2mm 15 Pieces",50382,"Suitable For",FREE_TEXT,Metal,,,"Air Compressor | Air Drill | Angle Grinder | Buffing | Cement | Commercial | Drill | Drywall Compound | Grout | Grout Mixer | Lathe | Liquid | Mortar | Orbital Sander | Oscillating Tool | Paint | Plaster | Polishing | Residential | Rotary Tool | Thinset Mortar | Tile Adhesive | Work Bench","Tooltreaux High Speed Stainless Steel Drill Bits Set 1.05 to 2mm 15 Pieces"
50,127389878180,LST-CONSTRUCTION-YLW,"TychoTyke Construction and Rescue Tools Truck with Light and Sound Yellow",152934,"Age Level",SELECTION_ONLY,"3-4 Years",,,"12 Months & Under | 1-2 Years | 3-4 Years | 4-7 | 8-11 Years | 12-16 Years | 17 Years & Up","TychoTyke Construction and Rescue Tools Truck with Light and Sound Yellow"
50,127389878195,UPD-SPACEJAMHAT-SCBH0005UP,"Space Jam 2 A New Legacy Adjustable Baseball Cap for Kids and Adults Boys Hat",52365,"Fabric Type",FREE_TEXT,Cotton,,,"Canvas | Chiffon | Corduroy | Crochet | Denim | Down | Felt | Flannel | Fleece | Jersey | Knit | Lace | Microfiber | Rayon | Satin | Toile | Tweed | Twill | Velvet","Space Jam 2 Tune Squad Adjustable Baseball Cap for Kids and Adults"
50,127389932541,LST-KARAOKEMIC-PARENT,"Kidplokio Musical Microphone Pretend Play Karaoke Machine Kids MP3 Player",11735,"Age Level",SELECTION_ONLY,"3-4 Years",,,"12 Months & Under | 1-2 Years | 3-4 Years | 4-7 | 8-11 Years | 12-16 Years | 17 Years & Up","Kidplokio Musical Microphone Pretend Play Karaoke Machine Kids MP3 Player"
50,127389932555,UPD-HWMEGAMAT-30764,"Mattel Hot Wheels Felt Mega Mat with Toy Car Kids Road Playset Playroom Rug",776,"Age Level",SELECTION_ONLY,"3-4 Years",,,"12 Months & Under | 1-2 Years | 3-4 Years | 4-7 | 8-11 Years | 12-16 Years | 17 Years & Up","Mattel Hot Wheels Felt Mega Mat with Toy Car Kids Road Playset Playroom Rug"
50,127389932559,LST-KPL-TOUCHPADCASHREG-RED-10PC,"Kidplokio Touch Pad Cash Register for Kids Pretend Play Toy Money Microphone Red",145931,"Age Level",SELECTION_ONLY,"3-4 Years",,,"12 Months & Under | 1-2 Years | 3-4 Years | 4-7 | 8-11 Years | 12-16 Years | 17 Years & Up","Kidplokio Touch Pad Cash Register for Kids Pretend Play Toy Money Microphone Red"
50,127389932572,UPD-FIDGETTOY-PW418-PNK,"Paw Patrol Push Pop It Sensory Fidget Toy Stress Relief for Kids Keychain - Pink",184590,"Age Level",SELECTION_ONLY,"3-4 Years",,,"12 Months & Under | 1-2 Years | 3-4 Years | 4-7 | 8-11 Years | 12-16 Years | 17 Years & Up","Paw Patrol Push Pop It Sensory Fidget Toy Stress Relief for Kids Keychain - Pink"
50,235480965695,NPT-ANIMALHUNTINGKNIFE-PARENT,"ASR Outdoor 13.5"" Collector's Hunting Knife with Animal Head Pommel",73522,"Blade Edge",FREE_TEXT,Plain,,,"Plain | Serrated | Combination","ASR Outdoor 13.5"" Collector's Hunting Knife with Animal Head Pommel Many Styles"
50,235540665153,UPD-HELI-IRBALL-SW-PARENT,"Star Wars UFO Ball Helicopter Mandalorian Yoda Stormtrooper Kids Toy Mini Copter",123847,"Age Level",SELECTION_ONLY,4-7,,,"12 Months & Under | 1-2 Years | 3-4 Years | 4-7 | 8-11 Years | 12-16 Years | 17 Years & Up","Star Wars UFO Ball Helicopter Mandalorian Yoda Stormtrooper Kids Toy Mini Copter"
50,235578359942,NPT-STK440SS-3PC-6-SLVR,"ASR Tactical 3 Piece Throwing Knife Set 440 Stainless Steel with Compact Carrying Case",73522,"Blade Edge",FREE_TEXT,Plain,,,"Plain | Serrated | Combination","3 Piece Throwing Knife Set 440 Stainless Steel with Compact Carrying Case"
50,235588568699,SON-10SCHHSMFM-2,"ASR Outdoor 10 inch Stone Carving Hammer Hardened Steel Mallet for Masonry",20763,"Handle Material",FREE_TEXT,Steel,,,"ABS | ABS Plastic | Aluminum | Carbon Steel | Cast Iron | CFRP | Concrete | Epoxy Resin | Fiberglass | Forged Steel | Galvanized Steel | GRP | Hardwood | Iron | Latex | Metal | Neodymium | Nylon | Plastic | Polypropylene | Polystyrene | PVC | Rubber | Stainless Steel | Steel | Titanium | Wood","10"" Stone Carving Hammer Hardened Steel Mallet for Masonry"
50,235612248029,LST-DIECASTCARSET-PARENT,"KidPlay Deluxe Die Cast Car City Set Racing Airport Military Fire Construction",180506,"Age Level",SELECTION_ONLY,"3-4 Years",,,"12 Months & Under | 1-2 Years | 3-4 Years | 4-7 | 8-11 Years | 12-16 Years | 17 Years & Up","KidPlay Deluxe Die Cast Car City Set Racing Airport Military Fire Construction"
50,236025492026,SON-ASRO-SSCOFFEEMUG-PARENT,"ASR Outdoor 304 Stainless Steel Coffee Mug with Collapsible Handles Camping Essentials, Brushed Silver (12oz or 22oz)",181383,Shape,FREE_TEXT,Round,,,"Oval | Rectangle | Round | Square","ASR Outdoor 304 Stainless Steel Coffee Mug with Collapsible Handles (2 Sizes)"
50,236088941803,LST-KPL-65PCDIECASTCARSET-PARENT,"Kidplokio 65pc Pretend Play Diecast Cars Playset for Boys Ages 3 and Up (5 Styles)",180506,"Age Level",SELECTION_ONLY,"3-4 Years",,,"12 Months & Under | 1-2 Years | 3-4 Years | 4-7 | 8-11 Years | 12-16 Years | 17 Years & Up","Kidplokio 65pc Pretend Play Diecast Cars Playset Boys Ages 3 and Up (5 Themes)"
50,236345031413,APL-SUBSHARK-AS-9445,"Kidplokio Boys 7pc Submarine Shark Diecast Toy Car Carrier Transporter, Age 3 up",180506,"Age Level",SELECTION_ONLY,"3-4 Years",,,"12 Months & Under | 1-2 Years | 3-4 Years | 4-7 | 8-11 Years | 12-16 Years | 17 Years & Up","Kidplokio Boys 7pc Submarine Shark Diecast Toy Car Carrier Transporter, Age 3 up"
50,236345031420,LST-KPKO-DANCEDINO-JQ2210-BRW,"Kidplokio RC Remote Control Dinosaur T Rex Toys for Boys, LED Lights Sounds, Brown, Ages 3+",84912,"Age Level",SELECTION_ONLY,"3-4 Years",,,"12 Months & Under | 1-2 Years | 3-4 Years | 4-7 | 8-11 Years | 12-16 Years | 17 Years & Up","Kidplokio RC Remote Control Brown T Rex Dinosaur Toys with LED Lights, Sounds,"
50,236345056420,SON-SJSIMRS999-PS-STL-BUND-1,"SE 91999MS Silver Metal Marking 999 Stamp",262020,"Suitable For",FREE_TEXT,Jewelry,,,"Bead Stringing | Casting | Cutting | Enameling | Engraving | Grinding | Identification/Testing | Jewelry Making | Measuring | Metal Embossing | Metalsmithing | Polishing | Punching/Stamping | Sawing | Setting | Shaping | Sizing | Soldering | Wire Working","Silver Jewelry Making Tool Inscription Signature Marking Ring Stamp 999"
50,236345056434,LST-KPL-DINOTRUCKCARCARRIER-PARENT,"Kidplokio 3 in 1 Ultimate T Rex Diecast Cars Transporter Truck Toy (2 Colors)",180506,"Age Level",SELECTION_ONLY,"3-4 Years",,,"12 Months & Under | 1-2 Years | 3-4 Years | 4-7 | 8-11 Years | 12-16 Years | 17 Years & Up","Kidplokio 3 in 1 Ultimate T Rex Diecast Cars Transporter Truck Toy (2 Colors)"
50,236345069128,UPD-HKLUNCHBAG-B24HK60435-BUN,"Hello Kitty 9 Inch Rectangle Lunch Bag School Tote Bag for Girls Age 3 and Up",101428,Material,FREE_TEXT,Polyester,,,"100% Cashmere | 100% Cotton | 100% Linen | 100% Polyester | 100% Wool | Acetate | Acrylic | Alfa | Alginate | Alpaca | Aluminum | Angora | Angora Rabbit Wool | Animal Hair | Aramid | Bamboo | Beaver | BPA-Free Plastic | Brass | Broom | Camel | Canvas | Cashgora | Ceramic | Cloth | Coir | Cotton |...","Hello Kitty Cartoon 9 Inch Rectangle Lunch Bag School Food Tote for Girls Age 3+"
50,236345069130,LST-KPL-DIYPOLCESTATIONKIT-BLU-660A2,"Kidplokio 8pc City Transport Playmat Set Friction Power Police Cars Boys 3 and Up",177918,"Age Level",SELECTION_ONLY,"3-4 Years",,,"12 Months & Under | 1-2 Years | 3-4 Years | 4-7 | 8-11 Years | 12-16 Years | 17 Years & Up","Kidplokio 41pc Police Station for Toy Cars Playset, Blue, Boys, Ages 3+"
50,236345069178,LST-LUDDRTDPWRC-2PC-LG-BRWN,"Light Up Dancing Dino RC T-Rex Dinosaur Predator With Radio Control - Brown",84912,"Age Level",SELECTION_ONLY,"3-4 Years",,,"12 Months & Under | 1-2 Years | 3-4 Years | 4-7 | 8-11 Years | 12-16 Years | 17 Years & Up","Light Up Dancing Dino RC T-Rex Dinosaur Predator With Radio Control - Brown"
50,236345137175,LST-KPKO-DANCEDINO-JQ2210-GRN,"Kidplokio RC Remote Control Dinosaur T Rex Toys for Boys, LED Lights Sounds, Green, Ages 3+",84912,"Age Level",SELECTION_ONLY,"3-4 Years",,,"12 Months & Under | 1-2 Years | 3-4 Years | 4-7 | 8-11 Years | 12-16 Years | 17 Years & Up","Kidplokio RC Remote Control Green T Rex Dinosaur Toys with LED Lights, Sounds,"
50,236345137191,LST-CONSTRUCTION-KPL-PARENT,"Kidplokio Assorted Truck Toys with Action Figures Lights Sounds Playset, Ages 3 and Up (3 Styles)",180506,"Age Level",SELECTION_ONLY,"3-4 Years",,,"12 Months & Under | 1-2 Years | 3-4 Years | 4-7 | 8-11 Years | 12-16 Years | 17 Years & Up","Kidplokio Assorted Truck Toys Action Figures Lights Sounds Playset (2 Themes)"
