item_id,sku,name,category_id,aspect,importance,mode,proposed_value,source,ai_generated,status,title
364483533791,SONA-CUTTINGMAT-PARENT,"Hobby and Craft Self Healing Thick Cutting Board Mat - Multiple Sizes",183175,MPN,required,FREE_TEXT,71604,usurper:mpn,no,ok,"Hobby and Craft Self Healing Thick Cutting Board Mat - Multiple Sizes"
365879907991,SON-SANDSCOOPER-LARGE-PARENT,"ASR Outdoor Large Mineral Gold Prospecting Pay Dirt Hand Trowel",163824,MPN,required,FREE_TEXT,ASRO125GSS-673,usurper:mpn,no,ok,"ASR Outdoor Large Mineral Gold Prospecting Pay Dirt Hand Trowel"
365879935283,DLT-LICENSEDMARKER-MINI-PARENT,"Licensed Characters Art Supplies Non-Toxic Mini Felt Marker Set for Kids - 8pc",116656,MPN,required,FREE_TEXT,,usurper:mpn_ebay,no,no_source_value,"Licensed Characters Art Supplies Non-Toxic Mini Felt Marker Set for Kids - 8pc"
366005344632,LST-SPACECINCHSET-3PC-PARENT,"Kidplokio 3pc Space Toy Bundle Sword Space Blaster and Superhero Cinch Bag Boys 3 and Up (2 Colors)",261068,Character,recommended,FREE_TEXT,Superheroes,usurper:character_ebay,no,ok,"Kidplokio 3pc Space Toy Bundle Sword Blaster and Superhero Cinch Bag (2 Colors)"
235528772889,4SN-TOUCHWATCH-56920-PARENT,"Licensed Girls LED Display Digital Touch Screen Watch for Kids (18 Styles)",31387,Model,recommended,FREE_TEXT,,usurper:model,no,no_source_value,"Licensed Kids LED Display Digital Touch Screen Watch Boys Girls Cartoons"
127488196314,LST-GALAXYSRD-PARENT,"Kidplokio Galaxy Space Sword Interactive Toy Real Lights and Sounds (2 Colors)",261068,Franchise,recommended,FREE_TEXT,,usurper:character_ebay,no,no_source_value,"Kidplokio Galaxy Space Sword Interactive Toy Real Lights and Sounds (2 Colors)"
236344962456,4SN-TOTE-BABYYODA-2PK-BUN,"Star Wars Baby Yoda 2 Pack Non Woven Tote Bag Kids Travel Bag Ages 3 and Up",261068,Franchise,recommended,FREE_TEXT,,usurper:character_ebay,no,no_source_value,"Star Wars Baby Yoda 2 Pack Non Woven Tote Bag Kids Travel Bag Ages 3 and Up"
236460252577,LST-SPCSWRDBAG-PARENT,"Kidplokio 2pc Space Gift Bundle Toy Sword and Superhero Cinch Bag  (2 Colors)",261068,Franchise,recommended,FREE_TEXT,Superheroes,usurper:character_ebay,no,ok,"Kidplokio 2pc Space Gift Bundle Toy Sword and Superhero Cinch Bag  (2 Colors)"
365879996393,UPD-DODROID-SW14231-BUN,"Star Wars Bump N Go D-O with Authentic Voice Kids Plush Toy Action Figure Doll",261068,Franchise,recommended,FREE_TEXT,D-O,usurper:character_ebay,no,ok,"Star Wars Bump N Go D-O with Authentic Voice Kids Plush Toy Action Figure Doll"
366005344632,LST-SPACECINCHSET-3PC-PARENT,"Kidplokio 3pc Space Toy Bundle Sword Space Blaster and Superhero Cinch Bag Boys 3 and Up (2 Colors)",261068,Franchise,recommended,FREE_TEXT,Superheroes,usurper:character_ebay,no,ok,"Kidplokio 3pc Space Toy Bundle Sword Blaster and Superhero Cinch Bag (2 Colors)"
235148716431,WTB-XMAS-NEW-2022-COZY-BLANKET,"ASR Outdoor Ultrasoft Southwest Navajo Fleece Throw Blanket, 60x80 (Many Colors)",175750,Character,recommended,FREE_TEXT,,usurper:character_ebay,no,no_source_value,"ASR Outdoor Queen Size 60x80 Southwest Wilderness Adventure Fleece Throw Blanket"
