item_id,sku,name,category_id,aspect,mode,proposed_value,source,ai_generated,certainty,status,title
127488196314,LST-GALAXYSRD-PARENT,"Kidplokio Galaxy Space Sword Interactive Toy Real Lights and Sounds (2 Colors)",,Features,,"Lights and Sounds",llm,yes,95,ok,"Kidplokio Galaxy Space Sword Interactive Toy Real Lights and Sounds (2 Colors)"
127488196314,LST-GALAXYSRD-PARENT,"Kidplokio Galaxy Space Sword Interactive Toy Real Lights and Sounds (2 Colors)",261068,"Original/Licensed Reproduction",SELECTION_ONLY,Original,llm,yes,70,ok,"Kidplokio Galaxy Space Sword Interactive Toy Real Lights and Sounds (2 Colors)"
236344962456,4SN-TOTE-BABYYODA-2PK-BUN,"Star Wars Baby Yoda 2 Pack Non Woven Tote Bag Kids Travel Bag Ages 3 and Up",261068,Franchise,FREE_TEXT,"Star Wars",llm,yes,96,ok,"Star Wars Baby Yoda 2 Pack Non Woven Tote Bag Kids Travel Bag Ages 3 and Up"
236344962456,4SN-TOTE-BABYYODA-2PK-BUN,"Star Wars Baby Yoda 2 Pack Non Woven Tote Bag Kids Travel Bag Ages 3 and Up",261068,Theme,FREE_TEXT,"Star Wars",llm,yes,92,ok,"Star Wars Baby Yoda 2 Pack Non Woven Tote Bag Kids Travel Bag Ages 3 and Up"
236344962456,4SN-TOTE-BABYYODA-2PK-BUN,"Star Wars Baby Yoda 2 Pack Non Woven Tote Bag Kids Travel Bag Ages 3 and Up",261068,"TV Show",FREE_TEXT,"The Mandalorian",llm,yes,70,ok,"Star Wars Baby Yoda 2 Pack Non Woven Tote Bag Kids Travel Bag Ages 3 and Up"
236344962456,4SN-TOTE-BABYYODA-2PK-BUN,"Star Wars Baby Yoda 2 Pack Non Woven Tote Bag Kids Travel Bag Ages 3 and Up",261068,"Original/Licensed Reproduction",SELECTION_ONLY,"Licensed Reproduction",llm,yes,85,ok,"Star Wars Baby Yoda 2 Pack Non Woven Tote Bag Kids Travel Bag Ages 3 and Up"
236460252577,LST-SPCSWRDBAG-PARENT,"Kidplokio 2pc Space Gift Bundle Toy Sword and Superhero Cinch Bag  (2 Colors)",261068,"Original/Licensed Reproduction",SELECTION_ONLY,Original,llm,yes,65,ok,"Kidplokio 2pc Space Gift Bundle Toy Sword and Superhero Cinch Bag  (2 Colors)"
365879996393,UPD-DODROID-SW14231-BUN,"Star Wars Bump N Go D-O with Authentic Voice Kids Plush Toy Action Figure Doll",261068,Franchise,FREE_TEXT,"Star Wars",llm,yes,96,ok,"Star Wars Bump N Go D-O with Authentic Voice Kids Plush Toy Action Figure Doll"
365879996393,UPD-DODROID-SW14231-BUN,"Star Wars Bump N Go D-O with Authentic Voice Kids Plush Toy Action Figure Doll",261068,Theme,FREE_TEXT,"Star Wars",llm,yes,92,ok,"Star Wars Bump N Go D-O with Authentic Voice Kids Plush Toy Action Figure Doll"
365879996393,UPD-DODROID-SW14231-BUN,"Star Wars Bump N Go D-O with Authentic Voice Kids Plush Toy Action Figure Doll",261068,Movie,FREE_TEXT,"Star Wars: The Rise of Skywalker",llm,yes,62,ok,"Star Wars Bump N Go D-O with Authentic Voice Kids Plush Toy Action Figure Doll"
