item_id,sku,aspect,varied_by,before,after
126112000074,CARABINER-JUMBO-PARENT,Item Length,,6.5,6.5 in
126165743707,MCN-CAMOFORMGEARWRAP-PARENT,Item Height,,8,8 in
126165743707,MCN-CAMOFORMGEARWRAP-PARENT,Item Length,,4,4 in
126165743707,MCN-CAMOFORMGEARWRAP-PARENT,Item Width,,2.5,2.5 in
126165743707,MCN-CAMOFORMGEARWRAP-PARENT,Size,,"2"" x 144""",2 in x 144 in
126335800057,UNI-TENTPEGS-PARENT,Item Height,,1,1 in
126335800057,UNI-TENTPEGS-PARENT,Item Length,,10,10 in
126335800057,UNI-TENTPEGS-PARENT,Item Weight,,6,6 lb
126335800057,UNI-TENTPEGS-PARENT,Item Width,,1,1 in
126370118291,PRF-FITNESSPOSTERSLAM-PARENT,Item Height,,3,3 in
126370118291,PRF-FITNESSPOSTERSLAM-PARENT,Item Length,,25,25 in
126370118291,PRF-FITNESSPOSTERSLAM-PARENT,Item Width,,3,3 in
126419572927,SON-FLINTWHISTLE-PARENT,Item Height,,1,1 in
126419572927,SON-FLINTWHISTLE-PARENT,Item Length,,7,7 in
126419572927,SON-FLINTWHISTLE-PARENT,Item Weight,,0.08,0.08 lb
126419572927,SON-FLINTWHISTLE-PARENT,Item Width,,3.5,3.5 in
126439889445,IGE-BSHCDSTU-36W,Item Height,,1.2,1.2 in
126439889445,IGE-BSHCDSTU-36W,Item Weight,,0.3,0.3 lb
126439889445,IGE-BSHCDSTU-36W,Item Width,,5.3,5.3 in
126450542804,PRF-YOGAPOSTER-PARENT,Item Height,,2.5,2.5 in
126450542804,PRF-YOGAPOSTER-PARENT,Item Length,,24,24 in
126450542804,PRF-YOGAPOSTER-PARENT,Item Width,,2.5,2.5 in
126459398545,SON-JUMBOBINERS-PARENT,Item Length,,6.5,6.5 in
126462946756,MCN-2PKCAMOFORM-PARENT,Item Height,,8,8 in
126462946756,MCN-2PKCAMOFORM-PARENT,Item Length,,4,4 in
126462946756,MCN-2PKCAMOFORM-PARENT,Item Width,,2.5,2.5 in
126469785044,SON-DIAMONDBURRBITSET-PARENT,Item Height,,3,3 in
126469785044,SON-DIAMONDBURRBITSET-PARENT,Item Length,,6,6 in
126469785044,SON-DIAMONDBURRBITSET-PARENT,Item Weight,,0.8,0.8 lb
126469785044,SON-DIAMONDBURRBITSET-PARENT,Item Width,,5,5 in
126470733996,4SN-DOVEHANDSOAP-PARENT,Item Weight,,0.3,0.3 lb
126470733996,4SN-DOVEHANDSOAP-PARENT,Size,,4oz,4 oz
127174728310,SHM-HDTIPFAO-STD-SLVR,Item Weight,,0.1,0.1 lb
127174728310,SHM-HDTIPFAO-STD-SLVR,Overall Length,,9.25,9.25 in
127365667688,26C-BLE-CERAMICRAMEKINS-4PC-BUN,Item Length,,3.25,3.25 in
127365667688,26C-BLE-CERAMICRAMEKINS-4PC-BUN,Item Weight,,Less than 2 lbs,Less than 2 lb
127365667688,26C-BLE-CERAMICRAMEKINS-4PC-BUN,Item Width,,3.25,3.25 in
127389768411,SON-475POCKETKNIFE-CAMO-PARENT,Size,,"4.75""",4.75 in
127389838882,DOY-GARDENKIT-BUN,Item Length,,15,15 in
127389838887,HWK-LEATHAPRON-PARENT,Item Height,,1,1 in
127389838887,HWK-LEATHAPRON-PARENT,Item Length,,36,36 in
127389838887,HWK-LEATHAPRON-PARENT,Item Weight,,1.22,1.22 lb
127389838887,HWK-LEATHAPRON-PARENT,Item Width,,25,25 in
127389838894,MCN-SEAMGRIPFC-PARENT,Item Height,,8,8 in
127389838894,MCN-SEAMGRIPFC-PARENT,Item Length,,5.75,5.75 in
127389838894,MCN-SEAMGRIPFC-PARENT,Item Weight,,0.2,0.2 lb
127389838894,MCN-SEAMGRIPFC-PARENT,Item Width,,1.5,1.5 in
127389838909,UPD-TITANHERO-SPIDERMAN-PARENT,Item Height,,2,2 in
127389838909,UPD-TITANHERO-SPIDERMAN-PARENT,Item Length,,12,12 in
127389838912,PF-POSTER-DUMBBELL-PARENT,Item Height,,2.5,2.5 in
127389838912,PF-POSTER-DUMBBELL-PARENT,Item Length,,24,24 in
127389838912,PF-POSTER-DUMBBELL-PARENT,Item Width,,2.5,2.5 in
127389838912,PF-POSTER-DUMBBELL-PARENT,Size,,"24"" x 36""",24 in x 36 in
127389838920,SON-SSESM-SML-SLVR,Item Weight,,0.3,0.3 lb
127389838930,SON-500POCKETKNIFE-CLIPPOINT-PARENT,Size,,"5""",5 in
127389838951,4SN-WALLCLOCK-PARENT,Item Height,,1.75,1.75 in
127389838951,4SN-WALLCLOCK-PARENT,Item Length,,12.5,12.5 in
127389838951,4SN-WALLCLOCK-PARENT,Item Weight,,0.8,0.8 lb
127389838951,4SN-WALLCLOCK-PARENT,Item Width,,10.5,10.5 in
127389838952,ASR-AOBSCWBB-PARENT,Item Length,,4,4 in
127389838952,ASR-AOBSCWBB-PARENT,Item Width,,2,2 in
127389857805,ASR-GTWATMWST-BUN-2PC-BNDL,Item Height,,0.25,0.25 in
