category_id,category_path,listing_count,upc_support,ean_support,isbn_support
15913,"Collectibles|Science & Medicine (1930-Now)|Mining|Equipment",185,DISABLED,DISABLED,DISABLED
262020,"Jewelry & Watches|Jewelry Care, Design & Repair|Jewelry Tools & Workbenches",47,ENABLED,DISABLED,DISABLED
73522,"Collectibles|Knives, Swords & Blades|Collectible Fixed Blade Knives|Modern Fixed Blade|Factory Manufactured",36,DISABLED,DISABLED,DISABLED
181415,"Sporting Goods|Camping & Hiking|Outdoor Survival Gear|Other Outdoor Survival Gear",27,ENABLED,DISABLED,DISABLED
163824,"Business & Industrial|Test, Measurement & Inspection|Test Meters & Detectors|Metal Detector Accessories",26,REQUIRED,DISABLED,DISABLED
48818,"Collectibles|Knives, Swords & Blades|Collectible Folding Knives|Modern Folding Knives|Factory Manufactured",20,DISABLED,DISABLED,DISABLED
180506,"Toys & Hobbies|Diecast & Toy Vehicles|Cars, Trucks & Vans|Contemporary Manufacture",20,ENABLED,DISABLED,DISABLED
36120,"Sporting Goods|Camping & Hiking|Tents & Canopies|Tent & Canopy Accessories",19,ENABLED,DISABLED,DISABLED
42362,"Home & Garden|Tools & Workshop Equipment|Tool Boxes & Storage|Tool Bags, Belts & Pouches",16,ENABLED,DISABLED,DISABLED
181413,"Sporting Goods|Camping & Hiking|Outdoor Survival Gear|Paracord & Paracord Supplies",15,ENABLED,DISABLED,DISABLED
52373,"Clothing, Shoes & Accessories|Men|Men's Accessories|Key Chains, Rings & Cases",14,ENABLED,DISABLED,DISABLED
260207,"Home & Garden|Tools & Workshop Equipment|Power Tool & Air Tool Accessories|Rotary Tool Accessories",14,ENABLED,DISABLED,DISABLED
27362,"Sporting Goods|Camping & Hiking|Clothing|Other Camping, Hiking Clothing",14,ENABLED,DISABLED,DISABLED
260988,"Clothing, Shoes & Accessories|Kids|Backpacks & Bags",13,ENABLED,DISABLED,DISABLED
75236,"Sporting Goods|Camping & Hiking|Camping Knives & Tools|Multi-Tools",12,ENABLED,DISABLED,DISABLED
22700,"Sporting Goods|Hunting|Gun Smithing & Maintenance|Cleaning Supplies",12,ENABLED,DISABLED,DISABLED
50382,"Home & Garden|Tools & Workshop Equipment|Power Tool & Air Tool Accessories|Drill Bits",12,ENABLED,DISABLED,DISABLED
20763,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Hammers & Mallets",12,ENABLED,DISABLED,DISABLED
8504,"Sporting Goods|Camping & Hiking|Other Camping & Hiking",11,REQUIRED,DISABLED,DISABLED
19172,"Toys & Hobbies|Preschool Toys & Pretend Play|Dress-Up, Costumes",11,ENABLED,DISABLED,DISABLED
16037,"Sporting Goods|Camping & Hiking|Flashlights, Lanterns & Lights|Flashlights",11,ENABLED,DISABLED,DISABLED
28009,"Art|Art Posters",10,ENABLED,DISABLED,DISABLED
20761,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Clamps & Vises",10,ENABLED,DISABLED,DISABLED
29574,"Sporting Goods|Water Sports|Wetsuits & Drysuits|Other Wetsuits & Drysuits",9,ENABLED,DISABLED,DISABLED
