"sku","parent.sku","brand_ebay","color","country_of_origin","type","model","features_ebay","theme","pattern","shape","prop65_warn_type","suitable_for","warranty","department_ebay","material","height","length","package_includes","number_of_pieces","weight","width","mpn","mpn_ebay","name"
"SON-STEELDIGGER-GRN","","ASR Outdoor","Green","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","None","","Steel","2.5","12","(1) ASR Outdoor Serrated Edge Digger","","1","3.5","ASROCSGPTGRN","","ASR Outdoor 13"" Gold Rush Prospectors Trowel Pay Dirt Steel Edge Digger"
"MCN-WILDERNESSTRAVELGUIDE","","Gear Aid","Standard","United States","","FAKWG-C-580","","","","","","","","","Assorted","0.5","6","(1) Comprehensive Wilderness Medicine Guide","","0.3","4","FAKWG-C-580","","Wilderness Travel Medicine Emergency Guide"
"4SN-BEAUTYTOOLKIT-9PC-BUN","4SN-BEAUTYTOOLKIT-PARENT","","","","","","","","","","","","","","","","","","","","","","","ToolTreaux Beauty Tool Kit Nail Clipper Brush Eyelash Curler Pore Cleaner - 9pc"
"4SN-BLACKKNIFESET-4PC","","","Black","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","Stainless Steel","1","13","(5) Essential Kitchen Knives","","0.84","2","UHBSSKS4PC","","Beille 5 Piece Home Ergonomic Kitchen Knives Set, 5 Knife Essential Bundle"
"4SN-CALLUSREMOV-BLU-42121","","Home Essentials","Blue","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","0.25","8","(1) Callus Remover","","0.15","1.25","HECALRBLU1","","Home Essentials Manicure Pedicure Foot Scrubber Foot File Callus Remover - Blue"
"4SN-FINGERLINGS-DIARY-10408","","","Purple","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","Paper","2.25","8.75","(1) Diary(1) Lock(1) Pen(1) Stamp Ink Pad(1) Stamp(2) Keys(2) Sticker Sheets","","0.6","9","FSD","","KidPlay Products Fingerlings Friendship at your Fingertips Secret Diary 7 Pieces"
"4SN-JOJOTOOTHBRUSH-CAP","","Brush Buddies","Pink","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","0.5","6","(1) Assorted JoJo Siwa Toothbrush","","0.04","1.5","BBJOJOBCAP4STY","","JoJo Siwa Brush Buddies Kids Toothbrush Ultra Soft Bristles with Plastic Cap"
"SON-DSSWCCPASSWC-625X25-SLVR","","Universal Hobby","Silver","India","","12WCPS","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Stainless Steel","0.5","8","(12) Pick and Spatula Carvers(1) Carrying case","13","0.51","2.5","12WCPS","","Dual Sided 12pc Wax Clay Carving Pick Spatula Tool Set with Case Arts and Crafts"
"SON-SSSWCTS-7PC","SON-SSDESWCT-PARENT","","","","","","","","","","","","","","","","","","","","","","","Universal Tool Spatula Wax Carver Ceramic Pottery Double Ended Tool Set, 7pc"
"ASR-ASROUTDOORBLACKSTRETCH","ASR-AOBSCWBB-PARENT","","Black","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","1","4","* (100) ASR Outdoor Black Stretch Cord","","3.82","2","100PKBBCS","","ASR Outdoor Black Stretch Shock Cord Plastic Ball Utility Cord Camping Tool 100pk"
"ASR-ASROUTDOORGREENGLOW","","ASR Outdoor","green","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","2","6","","","0.3","1","ASROFGGL","","(3 Pack) ASR Outdoor Emergency Glow Stick BOB High Visibility Safety Light"
