"sku","parent.sku","character_ebay","handle_material_ebay","age_group","style_ebay","blade_edge_type_amazon","recommended_age_range","voltage_ebay","dexterity_walmart","power_source","blade_length_ebay","care_instructions_amazon","occasion","capacity","blade_material_ebay","ingredients_amazon","battery_technology_ebay","fill_material_type_amazon","sport_type_amazon","fragrance","fabric_type_amazon","formulation","frame_material","name"
"SON-STEELDIGGER-GRN","","","","Adult","","","","","","","","","","","","","","","","","","","","ASR Outdoor 13"" Gold Rush Prospectors Trowel Pay Dirt Steel Edge Digger"
"MCN-WILDERNESSTRAVELGUIDE","","","","","","","","","","","","","","","","","","","","","","","","Wilderness Travel Medicine Emergency Guide"
"4SN-BEAUTYTOOLKIT-9PC-BUN","4SN-BEAUTYTOOLKIT-PARENT","","","","","","","","","","","","","","","","","","","","","","","ToolTreaux Beauty Tool Kit Nail Clipper Brush Eyelash Curler Pore Cleaner - 9pc"
"4SN-BLACKKNIFESET-4PC","","","","","","straight_edged","","","","","","","","","","","","","","","","","","Beille 5 Piece Home Ergonomic Kitchen Knives Set, 5 Knife Essential Bundle"
"4SN-CALLUSREMOV-BLU-42121","","","","Adult","","","","","","","","","","","","","","","","","","","","Home Essentials Manicure Pedicure Foot Scrubber Foot File Callus Remover - Blue"
"4SN-FINGERLINGS-DIARY-10408","","","","","","","","","","","","","","","","","","","","","","","","KidPlay Products Fingerlings Friendship at your Fingertips Secret Diary 7 Pieces"
"4SN-JOJOTOOTHBRUSH-CAP","","","","","","","","","","","","","","","","","","","","","","","","JoJo Siwa Brush Buddies Kids Toothbrush Ultra Soft Bristles with Plastic Cap"
"SON-DSSWCCPASSWC-625X25-SLVR","","","","Adult","","","","","","","","","","","","","","","","","","","","Dual Sided 12pc Wax Clay Carving Pick Spatula Tool Set with Case Arts and Crafts"
"SON-SSSWCTS-7PC","SON-SSDESWCT-PARENT","","","","","","","","","","","","","","","","","","","","","","","Universal Tool Spatula Wax Carver Ceramic Pottery Double Ended Tool Set, 7pc"
"ASR-ASROUTDOORBLACKSTRETCH","ASR-AOBSCWBB-PARENT","","","Adult","","","","","","","","","","","","","","","","","","","","ASR Outdoor Black Stretch Shock Cord Plastic Ball Utility Cord Camping Tool 100pk"
"ASR-ASROUTDOORGREENGLOW","","","","Adult","","","","","","","","","","","","","","","","","","","","(3 Pack) ASR Outdoor Emergency Glow Stick BOB High Visibility Safety Light"
"ASR-BFTOU-BUN-3PK-STD-SLVR","","","","Adult","","","","","","","","","","","","","","","","","","","","(3 Pack) ASR Outdoor Extendable Marshmallow Toaster Telescoping BBQ Fork Utensil"
"ASR-EDACS-BUN-3PC-MED-BNDL","","","","Adult","","","","","","","Over 5in.","","","","Stainless Steel","","","","","","","","","Bald Eagle Dagger 3pc American Flag Knife Collector Set"
"ASR-ETB84X-BUN-24PK-84X52-SLVR","","","","Adult","","","","","","","","","","","","","","","","","","","","ASR Outdoor Emergency Mylar Outdoor Blanket Insulated Thermal Reflector, 24pk"
