"sku","parent.sku","name","season","tang_ebay","room","closure_amazon","head_material_type_amazon","hair_type_amazon","size_ebay","skin_type_amazon","blade_type_ebay","compatible_devices_amazon","blade_color_ebay","gender","battery_included_ebay","gun_type_ebay","finish_type_amazon","coarseness","cut","for_gun_make","compatible_model","form","thickness","size_type"
"SON-STEELDIGGER-GRN","","ASR Outdoor 13"" Gold Rush Prospectors Trowel Pay Dirt Steel Edge Digger","","","","","","","","","","","","unisex","","","","","","","","","",""
"MCN-WILDERNESSTRAVELGUIDE","","Wilderness Travel Medicine Emergency Guide","","","","","","","","","","","","","","","","","","","","","",""
"4SN-BEAUTYTOOLKIT-9PC-BUN","4SN-BEAUTYTOOLKIT-PARENT","ToolTreaux Beauty Tool Kit Nail Clipper Brush Eyelash Curler Pore Cleaner - 9pc","","","","","","","","","","","","","","","","","","","","","",""
"4SN-BLACKKNIFESET-4PC","","Beille 5 Piece Home Ergonomic Kitchen Knives Set, 5 Knife Essential Bundle","","","","","","","","","","","","unisex","","","","","","","","","",""
"4SN-CALLUSREMOV-BLU-42121","","Home Essentials Manicure Pedicure Foot Scrubber Foot File Callus Remover - Blue","","","","","","","","","","","","unisex","","","","","","","","","",""
"4SN-FINGERLINGS-DIARY-10408","","KidPlay Products Fingerlings Friendship at your Fingertips Secret Diary 7 Pieces","","","","","","","","","","","","unisex","","","","","","","","","",""
"4SN-JOJOTOOTHBRUSH-CAP","","JoJo Siwa Brush Buddies Kids Toothbrush Ultra Soft Bristles with Plastic Cap","","","","","","","","","","","","female","","","","","","","","","",""
"SON-DSSWCCPASSWC-625X25-SLVR","","Dual Sided 12pc Wax Clay Carving Pick Spatula Tool Set with Case Arts and Crafts","","","","","","","","","","","","Unisex","","","","","","","","","",""
"SON-SSSWCTS-7PC","SON-SSDESWCT-PARENT","Universal Tool Spatula Wax Carver Ceramic Pottery Double Ended Tool Set, 7pc","","","","","","","","","","","","","","","","","","","","","",""
"ASR-ASROUTDOORBLACKSTRETCH","ASR-AOBSCWBB-PARENT","ASR Outdoor Black Stretch Shock Cord Plastic Ball Utility Cord Camping Tool 100pk","","","","","","","","","","","","Unisex","","","","","","","","","",""
