item_id,sku,category_id,aspect,reason
254735968039,MCN-TENACIOUSTAPE-PARENT-AMZ,36120,"Mounting Type","repair tape, not hardware-mounted"
254913999821,SON-7DCFFS6DG-6PC-7E-RD,178974,"Item Diameter","flat file set, no diameter"
255457181082,MCN-SEAMGRIPWP-PARENT,36120,"Mounting Type","sealant adhesive, not hardware-mounted"
256264332056,MCN-GAMEAACCRA-3PC-SML-CLR-PARENT,36120,"Mounting Type","adhesive, not hardware-mounted"
256376275265,MCN-SEAMGRIP-REPAIRKIT-PARENT,36120,"Mounting Type","repair kit adhesive, not hardware-mounted"
256380454290,MCN-NIGLO-PARENT,52373,Accents,"plain utility glow keychain, no decorative accents"
256380454290,MCN-NIGLO-PARENT,52373,Character,"plain utility keychain, no licensed character"
256380454290,MCN-NIGLO-PARENT,52373,"Character Family","plain utility keychain, no character family"
256380454290,MCN-NIGLO-PARENT,52373,Pattern,"plain glow keychain, no decorative pattern"
256380454290,MCN-NIGLO-PARENT,52373,"Personalization Instructions","not a personalized product"
256380454290,MCN-NIGLO-PARENT,52373,Theme,"plain utility keychain, no theme"
256446183297,MCN-MTRFT-3X20E-PARENT,36120,"Mounting Type","reflective tape, not hardware-mounted"
256446183453,MCN-TTAPE-SILNYLON-3X5-PARENT,36120,"Mounting Type","repair patches, not hardware-mounted"
256446183485,MCN-TACMICRTERTOWEL-PARENT-HPN-2,181398,"Set Includes","single towel, not a set"
256446183505,MCN-TENTAPE-GEARPATCHES-PARENT,36120,"Mounting Type","repair patches, not hardware-mounted"
256446183545,MCN-ELSTIC-SHOCKCORD-HPNR,36120,"Mounting Type","elastic shock cord, not hardware-mounted"
256462817220,SON-GOLDMAT-GP-SB35-MAT,26261,"Expiration Date","rubber sluice matting, durable, doesn't expire"
256462817259,SON-11ISCCMTWCC-20PC-SML-SLVR,75236,"Closed Length","flat credit-card multitool, does not fold/close"
256462817275,SON-TCFPKCB12IX15I-BUN-2PC-2PK-CLR-4PACK,46282,"Item Diameter","rectangular cutting board, no diameter"
256462817275,SON-TCFPKCB12IX15I-BUN-2PC-2PK-CLR-4PACK,46282,"Making Method","standard molded board, not a relevant differentiator"
256462817275,SON-TCFPKCB12IX15I-BUN-2PC-2PK-CLR-4PACK,46282,Pattern,"plain clear board, no decorative pattern"
256462817275,SON-TCFPKCB12IX15I-BUN-2PC-2PK-CLR-4PACK,46282,"Personalization Instructions","not a personalized product"
256462817275,SON-TCFPKCB12IX15I-BUN-2PC-2PK-CLR-4PACK,46282,Theme,"plain utility cutting board, no theme"
256462817275,SON-TCFPKCB12IX15I-BUN-2PC-2PK-CLR-4PACK,46282,"Wood Tone","plastic, not wood"
256470598874,SON-CUTBRD12X15-VARZ-4PK,46282,"Item Diameter","rectangular cutting board, no diameter"
256470598874,SON-CUTBRD12X15-VARZ-4PK,46282,"Making Method","standard molded board, not a relevant differentiator"
256470598874,SON-CUTBRD12X15-VARZ-4PK,46282,Pattern,"plain clear board, no decorative pattern"
256470598874,SON-CUTBRD12X15-VARZ-4PK,46282,"Personalization Instructions","not a personalized product"
256470598874,SON-CUTBRD12X15-VARZ-4PK,46282,Theme,"plain utility cutting board, no theme"
256470598874,SON-CUTBRD12X15-VARZ-4PK,46282,"Wood Tone","plastic, not wood"
256470618737,ZKT-TKRHBCCFZ-SML-BLCK,52373,Accents,"plain tactical key ring, no decorative accents"
256470618737,ZKT-TKRHBCCFZ-SML-BLCK,52373,Character,"plain utility key ring, no licensed character"
256470618737,ZKT-TKRHBCCFZ-SML-BLCK,52373,"Character Family","plain utility key ring, no character family"
256470618737,ZKT-TKRHBCCFZ-SML-BLCK,52373,Pattern,"plain key ring, no decorative pattern"
