item_id,title,category_id,category_path,aspect_count,status
256508244407,"Gold Rush Sifting Classifier Screen Sieve Mini 6 Inch Prospect Pan",15913,"Collectibles|Science & Medicine (1930-Now)|Mining|Equipment",3,OK
256508244410,"Jumbo 6.5"" XL Carabiner Key Chain  - Purple",52373,"Clothing, Shoes & Accessories|Men|Men's Accessories|Key Chains, Rings & Cases",12,OK
256508244417,"Beille Black BBQ Grill Accessories Reusable Non Stick Grilling Mats 13x15"" 2pk",20725,"Home & Garden|Yard, Garden & Outdoor Living|Outdoor Heating, Cooking & Eating|Barbecue Tools",14,OK
256508244422,"Gear Aid Wash-In Odor Eliminator - 1 Gallon",27363,"Sporting Goods|Camping & Hiking|Hiking Gear|Other Hiking Gear",7,OK
256508244425,"Universal Tool Texturising Hammer Dual Face Square Stripe Patterns Wooden Handle",262020,"Jewelry & Watches|Jewelry Care, Design & Repair|Jewelry Tools & Workbenches",10,OK
256508244429,"Basic Pottery Kit Clay Molding Hobby Arts and Craft Tool Set for Beginners 8pc",116496,"Crafts|Sculpting, Molding & Ceramics|Ceramics & Pottery|Pottery Tools & Sets",6,OK
256508244430,"Large Translucent Waterproof Camping Storage Container -  5.5 Inch",181415,"Sporting Goods|Camping & Hiking|Outdoor Survival Gear|Other Outdoor Survival Gear",13,OK
256508244435,"(2 Piece) ASR Outdoor Plastic Funnel Set with Key Chains for Camping Hiking",178055,"Home & Garden|Kitchen, Dining & Bar|Kitchen Tools & Gadgets|Funnels",14,OK
256508244448,"Magnifying Tweezer 4X Magnification for Gold Prospecting Mining",15913,"Collectibles|Science & Medicine (1930-Now)|Mining|Equipment",2,OK
256508244454,"ASR Outdoor Emergency Poncho Green Polyethylene Rain Gear Camping One Size",181415,"Sporting Goods|Camping & Hiking|Outdoor Survival Gear|Other Outdoor Survival Gear",14,OK
256508244456,"Shear Scissors Blades Sharp Heat Treated Thread Nipper 4.25 inches",28171,"Crafts|Sewing|Cutting Tools|Dressmaker's Scissors & Shears",9,OK
256508244457,"ASR Outdoor Extendable Marshmallow Toaster Telescoping BBQ Fork Camping Utensil",20725,"Home & Garden|Yard, Garden & Outdoor Living|Outdoor Heating, Cooking & Eating|Barbecue Tools",13,OK
256508244458,"Survival Multi-Purpose Paracord Rope Black - 100 ft",177902,"Sporting Goods|Tactical & Duty Gear|Other Tactical & Duty Gear",8,OK
256508244466,"Outdoor Thermal Mat Heat Reflective Sleeping Pad Insulated Winter Chill",36114,"Sporting Goods|Camping & Hiking|Outdoor Sleeping Gear|Air Mattresses & Sleeping Pads",11,OK
