fillability,category_id,aspect,mode,item_id,sku,name,approved_value,reviewer_notes,allowed_values,title
easy,3628,"Character Family",FREE_TEXT,256525915807,SON-J65XCKCWHGB-XL-BL-2,"Jumbo 6.5"" XL Carabiner Key Chain With Hand Grip - Blue",,,"Dragon Ball Z | Gundam | Lost in Space | Minions | Pokémon","ASR Outdoor Jumbo Carabiner - 6.5"" Dark Blue"
easy,3628,Theme,FREE_TEXT,256525915807,SON-J65XCKCWHGB-XL-BL-2,"Jumbo 6.5"" XL Carabiner Key Chain With Hand Grip - Blue",,,"Advertising | Animal | Awareness | Brewery | Buildings & Monuments | Cartoons & Characters | Celebrity | Celestial & Horoscope | Cowboys & Western | Famous Place | Flags & Political | Floral | Food & Wine | Gambling/Casino | Hobbies & Crafts | Holiday | Letters, Numbers & Symbols | Love & Hearts ...","ASR Outdoor Jumbo Carabiner - 6.5"" Dark Blue"
easy,7306,"Handle Material",FREE_TEXT,256525915800,NPT-8INPOCKETKNIFE-EAG,"ASR Outdoor Back Lock Folding American Eagle Pocket Knife Collectible Gift, 8 inch",,,"Carbon Steel | Ceramic | Kydex | Leather | Metal | Nylon | Plastic | Rubber | Stainless Steel | Steel | Titanium | Wood","ASR Outdoor 8"" Eagle Head Pocket Knife"
easy,20661,Character,FREE_TEXT,256525915872,SON-15CPHTFMM-MED-BRWN,"Hardwood Handled 15"" Goldsmith Crucible Pot Holder With Adjustable Steel Tongs",,,"Batman | Elmo | Freddy Krueger | Jack Skellington | Maleficent | Mickey Mouse | Minnie Mouse | Spider-Man | Stitch | Thanos","Hardwood Handled 15"" Goldsmith Crucible Pot Holder With Adjustable Steel Tongs"
easy,20661,"Character Family",FREE_TEXT,256525915872,SON-15CPHTFMM-MED-BRWN,"Hardwood Handled 15"" Goldsmith Crucible Pot Holder With Adjustable Steel Tongs",,,"Batman | Ben 10 | Benjamin Blümchen | Beyblade | Bibi & Tina | Bibi Blocksberg | Bob the Builder | Care Bears | Cars | Chuggington | Die Sendung mit der Maus | Disney | Doctor Who | Dora the Explorer | Fireman Sam | Gummi Bears | Hannah Montana | Harry Potter | Heidi | High School Musical | Maya ...","Hardwood Handled 15"" Goldsmith Crucible Pot Holder With Adjustable Steel Tongs"
easy,20661,Occasion,FREE_TEXT,256525915872,SON-15CPHTFMM-MED-BRWN,"Hardwood Handled 15"" Goldsmith Crucible Pot Holder With Adjustable Steel Tongs",,,"Anniversary | Apology | Baby Shower | Bar Mitzvah | Birthday | Christmas | Congratulations | Easter | Engagement | Funeral | Get Well | Good Luck | Halloween | International Women's Day | Labor Day | Mother's Day | Multipurpose | New Home | Party | Retirement | Romance | Surprise | Sympathy | Tha...","Hardwood Handled 15"" Goldsmith Crucible Pot Holder With Adjustable Steel Tongs"
easy,20661,Pattern,FREE_TEXT,256525915872,SON-15CPHTFMM-MED-BRWN,"Hardwood Handled 15"" Goldsmith Crucible Pot Holder With Adjustable Steel Tongs",,,"Abstract | Animal Print | Birds | British Flag | Buffalo Check | Checked | Chevron | Chicken | Circles | Crocheted | Dotted | Fish | Flag Print | Flamingo | Floral | Fruit | Geometric | Gingham | Glitter | Hearts | Hemstitch | Jacquard | Mandala | Nature Print | Paisley | Patchwork | Pictorial | ...","Hardwood Handled 15"" Goldsmith Crucible Pot Holder With Adjustable Steel Tongs"
easy,20661,Style,FREE_TEXT,256525915872,SON-15CPHTFMM-MED-BRWN,"Hardwood Handled 15"" Goldsmith Crucible Pot Holder With Adjustable Steel Tongs",,,"African | Antique | Art Deco | Art Nouveau | Arts & Crafts/Mission | Baroque/Rococo | Bauhaus | British Colonial | Celtic | Chippendale | Classic | Colonial | Contemporary | Country | Ethnic | Farmhouse | French Country | Gothic | Hollywood Regency | Indian | Kazak | Kilim | Kurdish | Lodge | Med...","Hardwood Handled 15"" Goldsmith Crucible Pot Holder With Adjustable Steel Tongs"
easy,20661,Theme,FREE_TEXT,256525915872,SON-15CPHTFMM-MED-BRWN,"Hardwood Handled 15"" Goldsmith Crucible Pot Holder With Adjustable Steel Tongs",,,"Angels | Animals | Animals & Bugs | Ballerinas | Baseball | Basketball | Beach | Bee | Beetlejuice | Belle | Bird | Birthday & Occasions | Bohemian Fashion | Boxing | Butterflies | Cactus | Cars | Cartoons | Cats & Kittens | Chinese Fashion | Christmas | Christmas Train | Christmas Tree | Circus ...","Hardwood Handled 15"" Goldsmith Crucible Pot Holder With Adjustable Steel Tongs"
easy,20688,Character,FREE_TEXT,256510048021,SON-JAROPENER-BJ094,"Beille Rubber 4 in 1 Non Slip Multipurpose Adjustable Easy Grip Jar Opener Tool",,,"Abbey Bominable | Clawful","Beille Rubber 4 in 1 Non Slip Multipurpose Adjustable Easy Grip Jar Opener Tool"
