certainty,item_id,sku,name,category_id,aspect,mode,proposed_value,approved_value,reviewer_notes,allowed_values,title
55,255033244446,SON-CKK12ITSHSR-12E-SLVR,"Beille 12 Inch Steel Sharpening Rod for Knives Knife Sharpeners Kitchen Gadgets",116005,"Making Method",FREE_TEXT,"Machine Made",,,"Compressor | Oil","Chefs Kitchen Home Knife Sharpening T13 Steel Rod Industrial Grade - 12 inch"
55,256462817275,SON-TCFPKCB12IX15I-BUN-2PC-2PK-CLR-4PACK,"(4 Pack) Thin Clear Flexible Plastic Kitchen Cutting Board 12 Inch x 15 Inch",46282,Style,FREE_TEXT,Modern,,,"Modern | Regence | Traditional | Vintage/Retro","Thin Clear Flexible Plastic Kitchen Cutting Board 12 Inch x 15 Inch (4 Pack)"
55,256508244301,SON-TROWELKNEELINGPADCOMBO,"Foam Kneeling Pad and Hand Trowel Shovel Outdoor Home Garden Combo Set",75669,"FSC Certified",SELECTION_ONLY,No,,,"Yes | No","Foam Kneeling Pad and Hand Trowel Shovel Outdoor Home Garden Combo Set"
55,256508244360,UNV-TCFPKCB-BUN-2PC-3PK-12B15-CLR-6PACK,"(6 Pack) Thin Clear Flexible Plastic Kitchen Cutting Board 12 Inch x 15 Inch",46282,Style,FREE_TEXT,Modern,,,"Modern | Regence | Traditional | Vintage/Retro","Thin Clear Flexible Plastic Kitchen Cutting Board 12 Inch x 15 Inch (6 Pack)"
55,256508244435,SON-PFSWKC-2PC-4-ORNG,"(2 Piece) ASR Outdoor Plastic Funnel Set with Key Chains for Camping Hiking",178055,"Making Method",FREE_TEXT,"Injection Molded",,,"Compressor | Oil","(2 Piece) ASR Outdoor Plastic Funnel Set with Key Chains for Camping Hiking"
55,256525915570,ASR-ASROUTDOORBLACKSTRETCH,"ASR Outdoor Black Stretch Shock Cord Plastic Ball Utility Cord Camping Tool 100pk",36120,"Mounting Type",FREE_TEXT,Adhesive,,,"Freestanding | Nailing | Pop Up | Semi-Freestanding | Vehicle Mount","Black Stretch Cord Utility Tie with Black Ball - 100 Pack"
55,256525915756,SON-DKBSBS-3PC-SML-ASSRTD,"3 Piece Universal Diamond Knife and Blade Sharpening Block Set",116005,"Making Method",FREE_TEXT,"Machine Made",,,"Compressor | Oil","Universal Diamond Knife and Blade Sharpening Block Set 3 Piece"
60,256264332056,MCN-GAMEAACCRA-3PC-SML-CLR-PARENT,"GEAR AID Aquaseal FD Flexible Durable Repair Adhesive and Cure Accelerator",36120,"Number in Pack",FREE_TEXT,1,,,"1 | 2 | 3 | 4 | More Than 4","GEAR AID Aquaseal FD Flexible Durable Repair Adhesive, Cure Accelerator, 0.75 oz"
60,256508244305,SON-DOUBLEENDEDSTEELSPATULA,"Universal Tool Double Ended Stainless Steel Spatula",185171,"Intended Use/Discipline",FREE_TEXT,"Art, Laboratory",,,"Anesthesiology | Biological Laboratory | Cardiology | Cosmetology | Dental Laboratory | Dentistry | Dermatology | Emergency Medicine | Endocrinology | Endodontics | Family Medicine | Gastroenterology | General Surgery | Hematology | Immunology | Internal Medicine | Medical Laboratory | Microbiolo...","Double Ended Stainless Steel Spatula"
60,256508244309,MCN-MOMUAQDGTNBX-2PC-35X62-NVYBL,"Microfiber Ultra Absorbent Quick Dry Gym Towel Outdoor - Navy Blue XL",40587,"Care Instructions",FREE_TEXT,"Machine Wash",,,"Do Not Iron | Do Not Tumble Dry | Dry Clean Only | Machine Wash","Microfiber Ultra Absorbent Quick Dry Gym Towel Outdoor - Navy Blue XL"
60,256508244500,SON-6MMWBHWBACA-BL,"ASR Outdoor Universal Water Bottle Holder With Blue Aluminum Carabiner Clip Attachment",50814,Shape,FREE_TEXT,Cylindrical,,,"D Shape | Pear Shape | Round","Universal Water Bottle Holder With Blue Aluminum Carabiner Clip Attachment"
60,256510041789,MCN-WINCHBUCKLE-PARENT,"GEAR AID Hip Adjust Buckle, 1"", 1.5"", Black",181379,Department,SELECTION_ONLY,"Unisex Adults",,,"Boys | Girls | Men | Unisex Adults | Unisex Kids | Women","GEAR AID Hip Adjust Buckle, 1"", 1.5"", Black"
60,256510047585,SON-PHONESTAND-FL89026TL,"Universal Rechargeable Phone Stand Table Lamp Touch Switch 120 Lumen",112581,Room,FREE_TEXT,Bedroom,,,"Attic | Bathroom | Bedroom | Cloakroom | Closet | Den | Dining Room | Entryway | Garage | Greenhouse | Home Office/Study | Kitchen | Living Room | Porch | Study | Sunroom | Utility/Laundry Room | Workshop","Universal Rechargeable Phone Stand Table Lamp Touch Switch 120 Lumen"
60,256510047611,SON-FIRSTAIDKIT-100PC,"ASR Outdoor First Aid Kit in Waterproof Dry Sack Emergency Supplies 100 Pieces",75035,Department,FREE_TEXT,"Unisex Adults",,,"Adult | Men | Teens | Unisex | Women | Youth","100 PC Emergency Waterproof First Aid Dry Sack Kit Camping Outdoors"
60,256510047628,MCN-STRAP-TENDER-AMZN,"GEAR AID Strap Tender for 1"" Webbing",36109,Department,SELECTION_ONLY,"Unisex Adults",,,"Boys | Girls | Men | Unisex Adults | Unisex Kids | Women","GEAR AID Strap Tender for 1"" Webbing"
60,256510047693,SON-LEDWORKLIGHT-LARGE-BLACKORANGE,"750 Lumen Durable Portable Work Light Indoor Outdoor Multi Use Black",183393,"Assembly Required",SELECTION_ONLY,No,,,"Yes | No","Durable Portable Work Light Indoor Outdoor Multi Use Black 750 Lumen"
60,256510047693,SON-LEDWORKLIGHT-LARGE-BLACKORANGE,"750 Lumen Durable Portable Work Light Indoor Outdoor Multi Use Black",183393,"Power Source",FREE_TEXT,Electric,,,"Battery | Corded | Corded Electric | Hardwired | Solar | USB | Wall Plug-In","Durable Portable Work Light Indoor Outdoor Multi Use Black 750 Lumen"
60,256510048011,MET-PCLC-PARENT,"GEAR AID Ellipse Cord Locks, Black, Orange",181379,Department,SELECTION_ONLY,"Unisex Adults",,,"Boys | Girls | Men | Unisex Adults | Unisex Kids | Women","GEAR AID Ellipse Cord Locks, Black, Orange"
60,256510048023,MCN-DABUCKLE-PARENT,"GEAR AID Dual Adjust Replacement Buckle Kit, Various Sizes, Multi-pack",181379,Department,SELECTION_ONLY,"Unisex Adults",,,"Boys | Girls | Men | Unisex Adults | Unisex Kids | Women","GEAR AID Dual Adjust Replacement Buckle Kit, Various Sizes, Multi-pack"
60,256510048070,MCN-MGARBDSB-1-BLCK,"GEAR AID Dual Snap Bar Buckle, 1""",36109,Department,SELECTION_ONLY,"Unisex Adults",,,"Boys | Girls | Men | Unisex Adults | Unisex Kids | Women","GEAR AID Dual Snap Bar Buckle, 1"", Black"
60,256525915669,COLLAPSIBLE-WATER-CARRIER-5-GALLON,"ASR Outdoor Collapsible Water Carrier with Handle 5 Gallon Hiking Camping",181409,"Top Type",FREE_TEXT,"Screw Cap",,,"Dispenser | Quick Release Lock | Screw Lock | Screw-on Lid | Stopper","Collapsible Water Storage Carrier with Handle 5 Gallon"
60,256525915753,NPT-BEARKNIFE-BLACK,"ASR Outdoor Collectible Dagger Bowie Knife Etched Bear Sheath Ergonomic Handle",73522,Dexterity,FREE_TEXT,Ambidextrous,,,"Left-Handed | Right-Handed | Ambidextrous","ASR Outdoor Collectible Dagger Bowie Knife Etched Bear Sheath Ergonomic Handle"
