item_id,sku,title,price,currency,image_url,image_count,eps_images,non_eps_images,all_eps,min_long_px,max_long_px,below_zoom_800,below_ideal,desc_html_len,desc_text_len,has_desc,is_group,variation_count,parent_image_count,child_image_count_total,status
256508244407,SON-GRCSS50HPSI-50HPS-GRN2,"Gold Rush Sifting Classifier Sieve Mini 6 Inch Prospect Pan 50 Holes Per Sq Inch",11.50,USD,https://i.ebayimg.com/images/g/IfYAAOSwmYZmPxb6/s-l1600.jpg,1,1,0,yes,1600,1600,no,no,9165,5782,yes,no,0,1,0,OK
256508244410,SON-J65XCKCWHGP-XL-PURPLE,"Jumbo 6.5"" XL Carabiner Key Chain  - Purple",11.57,USD,"https://i.ebayimg.com/images/g/NrkAAOSwxHNmPxZ3/s-l1600.jpg, 
https://i.ebayimg.com/images/g/h6UAAOSwQPJmPxZ5/s-l1600.jpg, 
https://i.ebayimg.com/images/g/4LYAAOSw1-xmPxZ2/s-l1600.jpg, 
https://i.ebayimg.com/images/g/mTwAAOSwSYFmPxZ2/s-l1600.jpg, 
https://i.ebayimg.com/images/g/9IYAAOSwDG1mPxZ3/s-l1600.jpg, 
https://i.ebayimg.com/images/g/2LkAAOSwwe5mPxZ3/s-l1600.jpg",6,6,0,yes,1600,1600,no,no,8370,4973,yes,no,0,6,0,OK
256508244417,SON-BLE-BBQMATS-BLK-2PC,"Beille Black BBQ Grill Accessories Reusable Non Stick Grilling Mats 13x15"" 2pk",12.99,USD,"https://i.ebayimg.com/images/g/a9MAAOSwbLFmPxaY/s-l1600.jpg, 
https://i.ebayimg.com/images/g/rDEAAOSwOgZmPxaY/s-l1600.jpg, 
https://i.ebayimg.com/images/g/L6UAAOSwb7xmPxaY/s-l1600.jpg, 
https://i.ebayimg.com/images/g/0DgAAOSw1ENmPxaZ/s-l1600.jpg, 
https://i.ebayimg.com/images/g/3WoAAOSwyRNmPxaZ/s-l1600.jpg, 
https://i.ebayimg.com/images/g/FGYAAOSwaGZmPxad/s-l1600.jpg, 
https://i.ebayimg.com/images/g/a5MAAOSwuotmPxaZ/s-l1600.jpg",7,7,0,yes,1600,1600,no,no,9494,6091,yes,no,0,7,0,OK
256508244422,MCN-ODORELIMINATOR-GALLON-PZ,"Gear Aid Wash-In Odor Eliminator - 1 Gallon",109.99,USD,https://i.ebayimg.com/images/g/MyUAAOSw0AlmPxi-/s-l1600.jpg,1,1,0,yes,1600,1600,no,no,9523,6107,yes,no,0,1,0,OK
256508244425,SON-UTTHDFSSP-1025-WDN,"Universal Tool Texturising Hammer Dual Face Square Stripe Patterns Wooden Handle",17.88,USD,"https://i.ebayimg.com/images/g/DIgAAOSwtCZmPxY1/s-l1600.jpg, 
https://i.ebayimg.com/images/g/4~YAAOSw0spmPxY1/s-l1600.jpg, 
https://i.ebayimg.com/images/g/nuIAAOSwsctmPxY1/s-l1600.jpg, 
https://i.ebayimg.com/images/g/6kgAAOSwLzVmPxY1/s-l1600.jpg, 
https://i.ebayimg.com/images/g/i4UAAOSwcfZmPxY1/s-l1600.jpg, 
https://i.ebayimg.com/images/g/fzEAAOSw3fNmPxY4/s-l1600.jpg",6,6,0,yes,913,1600,no,yes,8354,4974,yes,no,0,6,0,OK
256508244429,SON-HACBPCMTS-8PC,"Basic Pottery Kit Clay Molding Hobby Arts and Craft Tool Set for Beginners 8pc",13.99,USD,https://i.ebayimg.com/images/g/H3AAAeSwKe1o5UMK/s-l1600.jpg,1,1,0,yes,1600,1600,no,no,8423,5094,yes,no,0,1,0,OK
256508244430,SON-AOLWSC-55E-OPQ,"Large Translucent Waterproof Camping Storage Container -  5.5 Inch",9.99,USD,https://i.ebayimg.com/images/g/eHAAAOSwgBdmPxZF/s-l1600.jpg,1,1,0,yes,1200,1200,no,yes,9628,6255,yes,no,0,1,0,OK
256508244435,SON-PFSWKC-2PC-4-ORNG,"(2 Piece) ASR Outdoor Plastic Funnel Set with Key Chains for Camping Hiking",9.99,USD,"https://i.ebayimg.com/images/g/9FgAAOSw3BxmPxY~/s-l1600.jpg, 
https://i.ebayimg.com/images/g/L88AAOSwKj5mPxY~/s-l1600.jpg, 
https://i.ebayimg.com/images/g/9~oAAOSwfs9mPxZA/s-l1600.jpg, 
https://i.ebayimg.com/images/g/byAAAOSwUQZmPxY~/s-l1600.jpg, 
https://i.ebayimg.com/images/g/cSwAAOSwThhmPxY~/s-l1600.jpg",5,5,0,yes,1600,1600,no,no,8457,5075,yes,no,0,5,0,OK
256508244448,SON-MAGNIFYINGTWEEZER-1PK,"Magnifying Tweezer 4X Magnification for Gold Prospecting Mining",9.99,USD,https://i.ebayimg.com/images/g/WpQAAOSw0GBmPxby/s-l1600.jpg,1,1,0,yes,1600,1600,no,no,8809,5451,yes,no,0,1,0,OK
256508244454,SON-PONCHO-GRN,"ASR Outdoor Emergency Poncho Green Polyethylene Rain Gear Camping One Size",9.99,USD,"https://i.ebayimg.com/images/g/Ez8AAOSwzCFmPxZ3/s-l1600.jpg, 
https://i.ebayimg.com/images/g/bI0AAOSwOLBmPxZ3/s-l1600.jpg, 
https://i.ebayimg.com/images/g/V9kAAOSwjk1mPxZ6/s-l1600.jpg",3,3,0,yes,1600,1600,no,no,9146,5784,yes,no,0,3,0,OK
256508244456,SON-425SHTTNSB-425,"Shear Scissors Blades Sharp Heat Treated Thread Nipper 4.25 inches",9.99,USD,"https://i.ebayimg.com/images/g/wGQAAOSwPkhmPxbD/s-l1600.jpg, 
https://i.ebayimg.com/images/g/ORkAAOSwFlZmPxbD/s-l1600.jpg, 
https://i.ebayimg.com/images/g/7B4AAOSwLzVmPxbD/s-l1600.jpg",3,3,0,yes,1000,1020,no,yes,8325,4989,yes,no,0,3,0,OK
256508244457,SON-BFTOUMT-MED-BLCK,"ASR Outdoor Extendable Marshmallow Toaster Telescoping BBQ Fork Camping Utensil",9.99,USD,"https://i.ebayimg.com/images/g/rhYAAOSwilhmPxbO/s-l1600.jpg, 
https://i.ebayimg.com/images/g/cqMAAOSwThhmPxbO/s-l1600.jpg",2,2,0,yes,1000,1000,no,yes,8366,5031,yes,no,0,2,0,OK
256508244458,SON-AOSPRB100F-100F-BLCK,"Survival Multi-Purpose Paracord Rope Black - 100 ft",17.99,USD,"https://i.ebayimg.com/images/g/dGcAAOSwzhxmPxZ8/s-l1600.jpg, 
https://i.ebayimg.com/images/g/Q4UAAOSw44VmPxZ9/s-l1600.jpg, 
https://i.ebayimg.com/images/g/6zwAAOSwYARmPxZ8/s-l1600.jpg",3,3,0,yes,1600,1600,no,no,8971,5578,yes,no,0,3,0,OK
256508244466,SON-OTRSCMP-STD-YLLW,"Outdoor Thermal Mat Heat Reflective Sleeping Pad Insulated Winter Chill",18.95,USD,https://i.ebayimg.com/images/g/UkQAAOSwOc9mPxaP/s-l1600.jpg,1,1,0,yes,500,500,yes,yes,8895,5562,yes,no,0,1,0,OK
256508244468,SON-SGSURSB-10PC-11-MTL,"10pc Sterile Surgical Grade Replacement Scalpel Blades Universal Fit - Size 11",8.99,USD,"https://i.ebayimg.com/images/g/CmoAAeSwR4Fo5UNM/s-l1600.jpg, 
https://i.ebayimg.com/images/g/L8QAAeSw2yFo5UNM/s-l1600.jpg",2,2,0,yes,1000,1000,no,yes,8287,4908,yes,no,0,2,0,OK
256508244478,SON-DAMAGEDSCREWEXTRACTOR-4PC,"Universal Tool Damaged Screw Extractor Set - 4 Pieces Assorted Sizes",11.99,USD,"https://i.ebayimg.com/images/g/7CYAAOSwNw9mPxcL/s-l1600.jpg, 
https://i.ebayimg.com/images/g/WDkAAOSwpYxmPxcL/s-l1600.jpg, 
https://i.ebayimg.com/images/g/HnwAAOSwngpmPxcL/s-l1600.jpg, 
https://i.ebayimg.com/images/g/HW0AAOSwZlZmPxcL/s-l1600.jpg, 
https://i.ebayimg.com/images/g/8rwAAOSwdN5mPxcL/s-l1600.jpg",5,5,0,yes,1029,1600,no,yes,8602,5254,yes,no,0,5,0,OK
256508244481,SON-AOSPRORT100FT-100FT-RFLCTVORNG,"Survival Multi-Purpose Paracord Rope Reflective Tracer Orange - 100ft",14.49,USD,"https://i.ebayimg.com/images/g/XF4AAOSw4j5mPxbF/s-l1600.jpg, 
https://i.ebayimg.com/images/g/ANUAAOSwajJmPxbG/s-l1600.jpg, 
https://i.ebayimg.com/images/g/~8EAAOSwkMRmPxbG/s-l1600.jpg, 
https://i.ebayimg.com/images/g/oIUAAOSwsctmPxbG/s-l1600.jpg, 
https://i.ebayimg.com/images/g/oXcAAOSwq5JmPxbG/s-l1600.jpg",5,5,0,yes,1600,1600,no,no,9088,5696,yes,no,0,5,0,OK
256508244500,SON-6MMWBHWBACA-BL,"Universal Water Bottle Holder With Blue Aluminum Carabiner Clip Attachment",9.99,USD,"https://i.ebayimg.com/images/g/5F0AAOSwcaRmPxY7/s-l1600.jpg, 
https://i.ebayimg.com/images/g/f8oAAOSwHGFmPxY6/s-l1600.jpg, 
https://i.ebayimg.com/images/g/wtQAAOSwd9dmPxY6/s-l1600.jpg, 
https://i.ebayimg.com/images/g/L90AAOSwxShmPxY7/s-l1600.jpg, 
https://i.ebayimg.com/images/g/G58AAOSwngpmPxY6/s-l1600.jpg, 
https://i.ebayimg.com/images/g/MzYAAOSwX3BmPxY7/s-l1600.jpg, 
https://i.ebayimg.com/images/g/alQAAOSwuotmPxY7/s-l1600.jpg, 
https://i.ebayimg.com/images/g/PokAAOSwEURmPxY7/s-l1600.jpg, 
https://i.ebayimg.com/images/g/MzgAAOSwX3BmPxY7/s-l1600.jpg, 
https://i.ebayimg.com/images/g/630AAOSwkspmPxY-/s-l1600.jpg",10,10,0,yes,1600,1600,no,no,8420,5042,yes,no,0,10,0,OK
256508244506,SON-PJEGFTSD-7PC-SML-SLVR,"Precision Jeweler Eye Glasses Flat Tip Screw Driver - 7pc",10.95,USD,https://i.ebayimg.com/images/g/OA0AAeSw469o5UPZ/s-l1600.jpg,1,1,0,yes,500,500,yes,yes,8832,5496,yes,no,0,1,0,OK
256508244508,SON-AOTFSSMFOU23I-23-BLCK,"Tri Fold Steel Shovel Multi Functional Outdoor Use 23 Inch",24.99,USD,"https://i.ebayimg.com/images/g/87gAAOSwxbdmPxbK/s-l1600.jpg, 
https://i.ebayimg.com/images/g/p9gAAOSwMK1mPxbK/s-l1600.jpg, 
https://i.ebayimg.com/images/g/qowAAOSw8DRmPxbK/s-l1600.jpg, 
https://i.ebayimg.com/images/g/L4kAAOSwTTxmPxbK/s-l1600.jpg, 
https://i.ebayimg.com/images/g/iE8AAOSwQPJmPxbK/s-l1600.jpg",5,5,0,yes,1600,1600,no,no,8879,5484,yes,no,0,5,0,OK
256508244509,SON-DBSRT-12PC-SML-SLVR-IR-TT,"ToolTreaux Diamond Coated Cutting Burrs Set Assorted Rotary Tools 12pc 150 Grit",10.99,USD,"https://i.ebayimg.com/images/g/LBgAAOSwsKNmPxb1/s-l1600.jpg, 
https://i.ebayimg.com/images/g/ROYAAOSw44VmPxb1/s-l1600.jpg, 
https://i.ebayimg.com/images/g/BqEAAOSwNPNmPxb1/s-l1600.jpg, 
https://i.ebayimg.com/images/g/~3cAAOSwSHVmPxb1/s-l1600.jpg, 
https://i.ebayimg.com/images/g/U3kAAOSwWddmPxb1/s-l1600.jpg, 
https://i.ebayimg.com/images/g/ydgAAOSwHl1mPxb1/s-l1600.jpg",6,6,0,yes,1600,1600,no,no,9534,6153,yes,no,0,6,0,OK
256508244543,SON-AOUFDSVHVLG-ONE-GRN,"Safety Disposable Vest High Visibility One Size Fits Most Lime Green",9.99,USD,"https://i.ebayimg.com/images/g/7jAAAOSwlcFmPxZK/s-l1600.jpg, 
https://i.ebayimg.com/images/g/7Z0AAOSwZkxmPxZK/s-l1600.jpg, 
https://i.ebayimg.com/images/g/ih4AAOSwk8pmPxZK/s-l1600.jpg",3,3,0,yes,1600,1600,no,no,8392,5461,yes,no,0,3,0,OK
