item_id,sku,name,category_id,aspect,importance,mode,proposed_value,source,ai_generated,status,title
256508244327,SON-WBSTAS-28PC-28PC-BRNZ,"28pc Wood Burning Wood Working and Assorted Soldering Tips Stencil Set Crafting",46413,Type,required,FREE_TEXT,,usurper:type,no,no_source_value,"Wood Burning Wood Working and Assorted Soldering Tips Stencil Set Crafting 28pc"
256525915552,UPD-INCRED-2-STATIONERY-9PC,"Disney Pixar Incredibles 2 9 pc Stationary Set",261068,Character,recommended,FREE_TEXT,Incredibles,usurper:character_amazon,no,ok,"Disney Pixar Incredibles 2 9 pc Stationary Set UPD-INCRED-2-STATIONERY-9PC"
256525915552,UPD-INCRED-2-STATIONERY-9PC,"Disney Pixar Incredibles 2 9 pc Stationary Set",261068,Franchise,recommended,FREE_TEXT,Disney,usurper:character_walmart,no,ok,"Disney Pixar Incredibles 2 9 pc Stationary Set UPD-INCRED-2-STATIONERY-9PC"
256510047585,SON-PHONESTAND-FL89026TL,"Universal Rechargeable Phone Stand Table Lamp Touch Switch 120 Lumen",112581,Character,recommended,FREE_TEXT,,usurper:character_ebay,no,no_source_value,"Universal Rechargeable Phone Stand Table Lamp Touch Switch 120 Lumen"
256510047585,SON-PHONESTAND-FL89026TL,"Universal Rechargeable Phone Stand Table Lamp Touch Switch 120 Lumen",112581,"Character Family",recommended,FREE_TEXT,,usurper:character_ebay,no,no_source_value,"Universal Rechargeable Phone Stand Table Lamp Touch Switch 120 Lumen"
256508244309,MCN-MOMUAQDGTNBX-2PC-35X62-NVYBL,"Microfiber Ultra Absorbent Quick Dry Gym Towel Outdoor - Navy Blue XL",40587,Theme,recommended,FREE_TEXT,"Outdoor, Camping, Hiking",usurper:theme_walmart,no,ok,"Microfiber Ultra Absorbent Quick Dry Gym Towel Outdoor - Navy Blue XL"
256470618737,ZKT-TKRHBCCFZ-SML-BLCK,"Tactical Keyring Holder Belt Connector Clip ZT55",52373,Character,recommended,FREE_TEXT,,usurper:character_ebay,no,no_source_value,"Zak Tool ZT55-C Tactical Key Ring Holder Connector Clip for Law Enforcement"
256508244362,SON-AOPAKR-SML-SLVR,"ASR Outdoor Brass Body Nickel Plated Pull Apart Key Ring Travel Accessory",52373,Character,recommended,FREE_TEXT,,usurper:character_ebay,no,no_source_value,"ASR Outdoor Brass Body Nickel Plated Pull Apart Key Ring Travel Accessory"
256508244410,SON-J65XCKCWHGP-XL-PURPLE,"Jumbo 6.5"" XL Carabiner Key Chain  - Purple",52373,Character,recommended,FREE_TEXT,,usurper:character_ebay,no,no_source_value,"Jumbo 6.5"" XL Carabiner Key Chain  - Purple"
256526374819,ASR-GRIPREDKEEPSPORTING,"(2 Pack) ASR Outdoor Jumbo 6.5 Inch XL Key Chain Hand Grip Black and Silver",45237,Character,recommended,FREE_TEXT,,usurper:character_ebay,no,no_source_value,"Jumbo 6.5 Inch Carabiner Key Chain with Grip - 2 Pack Black and Silver"
254735978393,MCN-FSABRA-1OZ-CLR-PARENT,"GEAR AID Aquaseal SR Shoe and Boot Repair Adhesive, Clear Glue, 1 oz",106124,"Country of Origin",recommended,SELECTION_ONLY,,usurper:country_of_origin,no,no_source_value,"GEAR AID Aquaseal SR Shoe and Boot Repair Adhesive, Clear Glue, 1 oz"
255033244446,SON-CKK12ITSHSR-12E-SLVR,"Beille 12 Inch Steel Sharpening Rod for Knives Knife Sharpeners Kitchen Gadgets",116005,"Country of Origin",recommended,SELECTION_ONLY,China,usurper:country_of_origin,no,ok,"Chefs Kitchen Home Knife Sharpening T13 Steel Rod Industrial Grade - 12 inch"
