item_id,sku,name,category_id,aspect,mode,proposed_value,source,ai_generated,certainty,status,title
256508244327,SON-WBSTAS-28PC-28PC-BRNZ,"28pc Wood Burning Wood Working and Assorted Soldering Tips Stencil Set Crafting",46413,Type,FREE_TEXT,"Wood Burning Kit",llm,yes,80,ok,"Wood Burning Wood Working and Assorted Soldering Tips Stencil Set Crafting 28pc"
256508244327,SON-WBSTAS-28PC-28PC-BRNZ,"28pc Wood Burning Wood Working and Assorted Soldering Tips Stencil Set Crafting",46413,"Power Source",FREE_TEXT,Electric,llm,yes,75,ok,"Wood Burning Wood Working and Assorted Soldering Tips Stencil Set Crafting 28pc"
256525915552,UPD-INCRED-2-STATIONERY-9PC,"Disney Pixar Incredibles 2 9 pc Stationary Set",261068,Franchise,FREE_TEXT,Incredibles,llm,yes,95,ok,"Disney Pixar Incredibles 2 9 pc Stationary Set UPD-INCRED-2-STATIONERY-9PC"
256525915552,UPD-INCRED-2-STATIONERY-9PC,"Disney Pixar Incredibles 2 9 pc Stationary Set",261068,Movie,FREE_TEXT,"Incredibles 2",llm,yes,95,ok,"Disney Pixar Incredibles 2 9 pc Stationary Set UPD-INCRED-2-STATIONERY-9PC"
256525915552,UPD-INCRED-2-STATIONERY-9PC,"Disney Pixar Incredibles 2 9 pc Stationary Set",261068,"Animation Studio",FREE_TEXT,Pixar,llm,yes,95,ok,"Disney Pixar Incredibles 2 9 pc Stationary Set UPD-INCRED-2-STATIONERY-9PC"
256525915552,UPD-INCRED-2-STATIONERY-9PC,"Disney Pixar Incredibles 2 9 pc Stationary Set",261068,"Original/Licensed Reproduction",SELECTION_ONLY,"Licensed Reproduction",llm,yes,85,ok,"Disney Pixar Incredibles 2 9 pc Stationary Set UPD-INCRED-2-STATIONERY-9PC"
256525915552,UPD-INCRED-2-STATIONERY-9PC,"Disney Pixar Incredibles 2 9 pc Stationary Set",261068,Series,FREE_TEXT,Incredibles,llm,yes,90,ok,"Disney Pixar Incredibles 2 9 pc Stationary Set UPD-INCRED-2-STATIONERY-9PC"
256510047585,SON-PHONESTAND-FL89026TL,"Universal Rechargeable Phone Stand Table Lamp Touch Switch 120 Lumen",112581,Lumens,FREE_TEXT,120,llm,yes,95,ok,"Universal Rechargeable Phone Stand Table Lamp Touch Switch 120 Lumen"
256510047585,SON-PHONESTAND-FL89026TL,"Universal Rechargeable Phone Stand Table Lamp Touch Switch 120 Lumen",112581,"Power Source",FREE_TEXT,"Rechargeable Battery",llm,yes,90,ok,"Universal Rechargeable Phone Stand Table Lamp Touch Switch 120 Lumen"
256510047585,SON-PHONESTAND-FL89026TL,"Universal Rechargeable Phone Stand Table Lamp Touch Switch 120 Lumen",112581,"Control Style",FREE_TEXT,Touch,llm,yes,90,ok,"Universal Rechargeable Phone Stand Table Lamp Touch Switch 120 Lumen"
