item_id,sku,aspect,varied_by,before,after
254913999821,SON-7DCFFS6DG-6PC-7E-RD,Item Weight,,0.4,0.4 lb
255457181082,MCN-SEAMGRIPWP-PARENT,Item Height,,2.75,2.75 in
255457181082,MCN-SEAMGRIPWP-PARENT,Item Length,,8.63,8.63 in
255457181082,MCN-SEAMGRIPWP-PARENT,Item Weight,,0.55,0.55 lb
255457181082,MCN-SEAMGRIPWP-PARENT,Item Width,,1.75,1.75 in
256249413299,MCN-CAMOFORM-EBAY2-PARENT,Size,,"2"" x 144""",2 in x 144 in
256376275265,MCN-SEAMGRIP-REPAIRKIT-PARENT,Item Height,,1,1 in
256376275265,MCN-SEAMGRIP-REPAIRKIT-PARENT,Item Length,,4.5,4.5 in
256376275265,MCN-SEAMGRIP-REPAIRKIT-PARENT,Item Weight,,0.2,0.2 lb
256376275265,MCN-SEAMGRIP-REPAIRKIT-PARENT,Item Width,,7.5,7.5 in
256446183485,MCN-TACMICRTERTOWEL-PARENT-HPN-2,Item Weight,,0.5,0.5 lb
256446183505,MCN-TENTAPE-GEARPATCHES-PARENT,Item Height,,1,1 in
256446183505,MCN-TENTAPE-GEARPATCHES-PARENT,Item Length,,7,7 in
256446183505,MCN-TENTAPE-GEARPATCHES-PARENT,Item Weight,,0.04,0.04 lb
256446183505,MCN-TENTAPE-GEARPATCHES-PARENT,Item Width,,5,5 in
256446183545,MCN-ELSTIC-SHOCKCORD-HPNR,Item Weight,,0.05,0.05 lb
256462817259,SON-11ISCCMTWCC-20PC-SML-SLVR,Item Weight,,1.2,1.2 lb
256462817259,SON-11ISCCMTWCC-20PC-SML-SLVR,Overall Length,,5,5 in
256470598874,SON-CUTBRD12X15-VARZ-4PK,Item Weight,,0.49,0.49 lb
256476123930,SON-UTPEBS-3PC-123814I-GRY,Item Weight,,0.23,0.23 lb
256500167211,SON-3IN1CUSKFS-3PC-ONE-SLVR,Item Weight,,0.16,0.16 lb
256508244300,SON-RKBRPRBF8828HK-12PC-SML-SLVR,Item Weight,,0.5,0.5 lb
256508244301,SON-TROWELKNEELINGPADCOMBO,Item Weight,,0.8,0.8 lb
256508244319,SON-TS2ISSCS-6PC,Item Weight,,0.2,0.2 lb
256508244327,SON-WBSTAS-28PC-28PC-BRNZ,Item Length,,6,6 in
256508244327,SON-WBSTAS-28PC-28PC-BRNZ,Item Width,,3,3 in
256508244348,SON-DTCBAU-12PC-SML-WHT-2,Item Weight,,0.15,0.15 lb
256508244371,SON-13IPOCSCHS-3PC-13-SLVR-6PK,Item Weight,,0.5,0.5 lb
256508244371,SON-13IPOCSCHS-3PC-13-SLVR-6PK,Overall Length,,5,5 in
256508244417,SON-BLE-BBQMATS-BLK-2PC,Item Weight,,0.4,0.4 lb
256508244430,SON-AOLWSC-55E-OPQ,Item Weight,,0.1,0.1 lb
256508244454,SON-PONCHO-GRN,Item Weight,,0.05,0.05 lb
256508244457,SON-BFTOUMT-MED-BLCK,Item Weight,,0.2,0.2 lb
256508244466,SON-OTRSCMP-STD-YLLW,Item Weight,,0.56,0.56 lb
256508244478,SON-DAMAGEDSCREWEXTRACTOR-4PC,Item Weight,,0.25,0.25 lb
256508244509,SON-DBSRT-12PC-SML-SLVR-IR-TT,Item Weight,,0.2,0.2 lb
256508701447,ASR-BFTOU-BUN-3PK-STD-SLVR,Item Weight,,0.18,0.18 lb
256508701474,ASR-SO4BGMN-BUN-2PC-2PK-LG-BLCK,Item Weight,,0.4,0.4 lb
256508701517,CHAINSAW-SHARPENING-BURR-3-16,Item Weight,,0.2,0.2 lb
256509144716,KOL-FRUITVEGGIEPEELER-PARENT,Item Length,,7,7 in
256509144716,KOL-FRUITVEGGIEPEELER-PARENT,Item Weight,,0.1,0.1 lb
256509144716,KOL-FRUITVEGGIEPEELER-PARENT,Item Width,,1,1 in
256509144757,MCN-GATTMCFSTP-2PC-3X5-CLR-PARENT,Item Height,,0.25,0.25 in
256509144757,MCN-GATTMCFSTP-2PC-3X5-CLR-PARENT,Item Width,,3.5,3.5 in
256510041696,NPT-ASRO-9IN1SURVIVALKNIFE-BLK,Item Weight,,0.5,0.5 lb
256510041696,NPT-ASRO-9IN1SURVIVALKNIFE-BLK,Overall Length,,5,5 in
256510041721,SON-SPORTS-BELT-8INCH,Item Weight,,0.14,0.14 lb
256510047585,SON-PHONESTAND-FL89026TL,Item Weight,,0.66,0.66 lb
256510047590,SON-GUNCLEANKIT-24PC,Item Weight,,0.72,0.72 lb
256510047597,MCN-SEAM-SEALANT-SILNYLON-PATCHES-BUN,Item Weight,,0.12,0.12 lb
256510047607,SON-PISTOLKIT-66PC,Item Weight,,0.44,0.44 lb
256510047624,SON-POLISHINGWHEEL-2IN,Item Weight,,0.1,0.1 lb
