category_id,category_path,listing_count,upc_support,ean_support,isbn_support
15913,"Collectibles|Science & Medicine (1930-Now)|Mining|Equipment",36,DISABLED,DISABLED,DISABLED
8504,"Sporting Goods|Camping & Hiking|Other Camping & Hiking",21,REQUIRED,DISABLED,DISABLED
36120,"Sporting Goods|Camping & Hiking|Tents & Canopies|Tent & Canopy Accessories",17,ENABLED,DISABLED,DISABLED
29574,"Sporting Goods|Water Sports|Wetsuits & Drysuits|Other Wetsuits & Drysuits",9,ENABLED,DISABLED,DISABLED
50382,"Home & Garden|Tools & Workshop Equipment|Power Tool & Air Tool Accessories|Drill Bits",9,ENABLED,DISABLED,DISABLED
262020,"Jewelry & Watches|Jewelry Care, Design & Repair|Jewelry Tools & Workbenches",9,ENABLED,DISABLED,DISABLED
27362,"Sporting Goods|Camping & Hiking|Clothing|Other Camping, Hiking Clothing",7,ENABLED,DISABLED,DISABLED
88433,"Everything Else|Every Other Thing",7,ENABLED,DISABLED,DISABLED
163824,"Business & Industrial|Test, Measurement & Inspection|Test Meters & Detectors|Metal Detector Accessories",6,REQUIRED,DISABLED,DISABLED
101915,"Health & Beauty|Salon & Spa Equipment|Scissors & Shears",6,ENABLED,DISABLED,DISABLED
73522,"Collectibles|Knives, Swords & Blades|Collectible Fixed Blade Knives|Modern Fixed Blade|Factory Manufactured",6,DISABLED,DISABLED,DISABLED
20725,"Home & Garden|Yard, Garden & Outdoor Living|Outdoor Heating, Cooking & Eating|Barbecue Tools",6,ENABLED,DISABLED,DISABLED
27363,"Sporting Goods|Camping & Hiking|Hiking Gear|Other Hiking Gear",5,REQUIRED,DISABLED,DISABLED
75236,"Sporting Goods|Camping & Hiking|Camping Knives & Tools|Multi-Tools",5,ENABLED,DISABLED,DISABLED
13362,"Sporting Goods|Fitness, Running & Yoga|Other Fitness, Running & Yoga",5,ENABLED,DISABLED,DISABLED
52373,"Clothing, Shoes & Accessories|Men|Men's Accessories|Key Chains, Rings & Cases",4,ENABLED,DISABLED,DISABLED
46282,"Home & Garden|Kitchen, Dining & Bar|Kitchen Tools & Gadgets|Cutting Boards",4,ENABLED,DISABLED,DISABLED
122718,"Crafts|Multi-Purpose Craft Supplies|Crafting Tools|Craft Tweezers",4,REQUIRED,DISABLED,DISABLED
181415,"Sporting Goods|Camping & Hiking|Outdoor Survival Gear|Other Outdoor Survival Gear",4,ENABLED,DISABLED,DISABLED
28171,"Crafts|Sewing|Cutting Tools|Dressmaker's Scissors & Shears",4,ENABLED,DISABLED,DISABLED
48818,"Collectibles|Knives, Swords & Blades|Collectible Folding Knives|Modern Folding Knives|Factory Manufactured",4,DISABLED,DISABLED,DISABLED
178974,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Files",3,ENABLED,DISABLED,DISABLED
310,"Sporting Goods|Other Sporting Goods",3,ENABLED,DISABLED,DISABLED
50814,"Sporting Goods|Outdoor Sports|Climbing & Caving|Carabiners & Hardware",3,ENABLED,DISABLED,DISABLED
181398,"Sporting Goods|Camping & Hiking|Camping Hygiene & Sanitation|Camping Towels",3,ENABLED,DISABLED,DISABLED
183125,"Crafts|Multi-Purpose Craft Supplies|Adhesives & Tape|Other Adhesives & Tape",3,REQUIRED,DISABLED,DISABLED
181413,"Sporting Goods|Camping & Hiking|Outdoor Survival Gear|Paracord & Paracord Supplies",3,ENABLED,DISABLED,DISABLED
20763,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Hammers & Mallets",3,ENABLED,DISABLED,DISABLED
50602,"Consumer Electronics|Multipurpose Batteries & Power|Single Use Batteries",3,ENABLED,DISABLED,DISABLED
177902,"Sporting Goods|Tactical & Duty Gear|Other Tactical & Duty Gear",3,ENABLED,DISABLED,DISABLED
260207,"Home & Garden|Tools & Workshop Equipment|Power Tool & Air Tool Accessories|Rotary Tool Accessories",3,ENABLED,DISABLED,DISABLED
181379,"Sporting Goods|Camping & Hiking|Hiking Backpacks|Backpacks",3,ENABLED,DISABLED,DISABLED
11872,"Health & Beauty|Nail Care, Manicure & Pedicure|Nail Care Tools|Manicure & Pedicure Tools & Kits",3,ENABLED,DISABLED,DISABLED
50816,"Sporting Goods|Outdoor Sports|Climbing & Caving|Ropes, Cords & Slings",3,ENABLED,DISABLED,DISABLED
31726,"Crafts|Beads & Jewelry Making|Other Beads & Jewelry Making",3,REQUIRED,DISABLED,DISABLED
122838,"Home & Garden|Tools & Workshop Equipment|Power Tool & Air Tool Accessories|Saw Blades|Other Saw Blades",3,ENABLED,DISABLED,DISABLED
116005,"Home & Garden|Kitchen, Dining & Bar|Kitchen Tools & Gadgets|Sharpeners",2,ENABLED,DISABLED,DISABLED
159151,"Sporting Goods|Water Sports|Other Water Sports",2,ENABLED,DISABLED,DISABLED
87133,"Sporting Goods|Camping & Hiking|Camping Cooking Supplies|Camping Cooking Utensils",2,ENABLED,DISABLED,DISABLED
39057,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Knives & Blades",2,ENABLED,DISABLED,DISABLED
117141,"Sporting Goods|Outdoor Sports|Air Guns & Slingshots|Slingshots",2,ENABLED,DISABLED,DISABLED
