"sku","parent.sku","name","mpn","warranty","height","length","width","weight","brand_ebay","color","country_of_origin","department_ebay","features_ebay","material","model","mpn_ebay","number_of_pieces","package_includes","pattern","prop65_warn_type","shape","suitable_for","theme","type"
"26C-10PCGARDTOOLS-BUN","26C-GARDTOOLS-PARENT","ToolTreaux 10pc Gardening Handheld Tools Set Gloves Carry Bag and Kneeling Pad","TT10PCGTS","","11","18","9","4","","Assorted","","","Gardening Tools","Steel","","GGLVTT","","(1) 10pc Gardening Tools Set","","About California Proposition 65 Proposition 65, officially the Safe Drinking Water and Toxic Enforcement Act of 1986, is a law that requires warnings be provided to California consumers when they might be exposed to chemicals identified by California as causing cancer or reproductive toxicity. The warnings are intended to help california consumers make informed decisions about their exposures to these chemicals from the products they use. The California Office of Environmental Health Hazard Assessment (OEHHA) administers the Proposition 65 program and publishes the listed chemicals, which includes more that 850 chemicals. In August 2016, OEHHA adopted new regulations, effective on August 30, 2018, which change the information required in Proposition 65 warnings. This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","",""
"26C-3PCGARDTOOLS-HM-75968-72","26C-GARDTOOLS-PARENT","ToolTreaux 3pc Handheld Gardening Tools Set Rake Hoe Shovel Garden Supplies","TT3PCGTS","","3","13","6","0.8","","Assorted","","","Gardening Tools","Steel","","GGLVTT","","(1) Rake(1) Hoe(1) Shovel","","About California Proposition 65 Proposition 65, officially the Safe Drinking Water and Toxic Enforcement Act of 1986, is a law that requires warnings be provided to California consumers when they might be exposed to chemicals identified by California as causing cancer or reproductive toxicity. The warnings are intended to help california consumers make informed decisions about their exposures to these chemicals from the products they use. The California Office of Environmental Health Hazard Assessment (OEHHA) administers the Proposition 65 program and publishes the listed chemicals, which includes more that 850 chemicals. In August 2016, OEHHA adopted new regulations, effective on August 30, 2018, which change the information required in Proposition 65 warnings. This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","",""
"26C-GGLOVES-HM-75966-96","26C-GARDTOOLS-PARENT","ToolTreaux 1 Pair Gardening Gloves with Claws Garden Tools One Size Fits Most","TTGGLOV1PR","","1","8","4","0.3","","Assorted","","","Gardening Gloves","Latex","","GGLVTT","","(1) Pair of Gardening Gloves","","About California Proposition 65 Proposition 65, officially the Safe Drinking Water and Toxic Enforcement Act of 1986, is a law that requires warnings be provided to California consumers when they might be exposed to chemicals identified by California as causing cancer or reproductive toxicity. The warnings are intended to help california consumers make informed decisions about their exposures to these chemicals from the products they use. The California Office of Environmental Health Hazard Assessment (OEHHA) administers the Proposition 65 program and publishes the listed chemicals, which includes more that 850 chemicals. In August 2016, OEHHA adopted new regulations, effective on August 30, 2018, which change the information required in Proposition 65 warnings. This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","",""
"26C-GGLOVES-HM-75966-96-2PC-BUN","26C-GARDTOOLS-PARENT","ToolTreaux 2 Pairs Gardening Gloves with Claws Garden Tools, One Size Fits Most","TTGGLOV2PR","","2","8","4","0.6","","Assorted","","","Gardening Gloves","Latex","","GGLVTT","","(2) Pairs of Gardening Gloves","","About California Proposition 65 Proposition 65, officially the Safe Drinking Water and Toxic Enforcement Act of 1986, is a law that requires warnings be provided to California consumers when they might be exposed to chemicals identified by California as causing cancer or reproductive toxicity. The warnings are intended to help california consumers make informed decisions about their exposures to these chemicals from the products they use. The California Office of Environmental Health Hazard Assessment (OEHHA) administers the Proposition 65 program and publishes the listed chemicals, which includes more that 850 chemicals. In August 2016, OEHHA adopted new regulations, effective on August 30, 2018, which change the information required in Proposition 65 warnings. This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","",""
"26C-PRUNSHEARS-HM-75967-96","26C-GARDTOOLS-PARENT","ToolTreaux Gardening Tool Pruning Shears Steel Blades 6.7 Inch Ergonomic Handle","TTPRNSHRGB1","","1","7","3","0.5","","Assorted","","","Pruning Shears","Steel","","GGLVTT","","(1) Gardening Shears","","About California Proposition 65 Proposition 65, officially the Safe Drinking Water and Toxic Enforcement Act of 1986, is a law that requires warnings be provided to California consumers when they might be exposed to chemicals identified by California as causing cancer or reproductive toxicity. The warnings are intended to help california consumers make informed decisions about their exposures to these chemicals from the products they use. The California Office of Environmental Health Hazard Assessment (OEHHA) administers the Proposition 65 program and publishes the listed chemicals, which includes more that 850 chemicals. In August 2016, OEHHA adopted new regulations, effective on August 30, 2018, which change the information required in Proposition 65 warnings. This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","",""
"26C-SILSPOON-YJJ-74594-72","26C-COOKTOOLS-PARENT","Beille Cream Wheat Straw Spoon with Stainless Steel Handle Kitchen Utensils, 13 Inch","BEILSILSPN1","","1","13","3","0.1","","","","","","","","","","","","","","","",""
"26C-SLOTSPOON-YJJ-74593-72","26C-COOKTOOLS-PARENT","Beille Cream Wheat Straw Slotted Spoon with Stainless Steel Handle Kitchen Utensils, 13 Inch","BEILSLOTSPN1","","1","13","3","0.1","","","","","","","","","","","","","","","",""
"26C-SPOONSET-4PC-BEIGE","26C-COOKTOOLS-PARENT","Beille 4pc Cream Wheat Straw Cooking Spoons Kitchen Utensils Set Household Essentials","BEILSILSPN1","","1","13","3","0.6","","Cream","China","","Beille","Stainless Steel","","BLECKTLS","","(1) Spoon","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","",""
"26C-WHEAT-GRATER-YJJ-74607-72","26C-COOKTOOLS-PARENT","Beille Cream Stainless Steel Wheat Straw Handheld Cheese Grater Kitchen Utensils","WSGRATCBG1","","1","8.5","3","0.3","","Cream","","","Cheese Grater","Wheat Straw","","BLECKTLS","","(1) Cheese Grater","","","","","",""
"26C-WHEAT-PEELER-YJJ-74605-72","26C-COOKTOOLS-PARENT","Beille Cream Stainless Steel Wheat Straw Vegetable Peeler Kitchen Utensils","WSPEELCBG1","","1","10","3","0.3","","Cream","","","Peeler","Wheat Straw","","BLECKTLS","","(1) Peeler","","","","","",""
"26C-WHEAT-PIZZA-YJJ-74599-72","26C-COOKTOOLS-PARENT","Beille Cream Stainless Steel Wheat Straw Pizza Cutter Kitchen Utensil Home Goods","WSPIZCBG1","","1","10","3","0.3","","Cream","","","Pizza Cutter","Wheat Straw","","BLECKTLS","","(1) Pizza Cutter","","","","","",""
"26C-WHEAT-SCOOP-YJJ-74612-72","26C-COOKTOOLS-PARENT","Beille Cream Wheat Straw Material Ice Cream Scoop Kitchen Utensils Home Goods","WSICECBG1","","1","7.28","1.77","0.3","","Cream","","","Ice Cream Scoop","Wheat Straw","","BLECKTLS","","(1) Ice Cream Scoop","","","","","",""
"26C-WHTCOOKTOOLS-14PC-BUN","26C-COOKTOOLS-PARENT","Beille 14pc Wheat Straw Kitchen Utensil Set Peeler Cutter Grater Spoons and Cups","BEILWHTTOOLS14","","5","14","8","1.5","","Cream","China","","Beille","Stainless Steel","","BLECKTLS","","(1) Pizza Cutter(1) Peeler(1) Ice Cream Scoop(1) Grater(5) Measuring Spoons(5) Measuring Cups","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","",""
"26C-WHTCOOKTOOLS-19PC-BUN","26C-COOKTOOLS-PARENT","Beille 19pc Wheat Straw Kitchen Utensil Set Peeler Cutter Grater Spoons and Cups","BEILWHTTOOLS19","","5","14","8","2","","Cream","China","","Beille","Stainless Steel","","BLECKTLS","","(1) Pizza Cutter(1) Peeler(1) Ice Cream Scoop(1) Grater(5) Measuring Spoons(5) Measuring Cups(5) Assorted Serving Tools","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","",""
"26C-WHTCOOKTOOLS-4PCTOOL-BUN","26C-COOKTOOLS-PARENT","Beille 4pc Wheat Straw Kitchen Utensils Peeler Pizza Cutter Scoop and Grater","BEILWHTTOOL4PCWS","","3","14","6","0.8","","Cream","China","","Beille","Stainless Steel","","BLECKTLS","","(1) Pizza Cutter(1) Peeler(1) Ice Cream Scoop(1) Grater","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","",""
"26C-WHTCOOKTOOLS-5PC-BUN","26C-COOKTOOLS-PARENT","Beille Cream Wheat Straw Cooking Kitchen Utensils Set Spoons Spatulas Ladle, 5pc","BEILWHTTOOLS5","","5","13","3","0.68","","Cream","China","","Beille","Stainless Steel","","BLECKTLS","","(2) Spatulas(2) Spoons(1) Ladle","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","",""
"26C-WHTLADLE-YJJ-74597-72","26C-COOKTOOLS-PARENT","Beille Cream Wheat Straw Ladle with Stainless Steel Handle Kitchen Utensils, 13 Inch","BEILWHTLD13","","1","13","3","0.1","","Cream","China","","Serving Spoon","Stainless Steel","","BLECKTLS","","(1) Serving Spoon Ladle","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","",""
"26C-WS10PCCUPS-YJJ-74613-72","26C-COOKTOOLS-PARENT","Beille Cream Wheat Straw Measuring Cups Spoons Set Cooking Baking Tools 10pc","BEILWS10PCCUPS","","1","5","4","0.3","","Cream","","","Beille","Stainless Steel","","BLECKTLS","","(10) Measuring Cups and Spoons","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","",""
"26C-WSSLOTTED-YJJ-74595-72","26C-COOKTOOLS-PARENT","Beille Cream Wheat Straw Slotted Spatula with Stainless Steel Handle Kitchen Utensils, 13 Inch","BEILWSSLOTS1","","1","13","3","0.1","","","","","","","","","","","","","","","",""
"26C-WSSPAT-YJJ-74596-72","26C-COOKTOOLS-PARENT","Beille Cream Wheat Straw Spatula with Stainless Steel Handle Kitchen Utensils, 13 Inch","BEILWSSPAT1","","1","13","3","0.1","","Cream","China","","Beille","Stainless Steel","","BLECKTLS","","(1) Spatula","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","",""
"4SN-4PCSTICKERS-HELLO-66620","4SN-4PCSTICKERS-PARENT","Hello Kitty 4pc Cute Sticker Sheets Kids Stationery Art Supplies Ages 3 and Up","KPLDHK4PCSS","","0.1","11","8","0.08","","Hello Kitty","","","Officially Licensed","Stickers","","4SROL4SPK","","(4) Sticker Sheets","","About California Proposition 65 Proposition 65, officially the Safe Drinking Water and Toxic Enforcement Act of 1986, is a law that requires warnings be provided to California consumers when they might be exposed to chemicals identified by California as causing cancer or reproductive toxicity. The warnings are intended to help california consumers make informed decisions about their exposures to these chemicals from the products they use. The California Office of Environmental Health Hazard Assessment (OEHHA) administers the Proposition 65 program and publishes the listed chemicals, which includes more that 850 chemicals. In August 2016, OEHHA adopted new regulations, effective on August 30, 2018, which change the information required in Proposition 65 warnings. This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","",""
"4SN-4PCSTICKERS-MINNIE-66621","4SN-4PCSTICKERS-PARENT","Minnie Mouse 4pc Cute Sticker Sheets Kids Stationery Art Supplies Ages 3 and Up","KPLDMIN4PCSS","","0.1","11","8","0.08","","Minnie Mouse","","","Officially Licensed","Stickers","","4SROL4SPK","","(4) Sticker Sheets","","About California Proposition 65 Proposition 65, officially the Safe Drinking Water and Toxic Enforcement Act of 1986, is a law that requires warnings be provided to California consumers when they might be exposed to chemicals identified by California as causing cancer or reproductive toxicity. The warnings are intended to help california consumers make informed decisions about their exposures to these chemicals from the products they use. The California Office of Environmental Health Hazard Assessment (OEHHA) administers the Proposition 65 program and publishes the listed chemicals, which includes more that 850 chemicals. In August 2016, OEHHA adopted new regulations, effective on August 30, 2018, which change the information required in Proposition 65 warnings. This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","",""
"4SN-4PCSTICKERS-SPIDER-66608","4SN-4PCSTICKERS-PARENT","Spiderman 4pc Cute Sticker Sheets Kids Stationery Art Supplies Ages 3 and Up","KPLDSPI4PCSS","","0.1","11","8","0.08","","Spiderman","","","Officially Licensed","Stickers","","4SROL4SPK","","(4) Sticker Sheets","","About California Proposition 65 Proposition 65, officially the Safe Drinking Water and Toxic Enforcement Act of 1986, is a law that requires warnings be provided to California consumers when they might be exposed to chemicals identified by California as causing cancer or reproductive toxicity. The warnings are intended to help california consumers make informed decisions about their exposures to these chemicals from the products they use. The California Office of Environmental Health Hazard Assessment (OEHHA) administers the Proposition 65 program and publishes the listed chemicals, which includes more that 850 chemicals. In August 2016, OEHHA adopted new regulations, effective on August 30, 2018, which change the information required in Proposition 65 warnings. This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","",""
"4SN-4PCSTICKERS-STARWARS-66600","4SN-4PCSTICKERS-PARENT","Star Wars 4pc Cute Sticker Sheets Kids Stationery Art Supplies Ages 3 and Up","KPLDSW4PCSS","","0.1","11","8","0.08","","Star Wars","","","Officially Licensed","Stickers","","4SROL4SPK","","(4) Sticker Sheets","","About California Proposition 65 Proposition 65, officially the Safe Drinking Water and Toxic Enforcement Act of 1986, is a law that requires warnings be provided to California consumers when they might be exposed to chemicals identified by California as causing cancer or reproductive toxicity. The warnings are intended to help california consumers make informed decisions about their exposures to these chemicals from the products they use. The California Office of Environmental Health Hazard Assessment (OEHHA) administers the Proposition 65 program and publishes the listed chemicals, which includes more that 850 chemicals. In August 2016, OEHHA adopted new regulations, effective on August 30, 2018, which change the information required in Proposition 65 warnings. This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","",""
"4SN-4PCSTICKERS-TOYSTORY-66616","4SN-4PCSTICKERS-PARENT","Toy Story 4pc Cute Sticker Sheets Kids Stationery Art Supplies Ages 3 and Up","KPLDTS44PCSS","","0.1","11","8","0.08","","Toy Story","","","Officially Licensed","Stickers","","4SROL4SPK","","(4) Sticker Sheets","","About California Proposition 65 Proposition 65, officially the Safe Drinking Water and Toxic Enforcement Act of 1986, is a law that requires warnings be provided to California consumers when they might be exposed to chemicals identified by California as causing cancer or reproductive toxicity. The warnings are intended to help california consumers make informed decisions about their exposures to these chemicals from the products they use. The California Office of Environmental Health Hazard Assessment (OEHHA) administers the Proposition 65 program and publishes the listed chemicals, which includes more that 850 chemicals. In August 2016, OEHHA adopted new regulations, effective on August 30, 2018, which change the information required in Proposition 65 warnings. This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","",""
"4SN-CINCHBAG-TS-SA","4SN-CINCHBAG-PARENT","Toy Story Star Adventurer Kids 18 Inch Cinch Bag Travel Backpack Drawstring Tote","TSSTACBAG1","","0.25","18","13","0.15","","Toy Story Star Adventurer","China","Unisex Kids","Officially Licensed","Polyester","","CINCHBAGOFLC","","(1) Drawstring Cinch Bag","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","",""
