"sku","parent.sku","name","auto_part_position_amazon","capacity_walmart","character_walmart","color_amazon","design_amazon","frame_material_type_amazon","light_source_type_amazon","modelnumber_walmart","mounting_type_amazon","mpn_amazon","number_of_pieces_amazon","outer_material_type_amazon","pattern_walmart","recommendeduse_walmart","scale_name_amazon","size","special_features_amazon","sportvalue_walmart","style_name_amazon","theme_walmart","team_name_amazon","vehicletype_walmart"
"26C-10PCGARDTOOLS-BUN","26C-GARDTOOLS-PARENT","ToolTreaux 10pc Gardening Handheld Tools Set Gloves Carry Bag and Kneeling Pad","","","","Black","","","","","","","","","Solid","","","6.7""","","","10pc Tool Set","Gardening","",""
"26C-3PCGARDTOOLS-HM-75968-72","26C-GARDTOOLS-PARENT","ToolTreaux 3pc Handheld Gardening Tools Set Rake Hoe Shovel Garden Supplies","","","","Black","","","","","","","","","Solid","","","6.7""","","","3pc Tool Set","Gardening","",""
"26C-GGLOVES-HM-75966-96","26C-GARDTOOLS-PARENT","ToolTreaux 1 Pair Gardening Gloves with Claws Garden Tools One Size Fits Most","","","","Green","","","","","","","","","2 Tone","","","6.7""","","","1 Pair Gloves","Gardening","",""
"26C-GGLOVES-HM-75966-96-2PC-BUN","26C-GARDTOOLS-PARENT","ToolTreaux 2 Pairs Gardening Gloves with Claws Garden Tools, One Size Fits Most","","","","Green","","","","","","","","","2 Tone","","","6.7""","","","2 Pairs Gloves","Gardening","",""
"26C-PRUNSHEARS-HM-75967-96","26C-GARDTOOLS-PARENT","ToolTreaux Gardening Tool Pruning Shears Steel Blades 6.7 Inch Ergonomic Handle","","","","Assorted","","","","","","","","","Solid","","","6.7""","","","Pruning Shears","Gardening","",""
"26C-SILSPOON-YJJ-74594-72","26C-COOKTOOLS-PARENT","Beille Cream Wheat Straw Spoon with Stainless Steel Handle Kitchen Utensils, 13 Inch","","","","","","","","","","","","","","","","","","","","","",""
"26C-SLOTSPOON-YJJ-74593-72","26C-COOKTOOLS-PARENT","Beille Cream Wheat Straw Slotted Spoon with Stainless Steel Handle Kitchen Utensils, 13 Inch","","","","","","","","","","","","","","","","","","","","","",""
"26C-SPOONSET-4PC-BEIGE","26C-COOKTOOLS-PARENT","Beille 4pc Cream Wheat Straw Cooking Spoons Kitchen Utensils Set Household Essentials","","","","Cream","","","","","","","","","","kitchen, cooking","","4 Piece Kitchen Utensil Set","","","4 Piece Set","","",""
"26C-WHEAT-GRATER-YJJ-74607-72","26C-COOKTOOLS-PARENT","Beille Cream Stainless Steel Wheat Straw Handheld Cheese Grater Kitchen Utensils","","","","Cream","","","","","","","","","","kitchen, cooking","","Single","","","Cheese Grater","Kitchen","",""
"26C-WHEAT-PEELER-YJJ-74605-72","26C-COOKTOOLS-PARENT","Beille Cream Stainless Steel Wheat Straw Vegetable Peeler Kitchen Utensils","","","","Cream","","","","","","","","","","kitchen, cooking","","Single","","","Vegetable Peeler","Kitchen","",""
