account,item_id,sku,title,status,match_pct,mobile_words,visible_words,mobile_words_missing_from_visible,mobile_text,visible_text
ige,256508244348,,Disposable Towels Compact Compressed Biodegradable and Unscented - 12 Pack,MISMATCH,8.3,96,31,10 9 a add advantage and any anywhere around as at be because biodegradable box camping can car clean cleaning cleanliness compressed desk drawer during,"These Disposable Biodegradable Towels have many uses that can be taken advantage of while at home, camping, or working on a messy project. Have a few of them around the house, in the car, and during trips so you can have optimum cleanliness anywhere you go! At a compressed size of 0.5"" x 0.75"" you w","Irongate American Supply Our eBay Store About Us Contact Us MSRP 24.99 Product Details MPN: SON UPC: Features: Disposable Compact White Towels in 12 Pack Compact Dimensions: 0.5"" x 0.75"" © 2024"
ige,256508244391,,Medical Lightweight Diagnostic Non Chill Single Head Stethoscope 30in Universal,MISMATCH,8.6,58,30,a ability acoustic add adjustable aluminum an and anodized as at binurals chest chill comfort complete design durability ear exam exceptional for have high home,Add comfort and durability to your exam routine with the Universal Medical Single Head Stethoscope. This lightweight stethoscope offers high acoustic sensitivity for exceptional listening ability as well as a non-chill head for patient comfort. Durable design features an anodized aluminum chest piec,"Irongate American Supply Our eBay Store About Us Contact Us MSRP 24.99 Product Details MPN: SON UPC: Features: Length of Tube: 24"" Overall Length: 30"" Color: Black Durable & Reliable Single Head © 2024"
ige,256510041710,,32 Sheet Disappearing Notebook Dissolving Message Note Pad - Reflection Paper,MISMATCH,8.9,90,39,a advance and any as been but can comes confidential disappear disappearing dissolve down even far for go great has have ideal into is it,"This Disappearing Note Pad looks like ordinary paper, but is unique in that it dissolves in just seconds when contacted with liquid! This will result in a useless, non-reconstructable mulch which is far more secured than the output of any standard shredder. You can write on this paper normally, but ","Irongate American Supply Our eBay Store About Us Contact Us MSRP 19.99 Product Details MPN: SHM UPC: Features: 32 Sheets Per Each Notepad Dimensions: 5.5"" x 8.5"" Size: Large Made In The USA Dissolves When Contacted With Liquid © 2024"
ige,256508244342,,Universal Tool Stainless Steel Tweezer Set Assorted Tips Precision Tools - 4pc,MISMATCH,9.7,72,37,a all and any are as be beading bent broad components delicate designed different even feature flat grasping handling having holding ideal in is jewelry,"These stainless steel tweezers are all between 4"" and 5"" and feature different tips for different uses. The shovel tip on the stamp tweezers is perfect for handling flat broad objects that may be too delicate for pointed tweezers. The bent tip tweezers are designed for grasping small stones and comp","Irongate American Supply Our eBay Store About Us Contact Us MSRP 11.99 Product Details MPN: SON UPC: Features: Stainless Steel Construction Lengths between 4"" - 5"" Plastic Pouch for storage Comes w 4 Sizes of Tweezers Color: Grey © 2024"
ige,256508244379,,BBQ Grill Mat Non-Stick Heavy Duty Outdoor Patio Eating and Cooking Tools - 2Pk,MISMATCH,11.7,77,36,100 a absolute all also an and any are avid barbecue bbq chicken clean completely cook cooking duty easy essential fish for great grill grilling,"Cook like a pro and keep things clean with the Heavy Duty Non-Stick BBQ Grill Mats! These mats work great, produce no mess, and are easy to clean. The BBQ Grill Mat Set is perfect for indirect grilling of large meats and vegetables. The mat has a 100% non-stick surface which makes it easy to clean. ","Irongate American Supply Our eBay Store About Us Contact Us MSRP 19.99 Product Details MPN: SON UPC: Features: PTFE Fiberglass Coating PFOA Free Coated Surface Dimensions: 13"" x 15 3/4"" Dishwasher Safe Color: Black © 2024"
ige,256508244371,,6 Pack Portable Outdoor Camping Survival Wire Hand Saw With Two 35 cm Blades,MISMATCH,11.9,84,38,2 35cm a activity alternative alternatives and any are around backpack bulky but camping carry carrying could cut doesn enough extremely find foliage for gardening,"There are many situations you might find yourself in where you could really use a saw, but the idea of just carrying one around in your backpack just doesn't seem that practical. Portable Wire Hand Saws are a great alternative to their large and bulky alternatives. This pack includes two 35cm wire b","Irongate American Supply Our eBay Store About Us Contact Us MSRP 39.99 Product Details MPN: SON UPC: Features: Flexible Hand Wire Saw Portable Lightweight Design Two 13.5"" long chain blades Durable Metal Handles Easy Replacement of Blades © 2024"
ige,256508244410,,"Jumbo 6.5"" XL Carabiner Key Chain  - Purple",MISMATCH,12.3,57,40,a and anything are around asr attach attachment backpack bottle carabiners climbing come constructed durable easy equipment few fitness gear goods grab grip hand handy,"Keep your sporting goods and fitness equipment handy with the Jumbo ASR Outdoor XL Aluminum Carabiner with Hand Grip! Attach one to your backpack, water bottle, keys or purse to keep things handy and organized. These carabiners are constructed of durable aluminum and come with a key ring for easy at","Irongate American Supply Our eBay Store About Us Contact Us MSRP 14.99 Product Details MPN: SON UPC: Features: Dimensions of XL Carabiner: 6.5"" x 4"" Material: Aluminum Color: Purple Great for Hiking, Camping, Backpacks, Key Chains & Everyday Use © 2024"
ige,256510047695,,"5pc Universal Tweezer Set Stainless Steel, 5""",MISMATCH,13.0,77,35,5pc a all and any applications are as be beading broad components delicate designed different even feature flat for grasping handling having holding ideal in,"This 5pc tweezer set is useful for a variety of applications. These stainless steel tweezers are all between 4"" and 5"" and feature different tips for different uses. The shovel tip on the stamp tweezers is perfect for handling flat broad objects that may be too delicate for pointed tweezers. The ben","Irongate American Supply Our eBay Store About Us Contact Us MSRP 11.99 Product Details MPN: SON UPC: Features: Set includes: sharp point tweezers (4.5""), stamp tweezers (4.75""), general tweezers (4""), solder/utility tweezers (4.5""), bent tip tweezers (4.5"") Lengths between 4"" - 5"" © 2024"
ige,256525915897,,16pc Ratchet Screwdriver Grip Handle Set with Magnetized Bits,MISMATCH,13.2,38,39,16pc a allows and any choose comes easier for force from great hand hobby instead is less micro more multiple of on screw special straining,"This 16pc micro screwdriver set comes with a special hand grip for easier use! Instead of straining you hand on a tight screw, this hand grip allows you to use more force with less stress on your hand. With multiple bits to choose from, this screwdriver set is great for any hobby, task, and more!",Irongate American Supply Our eBay Store About Us Contact Us MSRP 19.99 Product Details MPN: SON UPC: Features: Ratchet Screwdriver Set with Magnetized Bits T-Handle Ergonomic Grip 15-Piece CRV Bits 1-Piece Interchangeable Ratchet Handle Bit Size: 1/4-Inch x 1-Inch © 2024
ige,256525915869,,Gear Aid Wilderness Travel Medicine Emergency Guide,MISMATCH,14.0,43,44,97 a adventure advice and components contains date expeditions extended from how illustrations improvised includes information it kit kits medications medicine most on prescription recommended,"A Comprehensive Guide to Wilderness and Travel Medicine from Adventure Medical Kits contains the most up-to-date information. It includes ""Weiss Advice"" improvised techniques; ""When to Worry"" tips; 97 illustrations; recommended prescription medications; medical supplies for extended expeditions; and","Irongate American Supply Our eBay Store About Us Contact Us MSRP 24.99 Product Details MPN: MCN UPC: 140381825196 Features: Dimensions of Paperback Book: 6"" x 4"" Compact Size For Easy Storage Comprehensive Guide Covers Medical Knowledge, Techniques & Equipment Teaches Standard First Aid Practice © 2"
