"sku","parent.sku","name","age_group","battery_technology_ebay","blade_edge_type_amazon","blade_length_ebay","blade_material_ebay","capacity","care_instructions_amazon","character_ebay","dexterity_walmart","fabric_type_amazon","fill_material_type_amazon","formulation","fragrance","frame_material","handle_material_ebay","ingredients_amazon","occasion","power_source","recommended_age_range","style_ebay","voltage_ebay","sport_type_amazon"
"26C-10PCGARDTOOLS-BUN","26C-GARDTOOLS-PARENT","ToolTreaux 10pc Gardening Handheld Tools Set Gloves Carry Bag and Kneeling Pad","","","","","","","","","","","","","","","","","","","","","",""
"26C-3PCGARDTOOLS-HM-75968-72","26C-GARDTOOLS-PARENT","ToolTreaux 3pc Handheld Gardening Tools Set Rake Hoe Shovel Garden Supplies","","","","","","","","","","","","","","","","","","","","","",""
"26C-GGLOVES-HM-75966-96","26C-GARDTOOLS-PARENT","ToolTreaux 1 Pair Gardening Gloves with Claws Garden Tools One Size Fits Most","","","","","","","","","","","","","","","","","","","","","",""
"26C-GGLOVES-HM-75966-96-2PC-BUN","26C-GARDTOOLS-PARENT","ToolTreaux 2 Pairs Gardening Gloves with Claws Garden Tools, One Size Fits Most","","","","","","","","","","","","","","","","","","","","","",""
"26C-PRUNSHEARS-HM-75967-96","26C-GARDTOOLS-PARENT","ToolTreaux Gardening Tool Pruning Shears Steel Blades 6.7 Inch Ergonomic Handle","","","","","","","","","","","","","","","","","","","","","",""
"26C-SILSPOON-YJJ-74594-72","26C-COOKTOOLS-PARENT","Beille Cream Wheat Straw Spoon with Stainless Steel Handle Kitchen Utensils, 13 Inch","","","","","","","","","","","","","","","","","","","","","",""
"26C-SLOTSPOON-YJJ-74593-72","26C-COOKTOOLS-PARENT","Beille Cream Wheat Straw Slotted Spoon with Stainless Steel Handle Kitchen Utensils, 13 Inch","","","","","","","","","","","","","","","","","","","","","",""
"26C-SPOONSET-4PC-BEIGE","26C-COOKTOOLS-PARENT","Beille 4pc Cream Wheat Straw Cooking Spoons Kitchen Utensils Set Household Essentials","Adult","","","","","","","","","","","","","","","","","","","","",""
"26C-WHEAT-GRATER-YJJ-74607-72","26C-COOKTOOLS-PARENT","Beille Cream Stainless Steel Wheat Straw Handheld Cheese Grater Kitchen Utensils","","","","","","","","","","","","","","","","","","","","","",""
"26C-WHEAT-PEELER-YJJ-74605-72","26C-COOKTOOLS-PARENT","Beille Cream Stainless Steel Wheat Straw Vegetable Peeler Kitchen Utensils","","","","","","","","","","","","","","","","","","","","","",""
"26C-WHEAT-PIZZA-YJJ-74599-72","26C-COOKTOOLS-PARENT","Beille Cream Stainless Steel Wheat Straw Pizza Cutter Kitchen Utensil Home Goods","","","","","","","","","","","","","","","","","","","","","",""
"26C-WHEAT-SCOOP-YJJ-74612-72","26C-COOKTOOLS-PARENT","Beille Cream Wheat Straw Material Ice Cream Scoop Kitchen Utensils Home Goods","","","","","","","","","","","","","","","","","","","","","",""
"26C-WHTCOOKTOOLS-14PC-BUN","26C-COOKTOOLS-PARENT","Beille 14pc Wheat Straw Kitchen Utensil Set Peeler Cutter Grater Spoons and Cups","Adult","","","","","","","","","","","","","","","","","","","","",""
"26C-WHTCOOKTOOLS-19PC-BUN","26C-COOKTOOLS-PARENT","Beille 19pc Wheat Straw Kitchen Utensil Set Peeler Cutter Grater Spoons and Cups","Adult","","","","","","","","","","","","","","","","","","","","",""
"26C-WHTCOOKTOOLS-4PCTOOL-BUN","26C-COOKTOOLS-PARENT","Beille 4pc Wheat Straw Kitchen Utensils Peeler Pizza Cutter Scoop and Grater","Adult","","","","","","","","","","","","","","","","","","","","",""
"26C-WHTCOOKTOOLS-5PC-BUN","26C-COOKTOOLS-PARENT","Beille Cream Wheat Straw Cooking Kitchen Utensils Set Spoons Spatulas Ladle, 5pc","Adult","","","","","","","","","","","","","","","","","","","","",""
"26C-WHTLADLE-YJJ-74597-72","26C-COOKTOOLS-PARENT","Beille Cream Wheat Straw Ladle with Stainless Steel Handle Kitchen Utensils, 13 Inch","Adult","","","","","","","","","","","","","","","","","","","","",""
"26C-WS10PCCUPS-YJJ-74613-72","26C-COOKTOOLS-PARENT","Beille Cream Wheat Straw Measuring Cups Spoons Set Cooking Baking Tools 10pc","","","","","","","","","","","","","","","","","","","","","",""
"26C-WSSLOTTED-YJJ-74595-72","26C-COOKTOOLS-PARENT","Beille Cream Wheat Straw Slotted Spatula with Stainless Steel Handle Kitchen Utensils, 13 Inch","","","","","","","","","","","","","","","","","","","","","",""
"26C-WSSPAT-YJJ-74596-72","26C-COOKTOOLS-PARENT","Beille Cream Wheat Straw Spatula with Stainless Steel Handle Kitchen Utensils, 13 Inch","Adult","","","","","","","","","","","","","","","","","","","","",""
"4SN-4PCSTICKERS-HELLO-66620","4SN-4PCSTICKERS-PARENT","Hello Kitty 4pc Cute Sticker Sheets Kids Stationery Art Supplies Ages 3 and Up","","","","","","","","Officially Licensed","","","","","","","","","","","","1 Pack","",""
"4SN-4PCSTICKERS-MINNIE-66621","4SN-4PCSTICKERS-PARENT","Minnie Mouse 4pc Cute Sticker Sheets Kids Stationery Art Supplies Ages 3 and Up","","","","","","","","Officially Licensed","","","","","","","","","","","","1 Pack","",""
"4SN-4PCSTICKERS-SPIDER-66608","4SN-4PCSTICKERS-PARENT","Spiderman 4pc Cute Sticker Sheets Kids Stationery Art Supplies Ages 3 and Up","","","","","","","","Officially Licensed","","","","","","","","","","","","1 Pack","",""
"4SN-4PCSTICKERS-STARWARS-66600","4SN-4PCSTICKERS-PARENT","Star Wars 4pc Cute Sticker Sheets Kids Stationery Art Supplies Ages 3 and Up","","","","","","","","Officially Licensed","","","","","","","","","","","","1 Pack","",""
"4SN-4PCSTICKERS-TOYSTORY-66616","4SN-4PCSTICKERS-PARENT","Toy Story 4pc Cute Sticker Sheets Kids Stationery Art Supplies Ages 3 and Up","","","","","","","","Officially Licensed","","","","","","","","","","","","1 Pack","",""
"4SN-CINCHBAG-TS-SA","4SN-CINCHBAG-PARENT","Toy Story Star Adventurer Kids 18 Inch Cinch Bag Travel Backpack Drawstring Tote","Child","","","","","","","Officially Licensed","","","","","","","","","","","","1 Pack","",""
"4SN-BEAUTYTOOLKIT-9PC-BUN","4SN-BEAUTYTOOLKIT-PARENT","ToolTreaux Beauty Tool Kit Nail Clipper Brush Eyelash Curler Pore Cleaner - 9pc","Adult","","","","","","","","","","","","","","","","","","","1 Pack","",""
"4SN-BLACKHEADREMOV-3PC-71219","4SN-BEAUTYTOOLKIT-PARENT","ToolTreaux Blackhead Remover Tool Facial Cleanser Pore Cleaner Travel Case - 3pc","Adult","","","","","","","","","","","","","","","","","","","1 Pack","",""
"4SN-BLE-UTENSILSET-2PC","4SN-BLE-UTENSILSET-PARENT","Beille 2pk Kitchen Gadgets Y Peeler and Lancashire Peeler Cooking Tools Set","Adult","","","","","","","","","","","","","","","","","","","","",""
"4SN-BLE-UTENSILSET-4PC","4SN-BLE-UTENSILSET-PARENT","Beille Kitchen Gadgets Cooking Baking Supplies Meal Prep Tools (Many Options)","Adult","","","","","","","","","","","","","","","","","","","","",""
"4SN-BLE-UTENSILSET-BOTL","4SN-BLE-UTENSILSET-PARENT","Beille Kitchen Gadget Pastel Bottle Opener Wooden Handle Cooking Tool Home Goods","Adult","","","","","","","","","","","","","","","","","","","","",""
"4SN-BLE-UTENSILSET-BRSH","4SN-BLE-UTENSILSET-PARENT","Beille Kitchen Gadget Pastel Basting Brush Wooden Handle Cooking Tool Home Goods","Adult","","","","","","","","","","","","","","","","","","","","",""
"4SN-BLE-UTENSILSET-LANC","4SN-BLE-UTENSILSET-PARENT","Beille Kitchen Gadget Pastel Lancashire Peeler Wooden Handle Cooking Tool","Adult","","","","","","","","","","","","","","","","","","","","",""
"4SN-BLE-UTENSILSET-YPEEL","4SN-BLE-UTENSILSET-PARENT","Beille Kitchen Gadget Pastel Y Peeler Wooden Handle Cooking Tool Home Goods","Adult","","","","","","","","","","","","","","","","","","","","",""
"4SN-CINCHBAG-AVG","4SN-CINCHBAG-PARENT","Marvel Avengers Kids Unisex 18 Inch Cinch Bag Travel Backpack Drawstring Tote","Child","","","","","","","Officially Licensed","","","","","","","","","","","","1 Pack","",""
"4SN-CINCHBAG-MARVEL-KAWAII-BUN","4SN-CINCHBAG-PARENT","Marvel Kawaii Avengers Kids Unisex 18 Inch Cinch Bag Backpack Drawstring Tote","Child","","","","","","","Officially Licensed","","","","","","","","","","","","1 Pack","",""
"4SN-CINCHBAG-MICKEYMOUSE-BUN","4SN-CINCHBAG-PARENT","Mickey Mouse Kids Unisex 18 Inch Cinch Bag Travel Backpack Drawstring Tote","Child","","","","","","","Officially Licensed","","","","","","","","","","","","1 Pack","",""
"4SN-CINCHBAG-MINNIMOUSE-1928-BUN","4SN-CINCHBAG-PARENT","Minnie Mouse Since 1928 Kids 18 Inch Cinch Bag Travel Backpack Drawstring Tote","Child","","","","","","","Officially Licensed","","","","","","","","","","","","1 Pack","",""
"4SN-CINCHBAG-MINNIMOUSE-BOW-BUN","4SN-CINCHBAG-PARENT","Minnie Mouse Polka Dot Bow Kids 18 Inch Cinch Bag Backpack Drawstring Tote","Child","","","","","","","Officially Licensed","","","","","","","","","","","","1 Pack","",""
"4SN-CINCHBAG-PAW","4SN-CINCHBAG-PARENT","Nickelodeon Paw Patrol Kids 18 Inch Cinch Bag Travel Backpack Drawstring Tote","","","","","","","","Officially Licensed","","","","","","","","","","","","1 Pack","",""
"4SN-CINCHBAG-PAW-WAL","4SN-CINCHBAG-PARENT","Nickelodeon Paw Patrol Kids 18 Inch Cinch Bag Travel Backpack Drawstring Tote","Child","","","","","","","Officially Licensed","","","","","","","","","","","","1 Pack","",""
"4SN-CINCHBAG-PRIN","4SN-CINCHBAG-PARENT","Disney Princess Girls 18 Inch Cinch Bag Kids Travel Backpack Drawstring Tote","Child","","","","","","","Officially Licensed","","","","","","","","","","","","1 Pack","",""
"4SN-CINCHBAG-SPIDERMAN","4SN-CINCHBAG-PARENT","Marvel Spiderman Kids 18 Inch Cinch Bag Travel Backpack Drawstring Tote","Child","","","","","","","Officially Licensed","","","","","","","","","","","","1 Pack","",""
"4SN-DUALNAILBRUSH-70066","4SN-BEAUTYTOOLKIT-PARENT","Beille Nail Brush for Cleaning Fingernails Dual-Sided Nail Scrub Beauty Tool","Adult","","","","","","","","","","","","","","","","","","","1 Pack","",""
"4SN-EYETOOLKIT-2PC-71209","4SN-BEAUTYTOOLKIT-PARENT","ToolTreaux Eyelash Curler and Tweezer Set Eye Makeup Eyebrow Tool Set - 2pc","Adult","","","","","","","","","","","","","","","","","","","1 Pack","",""
"4SN-NAILCLIPSET-3PC-71213","4SN-BEAUTYTOOLKIT-PARENT","ToolTreaux Nail Clipper Set with Emery Board Nail File Travel Manicure Kit - 3pc","Adult","","","","","","","","","","","","","","","","","","","1 Pack","",""
"4SN-CINCHBAG-SUPRMAN-BUN","4SN-CINCHBAG-PARENT","DC Comics Superman Kids Unisex 18 Inch Cinch Bag Travel Backpack Drawstring Tote","Child","","","","","","","Officially Licensed","","","","","","","","","","","","1 Pack","",""
"4SN-CINCHBAG-SUPRMAN-CAPE","4SN-CINCHBAG-PARENT","DC Comics Superman Cape Kids 18 Inch Cinch Bag Travel Backpack Drawstring Tote","Child","","","","","","","Officially Licensed","","","","","","","","","","","","1 Pack","",""
"4SN-CINCHBAG-TS-SR","4SN-CINCHBAG-PARENT","Toy Story Space Ranger Kids 18 Inch Cinch Bag Travel Backpack Drawstring Tote","Child","","","","","","","Officially Licensed","","","","","","","","","","","","1 Pack","",""
"4SN-CINCHBAG-YODA-PRECARG-BUN","4SN-CINCHBAG-PARENT","Baby Yoda Precious Cargo Kids 18 Inch Cinch Bag Travel Backpack Drawstring Tote","Child","","","","","","","Officially Licensed","","","","","","","","","","","","1 Pack","",""
"4SN-CINCHBAG-YODA-UNKNOWN-BUN","4SN-CINCHBAG-PARENT","Baby Yoda Species Unknown Kids 18 Inch Cinch Bag Travel Backpack Drawstring Tote","Child","","","","","","","Officially Licensed","","","","","","","","","","","","1 Pack","",""
"4SN-DOVEHANDSOAP-BLU","4SN-DOVEHANDSOAP-PARENT","Dove Go Fresh Cream Moisturizing Beauty Bar Soap Fig Orange Blossom Scent 4.75oz","","","","","","","","","","","","","","","","","","","","","",""
"4SN-DOVEHANDSOAP-EXF","4SN-DOVEHANDSOAP-PARENT","Gentle Beauty Bar Hand Soap Exfoliating Cream for Soft Skin 4.75oz","","","","","","","","","","","","","","","","","","","","","",""
