"sku","parent.sku","name","age_range_description_amazon","blade_material_type_amazon","capacity_amazon","character","character_amazon","fabriccareinstruction_walmart","handle_material_amazon","item_shape_amazon","model_name_amazon","number_of_items_amazon","occasion_type_amazon","occasion_walmart","pattern_name_amazon","power_source_type_amazon","recommendeduse_walmart","shape_walmart","style","style_amazon","theme_amazon","theme_walmart","type_of_tool","voltage_amazon"
"26C-10PCGARDTOOLS-BUN","26C-GARDTOOLS-PARENT","ToolTreaux 10pc Gardening Handheld Tools Set Gloves Carry Bag and Kneeling Pad","adult","","","","","","","","","","","Gardening","","","","Rectangle","10pc Tool Set","10pc Tool Set","","Gardening","",""
"26C-3PCGARDTOOLS-HM-75968-72","26C-GARDTOOLS-PARENT","ToolTreaux 3pc Handheld Gardening Tools Set Rake Hoe Shovel Garden Supplies","adult","","","","","","","","","","","Gardening","","","","Rectangle","3pc Tool Set","3pc Tool Set","","Gardening","",""
"26C-GGLOVES-HM-75966-96","26C-GARDTOOLS-PARENT","ToolTreaux 1 Pair Gardening Gloves with Claws Garden Tools One Size Fits Most","adult","","","","","","","","","","","Gardening","","","","Rectangle","1 Pair Gloves","1 Pair Gloves","","Gardening","",""
"26C-GGLOVES-HM-75966-96-2PC-BUN","26C-GARDTOOLS-PARENT","ToolTreaux 2 Pairs Gardening Gloves with Claws Garden Tools, One Size Fits Most","adult","","","","","","","","","","","Gardening","","","","Rectangle","2 Pairs Gloves","2 Pairs Gloves","","Gardening","",""
"26C-PRUNSHEARS-HM-75967-96","26C-GARDTOOLS-PARENT","ToolTreaux Gardening Tool Pruning Shears Steel Blades 6.7 Inch Ergonomic Handle","adult","","","","","","","","","","","Gardening","","manual","","Rectangle","Pruning Shears","Pruning Shears","","Gardening","",""
"26C-SILSPOON-YJJ-74594-72","26C-COOKTOOLS-PARENT","Beille Cream Wheat Straw Spoon with Stainless Steel Handle Kitchen Utensils, 13 Inch","","","","","","","","","","","","","","","","","","","","","",""
"26C-SLOTSPOON-YJJ-74593-72","26C-COOKTOOLS-PARENT","Beille Cream Wheat Straw Slotted Spoon with Stainless Steel Handle Kitchen Utensils, 13 Inch","","","","","","","","","","","","","","","","","","","","","",""
"26C-SPOONSET-4PC-BEIGE","26C-COOKTOOLS-PARENT","Beille 4pc Cream Wheat Straw Cooking Spoons Kitchen Utensils Set Household Essentials","adult","","","","","","stainless steel","","","","","","","","kitchen, cooking","","4 Piece Set","4 Piece Set","","","",""
"26C-WHEAT-GRATER-YJJ-74607-72","26C-COOKTOOLS-PARENT","Beille Cream Stainless Steel Wheat Straw Handheld Cheese Grater Kitchen Utensils","adult","","","","","","","","","","","Kitchen","","","kitchen, cooking","","Cheese Grater","Cheese Grater","","Kitchen","",""
"26C-WHEAT-PEELER-YJJ-74605-72","26C-COOKTOOLS-PARENT","Beille Cream Stainless Steel Wheat Straw Vegetable Peeler Kitchen Utensils","adult","","","","","","","","","","","Kitchen","","","kitchen, cooking","","Vegetable Peeler","Vegetable Peeler","","Kitchen","",""
"26C-WHEAT-PIZZA-YJJ-74599-72","26C-COOKTOOLS-PARENT","Beille Cream Stainless Steel Wheat Straw Pizza Cutter Kitchen Utensil Home Goods","adult","","","","","","","","","","","Kitchen","","","kitchen, cooking","","Pizza Cutter","Pizza Cutter","","Kitchen","",""
"26C-WHEAT-SCOOP-YJJ-74612-72","26C-COOKTOOLS-PARENT","Beille Cream Wheat Straw Material Ice Cream Scoop Kitchen Utensils Home Goods","adult","","","","","","","","","","","Kitchen","","","kitchen, cooking","","Ice Cream Scoop","Ice Cream Scoop","","Kitchen","",""
