"sku","parent.sku","name","mpn","warranty","height","length","width","weight","brand_ebay","color","country_of_origin","department_ebay","features_ebay","material","model","mpn_ebay","number_of_pieces","package_includes","pattern","prop65_warn_type","shape","suitable_for","theme","type"
"MCN-GAAUAS-34OZ-CLR","MCN-AQUASEAL-PARENT","GEAR AID Aquaseal FD Flexible Repair Adhesive for Outdoor Gear and Vinyl, Clear Glue, 0.75 oz","","","","","","","","","","","","","","","","","","","","","",""
"SON-UTGCFGM15B15I-15X15-CHRCL","SON-GRAPHITECRUCIBLES-PARENT","Universal Tool Graphite Crucible for Melting Gold and Silver 1.75 by 1.75 Inch","","","","","","","","","","","","","","","","","","","","","",""
"SON-UTGCFGM2B2I-2X2-CHRCL","SON-GRAPHITECRUCIBLES-PARENT","Universal Tool Graphite Crucible for Melting Gold and Silver - 2 x 2 Inch","","","","","","","","","","","","","","","","","","","","","",""
"MCN-SGFRKFGA-SML","MCN-SEAMGRIP-REPAIRKIT-PARENT","GEAR AID Seam Grip WP Field Repair Kit for Tents and Outdoor Gear, Clear, 0.25 oz","","","","","","","","","","","","","","","","","","","","","",""
"KOL-FRUITVEGGIEPEELER-GRN","KOL-FRUITVEGGIEPEELER-PARENT","Universal Handy Helpers Fruit and Vegetable Peeler Dishwasher Safe - Green","","","","","","","","","","","","","","","","","","","","","",""
"KOL-FRUITVEGGIEPEELER-RED","KOL-FRUITVEGGIEPEELER-PARENT","Universal Handy Helpers Fruit and Vegetable Peeler Dishwasher Safe - Red","UHHFVP-R","","1","7","1","0.1","Universal","Red","","","","Plastic","","","1","(1) Fruit and Veggie Peeler - Red","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","",""
"MCN-BURIDIVEKNIFE-BLK","MCN-BURIDIVEKNIFE-PARENT","Tactical Buri Multipurpose Utility Dive Knife 8 Inch - Black","","","","","","","","","","","","","","","","","","","","","",""
"MCN-BURIDIVEKNIFE-ORG","MCN-BURIDIVEKNIFE-PARENT","Tactical Buri Multipurpose Utility Dive Knife 8 Inch - Orange","","","","","","","","","","","","","","","","","","","","","",""
"MCN-FSABRA-1OZ-CLR","MCN-FSABRA-1OZ-CLR-PARENT","GEAR AID Aquaseal SR Shoe and Boot Repair Adhesive, Clear Glue, 1 oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-FSABRA-1OZ-CLR-2PK","MCN-FSABRA-1OZ-CLR-PARENT","GEAR AID Aquaseal SR Shoe and Boot Repair Adhesive, Clear Glue, 1 oz, 2-pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-FSABRA-1OZ-CLR-3PK","MCN-FSABRA-1OZ-CLR-PARENT","GEAR AID Aquaseal SR Shoe and Boot Repair Adhesive, Clear Glue, 1 oz, 3-pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GA8OZSGWUSWUA-8OZ","MCN-SEAMGRIPWP-PARENT","GEAR AID Seam Grip WP Waterproof Sealant and Adhesive for Tents and Outdoor Fabric, Clear, 8 oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GAAUAS-34OZ-CLR-2PACK-2","MCN-AQUASEAL-PARENT","(2 Pack) Gear Aid Aquaseal FD Flexible Durable Repair Adhesive 3/4oz","GAARA-42","","0.75","8","5","0.16","Gear Aid","Clear","United States","","","","GAARA-42","","","(1) Aquaseal Repair Adhesive","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","",""
"MCN-GAAUAS-34OZ-CLR-2PK","MCN-AQUASEAL-PARENT","GEAR AID 2-Pack Aquaseal FD Flexible Repair Adhesive for Outdoor Gear and Vinyl, Clear Glue, 0.75 oz,","10113","","0.75","8","5","0.16","","","United States","","","","","","","","","","","","",""
"MCN-GAAUAS-34OZ-CLR-3","MCN-AQUASEAL-PARENT","Gear Aid Aquaseal FD Flexible Durable Repair Adhesive - 3/4oz","GAARA-42","","0.75","8","2","0.08","Gear Aid","Clear","United States","","","","GAARA-42","","","*(1) Aquaseal Repair Adhesive","","","","","",""
"MCN-GAMEAACCRA-3PC-SML-CLR-1","MCN-GAMEAACCRA-3PC-SML-CLR-PARENT","GEAR AID Aquaseal FD Flexible Durable Repair Adhesive and Cure Accelerator, 0.75 oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GAMEAACCRA-3PC-SML-CLR-1-2PK","MCN-GAMEAACCRA-3PC-SML-CLR-PARENT","GEAR AID Aquaseal FD Flexible Durable Repair Adhesive and Cure Accelerator, 0.75 oz, 2-pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GARNASFWAWK-KIT-SPECIAL-TAG","MCN-GARNASFWAWK-KIT-PARENT","GEAR AID Revivex Suede, Nubuck and Fabric Boot Care Kit with Spray, Cleaner, Brush and Eraser","GANSFBCK","","2","7","5","0.93","","Standard","United States","","","PVC","GANSFBCK-102","","","(1) 4oz Nubuck, Suede, & Fabric Water Repellent(1) 4oz Boot Cleaner Concentrate
(1) Specialized Boot Brush
(1) Stain and Scuff Eraser Block","","","","","",""
