"sku","parent.sku","name","age_range_description_amazon","blade_material_type_amazon","capacity_amazon","character","character_amazon","fabriccareinstruction_walmart","handle_material_amazon","item_shape_amazon","model_name_amazon","number_of_items_amazon","occasion_type_amazon","occasion_walmart","pattern_name_amazon","power_source_type_amazon","recommendeduse_walmart","shape_walmart","style","style_amazon","theme_amazon","theme_walmart","type_of_tool","voltage_amazon"
"MCN-GAAUAS-34OZ-CLR","MCN-AQUASEAL-PARENT","GEAR AID Aquaseal FD Flexible Repair Adhesive for Outdoor Gear and Vinyl, Clear Glue, 0.75 oz","","","","","","","","","","","","","","","","","","","","","",""
"SON-UTGCFGM15B15I-15X15-CHRCL","SON-GRAPHITECRUCIBLES-PARENT","Universal Tool Graphite Crucible for Melting Gold and Silver 1.75 by 1.75 Inch","","","","","","","","","","","","","","","","","","","","","",""
"SON-UTGCFGM2B2I-2X2-CHRCL","SON-GRAPHITECRUCIBLES-PARENT","Universal Tool Graphite Crucible for Melting Gold and Silver - 2 x 2 Inch","","","","","","","","","","","","","","","","","","","","","",""
"MCN-SGFRKFGA-SML","MCN-SEAMGRIP-REPAIRKIT-PARENT","GEAR AID Seam Grip WP Field Repair Kit for Tents and Outdoor Gear, Clear, 0.25 oz","","","","","","","","","","","","","","","","","","","","","",""
"KOL-FRUITVEGGIEPEELER-GRN","KOL-FRUITVEGGIEPEELER-PARENT","Universal Handy Helpers Fruit and Vegetable Peeler Dishwasher Safe - Green","","","","","","","","","","","","","","","","","","","","","",""
"KOL-FRUITVEGGIEPEELER-RED","KOL-FRUITVEGGIEPEELER-PARENT","Universal Handy Helpers Fruit and Vegetable Peeler Dishwasher Safe - Red","Adult","","","","","","","","","","","","","","peeling, cooking, slicing, grating, kitchen tools","","","","","","",""
"MCN-BURIDIVEKNIFE-BLK","MCN-BURIDIVEKNIFE-PARENT","Tactical Buri Multipurpose Utility Dive Knife 8 Inch - Black","","","","","","","","","","","","","","","","","","","","","",""
"MCN-BURIDIVEKNIFE-ORG","MCN-BURIDIVEKNIFE-PARENT","Tactical Buri Multipurpose Utility Dive Knife 8 Inch - Orange","","","","","","","","","","","","","","","","","","","","","",""
"MCN-FSABRA-1OZ-CLR","MCN-FSABRA-1OZ-CLR-PARENT","GEAR AID Aquaseal SR Shoe and Boot Repair Adhesive, Clear Glue, 1 oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-FSABRA-1OZ-CLR-2PK","MCN-FSABRA-1OZ-CLR-PARENT","GEAR AID Aquaseal SR Shoe and Boot Repair Adhesive, Clear Glue, 1 oz, 2-pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-FSABRA-1OZ-CLR-3PK","MCN-FSABRA-1OZ-CLR-PARENT","GEAR AID Aquaseal SR Shoe and Boot Repair Adhesive, Clear Glue, 1 oz, 3-pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GA8OZSGWUSWUA-8OZ","MCN-SEAMGRIPWP-PARENT","GEAR AID Seam Grip WP Waterproof Sealant and Adhesive for Tents and Outdoor Fabric, Clear, 8 oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GAAUAS-34OZ-CLR-2PACK-2","MCN-AQUASEAL-PARENT","(2 Pack) Gear Aid Aquaseal FD Flexible Durable Repair Adhesive 3/4oz","Adult","","","","","","","","","","","","","","Camping, Gear Repair, Outdoor","","0.75 Ounce 2 Pack","2 Pack","","Outdoor, Camping, Hiking","",""
"MCN-GAAUAS-34OZ-CLR-2PK","MCN-AQUASEAL-PARENT","GEAR AID 2-Pack Aquaseal FD Flexible Repair Adhesive for Outdoor Gear and Vinyl, Clear Glue, 0.75 oz,","Adult","","","","","","","","","","","","","","Camping, Gear Repair, Outdoor","","","0.75 oz- 2 Pack","","","",""
"MCN-GAAUAS-34OZ-CLR-3","MCN-AQUASEAL-PARENT","Gear Aid Aquaseal FD Flexible Durable Repair Adhesive - 3/4oz","Adult","","","","","","","","","","","","","","Camping, Gear Repair, Outdoor","","0.75 Ounce","0.75 Ounce","","","",""
"MCN-GAMEAACCRA-3PC-SML-CLR-1","MCN-GAMEAACCRA-3PC-SML-CLR-PARENT","GEAR AID Aquaseal FD Flexible Durable Repair Adhesive and Cure Accelerator, 0.75 oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GAMEAACCRA-3PC-SML-CLR-1-2PK","MCN-GAMEAACCRA-3PC-SML-CLR-PARENT","GEAR AID Aquaseal FD Flexible Durable Repair Adhesive and Cure Accelerator, 0.75 oz, 2-pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GARNASFWAWK-KIT-SPECIAL-TAG","MCN-GARNASFWAWK-KIT-PARENT","GEAR AID Revivex Suede, Nubuck and Fabric Boot Care Kit with Spray, Cleaner, Brush and Eraser","Adult","","","","","","","","","","","","","","Camping, Gear Repair, Outdoor","","","Deluxe Kit","","","",""
"MCN-GARNASFWAWK-SPECIAL-2PK-TAG","MCN-GARNASFWAWK-KIT-PARENT","GEAR AID 2PK Revivex Suede, Nubuck and Fabric Boot Care Kit with Spray, Cleaner, Brush and Eraser,","Adult","","","","","","","","","","","","","","Camping, Gear Repair, Outdoor","","2 Pack","2 Pack","","","",""
"MCN-GASG1OZGRT-1OZT-CLR","MCN-SEAMGRIPWP-PARENT","GEAR AID Seam Grip WP Waterproof Sealant and Adhesive for Tents and Outdoor Fabric, Clear, 1 oz","","","","","","","","","","","","","","","","","","","","","",""
