action,handle,title,youtube_id,upload_date,duration,featured_image
create,how-to-use-mini-rubber-pocket-sluice-box,"How to Use the ASR Outdoor Mini Rubber Pocket Sluice Box",3KRzsc-stEE,2022-06-16,PT1M33S,https://i.ytimg.com/vi/3KRzsc-stEE/hqdefault.jpg
create,large-capacity-rock-hounding-tool-bag,"Large-Capacity Rock Hounding Tool Bag",3N-gFD2G-jQ,2025-09-26,PT25S,https://i.ytimg.com/vi/3N-gFD2G-jQ/hqdefault.jpg
create,how-to-choose-the-correct-gold-pan,"How to Choose the Correct Gold Pan for Gold Panning",5ZUFmtFPgdE,2022-06-16,PT2M53S,https://i.ytimg.com/vi/5ZUFmtFPgdE/hqdefault.jpg
create,how-to-use-6-inch-classifier-screens,"How to Use 6-Inch Classifier Screens for Gold Panning",BX_OnDzxXRA,2022-06-16,PT3M17S,https://i.ytimg.com/vi/BX_OnDzxXRA/hqdefault.jpg
create,best-shovels-hammers-picks-for-gold-prospecting,"The Best Shovels, Hammers & Picks for Gold Prospecting",D0Sch7DMcHM,2023-09-25,PT3M21S,https://i.ytimg.com/vi/D0Sch7DMcHM/hqdefault.jpg
create,30-inch-plastic-sluice-box-setup,"ASR Outdoor 30-Inch Plastic Sluice Box Setup & Features",F3nU7PYk2CU,2022-06-29,PT2M34S,https://i.ytimg.com/vi/F3nU7PYk2CU/hqdefault.jpg
create,how-to-use-13-inch-bucket-classifier-pans,"How to Use 13-Inch Bucket Classifier Sifting Pans",GRGKibzHhNQ,2022-06-16,PT2M34S,https://i.ytimg.com/vi/GRGKibzHhNQ/hqdefault.jpg
create,how-to-use-12-inch-aluminum-sluice-box,"How to Use the ASR Outdoor 12-Inch Aluminum Sluice Box",I52rzwyfliE,2022-06-15,PT1M46S,https://i.ytimg.com/vi/I52rzwyfliE/hqdefault.jpg
create,unboxing-break-your-own-geodes-kit,"Unboxing the 12pc Break Your Own Geodes Kit",KLobXEEdf1Q,2024-09-13,PT3M,https://i.ytimg.com/vi/KLobXEEdf1Q/hqdefault.jpg
create,waterproof-first-aid-kit-submersion-test,"Waterproof First Aid Kit — Full Submersion Test",O_ithEcabnU,2026-02-25,PT23S,https://i.ytimg.com/vi/O_ithEcabnU/hqdefault.jpg
create,50-inch-folding-sluice-box-setup,"ASR Outdoor 50-Inch Folding Sluice Box Setup",OdcvlszXOH0,2022-06-21,PT4M26S,https://i.ytimg.com/vi/OdcvlszXOH0/hqdefault.jpg
create,sluice-box-setup-basics-rubber-matting,"Sluice Box Setup Basics & Rubber Matting Cleanup",UxDOZeiHAes,2022-06-17,PT4M7S,https://i.ytimg.com/vi/UxDOZeiHAes/hqdefault.jpg
create,cracking-open-rocks-by-the-river,"Cracking Open Rocks by the River with a Rock Pick",XdsMWcP7A0g,2025-04-10,PT37S,https://i.ytimg.com/vi/XdsMWcP7A0g/hqdefault.jpg
create,magnetic-prospecting-pick-axe,"Top Magnetic Prospecting Pick Axe for Gold Panning",Xepf8uTnR7w,2023-09-21,PT1M35S,https://i.ytimg.com/vi/Xepf8uTnR7w/hqdefault.jpg
create,benefits-of-rubber-riffle-matting,"Benefits of Rubber Riffle Matting for Gold Recovery",o6ToaVuqtZk,2022-06-24,PT50S,https://i.ytimg.com/vi/o6ToaVuqtZk/hqdefault.jpg
create,how-to-season-your-gold-pans,"How to Properly Season Your Gold Pans",pXoZAJsz4qo,2022-06-16,PT1M45S,https://i.ytimg.com/vi/pXoZAJsz4qo/hqdefault.jpg
create,gemstone-paydirt-kit-find-crystals-and-gems,"ASR Outdoor Gemstone Paydirt Kit — Find Crystals & Gems",t9Fc9uBs24Y,2024-09-24,PT1M31S,https://i.ytimg.com/vi/t9Fc9uBs24Y/hqdefault.jpg
create,21pc-geology-rock-hounding-kit-spotlight,"Product Spotlight: 21pc Geology Rock Hounding Kit",u-HoBL5NvLQ,2025-09-30,PT33S,https://i.ytimg.com/vi/u-HoBL5NvLQ/hqdefault.jpg
create,34-inch-aluminum-sluice-box-setup,"ASR Outdoor 34-Inch Aluminum Sluice Box Setup",vW6hZTmYAqc,2022-06-22,PT2M58S,https://i.ytimg.com/vi/vW6hZTmYAqc/hqdefault.jpg
create,6pc-beginner-gold-panning-kit-demo,"6pc Beginner Gold Panning Kit with Paydirt Demo",xCIlBiVK-hM,2022-06-16,PT4M4S,https://i.ytimg.com/vi/xCIlBiVK-hM/hqdefault.jpg
