youtube_id,watch_url,on_products
3KRzsc-stEE,https://www.youtube.com/watch?v=3KRzsc-stEE,"15pc Travel Backpack Gold Panning Kit with Mini Sluice Box and 3lb Gold Bobby Bo Paydirt (2 Styles) | Mini Portable 3 Riffle Rubber Sluice Box Gold Prospecting Equipment, 12 Inch"
3N-gFD2G-jQ,https://www.youtube.com/watch?v=3N-gFD2G-jQ,"21pc Geology Rock Hounding Kit with Mining Tools and Deluxe Carry Bag"
5ZUFmtFPgdE,https://www.youtube.com/watch?v=5ZUFmtFPgdE,"(Videos page only)"
BX_OnDzxXRA,https://www.youtube.com/watch?v=BX_OnDzxXRA,"Small Stackable 6 Inch Classifier Screen Sifting Sieves, Assorted Stainless Steel Mesh Sizes"
D0Sch7DMcHM,https://www.youtube.com/watch?v=D0Sch7DMcHM,"3 in 1 Black Trifold Steel Multipurpose Serrated Shovel Pick and Saw with Storage Case, 22 Inch | HRC Steel Shovel with Knurled Wooden Handle Gold Prospecting Equipment, 28.25 Inch | 3 in 1 Black Mini Folding Serrated Edge Shovel Pick and Saw Gold Prospecting Equipment, 16 Inches"
F3nU7PYk2CU,https://www.youtube.com/watch?v=F3nU7PYk2CU,"Multi Riffle Plastic Sluice Box Gold Prospecting Equipment, Green"
GRGKibzHhNQ,https://www.youtube.com/watch?v=GRGKibzHhNQ,"Heavy Duty Stackable Plastic Sifting Screens Gold Prospecting Equipment Rock Hounding (3 Sizes)"
I52rzwyfliE,https://www.youtube.com/watch?v=I52rzwyfliE,"15pc Travel Backpack Gold Panning Kit with Mini Sluice Box and 3lb Gold Bobby Bo Paydirt (2 Styles) | Mini Portable Aluminum Sluice Box with Rubber Matting Gold Prospecting Equipment, 12 Inch"
KLobXEEdf1Q,https://www.youtube.com/watch?v=KLobXEEdf1Q,"12pc Break Your Own Geodes Kit with Sledge Hammer and Safety Goggles (Assorted Size Geodes)"
O_ithEcabnU,https://www.youtube.com/watch?v=O_ithEcabnU,"First Aid Kit in Plastic Waterproof Case Survival Gear Emergency Preparedness Item, 50pc"
OdcvlszXOH0,https://www.youtube.com/watch?v=OdcvlszXOH0,"50 Inch Aluminum Folding Gold Sluice Box Prospecting Equipment"
UxDOZeiHAes,https://www.youtube.com/watch?v=UxDOZeiHAes,"(Videos page only)"
XdsMWcP7A0g,https://www.youtube.com/watch?v=XdsMWcP7A0g,"20oz Rock Pick Mining Hammer, 11-inch Pointed Tip Gold Prospectors Tool"
Xepf8uTnR7w,https://www.youtube.com/watch?v=Xepf8uTnR7w,"Heavy Duty Collapsable Magnetic Prospectors Pick Axe Gold Prospecting Equipment, Silver"
o6ToaVuqtZk,https://www.youtube.com/watch?v=o6ToaVuqtZk,"Large Rubber Riffled Sluice Box Matting for Gold Recovery, 27 x 10 inch"
pXoZAJsz4qo,https://www.youtube.com/watch?v=pXoZAJsz4qo,"(Videos page only)"
t9Fc9uBs24Y,https://www.youtube.com/watch?v=t9Fc9uBs24Y,"5LB Genuine Rough Gemstone Paydirt Bags, Rocks and Minerals Collection, Sift, Sort and Find Treasure | 5lb Genuine Tumbled Rocks and Rough Gemstone Paydirt Kits, 14pc (2 Styles)"
u-HoBL5NvLQ,https://www.youtube.com/watch?v=u-HoBL5NvLQ,"21pc Geology Rock Hounding Kit with Mining Tools and Deluxe Carry Bag"
vW6hZTmYAqc,https://www.youtube.com/watch?v=vW6hZTmYAqc,"Aluminum Sluice Box with Rubber TPR Riffle Matting, Gold Prospecting Equipment, 34 Inch"
xCIlBiVK-hM,https://www.youtube.com/watch?v=xCIlBiVK-hM,"ASR Outdoor X Pan for Gold with Bobby Bo 3oz Beginner Paydirt Gold Panning Kit, 6pc | ASR Outdoor Beginner Gold Panning Kit with 1LB Guaranteed Gold Paydirt (3 Colors), 6pc"
