Country,Clicks,Impressions,CTR,Position
United States,230,19551,1.18%,9.33
Canada,23,1197,1.92%,12.04
United Kingdom,3,569,0.53%,12.89
Netherlands,2,107,1.87%,8.04
Mexico,2,74,2.7%,11.89
China,2,32,6.25%,9.78
Hungary,2,21,9.52%,7.43
Brazil,1,394,0.25%,11.76
Australia,1,389,0.26%,13.05
India,1,305,0.33%,10.54
Germany,1,87,1.15%,8.14
France,1,87,1.15%,9.26
Vietnam,1,82,1.22%,16.35
Turkey,1,62,1.61%,10.58
Ireland,1,61,1.64%,10.43
Norway,1,42,2.38%,7.19
Finland,1,25,4%,7.96
Papua New Guinea,1,20,5%,5.25
Hong Kong,1,20,5%,7.15
Somalia,1,15,6.67%,3.87
Bulgaria,1,14,7.14%,7.36
Trinidad & Tobago,1,10,10%,6.3
Guyana,1,3,33.33%,3.67
Philippines,0,175,0%,8.07
Indonesia,0,114,0%,7.76
Spain,0,104,0%,9.18
Thailand,0,97,0%,7.72
South Africa,0,88,0%,5.94
Colombia,0,82,0%,9.56
Argentina,0,71,0%,9.54
Malaysia,0,67,0%,9.1
Italy,0,62,0%,10.26
New Zealand,0,61,0%,7.97
Pakistan,0,57,0%,6.02
Ukraine,0,46,0%,9.04
Bangladesh,0,45,0%,8.2
United Arab Emirates,0,44,0%,8.25
Romania,0,41,0%,7.76
Belgium,0,37,0%,8.05
Ecuador,0,35,0%,8.46
Singapore,0,35,0%,12.4
Poland,0,35,0%,12.89
Sweden,0,34,0%,8.91
Portugal,0,33,0%,6.55
Russia,0,29,0%,11.31
Japan,0,29,0%,16.86
Peru,0,28,0%,7.68
Greece,0,27,0%,8.56
Morocco,0,26,0%,9.12
Kenya,0,25,0%,6.68
South Korea,0,25,0%,11
Switzerland,0,24,0%,7.33
Saudi Arabia,0,23,0%,7.35
Czechia,0,23,0%,8
Chile,0,23,0%,9.78
Nigeria,0,21,0%,6.9
Egypt,0,21,0%,10.29
Algeria,0,19,0%,7
Venezuela,0,17,0%,7.76
Israel,0,17,0%,8.12
Denmark,0,15,0%,7.2
Iraq,0,15,0%,7.47
Slovakia,0,13,0%,6.31
Croatia,0,12,0%,7.25
Paraguay,0,12,0%,8.67
Ghana,0,11,0%,5.45
Taiwan,0,11,0%,7
Bolivia,0,11,0%,8.91
Iran,0,10,0%,5.7
Dominican Republic,0,10,0%,5.8
Estonia,0,10,0%,6
Jamaica,0,10,0%,6.2
Austria,0,10,0%,8.2
Serbia,0,10,0%,8.2
Lithuania,0,9,0%,9.78
Slovenia,0,9,0%,11.67
Puerto Rico,0,8,0%,3.12
Zambia,0,8,0%,3.75
Georgia,0,8,0%,4.75
Palestine,0,8,0%,5.75
Uruguay,0,8,0%,5.88
Costa Rica,0,8,0%,7
Yemen,0,7,0%,4.29
Afghanistan,0,7,0%,7.29
Botswana,0,6,0%,3.5
Zimbabwe,0,6,0%,4.33
Cyprus,0,6,0%,6.83
Lebanon,0,6,0%,7
Bahamas,0,6,0%,8.67
Sri Lanka,0,5,0%,3.8
Ethiopia,0,5,0%,4.8
Azerbaijan,0,5,0%,6
Latvia,0,5,0%,7.6
Macedonia,0,5,0%,9
Brunei,0,5,0%,9.4
Qatar,0,4,0%,1.5
Oman,0,4,0%,2.5
Nepal,0,4,0%,5.25
Congo - Kinshasa,0,4,0%,6
Liberia,0,4,0%,6
Armenia,0,4,0%,6.25
Cambodia,0,4,0%,6.25
Belarus,0,4,0%,7.25
Jordan,0,4,0%,7.75
Tunisia,0,4,0%,8.25
Barbados,0,4,0%,9.75
Tanzania,0,3,0%,2.67
Uzbekistan,0,3,0%,4
Uganda,0,3,0%,5
Cuba,0,3,0%,6.33
Kuwait,0,3,0%,6.33
Albania,0,3,0%,7
Moldova,0,3,0%,8.33
Luxembourg,0,3,0%,10.67
Bosnia & Herzegovina,0,3,0%,11.67
Mozambique,0,3,0%,12
Maldives,0,2,0%,3
Sudan,0,2,0%,3
Sierra Leone,0,2,0%,3
Kazakhstan,0,2,0%,4.5
Kyrgyzstan,0,2,0%,5
Malta,0,2,0%,5.5
Malawi,0,2,0%,5.5
Cameroon,0,2,0%,6
Iceland,0,2,0%,6
Suriname,0,2,0%,6
Jersey,0,2,0%,6.5
Belize,0,2,0%,7
Montenegro,0,2,0%,7.5
Libya,0,2,0%,8
Kosovo,0,2,0%,8
Myanmar (Burma),0,2,0%,8.5
Congo - Brazzaville,0,2,0%,10.5
Honduras,0,2,0%,10.5
Nicaragua,0,2,0%,134
Burkina Faso,0,1,0%,1
Bhutan,0,1,0%,1
Côte d’Ivoire,0,1,0%,1
Mauritania,0,1,0%,2
Isle of Man,0,1,0%,3
Eritrea,0,1,0%,5
Togo,0,1,0%,6
Burundi,0,1,0%,7
Grenada,0,1,0%,7
Senegal,0,1,0%,7
Fiji,0,1,0%,8
Guernsey,0,1,0%,8
Lesotho,0,1,0%,8
Andorra,0,1,0%,9
Guatemala,0,1,0%,10
St. Kitts & Nevis,0,1,0%,10
Christmas Island,0,1,0%,11
St. Lucia,0,1,0%,11
Panama,0,1,0%,11
Rwanda,0,1,0%,11
