Date,Clicks,Impressions,CTR,Position
2026-03-08,50,3797,1.32%,9.1
2026-03-09,31,4184,0.74%,9.8
2026-03-10,29,4085,0.71%,10.6
2026-03-11,41,4382,0.94%,8.7
2026-03-12,35,3545,0.99%,8.8
2026-03-13,41,3287,1.25%,9.2
2026-03-14,40,3385,1.18%,8.5
2026-03-15,35,3244,1.08%,8.8
2026-03-16,35,3177,1.1%,8.4
2026-03-17,30,3215,0.93%,8.5
2026-03-18,41,2773,1.48%,8.8
2026-03-19,31,2472,1.25%,9.1
2026-03-20,41,3280,1.25%,9
2026-03-21,25,2856,0.88%,8.3
2026-03-22,35,3199,1.09%,9
2026-03-23,33,2911,1.13%,8.9
2026-03-24,26,3401,0.76%,9.1
2026-03-25,38,3437,1.11%,9.3
2026-03-26,29,2933,0.99%,9.4
2026-03-27,33,3317,0.99%,9.9
2026-03-28,34,3490,0.97%,8.8
2026-03-29,31,3802,0.82%,9
2026-03-30,47,3462,1.36%,9
2026-03-31,31,3013,1.03%,9.1
2026-04-01,37,3342,1.11%,9.2
2026-04-02,38,2850,1.33%,8.8
2026-04-03,30,3260,0.92%,8.9
2026-04-04,36,3625,0.99%,8.1
2026-04-05,33,4227,0.78%,7.6
2026-04-06,44,4570,0.96%,7.6
2026-04-07,32,4241,0.75%,7.2
2026-04-08,24,4501,0.53%,7.3
2026-04-09,29,4284,0.68%,8.2
2026-04-10,31,4380,0.71%,7.6
2026-04-11,50,4867,1.03%,7.5
2026-04-12,50,5013,1%,8.1
2026-04-13,41,4984,0.82%,7.6
2026-04-14,41,4583,0.89%,7.4
2026-04-15,32,4502,0.71%,7.6
2026-04-16,33,4517,0.73%,8.3
2026-04-17,28,4716,0.59%,7.7
2026-04-18,48,4724,1.02%,7.4
2026-04-19,45,4951,0.91%,7.8
2026-04-20,46,4452,1.03%,7.3
2026-04-21,42,4030,1.04%,7.4
2026-04-22,31,4129,0.75%,7.1
2026-04-23,29,3697,0.78%,7.3
2026-04-24,31,3789,0.82%,7.8
2026-04-25,38,3960,0.96%,7.2
2026-04-26,52,4141,1.26%,7.7
2026-04-27,39,3750,1.04%,7.8
2026-04-28,23,3769,0.61%,7.4
2026-04-29,23,3726,0.62%,7.4
2026-04-30,27,3841,0.7%,7.3
2026-05-01,28,4408,0.64%,7.6
2026-05-02,31,3894,0.8%,7.8
2026-05-03,32,4385,0.73%,7.8
2026-05-04,31,4475,0.69%,7.1
2026-05-05,31,4324,0.72%,7.6
2026-05-06,28,4380,0.64%,7.5
2026-05-07,28,4134,0.68%,7.2
2026-05-08,34,4099,0.83%,7.5
2026-05-09,43,4330,0.99%,7.6
2026-05-10,31,4236,0.73%,7.7
2026-05-11,30,4291,0.7%,7.4
2026-05-12,38,4788,0.79%,8
2026-05-13,20,4200,0.48%,8.1
2026-05-14,35,3939,0.89%,8.5
2026-05-15,23,3310,0.69%,8.8
2026-05-16,24,3167,0.76%,8.6
2026-05-17,33,3736,0.88%,9.2
2026-05-18,36,3476,1.04%,8.7
2026-05-19,43,3420,1.26%,8.7
2026-05-20,35,3177,1.1%,8.9
2026-05-21,29,3198,0.91%,9.2
2026-05-22,35,3245,1.08%,9.7
2026-05-23,42,3837,1.09%,9.3
2026-05-24,51,3725,1.37%,10.6
2026-05-25,35,3493,1%,9.2
2026-05-26,33,2952,1.12%,9.5
2026-05-27,43,3328,1.29%,10.3
2026-05-28,37,3365,1.1%,9.9
2026-05-29,36,3390,1.06%,9.6
2026-05-30,45,3356,1.34%,10.1
2026-05-31,47,3818,1.23%,9.8
2026-06-01,44,3633,1.21%,9.3
2026-06-02,32,3797,0.84%,8.8
2026-06-03,33,3259,1.01%,8.8
2026-06-04,48,3308,1.45%,9.1
2026-06-05,48,3223,1.49%,9.1
2026-06-06,26,3599,0.72%,9.1
2026-06-07,45,4174,1.08%,9.6
