Country,Clicks,Impressions,CTR,Position
United States,2702,267567,1.01%,7.99
Canada,221,14395,1.54%,11.59
Australia,34,4011,0.85%,12.38
United Kingdom,31,4964,0.62%,12.14
India,22,3741,0.59%,10.25
Mexico,12,1730,0.69%,8.52
Pakistan,12,973,1.23%,10.23
Germany,11,968,1.14%,8.55
Ireland,11,560,1.96%,10.94
Japan,10,901,1.11%,7.77
Turkey,9,957,0.94%,8.5
Finland,9,229,3.93%,7.17
France,8,1512,0.53%,8.51
New Zealand,8,957,0.84%,7.56
Hong Kong,8,554,1.44%,7.86
Norway,8,389,2.06%,7.13
Switzerland,8,332,2.41%,7.26
Philippines,7,2230,0.31%,8.04
Italy,7,961,0.73%,9.38
Netherlands,6,837,0.72%,8.83
Denmark,6,229,2.62%,7.65
Romania,5,589,0.85%,13.4
Dominican Republic,5,288,1.74%,8
Bulgaria,5,284,1.76%,6.88
Taiwan,5,281,1.78%,7.49
Colombia,4,1470,0.27%,9.47
South Africa,4,756,0.53%,7.77
Saudi Arabia,4,359,1.11%,10.08
Papua New Guinea,4,220,1.82%,5.2
Austria,4,200,2%,8.5
Puerto Rico,4,141,2.84%,6.96
Spain,3,1582,0.19%,8.47
China,3,689,0.44%,9.03
Chile,3,614,0.49%,9.97
Sweden,3,473,0.63%,7.75
Slovakia,3,195,1.54%,8.37
Guatemala,3,95,3.16%,8.92
U.S. Virgin Islands,3,32,9.38%,5.53
Timor-Leste,3,8,37.5%,1.5
Indonesia,2,1757,0.11%,9.56
Poland,2,644,0.31%,7.94
Russia,2,606,0.33%,8.16
South Korea,2,438,0.46%,10.04
Israel,2,248,0.81%,9.17
Kenya,2,231,0.87%,9.03
Somalia,2,112,1.79%,4.86
Armenia,2,71,2.82%,6.89
Oman,2,65,3.08%,9.23
South Sudan,2,22,9.09%,5.23
Turks & Caicos Islands,2,7,28.57%,6
Brazil,1,8429,0.01%,9.35
Argentina,1,1673,0.06%,10.21
Bangladesh,1,916,0.11%,9.47
Thailand,1,703,0.14%,8.16
Ukraine,1,609,0.16%,7.53
Peru,1,580,0.17%,8.29
Portugal,1,370,0.27%,7.87
Venezuela,1,351,0.28%,9.85
Singapore,1,345,0.29%,7.79
Belgium,1,327,0.31%,7.81
Czechia,1,303,0.33%,7.28
Nepal,1,269,0.37%,8.32
Hungary,1,247,0.4%,8.4
Greece,1,239,0.42%,7.1
Egypt,1,204,0.49%,11.19
Serbia,1,195,0.51%,7.14
Georgia,1,119,0.84%,7.35
Croatia,1,118,0.85%,6.86
Tanzania,1,108,0.93%,6.41
Honduras,1,103,0.97%,8.59
Kazakhstan,1,91,1.1%,9.77
Estonia,1,85,1.18%,7.92
El Salvador,1,59,1.69%,7.29
Iceland,1,58,1.72%,14.93
Afghanistan,1,40,2.5%,6.35
Angola,1,31,3.23%,6.39
Madagascar,1,22,4.55%,7.91
Sint Maarten,1,5,20%,8.8
Vietnam,0,2022,0%,9.38
Ecuador,0,1117,0%,8.64
Malaysia,0,965,0%,7.17
United Arab Emirates,0,376,0%,9.63
Morocco,0,349,0%,9.81
Nigeria,0,337,0%,5.61
Paraguay,0,268,0%,9.39
Iraq,0,246,0%,11.23
Algeria,0,238,0%,9.79
Iran,0,211,0%,6.25
