url,page_type,clicks,impr,actual_ctr,expected_ctr,pos,opportunity_clicks
https://asroutdoor.com/products/waterproof-notebook-with-pencil?variant=49369225462060&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,product,0,19646,0.00%,28.50%,1.0,5599
https://asroutdoor.com/products/waterproof-adventure-writing-journal-smudgeproof-personal-notebook?variant=52744996651308&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,product,0,11810,0.00%,28.50%,1.0,3366
https://asroutdoor.com/blogs/journal/gold-panning-permits-and-licenses-in-washington-state,blog,182,19845,0.92%,5.18%,5.68,846
https://asroutdoor.com/collections/gold-panning-kits,collection,286,51759,0.55%,2.09%,10.51,799
https://asroutdoor.com/blogs/journal/fall-gold-rush-how-to-start-gold-panning-this-autumn-new-draft,blog,13,6282,0.21%,9.34%,3.43,573
https://asroutdoor.com/blogs/journal/rock-hounding-101-a-beginner-s-guide-to-finding-and-identifying-rocks-minerals,blog,170,14671,1.16%,4.40%,6.44,476
https://asroutdoor.com/products/lightweight-carbon-steel-camping-hammer-with-tent-stakes-puller-12-inch?variant=49355098816812&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,product,1,1414,0.07%,28.50%,1.0,402
https://asroutdoor.com/blogs/journal/best-places-in-washington-state-for-gold-prospecting,blog,296,24899,1.19%,2.79%,8.81,400
https://asroutdoor.com/products/10-in-1-compact-survival-kit-camping-hiking-gear-emergency-supplies-green?variant=49355135353132&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,product,1,1134,0.09%,28.11%,1.03,318
https://asroutdoor.com/blogs/journal/everything-beginners-need-to-know-q-a,blog,7,2866,0.24%,8.10%,3.89,225
https://asroutdoor.com/products/5-gallong-bucket-gold-panning-classifier-screen-prospecting-equipment,product,141,8656,1.63%,4.18%,6.69,221
https://asroutdoor.com/collections/sifters-or-classifiers,collection,159,12085,1.32%,3.02%,8.37,205
https://asroutdoor.com/products/gold-prospecting-5pc-beginners-kit-with-gold-pan-vial-snifter-bottle?variant=45922067480876&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,product,4,784,0.51%,26.16%,1.18,201
https://asroutdoor.com/blogs/journal/top-gold-prospecting-gifts-for-2025-asr-outdoor-gold-panning-gold-prospecting-equipment-gift-guide,blog,10,3337,0.30%,5.00%,5.83,157
https://asroutdoor.com/products/portable-telescoping-collapsible-stool-with-carry-handle-outdoor-camping-gear-black-17-75-inch-fully-extended?variant=50778515374380&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,product,2,568,0.35%,27.98%,1.04,157
https://asroutdoor.com/products/50-aluminum-folding-sluice-box-gold-prospecting-equipment,product,14,6368,0.22%,2.28%,10.2,131
https://asroutdoor.com/products/13pc-geology-rock-hounding-kit-with-mining-tools-and-deluxe-carry-bag?variant=47571388203308&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,product,2,502,0.40%,25.38%,1.24,125
https://asroutdoor.com/collections/sluice-boxes,collection,125,11578,1.08%,2.15%,10.41,124
https://asroutdoor.com/products/asr-outdoor-16pc-beginner-geology-rock-hounding-kit-with-mining-tools-and-carry-bag?variant=45942932767020&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,product,5,546,0.92%,22.13%,1.49,116
https://asroutdoor.com/products/gold-panning-portable-compact-magnetic-pickup-tool-with-quick-release-rubber-handle,product,10,2972,0.34%,4.14%,6.73,113
https://asroutdoor.com/products/natural-citronella-mosquito-repellent-bracelet-wrist-band-4-colors?variant=52750554792236&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,product,0,365,0.00%,28.50%,1.0,104
https://asroutdoor.com/products/natural-citronella-mosquito-repellent-bracelet-wrist-band-4-colors?variant=52750554792236&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&com_cvv=8fb3d522dc163aeadb66e08cd7450cbbdddc64c6cf2e8891f6d48747c6d56d2c,product,0,351,0.00%,28.50%,1.0,100
https://asroutdoor.com/products/5-gallon-bucket-portable-toilet-seat-with-lid?variant=49361734172972&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,product,0,354,0.00%,27.98%,1.04,99
https://asroutdoor.com/collections/gold-panning-accessories,collection,47,8879,0.53%,1.55%,12.27,90
https://asroutdoor.com/products/19pc-ultimate-gold-panning-kit-with-classifier-screens-gold-pans-rock-pick?variant=46060090720556&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,product,9,382,2.36%,25.12%,1.26,87
https://asroutdoor.com/blogs/journal/hiking-to-the-confluence-from-havasupai-campground,blog,4,3017,0.13%,3.00%,8.39,87
https://asroutdoor.com/products/asr-outdoor-16pc-beginner-geology-rock-hounding-kit-with-mining-tools-and-carry-bag,product,12,4388,0.27%,2.24%,10.27,86
https://asroutdoor.com/products/6pc-paydirt-beginner-gold-panning-kit-with-gold-pan-vial-snuffer-bottle?variant=45905105584428&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,product,1,307,0.33%,28.37%,1.01,86
https://asroutdoor.com/collections/rock-hounding-gear,collection,262,12730,2.06%,2.71%,8.98,83
https://asroutdoor.com/products/gold-mining-compact-magnetic-prospectors-pick-axe,product,16,2722,0.59%,3.57%,7.47,81
https://asroutdoor.com/products/sluice-box-gold-panning-kit-with-1-2-classifier-prospecting-equipment-21pc,product,5,2760,0.18%,3.04%,8.31,79
https://asroutdoor.com/products/asr-outdoor-backpack-gold-panning-kit-with-mini-sluice-box-14pc-2-styles?variant=45922115748140&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,product,2,327,0.61%,23.56%,1.38,75
https://asroutdoor.com/products/thermal-mat-heat-reflective-camping-sleeping-pad?variant=49355308466476&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,product,1,291,0.34%,25.77%,1.21,74
https://asroutdoor.com/products/10pc-gold-panning-starter-set-kit-gold-rush-prospecting-tools,product,3,5498,0.05%,1.38%,13.17,73
https://asroutdoor.com/products/rock-pick-hammer?variant=45729720598828&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,product,2,287,0.70%,26.16%,1.18,73
https://asroutdoor.com/blogs/journal/father-s-day-gift-guide-2026-outdoor-gifts-for-dads-who-love-adventure,blog,18,1727,1.04%,5.24%,5.63,73
https://asroutdoor.com/products/rock-pick-hammer,product,12,4306,0.28%,1.91%,10.82,70
https://asroutdoor.com/blogs/journal/oyster-dome-hike-draft,blog,15,3328,0.45%,2.52%,9.6,69
https://asroutdoor.com/products/asr-outdoor-17pc-complete-backpack-sluice-box-gold-panning-kit-with-10lb-bobby-bo-intermediate-gold-paydirt-3-colors?variant=45912831623468&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,product,1,258,0.39%,27.07%,1.11,69
https://asroutdoor.com/products/rubber-mat-riffled-sluice-box-matting-for-gold-recovery-27x10-inch,product,30,3870,0.78%,2.51%,9.62,67
https://asroutdoor.com/blogs/journal/octobers-best-seller,blog,19,1975,0.96%,4.34%,6.51,67
https://asroutdoor.com/collections/all,collection,15,1147,1.31%,6.77%,4.57,63
https://asroutdoor.com/products/13pc-geology-rock-hounding-kit-with-mining-tools-and-deluxe-carry-bag,product,8,2851,0.28%,2.46%,9.81,62
https://asroutdoor.com/products/asr-outdoor-x-bobby-bo-assorted-paydirt-bags?variant=47421057630508&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,product,1,221,0.45%,28.50%,1.0,62
https://asroutdoor.com/products/asr-outdoor-x-bobby-bo-assorted-paydirt-bags?variant=47421057630508&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&com_cvv=8fb3d522dc163aeadb66e08cd7450cbbdddc64c6cf2e8891f6d48747c6d56d2c,product,0,214,0.00%,28.50%,1.0,61
https://asroutdoor.com/products/miners-moss-sluice-box-matting-for-gold-prospecting-multiple-sizes-and-colors,product,42,5173,0.81%,1.96%,10.74,59
https://asroutdoor.com/products/38pc-deluxe-geology-rock-hounding-kit-with-mining-tools-and-musette-carry-bag?variant=46340191846700&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,product,7,369,1.90%,17.71%,1.83,58
https://asroutdoor.com/products/asr-outdoor-deluxe-50-aluminum-folding-sluice-box-gold-panning-backpack-kit?variant=52674178122028&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,product,0,205,0.00%,27.07%,1.11,55
https://asroutdoor.com/products/1-2-inch-mesh-plastic-stackable-classifier-sifting-screen-gold-prospecting-equipment-green?variant=47856992911660&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,product,5,242,2.07%,24.73%,1.29,55
https://asroutdoor.com/products/5lb-navy-blue-wool-blanket-camping-survival-gear-64-x-84-inches?variant=51823028830508&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,product,3,210,1.43%,27.33%,1.09,54
https://asroutdoor.com/blogs/journal/what-is-a-mini-sluice-box-and-who-should-use-one,blog,13,1902,0.68%,3.42%,7.68,52
https://asroutdoor.com/products/12-inch-stainless-steel-full-tang-gut-hook-hunting-knife-with-sheath,product,3,747,0.40%,7.37%,4.24,52
https://asroutdoor.com/products/5-gallong-bucket-gold-panning-classifier-screen-prospecting-equipment?variant=45940893712684&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,product,3,224,1.34%,24.21%,1.33,51
https://asroutdoor.com/products/5-gallong-bucket-gold-panning-classifier-screen-prospecting-equipment?variant=45940893712684&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&com_cvv=8fb3d522dc163aeadb66e08cd7450cbbdddc64c6cf2e8891f6d48747c6d56d2c,product,3,215,1.40%,24.21%,1.33,49
https://asroutdoor.com/products/asr-outdoor-complete-gold-panning-kit-prospecting-equipment-with-classifier-screens-dual-riffle-gold-pans-11pc,product,16,2445,0.65%,2.42%,9.92,43
https://asroutdoor.com/products/asr-outdoor-7pc-starter-gold-panning-kit-beginner-prospecting-equipment-with-paydirt-3-colors,product,7,1680,0.42%,2.99%,8.43,43
https://asroutdoor.com/collections/frontpage,collection,22,1542,1.43%,4.17%,6.7,42
https://asroutdoor.com/products/38pc-deluxe-geology-rock-hounding-kit-with-mining-tools-and-musette-carry-bag,product,14,3961,0.35%,1.41%,12.94,42
