numeric_id,title,status,vendor,variants,no_barcode,no_sku,images,min_img_edge,no_barcode_any,no_barcode_some,no_sku_any,no_category,no_brand,not_active,not_available,no_image,image_below_500,no_storefront_url
8406498541868,"24pc Deluxe 50 Inch Aluminum Folding Sluice Box Gold Panning Kit with 30L Backpack",ACTIVE,"ASR Outdoor",4,1,0,11,922,0,1,0,0,0,0,0,0,0,0
8461244170540,"20oz Rock Pick Mining Hammer, 11-inch Pointed Tip Gold Prospectors Tool",ACTIVE,"ASR Outdoor",1,0,0,8,1600,0,0,0,0,0,0,0,0,0,0
8461244367148,"Multi Riffle Plastic Sluice Box Gold Prospecting Equipment, Green",ACTIVE,"ASR Outdoor",1,1,0,5,1500,1,0,0,0,0,0,0,0,0,0
8461244793132,"7pc Beginner Sluice Box Gold Panning Kit with Gold Prospecting Equipment (Aluminum or Plastic)",ACTIVE,"ASR Outdoor",2,1,0,13,890,0,1,0,0,0,0,0,0,0,0
8491279384876,"ASR Outdoor X Pan for Gold with Bobby Bo 3oz Beginner Paydirt Gold Panning Kit, 6pc",ACTIVE,"ASR Outdoor",3,0,0,12,1080,0,0,0,0,0,0,0,0,0,0
8491328143660,"24pc Gold Panning Kit with 5 Gallon Bucket and 10lb Pan for Gold with Bobby Bo Paydirt (2 Colors)",ACTIVE,"ASR Outdoor",2,2,0,12,1500,1,0,0,0,0,0,0,0,0,0
8491384897836,"7pc Kids Starter Gold Panning Kit Beginner Prospecting Equipment with Paydirt (3 Colors)",ACTIVE,"ASR Outdoor",3,3,0,11,1080,1,0,0,0,0,0,0,0,0,0
8491401380140,"ASR Outdoor Gold Panning Paydirt 1LB Advanced Bag Gold Prospecting Concentrate Flakes (Green or Black)",ARCHIVED,"ASR Outdoor",2,2,0,12,1500,1,0,0,0,0,1,0,0,0,1
8493498204460,"ASR Outdoor 6pc Gold Panning Kit with 1lbs Bobby Bo Intermediate Unclassified Paydirt Bag (Green or Black)",ARCHIVED,"ASR Outdoor",3,3,0,12,1500,1,0,0,0,0,1,1,0,0,1
8493515178284,"ASR Outdoor Beginner Gold Panning Kit with 1LB Guaranteed Gold Paydirt (3 Colors), 6pc",ACTIVE,"ASR Outdoor",3,2,0,11,1500,0,1,0,0,0,0,0,0,0,0
8493529727276,"Dual Riffle Gold Pans Gold Prospecting Equipment (3 Colors and Sizes)",ACTIVE,"ASR Outdoor",12,0,0,14,1600,0,0,0,0,0,0,0,0,0,0
8493540180268,"17pc Complete Backpack Sluice Box Gold Panning Kit with 10lb Bobby Bo Intermediate Gold Paydirt (3 Colors)",ACTIVE,"ASR Outdoor",3,3,0,15,1500,1,0,0,0,0,0,0,0,0,0
8493678985516,"15pc Travel Backpack Gold Panning Kit with Mini Sluice Box and 3lb Gold Bobby Bo Paydirt (2 Styles)",ACTIVE,"ASR Outdoor",2,2,0,15,1500,1,0,0,0,0,0,0,0,0,0
8495190245676,"5pc Beginners Gold Panning Kit with Pan, Glass Vials, Snifter Bottle, Magnifying Tweezers",ACTIVE,"ASR Outdoor",3,0,0,9,1600,0,0,0,0,0,0,0,0,0,0
8495198667052,"14pc Backpack Gold Panning Kit with Mini Sluice Boxes (2 Styles)",ACTIVE,"ASR Outdoor",2,0,0,15,1000,0,0,0,0,0,0,0,0,0,0
8495203287340,"50 Inch Aluminum Folding Gold Sluice Box Prospecting Equipment",ACTIVE,"ASR Outdoor",1,0,0,9,890,0,0,0,0,0,0,0,0,0,0
8502255157548,"Stackable 5 Gallon Bucket Classifier Screens Sifting Sieves (Many Sizes)",ACTIVE,"ASR Outdoor",14,0,0,15,635,0,0,0,0,0,0,0,0,0,0
8502335045932,"Large Gold Panning Prospector's Sand Scoop Hand Trowel (4 Colors)",ACTIVE,"ASR Outdoor",4,0,0,9,1600,0,0,0,0,0,0,0,0,0,0
8502378823980,"Small Stackable 6 Inch Classifier Screen Sifting Sieves, Assorted Stainless Steel Mesh Sizes",ACTIVE,"ASR Outdoor",12,1,0,15,1000,0,1,0,0,0,0,0,0,0,0
8502395011372,"Mini Portable Aluminum Sluice Box with Rubber Matting Gold Prospecting Equipment, 12 Inch",ACTIVE,"ASR Outdoor",1,0,0,7,1460,0,0,0,0,0,0,0,0,0,0
8502409855276,"Mini Portable 3 Riffle Rubber Sluice Box Gold Prospecting Equipment, 12 Inch",ACTIVE,"ASR Outdoor",1,0,0,11,1600,0,0,0,0,0,0,1,0,0,0
8502466216236,"8.5 inch Large Plastic Sand Scoop for Metal Detector Treasure Hunting (3 Colors)",ACTIVE,"ASR Outdoor",3,0,0,6,1600,0,0,0,0,0,0,0,0,0,0
8502535192876,"16pc Beginner Geology Rock Hounding Kit with Mining Tools and Tool Bag",ACTIVE,"ASR Outdoor",1,0,0,13,1600,0,0,0,0,0,0,0,0,0,0
8502573924652,"3oz Plastic Heavy Duty Gold Snifter Bottle with Squeeze Nozzle (Multi-Packs)",ACTIVE,"ASR Outdoor",6,0,0,9,1600,0,0,0,0,0,0,0,0,0,0
8502621208876,"Large Rubber Riffled Sluice Box Matting for Gold Recovery, 27 x 10 inch",ACTIVE,"ASR Outdoor",1,0,0,10,1600,0,0,0,0,0,0,0,0,0,0
8502631498028,"20pc Mini Pocket Sluice Box with 3.5 Gallon Bucket Gold Panning Kit (2 Styles)",ACTIVE,"ASR Outdoor",2,0,0,15,1000,0,0,0,0,0,0,0,0,0,0
8502674391340,"13pc Portable Gold Panning Kit with Collapsible Bucket, Mini Aluminum Sluice Box and 30L Backpack (4 Colors)",ACTIVE,"ASR Outdoor",4,3,0,14,1500,0,1,0,0,0,0,0,0,0,0
8504355389740,"10pc Beginner Gold Panning Kit Gold Prospecting Equipment (3 Colors)",ACTIVE,"ASR Outdoor",3,0,0,15,1216,0,0,0,0,0,0,0,0,0,0
8504457167148,"4x Magnification Steel Magnifying Tweezers Gold Prospecting Equipment, 1 Pair",ACTIVE,"ASR Outdoor",1,0,0,7,1600,0,0,0,0,0,0,0,0,0,0
8517567316268,"10 Inch Traditional Single Riffle Standard Gold Pan (3 Colors)",ACTIVE,"ASR Outdoor",3,0,0,9,1600,0,0,0,0,0,0,0,0,0,0
8517589303596,"14 Inch Traditional Large Single Ridge Riffle Finishing Gold Pan with Water Guide (2 Colors)",ACTIVE,"ASR Outdoor",2,0,0,7,1600,0,0,0,0,0,0,0,0,0,0
8517722669356,"3mL Gold Panning Precision Plastic Dropper Pipettes 5.5 Inch (Multiple Pack Sizes)",ACTIVE,"ASR Outdoor",3,0,0,6,1600,0,0,0,0,0,0,0,0,0,0
8517884444972,"50 Inch Aluminum Folding Sluice Box Backpack Kit Gold Prospecting Equipment (4 Colors)",ACTIVE,"ASR Outdoor",4,4,0,13,890,1,0,0,0,0,0,0,0,0,0
8521682682156,"ASR Outdoor Black Drawstring Backpack Gym Bag Hiking Gear, 20 x 16 Inches",ACTIVE,"ASR Outdoor",1,0,0,7,1600,0,0,0,0,0,0,0,0,0,0
8521704636716,"30L Heavy Stitch Gold Panning Backpack Camping Gear Canvas Rucksack (4 Colors)",ACTIVE,"ASR Outdoor",4,1,0,15,1000,0,1,0,0,0,0,0,0,0,0
8521725116716,"7pc Classic Field Beginner Gold Panning Kit with Dual Riffle Gold Pans (2 Colors)",ACTIVE,"ASR Outdoor",2,2,0,10,1600,1,0,0,0,0,0,0,0,0,0
8521740910892,"4pc Dual Riffle Gold Pan Set Gold Prospecting Equipment (2 Colors)",ACTIVE,"ASR Outdoor",2,2,0,13,1600,1,0,0,0,0,0,0,0,0,0
8521749922092,"14pc Beginner Finishing Gold Prospecting Equipment Gold Panning Kit, Black",ACTIVE,"ASR Outdoor",1,0,0,8,1280,0,0,0,0,0,0,0,0,0,0
8521757655340,"11pc Complete Gold Panning Kit with Classifier Screens, Gold Pans and Prospecting Tools, Green",ACTIVE,"ASR Outdoor",1,0,0,13,1500,0,0,0,0,0,0,0,0,0,0
8521778561324,"Magnetic Pick Up Tool – Gold Prospecting Black Sand Separator Magnet with Quick Release Handle (2 Sizes)",ACTIVE,"ASR Outdoor",2,0,0,7,1500,0,0,0,0,0,0,0,0,0,0
8521788588332,"2 Inch Natural Testing Stone Prospecting Tools, Black",ACTIVE,"ASR Outdoor",1,0,0,4,1600,0,0,0,0,0,0,0,0,0,0
8521825714476,"19pc Ultimate Gold Panning Kit with Classifier Screens, Gold Pans, Rock Pick",ACTIVE,"ASR Outdoor",1,0,0,9,1397,0,0,0,0,0,0,0,0,0,0
8521842229548,"Miners Moss Sluice Box Matting for Gold Prospecting (Multiple Sizes and Colors)",ACTIVE,"ASR Outdoor",6,0,0,13,1600,0,0,0,0,0,0,0,0,0,0
8521873916204,"Aluminum Sluice Box with Rubber TPR Riffle Matting, Gold Prospecting Equipment, 34 Inch",ACTIVE,"ASR Outdoor",1,1,0,10,1600,1,0,0,0,0,0,0,0,0,0
8521901801772,"2 in 1 Metal Detector Sand Scoop with Built-in Steel Probe, Black",ACTIVE,"ASR Outdoor",1,0,0,7,1600,0,0,0,0,0,0,0,0,0,0
8521944531244,"22pc Complete Finishing Gold Panning Kit with Rock Pick Hammer, Green",ACTIVE,"ASR Outdoor",1,0,0,13,1600,0,0,0,0,0,0,0,0,0,0
8521946104108,"27 Inch Compact Aluminum Sluice Box with Flared Mouth Gold Prospecting Equipment",ACTIVE,"ASR Outdoor",1,0,0,9,1500,0,0,0,0,0,0,0,0,0,0
8521959866668,"Green Gold Rush Lightweight Hand Scoop Trowel Gold Prospecting Equipment",ACTIVE,"ASR Outdoor",1,0,0,5,900,0,0,0,0,0,0,0,0,0,0
8521967042860,"5lbs Magnetic Black Sand Steel Pocket Separator Pen Pick Up Tool",ACTIVE,"ASR Outdoor",1,0,0,7,1600,0,0,0,0,0,0,0,0,0,0
8521979887916,"Heavy Duty Collapsable Magnetic Prospectors Pick Axe Gold Prospecting Equipment, Silver",ACTIVE,"ASR Outdoor",1,0,0,11,1600,0,0,0,0,0,0,0,0,0,0
8521988899116,"12.5 Inch Riffled Edge Prospector's Sand Scoop Gold Prospecting Equipment, Green",ACTIVE,"ASR Outdoor",1,1,0,6,1600,1,0,0,0,0,0,0,0,0,0
8522010329388,"21pc Folding 50 Inch Aluminum Sluice Box Gold Panning Kit with Gold Recovery Prospecting Tools",ACTIVE,"ASR Outdoor",1,0,0,12,890,0,0,0,0,0,0,0,0,0,0
8522103718188,"21pc Testing and Finishing Gold Panning Kit with Tool Box",ACTIVE,"ASR Outdoor",1,0,0,10,1500,0,0,0,0,0,0,0,0,0,0
8522154967340,"10L Collapsible Silicone Bucket Gold Prospecting Equipment",ACTIVE,"ASR Outdoor",1,0,0,14,1600,0,0,0,0,0,0,0,0,0,0
8522216636716,"3.5 or 5 Gallon White Heavy Duty Bucket with Handle Gold Prospecting Equipment",ACTIVE,"ASR Outdoor",2,2,0,5,1500,1,0,0,0,0,0,0,0,0,0
8525101793580,"4oz Gold Snifter Bottle Squeeze Snuffer for Fine Gold Recovery and Gold Panning (Assorted Pack Sizes)",ACTIVE,"ASR Outdoor",4,4,0,7,1600,1,0,0,0,0,0,0,0,0,0
8525173948716,"16pc Traditional Sluice Box Finishing Gold Panning Kit with Classifier Screens, Green",ACTIVE,"ASR Outdoor",1,0,0,9,1500,0,0,0,0,0,0,0,0,0,0
8571037516076,"40pc Deluxe Geology Rock Hounding Kit with Mining Tools and Musette Tool Bag",ACTIVE,"ASR Outdoor",1,0,0,15,1600,0,0,0,0,0,0,0,0,0,0
8571177402668,"3 in 1 Black Trifold Steel Multipurpose Serrated Shovel Pick and Saw with Storage Case, 22 Inch",ACTIVE,"ASR Outdoor",1,0,0,8,1600,0,0,0,0,0,0,0,0,0,0
8571261387052,"HRC Steel Shovel with Knurled Wooden Handle Gold Prospecting Equipment, 28.25 Inch",ACTIVE,"ASR Outdoor",1,0,0,7,1600,0,0,0,0,0,0,0,0,0,0
8571326300460,"Magnifying Tweezer and Glass Collection Vials Set Gold Panning Accessories, 5pc",ACTIVE,"ASR Outdoor",1,0,0,6,1600,0,0,0,0,0,0,0,0,0,0
8571407565100,"3 in 1 Black Mini Folding Serrated Edge Shovel Pick and Saw Gold Prospecting Equipment, 16 Inches",ACTIVE,"ASR Outdoor",1,0,0,6,1600,0,0,0,0,0,0,0,0,0,0
8644958716204,"19pc Complete Fine Gold Recovery Kit Gold Prospecting Equipment with Mini Funnel",ACTIVE,"ASR Outdoor",1,0,0,12,1500,0,0,0,0,0,0,0,0,0,0
8791674552620,"14pc Portable Gold Panning Kit with Stackable Plastic Sifting Screens, Drawstring Backpack and Gold Prospecting Equipment (3 Sizes)",ACTIVE,"ASR Outdoor",3,0,0,15,1600,0,0,0,0,0,0,0,0,0,0
8791693558060,"Heavy Duty Stackable Plastic Sifting Screens Gold Prospecting Equipment Rock Hounding (3 Sizes)",ACTIVE,"ASR Outdoor",4,4,0,10,1600,1,0,0,0,0,0,0,0,0,0
8875920785708,"ASR Outdoor and Pan for Gold with Bobby Bo Guaranteed Gold Paydirt Bags (3oz, 1LB, 3LB, 10LB)",ACTIVE,"ASR Outdoor",4,4,0,11,1080,1,0,0,0,0,0,0,0,0,0
8919461888300,"21pc Geology Rock Hounding Kit with Mining Tools and Deluxe Carry Bag",ACTIVE,"ASR Outdoor",1,0,0,14,1600,0,0,0,0,0,0,0,0,0,0
8919490330924,"13 Pocket Musette Shoulder Tool Bag for Rock Hounding or Metal Detecting",ACTIVE,"ASR Outdoor",1,0,0,10,1600,0,0,0,0,0,0,0,0,0,0
8992586793260,"Stackable 1/4"" Classifier Sifting Screen Gold Prospecting Equipment",ACTIVE,"ASR Outdoor",1,0,0,6,1600,0,0,0,0,0,0,1,0,0,0
9025218904364,"19pc Metal Detector Accessories Kit with Musette Style Field Tool Bag",ACTIVE,"ASR Outdoor",1,0,0,10,1600,0,0,0,0,0,0,0,0,0,0
9082933772588,"13 Inch Serrated Edge Digger, Versatile Hand Trowel for Breaking up Hard Ground",ACTIVE,"ASR Outdoor",1,0,0,5,1600,0,0,0,0,0,0,0,0,0,0
9082999210284,"11 Inch Pin Pointer Metal Detecting Hand Trowel Shovel with Depth Markers (2 Colors)",ACTIVE,"ASR Outdoor",2,2,0,9,1600,1,0,0,0,0,0,0,0,0,0
9147226489132,"ASR Outdoor 10L Collapsible Bucket and Stand Gold Prospecting Equipment, 6pc",ACTIVE,"ASR Outdoor",1,0,0,10,1600,0,0,0,0,0,0,0,0,0,0
9147232583980,"Classifier Screen with 10L Collapsible Silicone Bucket Gold Prospecting Equipment",ACTIVE,"ASR Outdoor",4,4,0,10,1000,1,0,0,0,0,0,0,0,0,0
9411548447020,"3pc Heavy Duty Cold Steel Chisel Set Rock Hounding Equipment",ACTIVE,"ASR Outdoor",1,0,0,8,1600,0,0,0,0,0,0,0,0,0,0
9511343030572,"Lightweight Carbon Steel Camping Hammer with Tent Stakes Puller, 12 Inch",ACTIVE,"ASR Outdoor",1,0,0,10,768,0,0,0,0,0,0,0,0,0,0
9511347683628,"10 in 1 Compact Survival Device Camping Hiking Gear Emergency Supplies, Green",ACTIVE,"ASR Outdoor",1,0,0,9,1110,0,0,0,0,0,0,0,0,0,0
9511352959276,"4pk Aluminum Screw in Tent Stakes, 9 Inch",ACTIVE,"ASR Outdoor",1,0,0,8,480,0,0,0,0,0,0,0,0,1,0
9511355318572,"2pk Lightweight Zipper Pull Mini Compass Hiking Camping Gear, Black",ACTIVE,"ASR Outdoor",1,0,0,8,909,0,0,0,0,0,0,0,0,0,0
9511356694828,"3pc Collapsible Camping Lantern, Assorted Colors",ACTIVE,"ASR Outdoor",1,0,0,12,771,0,0,0,0,0,0,0,0,0,0
9511359676716,"Hanging Camping Lantern Battery Operated LED",ACTIVE,"ASR Outdoor",1,0,0,10,644,0,0,0,0,0,0,0,0,0,0
9511362527532,"36 Hour Camping Survival Candle in Portable Box, 3 Wick",ACTIVE,"ASR Outdoor",1,0,0,10,1033,0,0,0,0,0,0,0,0,0,0
9511364165932,"Thermal Mat Heat Reflective Camping Sleeping Pad",ACTIVE,"ASR Outdoor",1,0,0,13,1600,0,0,0,0,0,0,0,0,0,0
9511366590764,"Heavy Duty Galvanized Carbon Steel Tent Stakes 11 Inch – Camping Ground Anchors for Tents Tarps Canopies (3 Colors, Assorted Pack Sizes)",ACTIVE,"ASR Outdoor",18,18,0,11,642,1,0,0,0,0,0,0,0,0,0
