product_id,handle,product_title,product_type,variant_id,variant_title,sku,gtin_to_fill
8493498204460,asr-outdoor-7pc-gold-panning-kit-with-1lbs-bobby-bo-intermediate-unclassified-paydirt-bag-green-or-black,"ASR Outdoor 6pc Gold Panning Kit with 1lbs Bobby Bo Intermediate Unclassified Paydirt Bag (Green or Black)","Gold Panning",45912558797100,Green,ASR-7PC-1LB-PAYDIRT-INTERMED-GRN,
8493498204460,asr-outdoor-7pc-gold-panning-kit-with-1lbs-bobby-bo-intermediate-unclassified-paydirt-bag-green-or-black,"ASR Outdoor 6pc Gold Panning Kit with 1lbs Bobby Bo Intermediate Unclassified Paydirt Bag (Green or Black)","Gold Panning",45912558829868,Black,ASR-7PC-1LB-PAYDIRT-INTERMED-BLK,
8493498204460,asr-outdoor-7pc-gold-panning-kit-with-1lbs-bobby-bo-intermediate-unclassified-paydirt-bag-green-or-black,"ASR Outdoor 6pc Gold Panning Kit with 1lbs Bobby Bo Intermediate Unclassified Paydirt Bag (Green or Black)","Gold Panning",48134027051308,Blue,ASR-7PC-1LB-PAYDIRT-INTERMED-BLU,
8875920785708,asr-outdoor-x-bobby-bo-assorted-paydirt-bags,"ASR Outdoor and Pan for Gold with Bobby Bo Guaranteed Gold Paydirt Bags (3oz, 1LB, 3LB, 10LB)","Gold Panning",47421057630508,3oz,DOY-GOLDPAYDIRT-3OZ,
8875920785708,asr-outdoor-x-bobby-bo-assorted-paydirt-bags,"ASR Outdoor and Pan for Gold with Bobby Bo Guaranteed Gold Paydirt Bags (3oz, 1LB, 3LB, 10LB)","Gold Panning",48944173252908,1lb,DOY-GOLDPAYDIRT-1LB,
8875920785708,asr-outdoor-x-bobby-bo-assorted-paydirt-bags,"ASR Outdoor and Pan for Gold with Bobby Bo Guaranteed Gold Paydirt Bags (3oz, 1LB, 3LB, 10LB)","Gold Panning",47421057827116,3lb,DOY-GOLDPAYDIRT-3LBS,
8875920785708,asr-outdoor-x-bobby-bo-assorted-paydirt-bags,"ASR Outdoor and Pan for Gold with Bobby Bo Guaranteed Gold Paydirt Bags (3oz, 1LB, 3LB, 10LB)","Gold Panning",47421057859884,10lb,DOY-GOLDPAYDIRT-10LBS,
9657604243756,5lb-genuine-tumbled-rocks-and-gemstone-paydirt-geology-science-kit-14pc,"5lb Genuine Tumbled Rocks and Rough Gemstone Paydirt Kits, 14pc (2 Styles)","Rock Hounding",49867003756844,Madagascar,,
9657604243756,5lb-genuine-tumbled-rocks-and-gemstone-paydirt-geology-science-kit-14pc,"5lb Genuine Tumbled Rocks and Rough Gemstone Paydirt Kits, 14pc (2 Styles)","Rock Hounding",49867003789612,Brazilian,,
10099746996524,13-inch-wildlife-collectors-hunting-knife-with-decorative-scabbard-sleeve-and-animal-head-many-styles,"Wildlife Collectors Hunting Knife with Decorative Scabbard, Sleeve and Animal Head (15 Styles)",Survival/Camping,52031585714476,"5pc USA Flag Patriotic Full Set",,
10100504035628,mini-edc-small-pocket-knife-multitool-3-colors,"Mini Logo EDC Small Pocket Knife Multitool (4 Colors)",Survival/Camping,52035082584364,Black,SON-MINPOCKKNV-KC7223-ASRLOGO-BLCK,
10100504035628,mini-edc-small-pocket-knife-multitool-3-colors,"Mini Logo EDC Small Pocket Knife Multitool (4 Colors)",Survival/Camping,52391266713900,Red,SON-MINPOCKKNV-KC7223-ASRLOGO,
10158773862700,first-aid-kit-in-plastic-waterproof-case-emergency-supplies-survival-gear-50pc,"First Aid Kit in Plastic Waterproof Case Survival Gear Emergency Preparedness Item, 50pc",Survival/Camping,52400237216044,"Default Title",,
