product_id,handle,product_title,product_type,variant_id,variant_title,sku,amazon upc,usurper upc,usurper:amazon_upc,BEST UPC,created via CA
10169362415916,dual-grit-knife-blade-sharpening-stone-2-sizes,"Dual Grit Knife Blade Sharpening Stones, 120/240 (2 Sizes)",Survival/Camping,52442934411564,6 Inch,SON-DGKSSB6I-6E-GRY,!not on amz!,102801259813,,102801259813,
10099746996524,13-inch-wildlife-collectors-hunting-knife-with-decorative-scabbard-sleeve-and-animal-head-many-styles,"Wildlife Collectors Hunting Knife with Decorative Scabbard, Sleeve and Animal Head (15 Styles)",Survival/Camping,52031488983340,American Flag Eagle - White,NPT-135CKWAEFSAH-135,169879814658,128673293038,,169879814658,
9513002959148,3pc-camping-utensil-set-military-ration-mre,Stainless Steel Camping Utensil Set - Clip Together Knife Fork Spoon with Can Opener,Survival/Camping,52805216108844,1-Pack,SON-3IN1CUSKFS-3PC-ONE-SLVR,!not on amz!,190764310351,,190764310351,
10101810626860,6pk-aluminum-carabiner-spring-clip-with-keychain-many-sizes-colors,"6pk Large Aluminum Carabiner Spring Clip with Keychain (3.25 Inches, Assorted Colors)",Survival/Camping,52040387264812,Pink,CARABINER-6PK-PINK-LG,603423853873,603423853873,,603423853873,
9511368261932,6-in-1-camping-kitchen-multi-tool-with-carrying-case-and-bottle-opener,6 in 1 Camping Kitchen Multi-Tool with Carrying Case and Bottle Opener,Survival/Camping,49355336843564,Default Title,SON-6I1CUM-2PC-55X1-GRN,,615758789581,,615758789581,
10069016609068,chrome-stainless-steel-premium-portable-hip-flask-8oz,8oz Brushed 201 Stainless Steel and Chrome Screw Top Portable Pocket Flask,Survival/Camping,51818335764780,Default Title,SON-SSCHF8OZ-8O-SLVR,!not on amz!,615805421983,,615805421983,
8525101793580,4oz-plastic-heavy-duty-gold-snifter-snuffer-bottle-squeeze-nozzle-multi-packs,4oz Gold Snifter Bottle Squeeze Snuffer for Fine Gold Recovery and Gold Panning (Assorted Pack Sizes),Gold Panning,46075476541740,1 Pack,SON-AOC4OGSSB-4OZ-CLR,,618991515115,,618991515115,
10101810626860,6pk-aluminum-carabiner-spring-clip-with-keychain-many-sizes-colors,"6pk Large Aluminum Carabiner Spring Clip with Keychain (3.25 Inches, Assorted Colors)",Survival/Camping,52040387232044,Silver,CARABINER-6PK-SILVER-LG,620605609233,620605609233,,620605609233,
9511366590764,6pc-tent-stake-set-with-hook-head-for-hard-packed-soil,"Heavy Duty Galvanized Carbon Steel Tent Stakes 11 Inch – Camping Ground Anchors for Tents Tarps Canopies (3 Colors, Assorted Pack Sizes)",Survival/Camping,52797098230060,Green / 8 Pack,UNI-TENTPEGS-GREEN-8PK,,625293885242,855569007393,625293885242,
10101810626860,6pk-aluminum-carabiner-spring-clip-with-keychain-many-sizes-colors,"6pk Large Aluminum Carabiner Spring Clip with Keychain (3.25 Inches, Assorted Colors)",Survival/Camping,52040387199276,Green,CARABINER-6PK-GREEN-LG,633749878434,633749878434,,633749878434,
9511366590764,6pc-tent-stake-set-with-hook-head-for-hard-packed-soil,"Heavy Duty Galvanized Carbon Steel Tent Stakes 11 Inch – Camping Ground Anchors for Tents Tarps Canopies (3 Colors, Assorted Pack Sizes)",Survival/Camping,52797082108204,Green / 4 Pack,UNI-TENTPEGS-GREEN-4PK,,634411090000,855569007614,634411090000,
