product_id,handle,product_title,status,variant_id,variant_title,sku,current_barcode,gtin_state
8406498541868,asr-outdoor-deluxe-50-aluminum-folding-sluice-box-gold-panning-backpack-kit,"24pc Deluxe 50 Inch Aluminum Folding Sluice Box Gold Panning Kit with 30L Backpack",ACTIVE,45464942477612,Black,SON-FOLDINGSLUICEBACKPACK-24-BLACK,810058485601,has
8406498541868,asr-outdoor-deluxe-50-aluminum-folding-sluice-box-gold-panning-backpack-kit,"24pc Deluxe 50 Inch Aluminum Folding Sluice Box Gold Panning Kit with 30L Backpack",ACTIVE,45464942510380,Green,SON-FOLDINGSLUICEBACKPACK-24-GREEN,810058482839,has
8406498541868,asr-outdoor-deluxe-50-aluminum-folding-sluice-box-gold-panning-backpack-kit,"24pc Deluxe 50 Inch Aluminum Folding Sluice Box Gold Panning Kit with 30L Backpack",ACTIVE,45464942543148,"Desert Khaki",SON-FOLDINGSLUICEBOXBACKPACK-D,060886140849,has
8406498541868,asr-outdoor-deluxe-50-aluminum-folding-sluice-box-gold-panning-backpack-kit,"24pc Deluxe 50 Inch Aluminum Folding Sluice Box Gold Panning Kit with 30L Backpack",ACTIVE,52674178122028,Brown,SON-FOLDINGSLUICEBACKPACK-24-BROWN,810131748098,has
8461244170540,rock-pick-hammer,"20oz Rock Pick Mining Hammer, 11-inch Pointed Tip Gold Prospectors Tool",ACTIVE,45729720598828,"Default Title",SON-20OZERPMH-STD,182364414188,has
8461244367148,30-inch-four-riffle-plastic-sluice-box-for-gold-prospecting-green,"Multi Riffle Plastic Sluice Box Gold Prospecting Equipment, Green",ACTIVE,45729720893740,"Default Title",SON-SLUICE-BOX-1,060886676362,has
8461244793132,asr-outdoor-sluice-box-gold-prospecting-kit-pan-vial-snifter-trowel-tweezer-7pc,"7pc Beginner Sluice Box Gold Panning Kit with Gold Prospecting Equipment (Aluminum or Plastic)",ACTIVE,46029636370732,"Plastic Sluice Box",SON-SLUICEBOXSET-7PC-BUNDLE,060886231851,has
8461244793132,asr-outdoor-sluice-box-gold-prospecting-kit-pan-vial-snifter-trowel-tweezer-7pc,"7pc Beginner Sluice Box Gold Panning Kit with Gold Prospecting Equipment (Aluminum or Plastic)",ACTIVE,46029636403500,"Aluminum Folding Sluice Box",SON-SLUICEBOXSET-7PC-BUNDLE-ALUM,810058482204,has
8491279384876,6pc-paydirt-beginner-gold-panning-kit-with-gold-pan-vial-snuffer-bottle,"ASR Outdoor X Pan for Gold with Bobby Bo 3oz Beginner Paydirt Gold Panning Kit, 6pc",ACTIVE,45905105584428,Green,SON-5PCGOLDKIT-GRN-BUN,810058485373,has
8491279384876,6pc-paydirt-beginner-gold-panning-kit-with-gold-pan-vial-snuffer-bottle,"ASR Outdoor X Pan for Gold with Bobby Bo 3oz Beginner Paydirt Gold Panning Kit, 6pc",ACTIVE,45905105617196,Black,SON-5PCGOLDKIT-BLK-BUN,810058488589,has
