product_title,variant_title,current_SKU,current_UPC_in_shopify,issue,what_to_do,needs_SKU_too,CORRECTED_UPC,CORRECTED_SKU,handle,variant_id
"5lb Genuine Tumbled Rocks and Rough Gemstone Paydirt Kits, 14pc (2 Styles)",Brazilian,,,NO UPC - needs one,No UPC on file yet. Please provide one.,YES,,,5lb-genuine-tumbled-rocks-and-gemstone-paydirt-geology-science-kit-14pc,49867003789612
"5lb Genuine Tumbled Rocks and Rough Gemstone Paydirt Kits, 14pc (2 Styles)",Madagascar,,,NO UPC - needs one,No UPC on file yet. Please provide one.,YES,,,5lb-genuine-tumbled-rocks-and-gemstone-paydirt-geology-science-kit-14pc,49867003756844
ASR Outdoor 6pc Gold Panning Kit with 1lbs Bobby Bo Intermediate Unclassified Paydirt Bag (Green or Black),Black,ASR-7PC-1LB-PAYDIRT-INTERMED-BLK,,NO UPC - needs one,No UPC on file yet. Please provide one.,,,,asr-outdoor-7pc-gold-panning-kit-with-1lbs-bobby-bo-intermediate-unclassified-paydirt-bag-green-or-black,45912558829868
ASR Outdoor 6pc Gold Panning Kit with 1lbs Bobby Bo Intermediate Unclassified Paydirt Bag (Green or Black),Blue,ASR-7PC-1LB-PAYDIRT-INTERMED-BLU,,NO UPC - needs one,No UPC on file yet. Please provide one.,,,,asr-outdoor-7pc-gold-panning-kit-with-1lbs-bobby-bo-intermediate-unclassified-paydirt-bag-green-or-black,48134027051308
ASR Outdoor 6pc Gold Panning Kit with 1lbs Bobby Bo Intermediate Unclassified Paydirt Bag (Green or Black),Green,ASR-7PC-1LB-PAYDIRT-INTERMED-GRN,,NO UPC - needs one,No UPC on file yet. Please provide one.,,,,asr-outdoor-7pc-gold-panning-kit-with-1lbs-bobby-bo-intermediate-unclassified-paydirt-bag-green-or-black,45912558797100
"First Aid Kit in Plastic Waterproof Case Survival Gear Emergency Preparedness Item, 50pc",Default Title,,,NO UPC - needs one,No UPC on file yet. Please provide one.,YES,,,first-aid-kit-in-plastic-waterproof-case-emergency-supplies-survival-gear-50pc,52400237216044
"Wildlife Collectors Hunting Knife with Decorative Scabbard, Sleeve and Animal Head (15 Styles)",5pc USA Flag Patriotic Full Set,,,NO UPC - needs one,No UPC on file yet. Please provide one.,YES,,,13-inch-wildlife-collectors-hunting-knife-with-decorative-scabbard-sleeve-and-animal-head-many-styles,52031585714476
"13pc Portable Gold Panning Kit with Collapsible Bucket, Mini Aluminum Sluice Box and 30L Backpack (4 Colors)",Green,SON-13PCGOLDKIT-BUN,810058486219,DUPLICATE - needs unique UPC,Same UPC 810058486219 also on: Khaki. Give each its OWN UPC.,,,,13pc-gold-panning-backpack-kit-collapsible-bucket,51582244290860
"13pc Portable Gold Panning Kit with Collapsible Bucket, Mini Aluminum Sluice Box and 30L Backpack (4 Colors)",Khaki,SON-13PCGOLDKIT-BUN-KHAKI,810058486219,DUPLICATE - needs unique UPC,Same UPC 810058486219 also on: Green. Give each its OWN UPC.,,,,13pc-gold-panning-backpack-kit-collapsible-bucket,51582244225324
14pc Remote Adventure 30L Rucksack Gold Panning Kit with Classifier Screens (3 Colors),Black,SON-ASRO-REMOTERUCKSACKGPKIT-14PC-BLK,810131706173,DUPLICATE - needs unique UPC,Same UPC 810131706173 also on: Desert Khaki. Give each its OWN UPC.,,,,asr-outdoor-14pc-remote-adventure-30l-rucksack-gold-panning-kit-with-classifier-screens-black,51582206279980
