surface,url,video_id,video_title,videos_on_page,single_video_home,in_product_snippet
blog,https://asroutdoor.com/blogs/journal/asr-outdoor-giveaway-series-week-1-winners,Z6YEvO7yjqQ,Giveaway Week 1 Winners,1,yes,n/a
blog,https://asroutdoor.com/blogs/journal/asr-outdoor-giveaway-series-week-2-winners,jMwjvm2061M,Giveaway Week 2 Winners,1,yes,n/a
blog,https://asroutdoor.com/blogs/journal/asr-outdoors-exciting-giveaway-series-subscribe-now,7ezkRpEN58g,Giveaway Series - Subscribe,1,yes,n/a
blog,https://asroutdoor.com/blogs/journal/digging-into-gold-with-bobby-bo-asr-outdoors-expert-gold-panner,5ZUFmtFPgdE,How to Choose a Gold Pan Type,2,no,n/a
blog,https://asroutdoor.com/blogs/journal/digging-into-gold-with-bobby-bo-asr-outdoors-expert-gold-panner,vW6hZTmYAqc,34in Aluminum Matting Sluice,2,no,n/a
blog,https://asroutdoor.com/blogs/journal/new-product-12pc-break-your-own-geodes-kit,KLobXEEdf1Q,12pc Break Your Own Geodes Kit,1,yes,n/a
blog,https://asroutdoor.com/blogs/journal/new-product-5lb-tumbled-rocks-and-gemstone-paydirt-bags,t9Fc9uBs24Y,Gemstone Paydirt Kit,1,yes,n/a
blog,https://asroutdoor.com/blogs/journal/what-is-a-mini-sluice-box-and-who-should-use-one,3KRzsc-stEE,Mini Rubber Pocket Sluice (how to),2,no,n/a
blog,https://asroutdoor.com/blogs/journal/what-is-a-mini-sluice-box-and-who-should-use-one,I52rzwyfliE,12in Aluminum Sluice Box (how to),2,no,n/a
page,https://asroutdoor.com/pages/gold-panning-videos,3KRzsc-stEE,Mini Rubber Pocket Sluice (how to),12,no,n/a
page,https://asroutdoor.com/pages/gold-panning-videos,5ZUFmtFPgdE,How to Choose a Gold Pan Type,12,no,n/a
page,https://asroutdoor.com/pages/gold-panning-videos,BX_OnDzxXRA,Mini 6in Classifier (how to),12,no,n/a
page,https://asroutdoor.com/pages/gold-panning-videos,F3nU7PYk2CU,30in Plastic Sluice Box Set Up,12,no,n/a
page,https://asroutdoor.com/pages/gold-panning-videos,GRGKibzHhNQ,13in Bucket Classifier (how to),12,no,n/a
page,https://asroutdoor.com/pages/gold-panning-videos,I52rzwyfliE,12in Aluminum Sluice Box (how to),12,no,n/a
page,https://asroutdoor.com/pages/gold-panning-videos,OdcvlszXOH0,50in Sluice Box Set Up,12,no,n/a
page,https://asroutdoor.com/pages/gold-panning-videos,UxDOZeiHAes,Sluice Box Basics & Matting Recovery,12,no,n/a
page,https://asroutdoor.com/pages/gold-panning-videos,o6ToaVuqtZk,Benefits of Rubber Riffle Matting,12,no,n/a
page,https://asroutdoor.com/pages/gold-panning-videos,pXoZAJsz4qo,How to Season Your Gold Pans,12,no,n/a
page,https://asroutdoor.com/pages/gold-panning-videos,vW6hZTmYAqc,34in Aluminum Matting Sluice,12,no,n/a
page,https://asroutdoor.com/pages/gold-panning-videos,xCIlBiVK-hM,Bobby Bo 6pc Paydirt Kit,12,no,n/a
product,https://asroutdoor.com/products/1-2-inch-mesh-plastic-stackable-classifier-sifting-screen-gold-prospecting-equipment-green,GRGKibzHhNQ,13in Bucket Classifier (how to),1,yes,yes
product,https://asroutdoor.com/products/12pc-break-your-own-geodes-kit-with-sledge-hammer-and-safety-goggles-assorted-size-geodes,KLobXEEdf1Q,12pc Break Your Own Geodes Kit,1,yes,yes
product,https://asroutdoor.com/products/13pc-geology-rock-hounding-kit-with-mining-tools-and-deluxe-carry-bag,3N-gFD2G-jQ,Rock Hounding Kit (short),1,yes,yes
product,https://asroutdoor.com/products/15pc-complete-backpack-gold-panning-kit-with-mini-sluice-box-and-3lb-gold-bobby-bo-paydirt-aluminum-or-rubber,I52rzwyfliE,12in Aluminum Sluice Box (how to),1,yes,yes
product,https://asroutdoor.com/products/3-in-1-black-mini-folding-serrated-edge-shovel-pick-and-saw-gold-prospecting-equipment-16-inches,D0Sch7DMcHM,Best Shovels & Picks,1,yes,yes
product,https://asroutdoor.com/products/3-in-1-black-trifold-steel-multipurpose-serrated-shovel-pick-and-saw-with-storage-case-22-inch,D0Sch7DMcHM,Best Shovels & Picks,1,yes,yes
product,https://asroutdoor.com/products/50-aluminum-folding-sluice-box-gold-prospecting-equipment,OdcvlszXOH0,50in Sluice Box Set Up,1,yes,yes
product,https://asroutdoor.com/products/5lb-genuine-tumbled-rocks-and-gemstone-paydirt-geology-science-kit-14pc,t9Fc9uBs24Y,Gemstone Paydirt Kit,1,yes,yes
product,https://asroutdoor.com/products/5lb-rough-brazilian-gemstone-paydirt-bag-geology-science-kit,t9Fc9uBs24Y,Gemstone Paydirt Kit,1,yes,yes
product,https://asroutdoor.com/products/6pc-paydirt-beginner-gold-panning-kit-with-gold-pan-vial-snuffer-bottle,xCIlBiVK-hM,Bobby Bo 6pc Paydirt Kit,1,yes,yes
product,https://asroutdoor.com/products/aluminum-sluice-box-with-rubber-tpr-riffle-matting-gold-prospecting-equipment-34-inch,vW6hZTmYAqc,34in Aluminum Matting Sluice,1,yes,yes
