product_title,product_page_url,shopify_admin,current_mp4_seconds,current_mp4_url,replace_with_youtube_url,replace_with_youtube_title,match_confidence,notes
50 Inch Aluminum Folding Gold Sluice Box Prospecting Equipment,https://asroutdoor.com/products/50-aluminum-folding-sluice-box-gold-prospecting-equipment,Products > search '50-aluminum-folding-sluice-box-gold-pros' > Media,43s,https://cdn.shopify.com/videos/c/vp/270ceb70d8f948dda1a7689bfc9b5b28/270ceb70d8f948dda1a7689bfc9b5b28.HD-1080p-7.2Mbps-46580706.mp4,https://youtu.be/OdcvlszXOH0,ASR Outdoor 50 inch Sluice Box Set Up Gold Prospecting Equipment,high,
"Mini Portable 3 Riffle Rubber Sluice Box Gold Prospecting Equipment, 12 Inch",https://asroutdoor.com/products/pocket-sluice-box-for-gold-panning-3-riffle-tpr-rubber-groove-mat-12,Products > search 'pocket-sluice-box-for-gold-panning-3-rif' > Media,44s,https://cdn.shopify.com/videos/c/vp/6ac40b21c0f4416fbbf5e29647ece5f5/6ac40b21c0f4416fbbf5e29647ece5f5.HD-1080p-7.2Mbps-46579668.mp4,https://youtu.be/3KRzsc-stEE,How To Use The ASR Outdoor Mini Rubber Pocket Sluice Box,high,
"Heavy Duty Collapsable Magnetic Prospectors Pick Axe Gold Prospecting Equipment, Silver",https://asroutdoor.com/products/gold-mining-compact-magnetic-prospectors-pick-axe,Products > search 'gold-mining-compact-magnetic-prospectors' > Media,24s,https://cdn.shopify.com/videos/c/vp/7933f6feedf84230a93a66250d6c6928/7933f6feedf84230a93a66250d6c6928.HD-720p-2.1Mbps-46580052.mp4,https://youtu.be/Xepf8uTnR7w,Top Gold Prospecting Pickaxe for Gold Panning - ASR Outdoor Gear Tested,high,
12pc Break Your Own Geodes Kit with Sledge Hammer and Safety Goggles (Assorted Size Geodes),https://asroutdoor.com/products/12pc-break-your-own-geodes-kit-with-sledge-hammer-and-safety-goggles-assorted-size-geodes,Products > search '12pc-break-your-own-geodes-kit-with-sled' > Media,54s,https://cdn.shopify.com/videos/c/vp/3b6b7c7184524feba1ef335810302535/3b6b7c7184524feba1ef335810302535.HD-1080p-7.2Mbps-34697927.mp4,https://youtu.be/KLobXEEdf1Q,Unboxing the New ASR Outdoor 12pc Break Your Own Geodes Kit!,high,
"5LB Genuine Rough Gemstone Paydirt Bags, Rocks and Minerals Collection, Sift, Sort and Find Treasure",https://asroutdoor.com/products/5lb-rough-brazilian-gemstone-paydirt-bag-geology-science-kit,Products > search '5lb-rough-brazilian-gemstone-paydirt-bag' > Media,81s,https://cdn.shopify.com/videos/c/vp/5aa21eb4d7744e0ab2d21bb859d06f1c/5aa21eb4d7744e0ab2d21bb859d06f1c.HD-1080p-7.2Mbps-35391744.mp4,https://youtu.be/t9Fc9uBs24Y,The ASR Outdoor Gemstone Paydirt Kit! Find Shiny Crystals and Cool Gems,high,
"5lb Genuine Tumbled Rocks and Rough Gemstone Paydirt Kits, 14pc (2 Styles)",https://asroutdoor.com/products/5lb-genuine-tumbled-rocks-and-gemstone-paydirt-geology-science-kit-14pc,Products > search '5lb-genuine-tumbled-rocks-and-gemstone-p' > Media,81s,https://cdn.shopify.com/videos/c/vp/5aa21eb4d7744e0ab2d21bb859d06f1c/5aa21eb4d7744e0ab2d21bb859d06f1c.HD-1080p-7.2Mbps-35391744.mp4,https://youtu.be/t9Fc9uBs24Y,The ASR Outdoor Gemstone Paydirt Kit! Find Shiny Crystals and Cool Gems,high,same YT video as the Brazilian gemstone page
"Mini Portable Aluminum Sluice Box with Rubber Matting Gold Prospecting Equipment, 12 Inch",https://asroutdoor.com/products/gold-panning-aluminum-mini-sluice-box-with-rubber-matting-12-inch,Products > search 'gold-panning-aluminum-mini-sluice-box-wi' > Media,44s,https://cdn.shopify.com/videos/c/vp/f0f3ca2776ae420c8713ccc8849bbde6/f0f3ca2776ae420c8713ccc8849bbde6.HD-1080p-7.2Mbps-46580336.mp4,https://youtu.be/I52rzwyfliE,"How To Use The ASR Outdoor 12"" Aluminum Sluice Box",medium,"could instead be 34"" matting video (vW6hZTmYAqc) - verify"
"Aluminum Sluice Box with Rubber TPR Riffle Matting, Gold Prospecting Equipment, 34 Inch",https://asroutdoor.com/products/aluminum-sluice-box-with-rubber-tpr-riffle-matting-gold-prospecting-equipment-34-inch,Products > search 'aluminum-sluice-box-with-rubber-tpr-riff' > Media,40s,https://cdn.shopify.com/videos/c/vp/8ec15356834342ee9747d15ae1191feb/8ec15356834342ee9747d15ae1191feb.HD-1080p-7.2Mbps-46580232.mp4,https://youtu.be/vW6hZTmYAqc,ASR Outdoor: 34 Inch Aluminum Rubber Matting Sluice Box Set Up,medium,"could instead be the 12"" aluminum video (I52rzwyfliE) - verify which size"
"20oz Rock Pick Mining Hammer, 11-inch Pointed Tip Gold Prospectors Tool",https://asroutdoor.com/products/rock-pick-hammer,Products > search 'rock-pick-hammer' > Media,17s,https://cdn.shopify.com/videos/c/vp/1a971e657a5d4b3baed39100b3732761/1a971e657a5d4b3baed39100b3732761.HD-1080p-7.2Mbps-46580593.mp4,,,none,rock pick hammer != the pick-axe video; maybe covered by 'Best Shovels & Picks' (D0Sch7DMcHM) - your call
15pc Travel Backpack Gold Panning Kit with Mini Sluice Box and 3lb Gold Bobby Bo Paydirt (2 Styles),https://asroutdoor.com/products/15pc-complete-backpack-gold-panning-kit-with-mini-sluice-box-and-3lb-gold-bobby-bo-paydirt-aluminum-or-rubber,Products > search '15pc-complete-backpack-gold-panning-kit-' > Media,44s,https://cdn.shopify.com/videos/c/vp/6ac40b21c0f4416fbbf5e29647ece5f5/6ac40b21c0f4416fbbf5e29647ece5f5.HD-1080p-7.2Mbps-46579668.mp4,,,none,no clear match in the 17 YT videos - confirm if a backpack-kit video exists deeper on the channel
21pc Geology Rock Hounding Kit with Mining Tools and Deluxe Carry Bag,https://asroutdoor.com/products/13pc-geology-rock-hounding-kit-with-mining-tools-and-deluxe-carry-bag,Products > search '13pc-geology-rock-hounding-kit-with-mini' > Media,55s,https://cdn.shopify.com/videos/c/vp/0ced9a2d4be04be7b66becd639d343dd/0ced9a2d4be04be7b66becd639d343dd.HD-1080p-7.2Mbps-46578502.mp4,,,none,no rock-hounding video among the 17 pulled - verify channel
"3pc Collapsible Camping Lantern, Assorted Colors",https://asroutdoor.com/products/3pc-collapsible-camping-lantern-assorted-colors,Products > search '3pc-collapsible-camping-lantern-assorted' > Media,12s,https://cdn.shopify.com/videos/c/vp/4bc40285560e49319acfcd214d2c4bff/4bc40285560e49319acfcd214d2c4bff.HD-1080p-7.2Mbps-32329759.mp4,,,none,not a gold-prospecting video; no match in the 17 - likely no YT version
"First Aid Kit in Plastic Waterproof Case Survival Gear Emergency Preparedness Item, 50pc",https://asroutdoor.com/products/first-aid-kit-in-plastic-waterproof-case-emergency-supplies-survival-gear-50pc,Products > search 'first-aid-kit-in-plastic-waterproof-case' > Media,22s,https://cdn.shopify.com/videos/c/vp/71f2d51155014762b38d11451a1d81b9/71f2d51155014762b38d11451a1d81b9.HD-1080p-7.2Mbps-64497720.mp4,,,none,not a gold-prospecting video; no match in the 17 - likely no YT version
