needs,product_title,variant,sku,current_gtin,current_mpn,MPN (fill in),UPC (fill in),correct GTIN-14,correct GTIN-13,handle,product_id,variant_id
1-NO IDENTIFIER,"5lb Genuine Tumbled Rocks and Rough Gemstone Paydirt Kits, 14pc (2 Styles)",Brazilian,,,,,,,,5lb-genuine-tumbled-rocks-and-gemstone-paydirt-geology-science-kit-14pc,9657604243756,49867003789612
1-NO IDENTIFIER,"5lb Genuine Tumbled Rocks and Rough Gemstone Paydirt Kits, 14pc (2 Styles)",Madagascar,,,,,,,,5lb-genuine-tumbled-rocks-and-gemstone-paydirt-geology-science-kit-14pc,9657604243756,49867003756844
1-NO IDENTIFIER,5pc Metal Detecting Tools Kit with Drawstring Backpack (3 Colors),Black,SON-SUPERSCOOP-5PC-KIT-BLK,,,SCPSCP-5P23BK,,,,5pc-metal-detecting-tools-kit-with-drawstring-bag-3-colors,10340913053996,53306510934316
1-NO IDENTIFIER,5pc Metal Detecting Tools Kit with Drawstring Backpack (3 Colors),Green,SON-SUPERSCOOP-5PC-KIT-GRN,,,SCPSCP-5P23GR,,,,5pc-metal-detecting-tools-kit-with-drawstring-bag-3-colors,10340913053996,53306510901548
1-NO IDENTIFIER,5pc Metal Detecting Tools Kit with Drawstring Backpack (3 Colors),Orange,SON-SUPERSCOOP-5PC-KIT-ORG,,,SCPSCP-5P23OR,,,,5pc-metal-detecting-tools-kit-with-drawstring-bag-3-colors,10340913053996,53306510967084
1-NO IDENTIFIER,ASR Outdoor 6pc Gold Panning Kit with 1lbs Bobby Bo Intermediate Unclassified Paydirt Bag (Green or Black),Black,ASR-7PC-1LB-PAYDIRT-INTERMED-BLK,,,,,,,asr-outdoor-7pc-gold-panning-kit-with-1lbs-bobby-bo-intermediate-unclassified-paydirt-bag-green-or-black,8493498204460,45912558829868
1-NO IDENTIFIER,ASR Outdoor 6pc Gold Panning Kit with 1lbs Bobby Bo Intermediate Unclassified Paydirt Bag (Green or Black),Blue,ASR-7PC-1LB-PAYDIRT-INTERMED-BLU,,,,,,,asr-outdoor-7pc-gold-panning-kit-with-1lbs-bobby-bo-intermediate-unclassified-paydirt-bag-green-or-black,8493498204460,48134027051308
1-NO IDENTIFIER,ASR Outdoor 6pc Gold Panning Kit with 1lbs Bobby Bo Intermediate Unclassified Paydirt Bag (Green or Black),Green,ASR-7PC-1LB-PAYDIRT-INTERMED-GRN,,,,,,,asr-outdoor-7pc-gold-panning-kit-with-1lbs-bobby-bo-intermediate-unclassified-paydirt-bag-green-or-black,8493498204460,45912558797100
1-NO IDENTIFIER,"ASR Outdoor and Pan for Gold with Bobby Bo Guaranteed Gold Paydirt Bags (3oz, 1LB, 3LB, 10LB)",10lb,DOY-GOLDPAYDIRT-10LBS,,,GLDPDRT10LBS,,,,asr-outdoor-x-bobby-bo-assorted-paydirt-bags,8875920785708,47421057859884
1-NO IDENTIFIER,"ASR Outdoor and Pan for Gold with Bobby Bo Guaranteed Gold Paydirt Bags (3oz, 1LB, 3LB, 10LB)",1lb,DOY-GOLDPAYDIRT-1LB,,,GLDPDRT1LBS-INT,,,,asr-outdoor-x-bobby-bo-assorted-paydirt-bags,8875920785708,48944173252908
