numeric_id,seo_description,product_type,image_alt
8406498541868,OK,OK,OK
8461244170540,OK,OK,OK
8461244367148,OK,OK,OK
8461244793132,OK,OK,OK
8491279384876,OK,OK,OK
8491328143660,OK,OK,OK
8491384897836,OK,OK,OK
8491401380140,OK,OK,OK
8493498204460,OK,OK,OK
8493515178284,OK,OK,OK
8493529727276,OK,OK,OK
8493540180268,OK,OK,OK
8493678985516,OK,OK,OK
8495190245676,OK,OK,OK
8495198667052,OK,OK,OK
8495203287340,OK,OK,OK
8502255157548,OK,OK,OK
8502335045932,OK,OK,OK
8502378823980,OK,OK,OK
8502395011372,OK,OK,OK
8502409855276,OK,OK,OK
8502466216236,OK,OK,OK
8502535192876,OK,OK,OK
8502573924652,OK,OK,OK
8502621208876,OK,OK,OK
8502631498028,OK,OK,OK
8502674391340,OK,OK,OK
8504355389740,OK,OK,OK
8504457167148,OK,OK,OK
8517567316268,OK,OK,OK
8517589303596,OK,OK,OK
8517722669356,OK,OK,OK
8517884444972,OK,OK,OK
8521682682156,OK,OK,OK
8521704636716,OK,OK,OK
8521725116716,OK,OK,OK
8521740910892,OK,OK,OK
8521749922092,OK,OK,OK
8521757655340,OK,OK,OK
8521778561324,OK,OK,OK
8521788588332,OK,OK,OK
8521825714476,OK,OK,OK
8521842229548,OK,OK,OK
8521873916204,OK,OK,OK
8521901801772,OK,OK,OK
8521944531244,OK,OK,OK
8521946104108,OK,OK,OK
8521959866668,OK,OK,OK
8521967042860,OK,OK,OK
8521979887916,OK,OK,OK
8521988899116,OK,OK,OK
8522010329388,OK,OK,OK
8522103718188,OK,OK,OK
8522154967340,OK,OK,OK
8522216636716,OK,OK,OK
8525101793580,OK,OK,OK
8525173948716,OK,OK,OK
8571037516076,OK,OK,OK
8571177402668,OK,OK,OK
8571261387052,OK,OK,OK
8571326300460,OK,OK,OK
8571407565100,OK,OK,OK
8644958716204,OK,OK,OK
8791674552620,OK,OK,OK
8791693558060,OK,OK,OK
8875920785708,OK,OK,OK
8919461888300,OK,OK,OK
8919490330924,OK,OK,OK
8992586793260,OK,OK,OK
9025218904364,OK,OK,OK
9082933772588,OK,OK,OK
9082999210284,OK,OK,OK
9147226489132,OK,OK,OK
9147232583980,OK,OK,OK
9411548447020,OK,OK,OK
9511343030572,OK,OK,OK
9511347683628,OK,OK,OK
9511352959276,OK,OK,OK
9511355318572,OK,OK,OK
9511356694828,OK,OK,OK
9511359676716,OK,OK,OK
9511362527532,OK,OK,OK
9511364165932,OK,OK,OK
9511366590764,OK,OK,OK
9511368261932,OK,OK,OK
9511369113900,OK,OK,OK
9512943649068,OK,OK,OK
9512958918956,OK,OK,OK
9512966947116,OK,OK,OK
9512972353836,OK,OK,OK
9512980218156,OK,OK,OK
9512984052012,OK,OK,OK
9512996602156,OK,OK,OK
9513002959148,OK,OK,OK
9513008824620,OK,OK,OK
9513012789548,OK,OK,OK
9513024946476,OK,OK,OK
9513038381356,OK,OK,OK
9513041494316,OK,OK,OK
9513050702124,OK,OK,OK
9513054404908,OK,OK,OK
9513065218348,OK,OK,OK
9513105228076,OK,OK,OK
9513115287852,OK,OK,OK
9513170108716,OK,OK,OK
9513182429484,OK,OK,OK
9513188688172,OK,OK,OK
9513197666604,OK,OK,OK
9513212182828,OK,OK,OK
9513216540972,OK,OK,OK
9513231810860,OK,OK,OK
9516197249324,OK,OK,OK
9516211142956,OK,OK,OK
9516216516908,OK,OK,OK
9516221989164,OK,OK,OK
9516229722412,OK,OK,OK
9516236144940,OK,OK,OK
9516244304172,OK,OK,OK
9516247875884,OK,OK,OK
9516251480364,OK,OK,OK
9516314722604,OK,OK,OK
9516340969772,OK,OK,OK
9516357517612,OK,OK,OK
9516362629420,OK,OK,OK
9516375277868,OK,OK,OK
9516412109100,OK,OK,OK
9516421677356,OK,OK,OK
9516431376684,OK,OK,OK
9516465619244,OK,OK,OK
9516488720684,OK,OK,OK
9516520374572,OK,OK,OK
9636602347820,OK,OK,OK
9652288487724,OK,OK,OK
9657604243756,OK,OK,OK
9712716906796,OK,OK,OK
9833202319660,OK,OK,OK
9840455614764,OK,OK,OK
9860245946668,OK,OK,OK
9860432789804,OK,OK,OK
9878688170284,OK,OK,OK
9881939575084,OK,OK,OK
9882392428844,OK,OK,OK
9883653177644,OK,OK,OK
9883932754220,OK,OK,OK
9892036575532,OK,OK,OK
9892051288364,OK,OK,OK
9892955554092,OK,OK,OK
9919285690668,OK,OK,OK
9930931896620,OK,OK,OK
9978779468076,OK,OK,OK
9979838169388,OK,OK,OK
9983056183596,OK,OK,OK
9994170827052,OK,OK,OK
10003820839212,OK,OK,OK
10006911058220,OK,OK,OK
10006929572140,OK,OK,OK
10013731029292,OK,OK,OK
10016120537388,OK,OK,OK
10017172390188,OK,OK,OK
10027574034732,OK,OK,OK
10038582280492,OK,OK,OK
10049578107180,OK,OK,OK
10049578959148,OK,OK,OK
10068970799404,OK,OK,OK
10068971356460,OK,OK,OK
10068972994860,OK,OK,OK
10069016609068,OK,OK,OK
10069742944556,OK,OK,OK
10069756018988,OK,OK,OK
10069811331372,OK,OK,OK
10095730983212,OK,OK,OK
10099746996524,OK,OK,OK
10099787170092,OK,OK,OK
10099832357164,OK,OK,OK
10099850772780,OK,OK,OK
10099858768172,OK,OK,OK
10100504035628,OK,OK,OK
10101810626860,OK,OK,OK
10157710999852,OK,OK,OK
10158773862700,OK,OK,OK
10165489860908,OK,OK,OK
10165513879852,OK,OK,OK
10169362415916,OK,OK,OK
10246630015276,OK,OK,OK
10246633947436,OK,OK,OK
10246636929324,OK,OK,OK
10246948356396,OK,OK,OK
10246952878380,OK,OK,OK
10246957728044,OK,OK,OK
10251979817260,OK,OK,OK
10251985387820,OK,OK,OK
10251991187756,OK,OK,OK
10252002165036,OK,OK,OK
10252005343532,OK,OK,OK
10253890748716,OK,OK,OK
10253903167788,OK,OK,OK
10253919387948,OK,OK,OK
10264366874924,OK,OK,OK
10314358030636,OK,OK,OK
