product_id,product_handle,product_title,skus
10165513879852,10-inch-bottom-dual-riffle-gold-pan-gold-prospecting-equipment-green,"10 Inch Bottom Dual Riffle Gold Pan Gold Prospecting Equipment, Green",SON-BTMRFLGP10IN-GRN
8517567316268,10-inch-single-riffle-standard-gold-pan-multiple-colors,"10 Inch Traditional Single Riffle Standard Gold Pan (3 Colors)","SON-G10GRGTGP-10-GRN | SON-B10GRGTGP-10-BLCK-9 | SON-G10GRGTGP-10-PURP"
10165489860908,10-inch-triple-riffle-gold-pan-gold-prospecting-equipment-green,"10 Inch Triple Riffle Gold Pan Gold Prospecting Equipment, Green",SON-AO10ITRIPRIFF-10-GRN
9511347683628,10-in-1-compact-survival-kit-camping-hiking-gear-emergency-supplies-green,"10 in 1 Compact Survival Device Camping Hiking Gear Emergency Supplies, Green",SON-ASRO-10IN1SURVIVALTOOL-GRN
9516412109100,paracord-bundle-100-feet-x-15-inch-7-strand,"100FT 7-Strand Nylon Paracord Parachute Cord","SON-AOSBPRBS1FT-100F-BLCK | SON-PARACORD-100-7-GREY | SON-AOSOGPRBS1FT-100F-OLVDRBGRN | SON-AOSPRO100FT-100FT-ORNG | SON-PARACORD-100-7-TAN-CAMO | ASR-550LBSSSPRWC100FT-BUN-100PK-100FT | SON-100FTGNGPR550LBS-100FT-NNGRN | ASR-PRDC100FT-100PK-100FT-DSRTCM | SON-AOSPRORT100FT-RFLCTVORNG | SON-PARACORD-100-7-KHAKI"
9513024946476,emergency-1-person-survival-first-aid-kit,"100pc Portable Dry Sack First Aid Kit Dry Emergency Preparedness Items Survival Gear",SON-FIRSTAIDKIT-100PC
8522154967340,10l-collapsible-bucket-and-stand-gold-prospecting-equipment-6pc,"10L Collapsible Silicone Bucket Gold Prospecting Equipment",SON-COLLAPSBUCKET-10L-OD-CB10L
8504355389740,10pc-gold-panning-starter-set-kit-gold-rush-prospecting-tools,"10pc Beginner Gold Panning Kit Gold Prospecting Equipment (3 Colors)","SON-GOLDPANKIT-GRN-10PC-BUN | SON-GOLDPANKIT-BLK-10PC-BUN | SON-GOLDPANKIT-BLU-10PC-BUN"
10006929572140,asr-outdoor-clear-pocket-portable-travel-gold-panning-kit-for-prospecting-11pc,"10pc Fine Gold Recovery Pocket Prospecting Kit in Clear Waterproof Container",SON-POCKETGOLDKIT-11PC2
9516340969772,10pk-hand-warmers-10-hour-protection-for-camping-skiiing-outdoors,"10pk Hand Warmers, 10 Hour Protection for Camping, Skiiing, Outdoors",ASR-HWW8HPS-BUN-10PK-SML
9840455614764,asr-outdoor-11-inch-heavy-duty-single-riffle-gold-pans-made-in-usa-three-colors,"11 Inch Heavy Duty Single Riffle Gold Pans Made in USA (Three Colors)","HWK-ASRO-MADEINUSAGP-11IN-BLK | HWK-ASRO-MADEINUSAGP-11IN-GRN | HWK-ASRO-MADEINUSAGP-11IN-PNK"
9082999210284,11-inch-pin-pointer-metal-detecting-hand-trowel-shovel-with-depth-markers-2-colors,"11 Inch Pin Pointer Metal Detecting Hand Trowel Shovel with Depth Markers (2 Colors)","SON-NPT288-TROWEL-BLK | SON-HAND-TROWEL-ORANGE"
9516247875884,11-inch-full-tang-hunting-guthook-knife-for-fishing-cleaning-fixed-blade,"11 Inch Stainless Steel Full Tang Fixed Blade Knife with Guthook for Fishing or Hunting",NPT-G11IFTHK-2PC
9516488720684,11-in-1-multi-function-credit-card-sized-tool-with-black-sheath,"11 in 1 Stainless Steel Credit Card Multitool with Black Leather Carry Case",SON-11INSCCMT-SML-SLVR
9892051288364,11-75oz-stainless-steel-and-enamel-coffee-mug-camping-essentials-classic-speckled-blue,"11.75oz Stainless Steel and Enamel Coffee Mug Camping Essentials, Classic Speckled Blue",SON-ASRO-ENAMELCOFFEEMUG-BLU
