handle,title,has_hosted_video,has_external_video,has_videoobject_markup,hosted_video_url,hosted_preview,hosted_duration_ms,external_host,external_url,video_alt,url
gold-mining-compact-magnetic-prospectors-pick-axe,"Heavy Duty Collapsable Magnetic Prospectors Pick Axe Gold Prospecting Equipment, Silver",1,1,,https://cdn.shopify.com/videos/c/vp/7933f6feedf84230a93a66250d6c6928/7933f6feedf84230a93a66250d6c6928.HD-720p-2.1Mbps-46580052.mp4,https://cdn.shopify.com/s/files/1/0783/2056/6572/files/preview_images/7933f6feedf84230a93a66250d6c6928.thumbnail.0000000000.jpg?v=1745618213,24270,YOUTUBE,https://youtu.be/Xepf8uTnR7w,,https://asroutdoor.com/products/gold-mining-compact-magnetic-prospectors-pick-axe
rock-pick-hammer,"20oz Rock Pick Mining Hammer, 11-inch Pointed Tip Gold Prospectors Tool",0,1,,,,,YOUTUBE,https://youtu.be/XdsMWcP7A0g,,https://asroutdoor.com/products/rock-pick-hammer
30-inch-four-riffle-plastic-sluice-box-for-gold-prospecting-green,"Multi Riffle Plastic Sluice Box Gold Prospecting Equipment, Green",0,1,,,,,YOUTUBE,https://youtu.be/F3nU7PYk2CU,,https://asroutdoor.com/products/30-inch-four-riffle-plastic-sluice-box-for-gold-prospecting-green
6pc-paydirt-beginner-gold-panning-kit-with-gold-pan-vial-snuffer-bottle,"ASR Outdoor X Pan for Gold with Bobby Bo 3oz Beginner Paydirt Gold Panning Kit, 6pc",0,1,,,,,YOUTUBE,https://youtu.be/xCIlBiVK-hM,,https://asroutdoor.com/products/6pc-paydirt-beginner-gold-panning-kit-with-gold-pan-vial-snuffer-bottle
asr-outdoor-7pc-gold-panning-kit-with-1lbs-bobby-bo-beginner-classified-paydirt-bag-green-or-black,"ASR Outdoor Beginner Gold Panning Kit with 1LB Guaranteed Gold Paydirt (3 Colors), 6pc",0,1,,,,,YOUTUBE,https://youtu.be/xCIlBiVK-hM,,https://asroutdoor.com/products/asr-outdoor-7pc-gold-panning-kit-with-1lbs-bobby-bo-beginner-classified-paydirt-bag-green-or-black
15pc-complete-backpack-gold-panning-kit-with-mini-sluice-box-and-3lb-gold-bobby-bo-paydirt-aluminum-or-rubber,"15pc Travel Backpack Gold Panning Kit with Mini Sluice Box and 3lb Gold Bobby Bo Paydirt (2 Styles)",0,1,,,,,YOUTUBE,https://youtu.be/I52rzwyfliE,,https://asroutdoor.com/products/15pc-complete-backpack-gold-panning-kit-with-mini-sluice-box-and-3lb-gold-bobby-bo-paydirt-aluminum-or-rubber
50-aluminum-folding-sluice-box-gold-prospecting-equipment,"50 Inch Aluminum Folding Gold Sluice Box Prospecting Equipment",0,1,,,,,YOUTUBE,https://youtu.be/OdcvlszXOH0,,https://asroutdoor.com/products/50-aluminum-folding-sluice-box-gold-prospecting-equipment
gold-rush-sifting-screen-classifier-sieve-mini-6-inch-multiple-mesh-sizes,"Small Stackable 6 Inch Classifier Screen Sifting Sieves, Assorted Stainless Steel Mesh Sizes",0,1,,,,,YOUTUBE,https://youtu.be/BX_OnDzxXRA,,https://asroutdoor.com/products/gold-rush-sifting-screen-classifier-sieve-mini-6-inch-multiple-mesh-sizes
gold-panning-aluminum-mini-sluice-box-with-rubber-matting-12-inch,"Mini Portable Aluminum Sluice Box with Rubber Matting Gold Prospecting Equipment, 12 Inch",0,1,,,,,YOUTUBE,https://youtu.be/I52rzwyfliE,,https://asroutdoor.com/products/gold-panning-aluminum-mini-sluice-box-with-rubber-matting-12-inch
pocket-sluice-box-for-gold-panning-3-riffle-tpr-rubber-groove-mat-12,"Mini Portable 3 Riffle Rubber Sluice Box Gold Prospecting Equipment, 12 Inch",0,1,,,,,YOUTUBE,https://youtu.be/3KRzsc-stEE,,https://asroutdoor.com/products/pocket-sluice-box-for-gold-panning-3-riffle-tpr-rubber-groove-mat-12
rubber-mat-riffled-sluice-box-matting-for-gold-recovery-27x10-inch,"Large Rubber Riffled Sluice Box Matting for Gold Recovery, 27 x 10 inch",0,1,,,,,YOUTUBE,https://youtu.be/o6ToaVuqtZk,,https://asroutdoor.com/products/rubber-mat-riffled-sluice-box-matting-for-gold-recovery-27x10-inch
aluminum-sluice-box-with-rubber-tpr-riffle-matting-gold-prospecting-equipment-34-inch,"Aluminum Sluice Box with Rubber TPR Riffle Matting, Gold Prospecting Equipment, 34 Inch",0,1,,,,,YOUTUBE,https://youtu.be/vW6hZTmYAqc,,https://asroutdoor.com/products/aluminum-sluice-box-with-rubber-tpr-riffle-matting-gold-prospecting-equipment-34-inch
3-in-1-black-trifold-steel-multipurpose-serrated-shovel-pick-and-saw-with-storage-case-22-inch,"3 in 1 Black Trifold Steel Multipurpose Serrated Shovel Pick and Saw with Storage Case, 22 Inch",0,1,,,,,YOUTUBE,https://youtu.be/D0Sch7DMcHM,,https://asroutdoor.com/products/3-in-1-black-trifold-steel-multipurpose-serrated-shovel-pick-and-saw-with-storage-case-22-inch
hrc-steel-shovel-with-knurled-wooden-handle-gold-prospecting-equipment-28-25-inch,"HRC Steel Shovel with Knurled Wooden Handle Gold Prospecting Equipment, 28.25 Inch",0,1,,,,,YOUTUBE,https://youtu.be/D0Sch7DMcHM,,https://asroutdoor.com/products/hrc-steel-shovel-with-knurled-wooden-handle-gold-prospecting-equipment-28-25-inch
3-in-1-black-mini-folding-serrated-edge-shovel-pick-and-saw-gold-prospecting-equipment-16-inches,"3 in 1 Black Mini Folding Serrated Edge Shovel Pick and Saw Gold Prospecting Equipment, 16 Inches",0,1,,,,,YOUTUBE,https://youtu.be/D0Sch7DMcHM,,https://asroutdoor.com/products/3-in-1-black-mini-folding-serrated-edge-shovel-pick-and-saw-gold-prospecting-equipment-16-inches
1-2-inch-mesh-plastic-stackable-classifier-sifting-screen-gold-prospecting-equipment-green,"Heavy Duty Stackable Plastic Sifting Screens Gold Prospecting Equipment Rock Hounding (3 Sizes)",0,1,,,,,YOUTUBE,https://youtu.be/GRGKibzHhNQ,,https://asroutdoor.com/products/1-2-inch-mesh-plastic-stackable-classifier-sifting-screen-gold-prospecting-equipment-green
13pc-geology-rock-hounding-kit-with-mining-tools-and-deluxe-carry-bag,"21pc Geology Rock Hounding Kit with Mining Tools and Deluxe Carry Bag",0,1,,,,,YOUTUBE,https://youtu.be/3N-gFD2G-jQ,,https://asroutdoor.com/products/13pc-geology-rock-hounding-kit-with-mining-tools-and-deluxe-carry-bag
3pc-collapsible-camping-lantern-assorted-colors,"3pc Collapsible Camping Lantern, Assorted Colors",1,0,,https://cdn.shopify.com/videos/c/vp/4bc40285560e49319acfcd214d2c4bff/4bc40285560e49319acfcd214d2c4bff.HD-1080p-7.2Mbps-32329759.mp4,https://cdn.shopify.com/s/files/1/0783/2056/6572/files/preview_images/4bc40285560e49319acfcd214d2c4bff.thumbnail.0000000000.jpg?v=1721944536,12610,,,,https://asroutdoor.com/products/3pc-collapsible-camping-lantern-assorted-colors
