numeric_id,gid,handle,title,status,vendor,product_type,category,seo_title,seo_desc,seo_desc_len,body_len,tags_count,image_alt,url,missing_seo_description,seo_too_short,seo_too_long,missing_category,missing_product_type,thin_body,missing_vendor,missing_image,missing_image_alt,priority
9512980218156,gid://shopify/Product/9512980218156,fishing-fillet-knife-hard-sheath-and-floating-handle-6-inch-blade,"Fishing Fillet Knife Hard Sheath and Floating Handle, 6 inch Blade",ACTIVE,"ASR Outdoor",,"Sporting Goods > Outdoor Recreation > Camping & Hiking > Camping Tools > Hunting & Survival Knives > Locking Blade Knives",,,0,110,10,"Fish fillet knife with sheath",https://asroutdoor.com/products/fishing-fillet-knife-hard-sheath-and-floating-handle-6-inch-blade,1,0,0,0,1,1,0,0,0,7
9513008824620,gid://shopify/Product/9513008824620,6mm-water-bottle-holder-with-blue-aluminum-carabiner-attachment,"6mm Water Bottle Holder with Blue Aluminum Carabiner Attachment",ACTIVE,"ASR Outdoor",,"Sporting Goods > Outdoor Recreation > Climbing > Carabiners",,,0,101,9,"keychain water bottle holder cap carabiner attachment",https://asroutdoor.com/products/6mm-water-bottle-holder-with-blue-aluminum-carabiner-attachment,1,0,0,0,1,1,0,0,0,7
9513050702124,gid://shopify/Product/9513050702124,survival-7-in-1-multitool-with-whistle-compass-led-flashlight,"Survival 7 in 1 Multitool with Whistle Compass LED Flashlight",ACTIVE,"ASR Outdoor",,"Arts & Entertainment > Party & Celebration > Party Supplies > Noisemakers & Party Blowers > Whistles",,,0,180,9,"7 in 1 survival necklace whistle, flashlight, mirror, storage compartment, compass",https://asroutdoor.com/products/survival-7-in-1-multitool-with-whistle-compass-led-flashlight,1,0,0,0,1,1,0,0,0,7
9513105228076,gid://shopify/Product/9513105228076,3-pack-emergency-glow-stick-high-visibility-safety-light,"High Visibility Emergency Glow Stick Safety Light, 1pk",ACTIVE,"ASR Outdoor",,"Sporting Goods > Outdoor Recreation > Camping & Hiking > Camping Lights & Lanterns",,,0,151,6,"emergency glow sticks bright yellow for being more visible during the night",https://asroutdoor.com/products/3-pack-emergency-glow-stick-high-visibility-safety-light,1,0,0,0,1,1,0,0,0,7
9513188688172,gid://shopify/Product/9513188688172,survival-mylar-extreme-emergency-blanket-orange,"Survival Mylar Extreme Emergency Blanket, Orange",ACTIVE,"ASR Outdoor",,"Home & Garden > Emergency Preparedness > Emergency Blankets",,,0,138,6,"emergency thermal blanket made of mylar which reflects heat keeping you warm",https://asroutdoor.com/products/survival-mylar-extreme-emergency-blanket-orange,1,0,0,0,1,1,0,0,0,7
9516216516908,gid://shopify/Product/9516216516908,survival-hatchet-with-hammer-pry-bar,"Survival Hatchet with Hammer and Pry Bar, Multi-Tool",ACTIVE,"ASR Outdoor",,"Hardware > Tools > Axes > Hatchets",,,0,125,9,"Survival hatchet one handed axe with pry bar",https://asroutdoor.com/products/survival-hatchet-with-hammer-pry-bar,1,0,0,0,1,1,0,0,0,7
9516251480364,gid://shopify/Product/9516251480364,grooved-angle-sharpening-stone-for-fish-hooks-blades,"Grooved Angle Sharpening Stone for Fish Hooks & Blades",ACTIVE,"ASR Outdoor",,"Sporting Goods > Outdoor Recreation > Fishing > Fishing Tackle > Fishing Baits & Lures > Fishing Tackle Kits",,,0,176,6,"Grooved Angle Sharpening Stone for Fish Hooks & Blades",https://asroutdoor.com/products/grooved-angle-sharpening-stone-for-fish-hooks-blades,1,0,0,0,1,1,0,0,0,7
9516431376684,gid://shopify/Product/9516431376684,7-inch-jumbo-aluminum-carabiner-hiking-cushion-grip-6-colors,"7 Inch Jumbo Aluminum Carabiner Hiking Cushion Grip (6 Colors)",ACTIVE,"ASR Outdoor",,"Sporting Goods > Outdoor Recreation > Climbing > Carabiners",,,0,151,11,"Black Jumbo carabiner for groceries or carrying items grip",https://asroutdoor.com/products/7-inch-jumbo-aluminum-carabiner-hiking-cushion-grip-6-colors,1,0,0,0,1,1,0,0,0,7
9511343030572,gid://shopify/Product/9511343030572,lightweight-carbon-steel-camping-hammer-with-tent-stakes-puller-12-inch,"Lightweight Carbon Steel Camping Hammer with Tent Stakes Puller, 12 Inch",ACTIVE,"ASR Outdoor",,"Sporting Goods > Outdoor Recreation > Camping & Hiking",,,0,1073,9,"Lightweight Carbon Steel Camping Hammer with Tent Stakes Puller, 12 Inch",https://asroutdoor.com/products/lightweight-carbon-steel-camping-hammer-with-tent-stakes-puller-12-inch,1,0,0,0,1,0,0,0,0,5
9511364165932,gid://shopify/Product/9511364165932,thermal-mat-heat-reflective-camping-sleeping-pad,"Thermal Mat Heat Reflective Camping Sleeping Pad",ACTIVE,"ASR Outdoor",,"Sporting Goods > Outdoor Recreation > Camping & Hiking > Sleeping Pads",,,0,1084,7,"thermal camping sleeping pad reflective heat mat",https://asroutdoor.com/products/thermal-mat-heat-reflective-camping-sleeping-pad,1,0,0,0,1,0,0,0,0,5
9511369113900,gid://shopify/Product/9511369113900,elastic-shock-cord-natural-rubber-30-feet-3mm-diameter-black,"Elastic Shock Cord Natural Rubber 30 Feet 3mm Diameter, Black",ACTIVE,"ASR Outdoor",,"Hardware > Hardware Accessories > Chain, Wire & Rope",,,0,723,11,"Elastic Shock Cord Natural Rubber 30 Feet 3mm Diameter, Black",https://asroutdoor.com/products/elastic-shock-cord-natural-rubber-30-feet-3mm-diameter-black,1,0,0,0,1,0,0,0,0,5
9512972353836,gid://shopify/Product/9512972353836,multi-function-key-chain-knife-tool,"Multi-Function Key Chain Knife Tool",ACTIVE,"ASR Outdoor",,"Sporting Goods > Outdoor Recreation > Camping & Hiking > Camping Tools > Multifunction Tools & Knives",,,0,598,6,"multi function key chain knife tool",https://asroutdoor.com/products/multi-function-key-chain-knife-tool,1,0,0,0,1,0,0,0,0,5
9512984052012,gid://shopify/Product/9512984052012,7-function-small-pocket-camping-utensil-flatware-spoon-fork-knife,"7 Function Small Pocket Camping Utensil Flatware, Spoon Fork Knife",ACTIVE,"ASR Outdoor",Survival/Camping,"Sporting Goods > Outdoor Recreation > Camping & Hiking > Camping Cookware & Dinnerware > Camping Utensils",,,0,153,11,"7 function small pocket utensil flatware spoon fork knife camping",https://asroutdoor.com/products/7-function-small-pocket-camping-utensil-flatware-spoon-fork-knife,1,0,0,0,0,1,0,0,0,5
9513012789548,gid://shopify/Product/9513012789548,folding-collapsible-pet-travel-food-bowl-dish,"Folding Collapsible Pet Travel Food Bowl Dish",ACTIVE,"ASR Outdoor",,"Animals & Pet Supplies > Pet Supplies > Pet Bowls, Feeders & Waterers",,,0,1195,12,"pet food bowl dog travel bowl folding colapsible bowl for easy transportation and packing",https://asroutdoor.com/products/folding-collapsible-pet-travel-food-bowl-dish,1,0,0,0,1,0,0,0,0,5
9513024946476,gid://shopify/Product/9513024946476,emergency-1-person-survival-first-aid-kit,"100pc Portable Dry Sack First Aid Kit Dry Emergency Preparedness Items Survival Gear",ACTIVE,"ASR Outdoor",,"Health & Beauty > Health Care > First Aid > Medical Tape & Bandages",,,0,804,7,"survival first aid kit solo hiking or backpacking",https://asroutdoor.com/products/emergency-1-person-survival-first-aid-kit,1,0,0,0,1,0,0,0,0,5
9513038381356,gid://shopify/Product/9513038381356,waterproof-first-aid-storage-container-5-5-inch-clear,"Clear Waterproof All Purpose Storage Container, Hiking and Camping Gear, 5.5 Inch",ACTIVE,"ASR Outdoor",,"Sporting Goods > Outdoor Recreation > Camping & Hiking > Camping Tools",,,0,932,11,"waterproof storage container clear",https://asroutdoor.com/products/waterproof-first-aid-storage-container-5-5-inch-clear,1,0,0,0,1,0,0,0,0,5
9513054404908,gid://shopify/Product/9513054404908,extendable-marshmallow-toaster-bbq-fork-35-5,"Extendable Marshmallow Toaster BBQ Fork - 35.5""",ACTIVE,"ASR Outdoor",Survival/Camping,"Home & Garden > Kitchen & Dining > Kitchen Appliance Accessories > Outdoor Grill Accessories",,,0,197,8,"heavy Duty stainless steel marshmallow stick poker",https://asroutdoor.com/products/extendable-marshmallow-toaster-bbq-fork-35-5,1,0,0,0,0,1,0,0,0,5
9513216540972,gid://shopify/Product/9513216540972,emergency-outdoor-winter-blanket-insulated-thermal-reflector-4-pack,"Emergency Outdoor Winter Blanket Insulated Thermal Reflector 4 Pack",ACTIVE,"ASR Outdoor",,"Home & Garden > Emergency Preparedness > Emergency Blankets",,,0,231,7,"Winter Thermal Blanket Reflective Heat survival",https://asroutdoor.com/products/emergency-outdoor-winter-blanket-insulated-thermal-reflector-4-pack,1,0,0,0,1,0,0,0,0,5
9513231810860,gid://shopify/Product/9513231810860,illuminated-dry-box-detachable-lid-large-waterproof-storage-case,"Illuminated Dry Box Detachable Lid Large Waterproof Storage Case",ACTIVE,"ASR Outdoor",,"Hardware > Hardware Accessories > Tool Storage & Organization > Tool Boxes",,,0,1117,6,"Waterproof Storage Box Ammo Box",https://asroutdoor.com/products/illuminated-dry-box-detachable-lid-large-waterproof-storage-case,1,0,0,0,1,0,0,0,0,5
9516197249324,gid://shopify/Product/9516197249324,waterproof-notebook-with-pencil,"Waterproof Notebook with Pencil",ACTIVE,"ASR Outdoor",,"Office Supplies > General Office Supplies > Paper Products > Notebooks & Notepads > Notepads",,,0,1065,4,"waterproof notebook water resistant paper",https://asroutdoor.com/products/waterproof-notebook-with-pencil,1,0,0,0,1,0,0,0,0,5
9516211142956,gid://shopify/Product/9516211142956,buckshot-knives-camping-axe-hatchet-black-steel-with-cord-cutter,"Buckshot Knives Camping Axe Hatchet - Black Steel with Cord Cutter",ACTIVE,"ASR Outdoor",Survival/Camping,"Hardware > Tools > Axes",,,0,108,7,"buckshot camping axe a one handed paracord axe",https://asroutdoor.com/products/buckshot-knives-camping-axe-hatchet-black-steel-with-cord-cutter,1,0,0,0,0,1,0,0,0,5
9516236144940,gid://shopify/Product/9516236144940,400lb-neodymium-magnet-fishing-kit-with-paracord-for-retrieving-lost-treasure,"400lb Neodymium Magnet Fishing Kit with Paracord for Retrieving Lost Treasure",ACTIVE,"ASR Outdoor",,"Sporting Goods > Outdoor Recreation > Fishing",,,0,1205,10,"magnet fishing kit for beginners paracord rope carabiner and magnet",https://asroutdoor.com/products/400lb-neodymium-magnet-fishing-kit-with-paracord-for-retrieving-lost-treasure,1,0,0,0,1,0,0,0,0,5
