query,clicks,impr,actual_ctr,pos
best gold panning kit for starting out,0,9029,0.00%,12.23
gold panning kit,38,7309,0.52%,11.38
sluice box,1,3027,0.03%,12.69
best gold panning kit for starting outdoors,0,2456,0.00%,11.33
prospecting equipment,2,2014,0.10%,13.81
gold sluice box,2,1340,0.15%,10.9
metal detecting accessories,2,1139,0.18%,18.72
miners moss,1,1084,0.09%,19.29
gold sluice,7,954,0.73%,11.52
best gold panning kit for starting outdoor,0,936,0.00%,10.81
best gold panning kit,4,844,0.47%,12.48
best gold panning kit for beginners,2,837,0.24%,11.85
gold pan kit,3,569,0.53%,11.77
gold rush tools,0,565,0.00%,10.76
gold prospecting tools,0,556,0.00%,12.54
rock pick,0,537,0.00%,17.15
gold prospecting equipment,6,472,1.27%,16.81
gold panning equipment,5,414,1.21%,13.85
canvas hiking backpack,4,403,0.99%,12.55
gold kit,0,317,0.00%,11.59
gold panning supplies,0,285,0.00%,10.73
plastic camping cutlery,0,271,0.00%,17.06
metal detecting tools,0,261,0.00%,19.22
sluice box matting,1,243,0.41%,17.18
drawstring bag hiking,0,242,0.00%,16.81
plastic camping utensils,0,226,0.00%,13.16
gold prospecting kit,1,225,0.44%,10.68
riffled,0,223,0.00%,17.36
sluice,0,222,0.00%,12.63
sluice box for sale,1,220,0.45%,12.77
rock hound,0,210,0.00%,17.67
prospecting kit,1,203,0.49%,15.27
plastic camping cutlery set,0,203,0.00%,12.61
best sluice box for recreational gold mining,0,201,0.00%,11.2
metal detector accessories kit,0,189,0.00%,13.4
gold prospecting supplies,0,184,0.00%,17.15
oyster dome,0,180,0.00%,12.58
prospector tools,0,179,0.00%,18.63
prospectors hammer,0,175,0.00%,12.49
mining kits,0,172,0.00%,11.94
river sluice box,0,170,0.00%,10.65
gold sluice box for sale,2,168,1.19%,11.88
classifying screen,0,168,0.00%,15.3
citronella bracelet,0,167,0.00%,13.28
gold equipment,1,166,0.60%,18.76
geology equipment for couples,0,160,0.00%,10.64
gold mining kit,0,160,0.00%,11.51
portable sluice box,1,158,0.63%,12.41
