handle,product_title,variant_title,sku,gtin_barcode,mpn,seo_title,seo_description,gpc,gender,age_group,condition,size_system,size_type
asr-outdoor-deluxe-50-aluminum-folding-sluice-box-gold-panning-backpack-kit,"24pc Deluxe 50 Inch Aluminum Folding Sluice Box Gold Panning Kit with 30L Backpack",Black,SON-FOLDINGSLUICEBACKPACK-24-BLACK,00810058485601,ASROBGP,"Folding Sluice Box Gold Panning Kit, 24pc | ASR Outdoor","Complete 24-piece gold panning kit with a rust-free 50-inch folding aluminum sluice box, gold pans, vials, and tools in a 30L canvas backpack.",1013,unisex,adult,new,US,regular
asr-outdoor-deluxe-50-aluminum-folding-sluice-box-gold-panning-backpack-kit,"24pc Deluxe 50 Inch Aluminum Folding Sluice Box Gold Panning Kit with 30L Backpack",Green,SON-FOLDINGSLUICEBACKPACK-24-GREEN,00810058482839,ASRO24GRN,"Folding Sluice Box Gold Panning Kit, 24pc | ASR Outdoor","Complete 24-piece gold panning kit with a rust-free 50-inch folding aluminum sluice box, gold pans, vials, and tools in a 30L canvas backpack.",1013,unisex,adult,new,US,regular
asr-outdoor-deluxe-50-aluminum-folding-sluice-box-gold-panning-backpack-kit,"24pc Deluxe 50 Inch Aluminum Folding Sluice Box Gold Panning Kit with 30L Backpack","Desert Khaki",SON-FOLDINGSLUICEBOXBACKPACK-D,00060886140849,ASROSBBPKITDLX,"Folding Sluice Box Gold Panning Kit, 24pc | ASR Outdoor","Complete 24-piece gold panning kit with a rust-free 50-inch folding aluminum sluice box, gold pans, vials, and tools in a 30L canvas backpack.",1013,unisex,adult,new,US,regular
asr-outdoor-deluxe-50-aluminum-folding-sluice-box-gold-panning-backpack-kit,"24pc Deluxe 50 Inch Aluminum Folding Sluice Box Gold Panning Kit with 30L Backpack",Brown,SON-FOLDINGSLUICEBACKPACK-24-BROWN,00810131748098,ASROSBBPK,"Folding Sluice Box Gold Panning Kit, 24pc | ASR Outdoor","Complete 24-piece gold panning kit with a rust-free 50-inch folding aluminum sluice box, gold pans, vials, and tools in a 30L canvas backpack.",1013,unisex,adult,new,US,regular
rock-pick-hammer,"20oz Rock Pick Mining Hammer, 11-inch Pointed Tip Gold Prospectors Tool","Default Title",SON-20OZERPMH-STD,00182364414188,GR-20,"20oz Rock Pick Mining Hammer, Pointed Tip | ASR Outdoor","Forged single-piece steel rock pick hammer with a 20oz head, 11.5-inch length, and anti-shock grip. Pointed pick and square face for prospecting.",1186,unisex,adult,new,US,regular
30-inch-four-riffle-plastic-sluice-box-for-gold-prospecting-green,"Multi Riffle Plastic Sluice Box Gold Prospecting Equipment, Green","Default Title",SON-SLUICE-BOX-1,00060886676362,DN830KQ-2,"Multi-Riffle Plastic Sluice Box for Gold | ASR Outdoor","Lightweight 30-inch ABS plastic gold sluice box with four molded riffle designs and a 10-inch channel. Rust-proof, portable, high-yield recovery.",2187,unisex,adult,new,US,regular
asr-outdoor-sluice-box-gold-prospecting-kit-pan-vial-snifter-trowel-tweezer-7pc,"7pc Beginner Sluice Box Gold Panning Kit with Gold Prospecting Equipment (Aluminum or Plastic)","Plastic Sluice Box",SON-SLUICEBOXSET-7PC-BUNDLE,00060886231851,ASRO7PCSBS,"Beginner Sluice Box Gold Panning Kit, 7pc | ASR Outdoor","Beginner gold panning kit with a riffle sluice box, 10-inch gold pan, snuffer bottle, vial, trowel, loupe, and tweezers. Choose aluminum or plastic.",2187,unisex,adult,new,US,regular
asr-outdoor-sluice-box-gold-prospecting-kit-pan-vial-snifter-trowel-tweezer-7pc,"7pc Beginner Sluice Box Gold Panning Kit with Gold Prospecting Equipment (Aluminum or Plastic)","Aluminum Folding Sluice Box",SON-SLUICEBOXSET-7PC-BUNDLE-ALUM,00810058482204,ASRO7PALUM,"Beginner Sluice Box Gold Panning Kit, 7pc | ASR Outdoor","Beginner gold panning kit with a riffle sluice box, 10-inch gold pan, snuffer bottle, vial, trowel, loupe, and tweezers. Choose aluminum or plastic.",2187,unisex,adult,new,US,regular
6pc-paydirt-beginner-gold-panning-kit-with-gold-pan-vial-snuffer-bottle,"ASR Outdoor X Pan for Gold with Bobby Bo 3oz Beginner Paydirt Gold Panning Kit, 6pc",Green,SON-5PCGOLDKIT-GRN-BUN,00810058485373,5PCKIDSGKB,"Beginner Gold Panning Kit with X Pan, 6pc | ASR Outdoor","Beginner 6-piece gold panning kit with 3oz of Bobby Bo paydirt, a 10-inch dual riffle pan, snuffer bottle, and glass vials. Practice prospecting at home.",361,unisex,adult,new,US,regular
6pc-paydirt-beginner-gold-panning-kit-with-gold-pan-vial-snuffer-bottle,"ASR Outdoor X Pan for Gold with Bobby Bo 3oz Beginner Paydirt Gold Panning Kit, 6pc",Black,SON-5PCGOLDKIT-BLK-BUN,00810058488589,5PCKIDSGKBBLK,"Beginner Gold Panning Kit with X Pan, 6pc | ASR Outdoor","Beginner 6-piece gold panning kit with 3oz of Bobby Bo paydirt, a 10-inch dual riffle pan, snuffer bottle, and glass vials. Practice prospecting at home.",361,unisex,adult,new,US,regular
6pc-paydirt-beginner-gold-panning-kit-with-gold-pan-vial-snuffer-bottle,"ASR Outdoor X Pan for Gold with Bobby Bo 3oz Beginner Paydirt Gold Panning Kit, 6pc",Blue,SON-5PCGOLDKIT-BLU-BUN,00810058484147,5PCKIDSGKBBLU,"Beginner Gold Panning Kit with X Pan, 6pc | ASR Outdoor","Beginner 6-piece gold panning kit with 3oz of Bobby Bo paydirt, a 10-inch dual riffle pan, snuffer bottle, and glass vials. Practice prospecting at home.",361,unisex,adult,new,US,regular
asr-outdoor-24pc-gold-panning-kit-with-5-gallon-bucket-and-10lb-bobby-bo-paydirt-2-colors,"24pc Gold Panning Kit with 5 Gallon Bucket and 10lb Pan for Gold with Bobby Bo Paydirt (2 Colors)",Black,DOY-10LBSBBPAYDIRTKIT-24PC-BLK,00810131700096,GP827RIQIBV14,"Gold Panning Kit with 5-Gallon Bucket, 24pc | ASR Outdoor","24-piece gold panning kit with 10lb Bobby Bo paydirt, a 5-gallon bucket, three dual-riffle gold pans, classifier screens, and full recovery tools.",1013,unisex,adult,new,US,regular
asr-outdoor-24pc-gold-panning-kit-with-5-gallon-bucket-and-10lb-bobby-bo-paydirt-2-colors,"24pc Gold Panning Kit with 5 Gallon Bucket and 10lb Pan for Gold with Bobby Bo Paydirt (2 Colors)",Green,DOY-10LBSBBPAYDIRTKIT-24PC-GRN,00810131703462,P99G3MH5GXXLF,"Gold Panning Kit with 5-Gallon Bucket, 24pc | ASR Outdoor","24-piece gold panning kit with 10lb Bobby Bo paydirt, a 5-gallon bucket, three dual-riffle gold pans, classifier screens, and full recovery tools.",1013,unisex,adult,new,US,regular
asr-outdoor-7pc-starter-gold-panning-kit-beginner-prospecting-equipment-with-paydirt-3-colors,"7pc Kids Starter Gold Panning Kit Beginner Prospecting Equipment with Paydirt (3 Colors)",Green,SON-7PCKIDSGOLDKIT-GRN-BUN,00810058485823,7PCKIDSGKB,"Kids Gold Panning Kit with Paydirt, 7pc | ASR Outdoor","7-piece kids and beginners gold panning kit with a dual riffle pan, classifier, vial, snifter, magnifier, and 3oz of Pacific Northwest Bobby Bo paydirt.",361,unisex,adult,new,US,regular
asr-outdoor-7pc-starter-gold-panning-kit-beginner-prospecting-equipment-with-paydirt-3-colors,"7pc Kids Starter Gold Panning Kit Beginner Prospecting Equipment with Paydirt (3 Colors)",Black,SON-7PCKIDSGOLDKIT-BLK-BUN,00810058485359,7PCKIDSGKBBLK,"Kids Gold Panning Kit with Paydirt, 7pc | ASR Outdoor","7-piece kids and beginners gold panning kit with a dual riffle pan, classifier, vial, snifter, magnifier, and 3oz of Pacific Northwest Bobby Bo paydirt.",361,unisex,adult,new,US,regular
asr-outdoor-7pc-starter-gold-panning-kit-beginner-prospecting-equipment-with-paydirt-3-colors,"7pc Kids Starter Gold Panning Kit Beginner Prospecting Equipment with Paydirt (3 Colors)",Blue,SON-7PCKIDSGOLDKIT-BLU-BUN,00810058485038,7PCKIDSGKBBLU,"Kids Gold Panning Kit with Paydirt, 7pc | ASR Outdoor","7-piece kids and beginners gold panning kit with a dual riffle pan, classifier, vial, snifter, magnifier, and 3oz of Pacific Northwest Bobby Bo paydirt.",361,unisex,adult,new,US,regular
asr-outdoor-gold-panning-paydirt-1lb-advanced-bag-gold-prospecting-concentrate-flakes-green-or-black,"ASR Outdoor Gold Panning Paydirt 1LB Advanced Bag Gold Prospecting Concentrate Flakes (Green or Black)",Green,ASR-7PC-1LB-PAYDIRT-ADVANCE-GRN,00810131702007,,"Gold Panning Paydirt, 1lb Advanced Bag | ASR Outdoor","Advance your gold panning at home with this 1lb bag of unclassified Bobby Bo paydirt: a mix of small and large gold plus black sand for tougher practice.",361,unisex,adult,new,US,regular
asr-outdoor-gold-panning-paydirt-1lb-advanced-bag-gold-prospecting-concentrate-flakes-green-or-black,"ASR Outdoor Gold Panning Paydirt 1LB Advanced Bag Gold Prospecting Concentrate Flakes (Green or Black)",Black,ASR-7PC-1LB-PAYDIRT-ADVANCE-BLK,00810131707651,,"Gold Panning Paydirt, 1lb Advanced Bag | ASR Outdoor","Advance your gold panning at home with this 1lb bag of unclassified Bobby Bo paydirt: a mix of small and large gold plus black sand for tougher practice.",361,unisex,adult,new,US,regular
asr-outdoor-7pc-gold-panning-kit-with-1lbs-bobby-bo-intermediate-unclassified-paydirt-bag-green-or-black,"ASR Outdoor 6pc Gold Panning Kit with 1lbs Bobby Bo Intermediate Unclassified Paydirt Bag (Green or Black)",Green,ASR-7PC-1LB-PAYDIRT-INTERMED-GRN,,,"Gold Panning Kit with 1lb Paydirt, 6pc | ASR Outdoor","Intermediate 6-piece gold panning kit with 1lb of unclassified Bobby Bo paydirt and a finishing pan. Build your panning skills at home in green or black.",361,unisex,adult,new,US,regular
asr-outdoor-7pc-gold-panning-kit-with-1lbs-bobby-bo-intermediate-unclassified-paydirt-bag-green-or-black,"ASR Outdoor 6pc Gold Panning Kit with 1lbs Bobby Bo Intermediate Unclassified Paydirt Bag (Green or Black)",Black,ASR-7PC-1LB-PAYDIRT-INTERMED-BLK,,,"Gold Panning Kit with 1lb Paydirt, 6pc | ASR Outdoor","Intermediate 6-piece gold panning kit with 1lb of unclassified Bobby Bo paydirt and a finishing pan. Build your panning skills at home in green or black.",361,unisex,adult,new,US,regular
asr-outdoor-7pc-gold-panning-kit-with-1lbs-bobby-bo-intermediate-unclassified-paydirt-bag-green-or-black,"ASR Outdoor 6pc Gold Panning Kit with 1lbs Bobby Bo Intermediate Unclassified Paydirt Bag (Green or Black)",Blue,ASR-7PC-1LB-PAYDIRT-INTERMED-BLU,,,"Gold Panning Kit with 1lb Paydirt, 6pc | ASR Outdoor","Intermediate 6-piece gold panning kit with 1lb of unclassified Bobby Bo paydirt and a finishing pan. Build your panning skills at home in green or black.",361,unisex,adult,new,US,regular
asr-outdoor-7pc-gold-panning-kit-with-1lbs-bobby-bo-beginner-classified-paydirt-bag-green-or-black,"ASR Outdoor Beginner Gold Panning Kit with 1LB Guaranteed Gold Paydirt (3 Colors), 6pc",Green,SON-5PCGOLDKIT-GRN-12IN-1LB,00810131702182,5PCKIDSGKB-1LB,"Beginner Gold Paydirt Panning Kit, 6pc | ASR Outdoor","Beginner 6-piece gold panning kit with 1lb of pre-classified Bobby Bo paydirt. Coarse, easy-to-spot gold helps new prospectors learn to pan at home.",361,unisex,adult,new,US,regular
asr-outdoor-7pc-gold-panning-kit-with-1lbs-bobby-bo-beginner-classified-paydirt-bag-green-or-black,"ASR Outdoor Beginner Gold Panning Kit with 1LB Guaranteed Gold Paydirt (3 Colors), 6pc",Black,SON-5PCGOLDKIT-BLK-12IN-1LB,00810131705756,5PCKIDSGKBBLK-1LB,"Beginner Gold Paydirt Panning Kit, 6pc | ASR Outdoor","Beginner 6-piece gold panning kit with 1lb of pre-classified Bobby Bo paydirt. Coarse, easy-to-spot gold helps new prospectors learn to pan at home.",361,unisex,adult,new,US,regular
asr-outdoor-7pc-gold-panning-kit-with-1lbs-bobby-bo-beginner-classified-paydirt-bag-green-or-black,"ASR Outdoor Beginner Gold Panning Kit with 1LB Guaranteed Gold Paydirt (3 Colors), 6pc",Blue,SON-5PCGOLDKIT-BLU-12IN-1LB,00810131709136,5PCKIDSGKBBLU-1LB,"Beginner Gold Paydirt Panning Kit, 6pc | ASR Outdoor","Beginner 6-piece gold panning kit with 1lb of pre-classified Bobby Bo paydirt. Coarse, easy-to-spot gold helps new prospectors learn to pan at home.",361,unisex,adult,new,US,regular
gold-pan-with-dual-riffles-prospecting-tool-3-colors-and-sizes,"Dual Riffle Gold Pans Gold Prospecting Equipment (3 Colors and Sizes)","8"" / Green",SON-AO8IBGRGTGP-8-GREEN,00060886383857,ASRGP-8-GRN,"Dual Riffle Gold Pans for Prospecting | ASR Outdoor","Dual-riffle gold pan with deep and shallow walls for fast recovery of fine and coarse gold. Lightweight, rust-free ABS in 8, 10, 12, and 14-inch sizes.",2187,unisex,adult,new,US,regular
gold-pan-with-dual-riffles-prospecting-tool-3-colors-and-sizes,"Dual Riffle Gold Pans Gold Prospecting Equipment (3 Colors and Sizes)","8"" / Black",SON-AO8IBGRGTGP-8-BLCK1,00060886371717,ASRGP-8,"Dual Riffle Gold Pans for Prospecting | ASR Outdoor","Dual-riffle gold pan with deep and shallow walls for fast recovery of fine and coarse gold. Lightweight, rust-free ABS in 8, 10, 12, and 14-inch sizes.",2187,unisex,adult,new,US,regular
gold-pan-with-dual-riffles-prospecting-tool-3-colors-and-sizes,"Dual Riffle Gold Pans Gold Prospecting Equipment (3 Colors and Sizes)","8"" / Blue",SON-AO8IBGRGTGP-8-BL1,00060886831433,ASRGP-8BL,"Dual Riffle Gold Pans for Prospecting | ASR Outdoor","Dual-riffle gold pan with deep and shallow walls for fast recovery of fine and coarse gold. Lightweight, rust-free ABS in 8, 10, 12, and 14-inch sizes.",2187,unisex,adult,new,US,regular
gold-pan-with-dual-riffles-prospecting-tool-3-colors-and-sizes,"Dual Riffle Gold Pans Gold Prospecting Equipment (3 Colors and Sizes)","10"" / Green",SON-AO10IGGRGTGPDR-10-GRN-9,00143218537804,ASRGP-10GR9,"Dual Riffle Gold Pans for Prospecting | ASR Outdoor","Dual-riffle gold pan with deep and shallow walls for fast recovery of fine and coarse gold. Lightweight, rust-free ABS in 8, 10, 12, and 14-inch sizes.",2187,unisex,adult,new,US,regular
gold-pan-with-dual-riffles-prospecting-tool-3-colors-and-sizes,"Dual Riffle Gold Pans Gold Prospecting Equipment (3 Colors and Sizes)","10"" / Black",SON-AO10IGGRGTGPDR-10-BLK,00810058485717,ASRGP-10BLK1,"Dual Riffle Gold Pans for Prospecting | ASR Outdoor","Dual-riffle gold pan with deep and shallow walls for fast recovery of fine and coarse gold. Lightweight, rust-free ABS in 8, 10, 12, and 14-inch sizes.",2187,unisex,adult,new,US,regular
