numeric_id,old_product_title,new_seo_title
8406498541868,"24pc Deluxe 50 Inch Aluminum Folding Sluice Box Gold Panning Kit with 30L Backpack","Folding Sluice Box Gold Panning Kit, 24pc | ASR Outdoor"
8461244170540,"20oz Rock Pick Mining Hammer, 11-inch Pointed Tip Gold Prospectors Tool","20oz Rock Pick Mining Hammer, Pointed Tip | ASR Outdoor"
8461244367148,"Multi Riffle Plastic Sluice Box Gold Prospecting Equipment, Green","Multi-Riffle Plastic Sluice Box for Gold | ASR Outdoor"
8461244793132,"7pc Beginner Sluice Box Gold Panning Kit with Gold Prospecting Equipment (Aluminum or Plastic)","Beginner Sluice Box Gold Panning Kit, 7pc | ASR Outdoor"
8491279384876,"ASR Outdoor X Pan for Gold with Bobby Bo 3oz Beginner Paydirt Gold Panning Kit, 6pc","Beginner Gold Panning Kit with X Pan, 6pc | ASR Outdoor"
8491328143660,"24pc Gold Panning Kit with 5 Gallon Bucket and 10lb Pan for Gold with Bobby Bo Paydirt (2 Colors)","Gold Panning Kit with 5-Gallon Bucket, 24pc | ASR Outdoor"
8491384897836,"7pc Kids Starter Gold Panning Kit Beginner Prospecting Equipment with Paydirt (3 Colors)","Kids Gold Panning Kit with Paydirt, 7pc | ASR Outdoor"
8491401380140,"ASR Outdoor Gold Panning Paydirt 1LB Advanced Bag Gold Prospecting Concentrate Flakes (Green or Black)","Gold Panning Paydirt, 1lb Advanced Bag | ASR Outdoor"
8493498204460,"ASR Outdoor 6pc Gold Panning Kit with 1lbs Bobby Bo Intermediate Unclassified Paydirt Bag (Green or Black)","Gold Panning Kit with 1lb Paydirt, 6pc | ASR Outdoor"
8493515178284,"ASR Outdoor Beginner Gold Panning Kit with 1LB Guaranteed Gold Paydirt (3 Colors), 6pc","Beginner Gold Paydirt Panning Kit, 6pc | ASR Outdoor"
8493529727276,"Dual Riffle Gold Pans Gold Prospecting Equipment (3 Colors and Sizes)","Dual Riffle Gold Pans for Prospecting | ASR Outdoor"
8493540180268,"17pc Complete Backpack Sluice Box Gold Panning Kit with 10lb Bobby Bo Intermediate Gold Paydirt (3 Colors)","Backpack Sluice Box Gold Panning Kit, 17pc | ASR Outdoor"
8493678985516,"15pc Travel Backpack Gold Panning Kit with Mini Sluice Box and 3lb Gold Bobby Bo Paydirt (2 Styles)","Travel Gold Panning Kit with Sluice Box, 15pc | ASR Outdoor"
8495190245676,"5pc Beginners Gold Panning Kit with Pan, Glass Vials, Snifter Bottle, Magnifying Tweezers","Beginner Gold Panning Kit with Vials, 5pc | ASR Outdoor"
8495198667052,"14pc Backpack Gold Panning Kit with 12"" Mini Sluice Box (Rubber or Aluminum)","Backpack Gold Panning Kit, Mini Sluice, 14pc | ASR Outdoor"
8495203287340,"50 Inch Aluminum Folding Gold Sluice Box Prospecting Equipment","50-Inch Aluminum Folding Gold Sluice Box | ASR Outdoor"
8502255157548,"Stackable 5 Gallon Bucket Classifier Screens Sifting Sieves (Many Sizes)","5-Gallon Bucket Gold Classifier Screens | ASR Outdoor"
8502335045932,"Large Gold Panning Prospector's Sand Scoop Hand Trowel (4 Colors)","Gold Prospecting Sand Scoop Hand Trowel | ASR Outdoor"
8502378823980,"Small Stackable 6 Inch Classifier Screen Sifting Sieves, Assorted Stainless Steel Mesh Sizes","6-Inch Stackable Gold Classifier Screens | ASR Outdoor"
8502395011372,"Mini Portable Aluminum Sluice Box with Rubber Matting Gold Prospecting Equipment, 12 Inch","12-Inch Mini Aluminum Sluice Box for Gold | ASR Outdoor"
8502409855276,"Mini Portable 3 Riffle Rubber Sluice Box Gold Prospecting Equipment, 12 Inch","12-Inch Mini 3-Riffle Rubber Sluice Box | ASR Outdoor"
8502466216236,"8.5 inch Large Plastic Sand Scoop for Metal Detector Treasure Hunting (3 Colors)","8.5-Inch Plastic Sand Scoop for Detecting | ASR Outdoor"
8502535192876,"16pc Beginner Geology Rock Hounding Kit with Mining Tools and Tool Bag","Beginner Rock Hounding Kit with Tools, 16pc | ASR Outdoor"
8502573924652,"3oz Plastic Heavy Duty Gold Snifter Bottle with Squeeze Nozzle (Multi-Packs)","3oz Gold Snifter Bottle, Squeeze Nozzle | ASR Outdoor"
8502621208876,"Large Rubber Riffled Sluice Box Matting for Gold Recovery, 27 x 10 inch","Rubber Riffle Sluice Box Matting, 27x10-Inch | ASR Outdoor"
8502631498028,"20pc Mini Pocket Sluice Box with 3.5 Gallon Bucket Gold Panning Kit (2 Styles)","Pocket Sluice Box Gold Panning Kit, 20pc | ASR Outdoor"
8502674391340,"13pc Portable Gold Panning Kit with Collapsible Bucket, Mini Aluminum Sluice Box and 30L Backpack (4 Colors)","Portable Gold Panning Kit with Backpack, 13pc | ASR Outdoor"
8504355389740,"10pc Beginner Gold Panning Kit Gold Prospecting Equipment (3 Colors)","Beginner Gold Panning Kit, 10pc | ASR Outdoor"
8504457167148,"4x Magnification Steel Magnifying Tweezers Gold Prospecting Equipment, 1 Pair","4x Magnifying Tweezers for Gold Prospecting | ASR Outdoor"
8517567316268,"10 Inch Traditional Single Riffle Standard Gold Pan (3 Colors)","10-Inch Single Riffle Gold Pan | ASR Outdoor"
8517589303596,"14 Inch Traditional Large Single Ridge Riffle Finishing Gold Pan with Water Guide (2 Colors)","14-Inch Single Riffle Finishing Gold Pan | ASR Outdoor"
8517722669356,"3mL Gold Panning Precision Plastic Dropper Pipettes 5.5 Inch (Multiple Pack Sizes)","3mL Gold Panning Dropper Pipettes, 5.5-Inch | ASR Outdoor"
8517884444972,"50 Inch Aluminum Folding Sluice Box Backpack Kit Gold Prospecting Equipment (4 Colors)","50-Inch Folding Sluice Box Backpack Kit | ASR Outdoor"
8521682682156,"ASR Outdoor Black Drawstring Backpack Gym Bag Hiking Gear, 20 x 16 Inches","Drawstring Backpack Gym Bag, 20x16-Inch | ASR Outdoor"
8521704636716,"30L Heavy Stitch Gold Panning Backpack Camping Gear Canvas Rucksack (4 Colors)","30L Canvas Gold Panning Backpack Rucksack | ASR Outdoor"
8521725116716,"7pc Classic Field Beginner Gold Panning Kit with Dual Riffle Gold Pans (2 Colors)","Field Gold Panning Kit, Dual Riffle Pans, 7pc | ASR Outdoor"
8521740910892,"4pc Dual Riffle Gold Pan Set Gold Prospecting Equipment (2 Colors)","Dual Riffle Gold Pan Set, 4pc | ASR Outdoor"
8521749922092,"14pc Beginner Finishing Gold Prospecting Equipment Gold Panning Kit, Black","Beginner Finishing Gold Panning Kit, 14pc | ASR Outdoor"
